# DONNEES MENSUELLES HOMOGENEISEES de TN : Moyenne mensuelle de la température minimale sous abri (en °C et 1/10) 
# NUM_POSTE= 61001001
# NOM_USUEL= ALENCON
# LATITUDE (°) = 48.446
# LONGITUDE(°)= 0.11
# ALTITUDE (m) = 143
# NUM_SERIE= MTN161001001
# Amplitude minimale détectable de la série = 0.15
# Période homogénéisée : 195501 201612
# Date(s) de rupture(s) d'homogénéité : 196112
#     Periode homogénéisée  195501 201612  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195501;0.8;1
195502;0.9;1
195503;0;1
195504;3.7;1
195505;5.9;1
195506;10.7;1
195507;13.7;1
195508;11.6;1
195509;8.4;1
195510;4.6;1
195511;2.4;1
195512;4.7;1
195601;1.7;1
195602;-6.7;1
195603;2.7;1
195604;2.5;1
195605;6.9;1
195606;9.3;1
195607;11.9;1
195608;9.7;1
195609;12.2;1
195610;6.8;1
195611;1.1;1
195612;4.3;1
195701;-0.2;1
195702;4.4;1
195703;5.4;1
195704;4.2;1
195705;6.4;1
195706;10.1;1
195707;13.9;1
195708;12;1
195709;10.2;1
195710;7.7;1
195711;4;1
195712;0.9;1
195801;2.2;1
195802;3.5;1
195803;1.5;1
195804;3.7;1
195805;8.3;1
195806;9.8;1
195807;12.2;1
195808;13.4;1
195809;11.8;1
195810;8.2;1
195811;3.6;1
195812;2.6;1
195901;0.1;1
195902;-0.4;1
195903;3.6;1
195904;5.8;1
195905;8.7;1
195906;9.7;1
195907;12.8;1
195908;12.6;1
195909;10.2;1
195910;7.1;1
195911;4.5;1
195912;4.4;1
196001;0.3;1
196002;0.9;1
196003;4.8;1
196004;5.1;1
196005;8.6;1
196006;11.6;1
196007;11.8;1
196008;11.9;1
196009;9.2;1
196010;7.7;1
196011;5.9;1
196012;1.5;1
196101;1.4;1
196102;4.3;1
196103;2.3;1
196104;7.4;1
196105;6.7;1
196106;9.8;1
196107;11.4;1
196108;11.5;1
196109;11.6;1
196110;7.9;1
196111;3.9;1
196112;2.1;1
196201;2.7;1
196202;0.9;1
196203;0.1;1
196204;4.8;1
196205;6.7;1
196206;8.5;1
196207;11.4;1
196208;11.2;1
196209;8.5;1
196210;7;1
196211;3.7;1
196212;-1.8;1
196301;-5.2;1
196302;-5.9;1
196303;2.7;1
196304;5.2;1
196305;6.9;1
196306;11.2;1
196307;11.7;1
196308;11.4;1
196309;11;1
196310;7.1;1
196311;6.3;1
196312;-1.3;1
196401;-2.2;1
196402;2.6;1
196403;2.7;1
196404;4.6;1
196405;8.5;1
196406;10.3;1
196407;11.4;1
196408;11.5;1
196409;10.5;1
196410;5.2;1
196411;4.1;1
196412;0;1
196501;1.3;1
196502;-0.8;1
196503;3.6;1
196504;4.7;1
196505;8.2;1
196506;10;1
196507;11;1
196508;11.3;1
196509;8.7;1
196510;5.6;1
196511;2.9;1
196512;3;1
196601;-0.4;1
196602;5.8;1
196603;2.6;1
196604;6.7;1
196605;7.6;1
196606;11.8;1
196607;11.8;1
196608;10.8;1
196609;10.8;1
196610;8.5;1
196611;2.4;1
196612;4.1;1
196701;1.4;1
196702;2.8;1
196703;3.1;1
196704;4.1;1
196705;7.3;1
196706;9.1;1
196707;12.1;1
196708;11.8;1
196709;9.9;1
196710;8.6;1
196711;3.2;1
196712;0.6;1
196801;1.8;1
196802;0.5;1
196803;2.8;1
196804;4;1
196805;6.7;1
196806;10.7;1
196807;11.9;1
196808;12.7;1
196809;10.1;1
196810;9.5;1
196811;3;1
196812;0.5;1
196901;3.2;1
196902;-0.5;1
196903;3.2;1
196904;4.4;1
196905;7.9;1
196906;10.2;1
196907;12.9;1
196908;12.6;1
196909;11.6;1
196910;6.2;1
196911;3.7;1
196912;0;1
197001;2.2;1
197002;1.6;1
197003;1.8;1
197004;3.9;1
197005;7.9;1
197006;12.4;1
197007;10.9;1
197008;12.7;1
197009;10;1
197010;6.6;1
197011;4.8;1
197012;-0.1;1
197101;0.4;1
197102;0.8;1
197103;-0.1;1
197104;4.5;1
197105;8.7;1
197106;10.4;1
197107;12.6;1
197108;12.3;1
197109;8.6;1
197110;4.6;1
197111;1.6;1
197112;2.1;1
197201;1.2;1
197202;3;1
197203;3.3;1
197204;5.8;1
197205;7;1
197206;8.5;1
197207;11.9;1
197208;10.6;1
197209;7.7;1
197210;5.3;1
197211;3.6;1
197212;1.7;1
197301;0.7;1
197302;0.7;1
197303;0.1;1
197304;2.6;1
197305;7.9;1
197306;10.3;1
197307;12.3;1
197308;13.1;1
197309;10.8;1
197310;5.6;1
197311;1.9;1
197312;1.5;1
197401;3.9;1
197402;2.3;1
197403;3.1;1
197404;4.1;1
197405;5.9;1
197406;9.8;1
197407;10.7;1
197408;11.6;1
197409;8.9;1
197410;4.6;1
197411;4.9;1
197412;4.8;1
197501;4.3;1
197502;1.6;1
197503;2.2;1
197504;4.8;1
197505;7.2;1
197506;9.8;1
197507;12.4;1
197508;13.6;1
197509;10.2;1
197510;5;1
197511;3.6;1
197512;-0.3;1
197601;2.1;1
197602;2;1
197603;1.3;1
197604;2.8;1
197605;7.2;1
197606;11.9;1
197607;14.4;1
197608;12.1;1
197609;9.6;1
197610;8.4;1
197611;3.4;1
197612;0.4;1
197701;1.4;1
197702;4.1;1
197703;4;1
197704;3.1;1
197705;7.3;1
197706;9.8;1
197707;12.7;1
197708;10.1;1
197709;7.3;1
197710;7.8;1
197711;4.1;1
197712;3;1
197801;0.6;1
197802;1.2;1
197803;3.5;1
197804;3.7;1
197805;8.2;1
197806;9.5;1
197807;11.8;1
197808;9.7;1
197809;8.5;1
197810;5.7;1
197811;1.7;1
197812;2.4;1
197901;-3.4;1
197902;0.5;1
197903;3.1;1
197904;4.3;1
197905;6.1;1
197906;10.6;1
197907;10.9;1
197908;10.9;1
197909;8.9;1
197910;8.2;1
197911;3.3;1
197912;3.5;1
198001;-1.1;1
198002;3.5;1
198003;2.6;1
198004;4.3;1
198005;6;1
198006;10.4;1
198007;11.6;1
198008;12.5;1
198009;10.4;1
198010;6.2;1
198011;2.1;1
198012;1.4;1
198101;1.7;1
198102;-0.2;1
198103;6.5;1
198104;5.8;1
198105;8.2;1
198106;10.2;1
198107;12.3;1
198108;11.9;1
198109;10.4;1
198110;7.3;1
198111;4.7;1
198112;1.7;1
198201;1.6;1
198202;2.1;1
198203;2.4;1
198204;3.1;1
198205;8.1;1
198206;12.7;1
198207;13.3;1
198208;12.1;1
198209;10.5;1
198210;7.3;1
198211;5.4;1
198212;2.5;1
198301;3.2;1
198302;-0.6;1
198303;3.1;1
198304;3.9;1
198305;6.7;1
198306;11.7;1
198307;15.6;1
198308;13;1
198309;10.6;1
198310;6.5;1
198311;3.2;1
198312;1.1;1
198401;1.9;1
198402;0.9;1
198403;1;1
198404;3;1
198405;6.3;1
198406;10;1
198407;11.2;1
198408;11.6;1
198409;10.1;1
198410;7.8;1
198411;6.2;1
198412;2;1
198501;-3.8;1
198502;-0.7;1
198503;1.5;1
198504;5.1;1
198505;8.2;1
198506;9.5;1
198507;12;1
198508;10.8;1
198509;9.8;1
198510;5.8;1
198511;1.5;1
198512;3.5;1
198601;1.9;1
198602;-4.8;1
198603;1.3;1
198604;3;1
198605;7.4;1
198606;11.5;1
198607;12.1;1
198608;10.7;1
198609;7.3;1
198610;9.1;1
198611;4.8;1
198612;2.8;1
198701;-3.9;1
198702;1.3;1
198703;1.8;1
198704;6.3;1
198705;6.1;1
198706;10.7;1
198707;13.3;1
198708;12.3;1
198709;12.2;1
198710;7.9;1
198711;3.9;1
198712;2.7;1
198801;4.2;1
198802;1.6;1
198803;4.5;1
198804;5.8;1
198805;9.4;1
198806;11.2;1
198807;12;1
198808;12.7;1
198809;11.1;1
198810;8.6;1
198811;1.5;1
198812;4.7;1
198901;1.2;1
198902;2.1;1
198903;5;1
198904;3.3;1
198905;9.3;1
198906;10.5;1
198907;13.4;1
198908;11.3;1
198909;10;1
198910;8.7;1
198911;2.8;1
198912;2.5;1
199001;3.2;1
199002;4.9;1
199003;3.1;1
199004;4.1;1
199005;8.4;1
199006;9.6;1
199007;12.6;1
199008;13.3;1
199009;8.3;1
199010;8.9;1
199011;4.3;1
199012;0.9;1
199101;1.9;1
199102;-2.6;1
199103;5.4;1
199104;3.4;1
199105;6.7;1
199106;9.7;1
199107;12.4;1
199108;13;1
199109;11.6;1
199110;6.4;1
199111;3.7;1
199112;0.1;1
199201;0.5;1
199202;0.4;1
199203;3.6;1
199204;3.8;1
199205;8.3;1
199206;11;1
199207;12.3;1
199208;14;1
199209;9.6;1
199210;5.3;1
199211;5.8;1
199212;1.9;1
199301;3.9;1
199302;0.4;1
199303;1.9;1
199304;6.2;1
199305;8.6;1
199306;11.1;1
199307;11.4;1
199308;10.4;1
199309;9.2;1
199310;6.7;1
199311;0.3;1
199312;3.8;1
199401;3.5;1
199402;2.1;1
199403;5;1
199404;4.7;1
199405;8.6;1
199406;10.8;1
199407;14.6;1
199408;13.4;1
199409;10.2;1
199410;6.8;1
199411;8.1;1
199412;4.1;1
199501;2;1
199502;5.4;1
199503;2.4;1
199504;5.6;1
199505;7.4;1
199506;10.1;1
199507;14.6;1
199508;14.4;1
199509;9.7;1
199510;9;1
199511;4.1;1
199512;1.1;1
199601;2.8;1
199602;0.3;1
199603;1.9;1
199604;4.2;1
199605;6.8;1
199606;10.2;1
199607;11.5;1
199608;12.3;1
199609;8.2;1
199610;7.3;1
199611;3.8;1
199612;-0.4;1
199701;-1.5;1
199702;3.3;1
199703;4.6;1
199704;3;1
199705;8;1
199706;11.4;1
199707;11.9;1
199708;15.9;1
199709;8.3;1
199710;6.7;1
199711;6.2;1
199712;3.2;1
199801;2.1;1
199802;1.1;1
199803;4.1;1
199804;5.5;1
199805;9.2;1
199806;10.8;1
199807;12.1;1
199808;10.8;1
199809;11.5;1
199810;8.7;1
199811;1.8;1
199812;3.3;1
199901;3.8;1
199902;2.5;1
199903;4.1;1
199904;6.1;1
199905;9.8;1
199906;10.6;1
199907;14;1
199908;13.7;1
199909;12.5;1
199910;8.1;1
199911;3.5;1
199912;2.5;1
200001;2;1
200002;3.7;1
200003;2.9;1
200004;4.9;1
200005;10.2;1
200006;11.6;1
