# DONNEES MENSUELLES HOMOGENEISEES de TN : Moyenne mensuelle de la température minimale sous abri (en °C et 1/10) 
# NUM_POSTE= 65258001
# NOM_USUEL= LANNEMEZAN
# LATITUDE (°) = 43.114
# LONGITUDE(°)= 0.413
# ALTITUDE (m) = 638
# NUM_SERIE= MTN165258001
# Amplitude minimale détectable de la série = 0.19
# Période homogénéisée : 195901 201812
# Date(s) de rupture(s) d'homogénéité : 196312 197010 198012
#     Periode homogénéisée  195901 201812  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195901;0.5;1
195902;0.4;1
195903;3.7;1
195904;4.8;1
195905;8.2;1
195906;10.9;1
195907;13.8;1
195908;12.9;1
195909;12.2;1
195910;7.5;1
195911;2.1;1
195912;1.9;1
196001;-0.5;1
196002;0.7;1
196003;3.7;1
196004;3.8;1
196005;8.8;1
196006;12.2;1
196007;11.7;1
196008;11.4;1
196009;9.6;1
196010;5.5;1
196011;3.4;1
196012;-0.8;1
196101;-0.6;1
196102;4;1
196103;3.9;1
196104;6.4;1
196105;7.6;1
196106;11.2;1
196107;12.3;1
196108;12.5;1
196109;13.2;1
196110;8.1;1
196111;2.7;1
196112;2.4;1
196201;1.5;1
196202;-1;1
196203;0.3;1
196204;4;1
196205;7.1;1
196206;10.4;1
196207;12.3;1
196208;13.3;1
196209;11.2;1
196210;8.8;1
196211;0.9;1
196212;-2;1
196301;-2.3;1
196302;-2.5;1
196303;2.2;1
196304;4.8;1
196305;6.6;1
196306;10.5;1
196307;12.9;1
196308;11.2;1
196309;10.3;1
196310;7.8;1
196311;5.2;1
196312;-0.6;1
196401;-1.3;1
196402;0.1;1
196403;1.7;1
196404;4.6;1
196405;9.6;1
196406;10.8;1
196407;13.7;1
196408;12.2;1
196409;12.6;1
196410;5.1;1
196411;3.6;1
196412;-0.5;1
196501;-0.1;1
196502;-3;1
196503;3;1
196504;4.1;1
196505;7.6;1
196506;10.4;1
196507;11.2;1
