# DONNEES MENSUELLES HOMOGENEISEES de TN : Moyenne mensuelle de la température minimale sous abri (en °C et 1/10) 
# NUM_POSTE= 65304001
# NOM_USUEL= MAUBOURGUET
# LATITUDE (°) = 43.471
# LONGITUDE(°)= 0.043
# ALTITUDE (m) = 176
# NUM_SERIE= MTN165304001
# Amplitude minimale détectable de la série = 0.24
# Période homogénéisée : 195501 201812
# Date(s) de rupture(s) d'homogénéité : 196012 198812 199912
#     Periode homogénéisée  195501 201812  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195501;4.3;1
195502;1.7;1
195503;1.5;1
195504;4.9;1
195505;8.9;1
195506;12.7;1
195507;15;1
195508;14.3;1
195509;11.4;1
195510;6.3;1
195511;0.9;1
195512;3.4;1
195601;1.8;1
195602;-6.8;1
195603;2.5;1
195604;5.3;1
195605;9;1
195606;11;1
195607;12.7;1
195608;13;1
195609;10.7;1
195610;6.1;1
195611;1.1;1
195612;0.5;1
195701;-1.5;1
195702;2.6;1
195703;4.7;1
195704;5.1;1
195705;8.8;1
195706;11.7;1
195707;14.2;1
195708;13.2;1
195709;10.5;1
195710;5.8;1
195711;1.7;1
195712;0.1;1
195801;0.8;1
195802;1.8;1
195803;3.8;1
195804;4.8;1
195805;10.4;1
195806;11.8;1
195807;14.2;1
195808;13.8;1
195809;13.7;1
195810;5.7;1
195811;3.5;1
195812;2.4;1
195901;-0.4;1
195902;-0.8;1
195903;4.2;1
195904;5.6;1
195905;9.8;1
195906;12.3;1
195907;14.9;1
195908;13.5;1
195909;12.8;1
195910;7.8;1
195911;2.4;1
195912;3.2;1
196001;0.5;1
196002;1;1
196003;4.5;1
196004;4.9;1
196005;9.6;1
196006;13.2;1
196007;13.4;1
196008;12.3;1
196009;9.7;1
196010;6.1;1
196011;3.5;1
196012;-0.1;1
196101;0.7;1
196102;3.1;1
196103;1.9;1
196104;7.1;1
196105;8.9;1
196106;12.8;1
196107;14;1
196108;12.9;1
196109;13.4;1
196110;7.9;1
196111;2.1;1
196112;1.2;1
196201;1.9;1
196202;0.3;1
196203;1.7;1
196204;5;1
196205;8.3;1
196206;10.8;1
196207;13.8;1
196208;13.9;1
196209;10.9;1
196210;8.3;1
196211;0.9;1
196212;-1.9;1
196301;-2.8;1
196302;-2.2;1
196303;2.2;1
196304;5.6;1
196305;7.6;1
196306;11.9;1
196307;14.5;1
196308;12.4;1
196309;10.9;1
196310;6.8;1
196311;3.4;1
196312;-1.8;1
196401;-2.8;1
196402;1.8;1
196403;2.6;1
196404;5.9;1
196405;10.1;1
196406;12.1;1
196407;14.6;1
196408;12.9;1
196409;12.6;1
196410;6.8;1
196411;3.6;1
196412;-0.6;1
196501;0.4;1
196502;-1.5;1
196503;3.4;1
196504;6.6;1
196505;9.8;1
196506;11.8;1
196507;12;1
196508;12.5;1
196509;9.2;1
196510;8.1;1
196511;3.2;1
196512;4.3;1
196601;1.7;1
196602;4.4;1
196603;1.3;1
196604;6.8;1
196605;8.7;1
196606;12.4;1
196607;13.4;1
196608;12.4;1
196609;10.8;1
196610;8.5;1
196611;2.1;1
196612;5.1;1
196701;-0.9;1
196702;0.2;1
196703;4.4;1
196704;4.6;1
196705;7.6;1
196706;10.3;1
196707;15.1;1
196708;13.7;1
196709;10.8;1
196710;8.9;1
196711;4.7;1
196712;1;1
196801;1.7;1
196802;1.7;1
196803;2.6;1
196804;5.7;1
196805;7.7;1
196806;11;1
196807;12.7;1
196808;13.8;1
196809;10.7;1
196810;8;1
196811;3.8;1
196812;1.6;1
196901;1;1
196902;-1.2;1
196903;4.2;1
196904;6.7;1
196905;9;1
196906;10.8;1
196907;14.5;1
196908;14.3;1
196909;10.5;1
196910;6.3;1
196911;1.5;1
196912;0.7;1
197001;1.2;1
197002;3.5;1
197003;1.9;1
197004;5.1;1
197005;8.5;1
197006;13.6;1
197007;13.7;1
197008;14.4;1
197009;10.5;1
197010;4.7;1
197011;3.9;1
197012;-0.4;1
197101;0.1;1
197102;0.5;1
197103;0;1
197104;6.6;1
197105;10.4;1
197106;11.4;1
197107;15.3;1
197108;15;1
197109;10.6;1
197110;7.4;1
197111;1;1
197112;0;1
197201;-0.1;1
197202;1.2;1
197203;2.5;1
197204;6.3;1
197205;7;1
197206;10.4;1
197207;12.7;1
197208;12.2;1
197209;8.1;1
