# DONNEES MENSUELLES HOMOGENEISEES de TN : Moyenne mensuelle de la température minimale sous abri (en °C et 1/10) 
# NUM_POSTE= 67498001
# NOM_USUEL= UHRWILLER_SAPC
# LATITUDE (°) = 48.884
# LONGITUDE(°)= 7.582
# ALTITUDE (m) = 217
# NUM_SERIE= MTN167498001
# Amplitude minimale détectable de la série = 0.17
# Période homogénéisée : 195101 202212
# Date(s) de rupture(s) d'homogénéité : 196703 198012 199412 200312
#     Periode homogénéisée  195101 202212  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195101;0.6;1
195102;-0.1;1
195103;-0.4;1
195104;2.4;1
195105;6.9;1
195106;10.7;1
195107;11.1;1
195108;11.8;1
195109;9.5;1
195110;3.6;1
195111;3.4;1
195112;-1.8;1
195201;-1.5;1
195202;-2;1
195203;1.3;1
195204;5;1
195205;7.2;1
195206;10.1;1
195207;12.9;1
195208;11.7;1
195209;6.6;1
195210;3.2;1
195211;0.1;1
195212;-1.6;1
195301;-3.3;1
195302;-2.6;1
195303;-0.7;1
195304;3.4;1
195305;7.2;1
195306;10.7;1
195307;11.9;1
195308;10.2;1
195309;8.4;1
195310;6.2;1
195311;0.8;1
195312;0.8;1
195401;-3.7;1
195402;-4.1;1
195403;1.4;1
195404;2.8;1
195405;6.5;1
195406;11;1
195407;10.5;1
195408;10.9;1
195409;10;1
195410;5;1
195411;0.8;1
195412;2;1
195501;-2.7;1
195502;-2.5;1
195503;-1.1;1
195504;2.3;1
195505;5.6;1
195506;10.4;1
195507;13.3;1
195508;11.3;1
195509;8.8;1
195510;3.3;1
195511;-0.1;1
195512;0.7;1
195601;-1;1
195602;-13.5;1
195603;0.2;1
195604;2.2;1
195605;7.4;1
195606;9.4;1
195607;12.3;1
195608;9.2;1
195609;9.7;1
195610;5.1;1
195611;0.6;1
195612;0.2;1
195701;-3.4;1
195702;1.6;1
195703;3.3;1
195704;3.5;1
195705;5;1
195706;11.4;1
195707;13.3;1
195708;10.6;1
195709;8.7;1
195710;4.2;1
195711;2.7;1
195712;-1.4;1
195801;-2.4;1
195802;0.3;1
195803;-3;1
195804;1.6;1
195805;9.1;1
195806;10;1
195807;12.2;1
195808;13;1
195809;10;1
195810;4.9;1
195811;3.5;1
195812;0;1
195901;-2.4;1
195902;-3.2;1
195903;2.7;1
195904;4.4;1
195905;8.2;1
195906;10.7;1
195907;13.5;1
195908;12.2;1
195909;8.6;1
195910;2.5;1
195911;0.8;1
195912;0.4;1
196001;-2.6;1
196002;-1;1
196003;3.1;1
196004;3.3;1
196005;7.4;1
196006;10.7;1
196007;10.4;1
196008;11.9;1
196009;7.9;1
196010;5.9;1
196011;3.3;1
196012;-0.4;1
196101;-1.1;1
196102;1.8;1
196103;1.7;1
196104;7.2;1
196105;6.9;1
196106;10.4;1
196107;9.7;1
196108;11.7;1
196109;11.9;1
196110;6.5;1
196111;1;1
196112;-1.6;1
196201;0;1
196202;-1.5;1
196203;-2.1;1
196204;4.5;1
196205;5.8;1
196206;8.4;1
196207;10.6;1
196208;11;1
196209;8.3;1
196210;5;1
196211;-0.3;1
196212;-5.6;1
196301;-7.4;1
196302;-7.3;1
196303;-0.8;1
196304;5.3;1
196305;6.9;1
196306;10.8;1
196307;12;1
196308;11.5;1
196309;9.3;1
196310;3.8;1
196311;4.7;1
196312;-5.2;1
196401;-4.3;1
196402;0.2;1
196403;0.3;1
196404;4.4;1
196405;8.1;1
196406;10.9;1
196407;11.9;1
196408;10.6;1
196409;9;1
196410;4.3;1
196411;4;1
196412;-1.8;1
196501;0.1;1
196502;-3.5;1
196503;0.5;1
196504;3.2;1
196505;7.5;1
196506;11;1
196507;11.2;1
196508;10.8;1
196509;7.8;1
196510;3.7;1
196511;0.5;1
196512;1.2;1
196601;-4.8;1
196602;2.6;1
196603;0.1;1
196604;5.2;1
196605;7.8;1
196606;11.5;1
196607;10.5;1
196608;10.9;1
196609;8.8;1
196610;8.1;1
196611;-0.7;1
196612;-0.1;1
196701;-1.1;1
196702;-0.5;1
196703;2;1
196704;1.6;1
196705;6.6;1
196706;9.4;1
196707;12.3;1
196708;11;1
196709;8.6;1
196710;6.7;1
196711;0.6;1
196712;-2.1;1
196801;-2.6;1
196802;-0.6;1
196803;0.6;1
196804;4;1
196805;6.7;1
196806;10.1;1
196807;10.7;1
196808;11.6;1
196809;9.4;1
196810;7.1;1
196811;2;1
196812;-2.4;1
196901;-1;1
196902;-4.2;1
196903;0.6;1
196904;3.8;1
196905;8.1;1
196906;9.8;1
196907;13.2;1
196908;12.1;1
196909;9.3;1
196910;4.9;1
196911;2.1;1
196912;-4.9;1
197001;-2.6;1
197002;-1.3;1
197003;-0.9;1
197004;3.1;1
197005;7.2;1
197006;11.9;1
197007;11.1;1
197008;11.6;1
197009;8.1;1
197010;6.3;1
197011;2.9;1
197012;-1.9;1
197101;-5.2;1
197102;-0.7;1
197103;-2.4;1
197104;3.6;1
197105;9.4;1
197106;9.6;1
197107;11.9;1
197108;12.1;1
197109;6.9;1
197110;3.9;1
197111;0.3;1
197112;0.1;1
197201;-2.4;1
197202;-0.4;1
197203;0.6;1
197204;4.4;1
197205;7.1;1
197206;8.4;1
197207;13.1;1
197208;11.5;1
197209;5.7;1
197210;2.6;1
197211;1.4;1
197212;-2.9;1
197301;-3;1
197302;-1;1
197303;-0.5;1
197304;1.9;1
197305;8;1
197306;11.4;1
197307;12.6;1
197308;12.7;1
197309;9.1;1
197310;4.6;1
197311;0.3;1
197312;-2.2;1
197401;1.4;1
197402;1.5;1
197403;3.6;1
197404;3.8;1
197405;6.6;1
197406;9.1;1
197407;10.2;1
197408;12.3;1
197409;9.2;1
197410;3.6;1
197411;2.3;1
197412;3.4;1
197501;1.7;1
197502;-0.8;1
197503;0.9;1
197504;4;1
197505;7;1
197506;10.3;1
197507;12.7;1
197508;13.2;1
197509;11.4;1
197510;4.9;1
197511;1.5;1
197512;-1.1;1
197601;0.7;1
197602;-0.9;1
197603;-0.9;1
197604;2.6;1
197605;7.5;1
197606;11.4;1
197607;14;1
197608;10.1;1
197609;8.4;1
197610;6.6;1
197611;2.9;1
197612;-2.7;1
197701;0.3;1
197702;2.2;1
197703;3.2;1
197704;2;1
197705;7.5;1
197706;11.1;1
197707;11.9;1
197708;11.7;1
197709;7.7;1
197710;6.6;1
197711;2.6;1
197712;0.4;1
197801;-0.8;1
197802;-2.2;1
197803;2.4;1
197804;2.8;1
197805;7.8;1
197806;9.3;1
197807;11;1
197808;10.1;1
197809;8.2;1
197810;5;1
197811;0.4;1
197812;-0.4;1
197901;-5.6;1
197902;-1;1
197903;2.6;1
197904;2.7;1
197905;6.5;1
197906;11.8;1
197907;11.3;1
197908;10.3;1
197909;8.6;1
197910;6.1;1
197911;1.8;1
197912;2.6;1
198001;-2.8;1
198002;0.1;1
198003;2;1
198004;2.7;1
198005;6.6;1
198006;10.4;1
198007;11.2;1
198008;12.3;1
198009;10;1
198010;4.9;1
198011;0.4;1
198012;-1.9;1
198101;-2.2;1
198102;-2.5;1
198103;4.5;1
198104;4.8;1
198105;7.7;1
198106;11.1;1
198107;12.5;1
198108;12.1;1
198109;9.7;1
198110;5.8;1
198111;2.1;1
198112;-2.4;1
198201;-3.9;1
198202;-2.2;1
198203;0.7;1
198204;1.7;1
198205;6.8;1
198206;12.4;1
198207;14.2;1
198208;12.7;1
198209;10.6;1
198210;7.5;1
198211;3.5;1
198212;1.8;1
198301;2.2;1
198302;-2.5;1
198303;2;1
198304;4.8;1
198305;7.6;1
198306;11.5;1
198307;14.9;1
198308;13.4;1
198309;9;1
198310;5.5;1
198311;0.6;1
198312;-1.7;1
198401;0.2;1
198402;-1.2;1
198403;-1.5;1
198404;2.6;1
198405;6.3;1
198406;9.3;1
198407;11.3;1
198408;12.2;1
198409;10;1
198410;7.2;1
198411;2.9;1
198412;-0.1;1
198501;-7.1;1
198502;-4.7;1
198503;0.4;1
198504;4.5;1
198505;9.1;1
198506;9.3;1
198507;12.5;1
198508;11;1
198509;8.9;1
198510;4;1
198511;-1.6;1
198512;0.7;1
198601;-0.5;1
198602;-6.8;1
198603;0.2;1
198604;3.6;1
198605;9.6;1
198606;11.6;1
198607;11.8;1
198608;11.5;1
198609;7.1;1
198610;5.9;1
198611;2.4;1
198612;0.4;1
198701;-6.1;1
198702;-1.4;1
198703;-1.2;1
198704;3.9;1
198705;5.8;1
198706;10.6;1
198707;13.2;1
198708;12.2;1
198709;12;1
198710;6.5;1
198711;3.3;1
198712;0.4;1
198801;2.2;1
198802;-0.1;1
198803;1.7;1
198804;3.8;1
198805;9.9;1
198806;10.7;1
