# DONNEES MENSUELLES HOMOGENEISEES de TN : Moyenne mensuelle de la température minimale sous abri (en °C et 1/10) 
# NUM_POSTE= 71320001
# NOM_USUEL= MT-ST-VINCENT
# LATITUDE (°) = 46.628
# LONGITUDE(°)= 4.477
# ALTITUDE (m) = 601
# NUM_SERIE= MTN171320001
# Amplitude minimale détectable de la série = 0.24
# Période homogénéisée : 195101 201512
# Date(s) de rupture(s) d'homogénéité : 197812
#     Periode homogénéisée  195101 201512  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195101;0.7;1
195102;0.2;1
195103;0.7;1
195104;4.2;1
195105;6.5;1
195106;10.7;1
195107;13.2;1
195108;12.4;1
195109;11.3;1
195110;5.5;1
195111;4;1
195112;0.9;1
195201;-2.7;1
195202;-3.1;1
195203;3.9;1
195204;6.3;1
195205;8.9;1
195206;12.4;1
195207;15.3;1
195208;14;1
195209;7.6;1
195210;5.8;1
195211;0.5;1
195212;-1.3;1
195301;-4.8;1
195302;-2.5;1
195303;3.3;1
195304;4.9;1
195305;9.4;1
195306;9.8;1
195307;12.4;1
195308;13.6;1
195309;11.1;1
195310;7.7;1
195311;2.5;1
195312;2.7;1
195401;-4.2;1
195402;-3.2;1
195403;2.7;1
195404;2.7;1
195405;7.1;1
195406;10.6;1
195407;10.9;1
195408;11.7;1
195409;10.5;1
195410;7.6;1
195411;3.2;1
195412;1.3;1
195501;-0.1;1
195502;-0.8;1
195503;-0.6;1
195504;4.7;1
195505;6.6;1
195506;11.3;1
195507;13.2;1
195508;13.4;1
195509;10.4;1
195510;5.1;1
195511;1.4;1
195512;2.2;1
195601;-0.2;1
195602;-12;1
195603;1.4;1
195604;2.6;1
195605;9;1
195606;8.5;1
195607;11.8;1
195608;10.7;1
195609;11.4;1
195610;5.3;1
195611;-0.5;1
195612;0.5;1
195701;-1.7;1
195702;2.6;1
195703;4.8;1
195704;4.3;1
195705;5.3;1
195706;11.8;1
195707;12.9;1
195708;11.7;1
195709;9.9;1
195710;6.5;1
195711;1.8;1
195712;-1.8;1
195801;-1.1;1
195802;1.9;1
195803;-1.3;1
195804;2.1;1
195805;9.1;1
195806;10.1;1
195807;12.7;1
195808;13.3;1
195809;12.2;1
195810;5.8;1
195811;0.8;1
195812;-0.2;1
195901;-1.4;1
195902;0;1
195903;4.3;1
195904;4.9;1
195905;8.8;1
195906;11.6;1
195907;15.3;1
195908;13.1;1
195909;12.3;1
195910;7.2;1
195911;1.6;1
195912;0.9;1
196001;-1.8;1
196002;0.5;1
196003;3.2;1
196004;3.9;1
196005;9.5;1
196006;11.9;1
196007;10.8;1
196008;12.2;1
196009;9.1;1
196010;6.1;1
196011;3.8;1
196012;-1.9;1
196101;-0.8;1
196102;3.4;1
196103;3.5;1
196104;7.3;1
196105;6.5;1
196106;11.8;1
196107;12.2;1
196108;12.7;1
196109;14.3;1
196110;7.6;1
196111;1;1
196112;-0.6;1
196201;0.3;1
196202;-2.5;1
196203;-2;1
196204;3.7;1
196205;6.3;1
196206;9.7;1
196207;11.9;1
196208;13.6;1
196209;10.2;1
196210;6.4;1
196211;-0.1;1
196212;-4.9;1
196301;-7.4;1
196302;-6.1;1
196303;1.5;1
196304;5.2;1
196305;6.9;1
196306;10.8;1
196307;13.9;1
196308;11.6;1
196309;11;1
196310;6.8;1
196311;4.9;1
196312;-4.2;1
196401;-3.8;1
196402;0.9;1
196403;0.7;1
196404;5;1
196405;9.6;1
196406;11.7;1
196407;14.7;1
196408;12.6;1
196409;11.6;1
196410;4.6;1
196411;2;1
196412;-2.1;1
196501;-0.2;1
196502;-4.1;1
196503;1.4;1
196504;3.5;1
196505;7.1;1
196506;11;1
196507;11.2;1
196508;12.2;1
196509;8.9;1
196510;7.5;1
196511;1.4;1
196512;1.1;1
196601;-2.7;1
196602;4;1
196603;0.4;1
196604;6.3;1
196605;8.3;1
196606;11.8;1
196607;11.4;1
196608;11.7;1
196609;11.8;1
196610;9.5;1
196611;-0.2;1
196612;0.2;1
196701;-1.1;1
196702;0.5;1
196703;3.1;1
196704;3.4;1
196705;7.3;1
196706;10.1;1
196707;15;1
196708;13.2;1
196709;10.7;1
