# DONNEES MENSUELLES HOMOGENEISEES de TN : Moyenne mensuelle de la température minimale sous abri (en °C et 1/10) 
# NUM_POSTE= 73026001
# NOM_USUEL= AVRIEUX
# LATITUDE (°) = 45.214
# LONGITUDE(°)= 6.717
# ALTITUDE (m) = 1104
# NUM_SERIE= MTN173026001
# Amplitude minimale détectable de la série = 0.19
# Période homogénéisée : 195101 202012
# Date(s) de rupture(s) d'homogénéité : 198112 199312
#     Periode homogénéisée  195101 202012  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195101;-6.1;1
195102;-5.7;1
195103;-3.8;1
195104;0.9;1
195105;4.1;1
195106;8.2;1
195107;9.8;1
195108;9.2;1
195109;8.6;1
195110;2.8;1
195111;0.1;1
195112;-4.5;1
195201;-8.2;1
195202;-8.2;1
195203;-0.7;1
195204;2.3;1
195205;4.4;1
195206;9.3;1
195207;11.2;1
195208;10.1;1
195209;4.5;1
195210;3.1;1
195211;-3.6;1
195212;-5.1;1
195301;-11.6;1
195302;-9.4;1
195303;-3.3;1
195304;1.7;1
195305;5.4;1
195306;7.7;1
195307;10.1;1
195308;10.1;1
195309;7.6;1
195310;4.6;1
195311;-1.8;1
195312;-1.2;1
195401;-9.2;1
195402;-6.7;1
195403;-2.1;1
195404;0.2;1
195405;4.2;1
195406;8;1
195407;7.8;1
195408;7.5;1
195409;7.1;1
195410;2.3;1
195411;-0.7;1
195412;-4.3;1
195501;-3.3;1
195502;-5.3;1
195503;-4.6;1
195504;0.4;1
195505;4.2;1
195506;7.9;1
195507;10.2;1
195508;8.8;1
195509;7;1
195510;1.1;1
195511;-2.1;1
195512;-1.8;1
195601;-3.9;1
195602;-14.6;1
195603;-1.9;1
195604;-0.3;1
195605;4.7;1
195606;6.9;1
195607;9.4;1
195608;8.6;1
195609;8.1;1
195610;1.4;1
195611;-3.5;1
195612;-6.8;1
195701;-7.3;1
195702;-2.1;1
195703;-0.3;1
195704;1.4;1
195705;3.2;1
195706;7.6;1
195707;9.7;1
195708;8.9;1
195709;5.9;1
195710;2.3;1
195711;-1.5;1
195712;-5.6;1
195801;-6.9;1
195802;-2.8;1
195803;-4.4;1
195804;-1;1
195805;6.4;1
195806;7.7;1
195807;10;1
195808;10.8;1
195809;8.3;1
195810;3.4;1
195811;-0.7;1
195812;-4;1
195901;-7;1
195902;-3.3;1
195903;0.8;1
195904;1.3;1
195905;4.5;1
195906;8.3;1
195907;10.6;1
195908;9.2;1
195909;8.2;1
195910;1.6;1
195911;-2.4;1
195912;-3.1;1
