# DONNEES MENSUELLES HOMOGENEISEES de TN : Moyenne mensuelle de la température minimale sous abri (en °C et 1/10) 
# NUM_POSTE= 73034002
# NOM_USUEL= BEAUFORT-SUR-DORON
# LATITUDE (°) = 45.691
# LONGITUDE(°)= 6.569
# ALTITUDE (m) = 1036
# NUM_SERIE= MTN173034002
# Amplitude minimale détectable de la série = 0.2
# Période homogénéisée : 195101 202012
# Date(s) de rupture(s) d'homogénéité : 197712 199512 200212
#     Periode homogénéisée  195101 202012  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195101;-3.9;1
195102;-4.4;1
195103;-3.2;1
195104;1.1;1
195105;5.3;1
195106;8.8;1
195107;10.9;1
195108;10.5;1
195109;9.6;1
195110;4.2;1
195111;1;1
195112;-1.7;1
195201;-6.8;1
195202;-6.6;1
195203;0.4;1
195204;3.5;1
195205;6.5;1
195206;10.8;1
195207;13.2;1
195208;11.5;1
195209;5.5;1
195210;3.6;1
195211;-2.2;1
195212;-3.2;1
195301;-7.8;1
195302;-7;1
195303;-0.9;1
195304;2.7;1
195305;7;1
195306;8.5;1
195307;11;1
195308;11.1;1
195309;9.3;1
195310;6;1
195311;2.2;1
195312;1.3;1
195401;-7.5;1
195402;-5.8;1
195403;-0.6;1
195404;0.7;1
195405;5.3;1
195406;9.1;1
195407;8.8;1
195408;9.2;1
195409;8.2;1
195410;4.9;1
195411;1.7;1
195412;-2.3;1
195501;-1.1;1
195502;-4.4;1
195503;-3.5;1
195504;2.3;1
195505;5.2;1
195506;8.9;1
195507;11;1
195508;10.5;1
195509;7.9;1
195510;3.2;1
195511;-0.4;1
195512;0.4;1
195601;-2.7;1
195602;-14.1;1
195603;-1.2;1
195604;0.4;1
195605;6.5;1
195606;7;1
195607;10.4;1
195608;10;1
195609;9.8;1
195610;3.6;1
195611;-1.8;1
195612;-3.3;1
195701;-3.9;1
195702;-1.1;1
195703;2.5;1
195704;2.4;1
195705;4;1
195706;9.5;1
195707;11.2;1
195708;10.2;1
195709;8.1;1
195710;3.8;1
195711;0.8;1
195712;-2.9;1
195801;-4.7;1
195802;-1.5;1
195803;-4.2;1
195804;-0.5;1
195805;8.1;1
195806;8.3;1
195807;11.1;1
195808;11.6;1
195809;10.8;1
195810;4.5;1
195811;1;1
195812;-1.5;1
195901;-4.8;1
195902;-1;1
195903;2.3;1
195904;2.5;1
195905;6.5;1
195906;9.4;1
195907;13.1;1
195908;10.8;1
195909;10.3;1
195910;4.8;1
195911;0;1
195912;-1.9;1
196001;-4.5;1
196002;-2.1;1
196003;0.8;1
196004;2;1
196005;7;1
196006;10.1;1
196007;9.1;1
196008;9.9;1
196009;6.9;1
196010;3.2;1
196011;1.3;1
196012;-3.8;1
196101;-4.5;1
196102;0;1
196103;0.5;1
196104;4.7;1
196105;4.5;1
196106;10.4;1
196107;10.2;1
196108;10.8;1
196109;12.7;1
196110;5.8;1
196111;0.7;1
196112;-1.6;1
196201;-2.2;1
196202;-5.4;1
196203;-4.4;1
196204;0.9;1
196205;4.5;1
196206;8.8;1
196207;10.4;1
196208;12.1;1
196209;8.9;1
196210;5.2;1
196211;-1.5;1
196212;-6.6;1
196301;-8.5;1
196302;-8.3;1
196303;-1.8;1
196304;2.3;1
196305;5.6;1
196306;9;1
196307;12.3;1
196308;9.8;1
196309;8.8;1
196310;5;1
196311;2.5;1
196312;-3.1;1
196401;-5.4;1
196402;-2;1
196403;-0.9;1
196404;3;1
196405;7.6;1
196406;10;1
196407;12.5;1
196408;11;1
196409;9.1;1
196410;3;1
196411;1.1;1
196412;-3.8;1
196501;-4.5;1
196502;-8.7;1
196503;-2;1
196504;1.2;1
196505;5.7;1
196506;9.7;1
196507;10.1;1
196508;10.2;1
196509;6.7;1
196510;6.4;1
196511;-0.1;1
196512;-2.4;1
196601;-5.9;1
196602;0.5;1
196603;-3.3;1
196604;2.7;1
196605;6.9;1
196606;9.4;1
196607;9.6;1
196608;9.4;1
196609;9.9;1
196610;7.1;1
196611;-2.5;1
196612;-4.1;1
196701;-4.5;1
196702;-2.8;1
196703;0;1
196704;1;1
196705;5.4;1
196706;8.2;1
196707;13.5;1
196708;12;1
196709;8.1;1
196710;7.1;1
196711;1.5;1
196712;-6.1;1
196801;-6.1;1
196802;-2.3;1
196803;-1.4;1
196804;3.9;1
196805;5.3;1
196806;9;1
196807;11.1;1
196808;10.3;1
196809;7.6;1
196810;7;1
196811;1.5;1
196812;-2.7;1
196901;-3.8;1
196902;-6.9;1
196903;-0.7;1
196904;2.1;1
196905;6.6;1
196906;7.6;1
196907;11.5;1
196908;10.9;1
196909;9.7;1
196910;6.7;1
196911;0.1;1
196912;-8;1
197001;-2.6;1
197002;-4.6;1
197003;-5.4;1
197004;-1.7;1
197005;4.5;1
197006;10.5;1
197007;10.8;1
197008;11.3;1
197009;9.7;1
197010;4.3;1
197011;2;1
197012;-4;1
197101;-4;1
197102;-4.5;1
197103;-6.1;1
197104;3.9;1
197105;7.3;1
197106;7.4;1
197107;12.3;1
197108;12.5;1
197109;8.3;1
197110;5.7;1
197111;-1.9;1
197112;-2.2;1
197201;-3.2;1
197202;-1.8;1
197203;0.3;1
197204;1.5;1
197205;5.4;1
197206;8.1;1
197207;10.8;1
197208;10.1;1
197209;5.8;1
197210;3.9;1
197211;1.9;1
197212;-0.4;1
197301;-4.3;1
197302;-6.2;1
197303;-3.2;1
197304;-1.3;1
197305;7.4;1
197306;9.7;1
197307;11.3;1
197308;12.8;1
197309;9;1
197310;3.6;1
197311;0.1;1
197312;-3.4;1
197401;-1.3;1
197402;-1.6;1
197403;1;1
197404;2.3;1
197405;5.6;1
197406;7.9;1
197407;10.6;1
197408;11.7;1
197409;7.2;1
197410;-0.8;1
197411;-0.5;1
197412;-1.5;1
197501;-1.7;1
197502;-2;1
197503;-2.5;1
197504;0.6;1
197505;6.4;1
197506;9;1
197507;11.2;1
197508;12;1
197509;10.1;1
197510;3.7;1
197511;0.1;1
197512;-3.5;1
197601;-3.9;1
197602;-2.1;1
197603;-1.4;1
197604;1.7;1
197605;6.6;1
197606;11;1
197607;11.8;1
197608;10.1;1
197609;6.6;1
197610;5.8;1
197611;-0.8;1
197612;-4;1
197701;-3.3;1
197702;-1.8;1
197703;1.2;1
197704;0.9;1
197705;5.1;1
197706;8.4;1
197707;10.7;1
197708;10.3;1
197709;7.4;1
197710;7;1
197711;-0.3;1
197712;-1.1;1
197801;-4.1;1
197802;-4.1;1
197803;-0.8;1
197804;0.7;1
