# DONNEES MENSUELLES HOMOGENEISEES de TN : Moyenne mensuelle de la température minimale sous abri (en °C et 1/10) 
# NUM_POSTE= 73054001
# NOM_USUEL= BOURG ST MAURICE
# LATITUDE (°) = 45.613
# LONGITUDE(°)= 6.763
# ALTITUDE (m) = 865
# NUM_SERIE= MTN173054001
# Amplitude minimale détectable de la série = 0.19
# Période homogénéisée : 195101 202012
# Date(s) de rupture(s) d'homogénéité : 195209 195912 197205 199504 200903
#     Periode homogénéisée  195101 202012  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195101;-4.5;1
195102;-3;1
195103;-1.4;1
195104;2.6;1
195105;6.3;1
195106;9.5;1
195107;11.6;1
195108;10.8;1
195109;10.2;1
195110;4.4;1
195111;2.7;1
195112;-3.3;1
195201;-6.8;1
195202;-7.4;1
195203;0.9;1
195204;4.7;1
195205;6.4;1
195206;10.6;1
195207;12.7;1
195208;11.2;1
195209;7;1
195210;4.5;1
195211;-1.9;1
195212;-2.8;1
195301;-8.8;1
195302;-6.9;1
195303;-0.7;1
195304;3.7;1
195305;7.5;1
195306;9;1
195307;11.6;1
195308;11.2;1
195309;10.1;1
195310;7.1;1
195311;0.7;1
195312;1.2;1
195401;-7.2;1
195402;-5;1
195403;0.5;1
195404;1.7;1
195405;6;1
195406;9.8;1
195407;9.5;1
195408;9.6;1
195409;8.9;1
195410;4.8;1
195411;1.1;1
195412;-2.8;1
195501;-1;1
195502;-3.8;1
195503;-2.7;1
195504;2.5;1
195505;5.9;1
195506;9.4;1
195507;11.2;1
195508;10.4;1
195509;8.5;1
195510;3.4;1
195511;-0.3;1
195512;0;1
195601;-3.2;1
195602;-12.4;1
195603;0.5;1
195604;1.4;1
195605;6.8;1
195606;7.8;1
195607;10.7;1
195608;10.3;1
195609;10.4;1
195610;3.1;1
195611;-1.5;1
195612;-4.6;1
195701;-4.8;1
195702;-0.8;1
195703;1.6;1
195704;3.7;1
195705;5;1
195706;9.4;1
195707;11.1;1
195708;10.7;1
195709;7.9;1
195710;5;1
195711;0.8;1
195712;-3.3;1
195801;-5.8;1
195802;-2;1
195803;-3.1;1
195804;1;1
195805;8.6;1
195806;9;1
195807;11.5;1
195808;11.9;1
195809;10.3;1
195810;4.6;1
195811;0.6;1
195812;-1.7;1
195901;-4.8;1
195902;-1.8;1
195903;3.4;1
195904;3.1;1
195905;6.9;1
195906;10;1
195907;12.4;1
195908;11.1;1
195909;10.7;1
195910;4.1;1
195911;0;1
195912;-1.5;1
196001;-4.6;1
196002;-1.7;1
196003;1.9;1
196004;2.9;1
196005;7.4;1
196006;10.9;1
196007;10.5;1
196008;10.2;1
196009;7.9;1
196010;5.2;1
196011;1.7;1
196012;-3.3;1
196101;-4.3;1
196102;-1.1;1
196103;-0.1;1
196104;5.6;1
196105;5.7;1
196106;11;1
196107;10.3;1
196108;10.9;1
196109;11.6;1
196110;5.4;1
196111;0.4;1
196112;-1.8;1
196201;-2.6;1
196202;-5.6;1
196203;-2.9;1
196204;2;1
196205;5.6;1
196206;9.3;1
196207;11.4;1
196208;12.3;1
196209;9;1
196210;5.3;1
196211;-0.5;1
196212;-6.6;1
196301;-8.2;1
196302;-7.2;1
196303;-2;1
196304;3.6;1
196305;6;1
196306;9.6;1
196307;12.1;1
196308;10.4;1
196309;9.2;1
196310;4.5;1
196311;2.5;1
196312;-3.9;1
196401;-6.3;1
196402;-2;1
196403;0.3;1
196404;4.1;1
196405;8.3;1
196406;11.1;1
196407;12.3;1
196408;11.4;1
196409;9.2;1
196410;3.9;1
196411;1.5;1
196412;-3.4;1
196501;-3.8;1
196502;-7.9;1
196503;-0.8;1
196504;2;1
196505;6.1;1
196506;9.8;1
196507;10.6;1
196508;10.8;1
196509;7.3;1
196510;5.2;1
196511;0.5;1
196512;-2.4;1
196601;-6.3;1
196602;0.7;1
196603;-1.6;1
196604;3.9;1
196605;7;1
196606;10.2;1
196607;10.5;1
196608;10.3;1
196609;9.7;1
196610;7.9;1
196611;-1.5;1
196612;-4.1;1
196701;-5.5;1
196702;-2.9;1
196703;1;1
196704;1.7;1
196705;6.8;1
196706;8.6;1
196707;12.7;1
196708;11.5;1
196709;8.5;1
196710;6;1
196711;1.6;1
196712;-6;1
196801;-6.2;1
196802;-2;1
196803;-0.4;1
196804;4.1;1
196805;6.7;1
196806;9.7;1
196807;11.3;1
196808;10.5;1
196809;8.4;1
196810;6.4;1
196811;0.8;1
196812;-2.7;1
196901;-4.3;1
196902;-6.1;1
196903;0.6;1
196904;3.1;1
196905;7;1
196906;8.2;1
196907;11.4;1
196908;11.1;1
196909;10.1;1
196910;6.4;1
196911;0.7;1
196912;-8.1;1
197001;-1.8;1
197002;-3.6;1
197003;-3.3;1
197004;0.3;1
197005;5.3;1
197006;10.3;1
197007;10.5;1
197008;11.2;1
197009;9.7;1
197010;4.7;1
197011;1.8;1
197012;-4.3;1
197101;-4.4;1
197102;-3.5;1
197103;-4.1;1
197104;4.6;1
197105;8.2;1
197106;8.6;1
197107;12.1;1
197108;12.8;1
197109;8.6;1
197110;5;1
197111;-1.9;1
197112;-2.8;1
197201;-3.3;1
197202;0.4;1
197203;0.5;1
197204;2.6;1
197205;6;1
197206;9.2;1
197207;11.6;1
197208;10.5;1
197209;6.3;1
197210;4.5;1
197211;1.4;1
197212;-0.6;1
197301;-3.5;1
197302;-5.7;1
197303;-2.3;1
197304;-0.1;1
197305;8;1
197306;10.4;1
197307;11.4;1
197308;12.8;1
197309;9;1
197310;3.7;1
197311;-0.2;1
197312;-3.1;1
197401;-1.2;1
197402;-0.1;1
197403;2.3;1
197404;2.6;1
197405;5.6;1
197406;8.5;1
197407;11;1
197408;12.4;1
197409;8.3;1
197410;0.9;1
197411;0.6;1
197412;-2.4;1
197501;-1;1
197502;-2;1
197503;-0.6;1
197504;2.3;1
197505;6.6;1
197506;8.7;1
197507;11.3;1
197508;12.3;1
197509;11;1
197510;3.6;1
197511;0.4;1
197512;-2.9;1
197601;-4.4;1
197602;-1.6;1
197603;-1;1
197604;2.2;1
197605;7.3;1
197606;10.9;1
197607;12.3;1
197608;10.3;1
197609;7.9;1
197610;6.2;1
197611;-0.5;1
197612;-3.7;1
197701;-2.6;1
197702;-0.5;1
197703;1.9;1
197704;2.4;1
197705;6.8;1
197706;9.4;1
197707;11.4;1
197708;10.4;1
197709;7.8;1
197710;6.7;1
197711;-0.6;1
197712;-1.8;1
197801;-3.3;1
197802;-3.2;1
197803;0.2;1
197804;1.5;1
197805;5.6;1
197806;8.5;1
197807;10.4;1
197808;10;1
197809;7.9;1
197810;3.8;1
197811;-1.3;1
197812;-1.5;1
197901;-4.8;1
197902;-1.7;1
197903;0.6;1
197904;1.7;1
197905;6.1;1
197906;10.7;1
197907;11.4;1
197908;10.6;1
197909;9.2;1
197910;7.7;1
197911;-0.6;1
197912;-1.3;1
198001;-4.3;1
198002;-1.6;1
198003;-0.2;1
198004;1.8;1
198005;6.1;1
198006;8.9;1
198007;10;1
198008;12.6;1
198009;9.4;1
198010;3.9;1
198011;0.4;1
198012;-5.6;1
198101;-7.3;1
198102;-6.6;1
198103;1.5;1
198104;4.3;1
198105;6.5;1
198106;10.2;1
198107;10.4;1
198108;11.3;1
198109;10.7;1
198110;5.1;1
198111;0.3;1
198112;-3.7;1
198201;-0.6;1
198202;-2;1
198203;-1.3;1
198204;1.8;1
198205;6.4;1
198206;11;1
198207;13.4;1
198208;11.7;1
198209;10;1
198210;4.8;1
198211;1.6;1
198212;-2.2;1
198301;-2.3;1
198302;-7.4;1
198303;0.1;1
198304;3.4;1
198305;5.7;1
198306;10.3;1
198307;14.2;1
198308;12.2;1
198309;9.3;1
198310;4.7;1
198311;0.4;1
198312;-2.2;1
198401;-3.5;1
198402;-6.7;1
198403;-3.3;1
198404;1.4;1
198405;5.5;1
198406;8.8;1
198407;11.1;1
198408;11.3;1
198409;7.5;1
198410;4.2;1
198411;4.8;1
198412;-2.1;1
198501;-9;1
198502;-2.3;1
198503;-1.6;1
198504;2.7;1
198505;6.1;1
198506;8.5;1
198507;12.6;1
198508;10.8;1
198509;10;1
198510;5.6;1
198511;-2.2;1
198512;-1.4;1
198601;-4;1
198602;-6.2;1
198603;-0.3;1
198604;2.7;1
198605;8.4;1
198606;10;1
198607;12.2;1
198608;11.6;1
198609;10.4;1
198610;6.3;1
198611;1.2;1
198612;-2.4;1
198701;-7;1
198702;-1.9;1
198703;-1.6;1
198704;3.4;1
198705;5;1
198706;9.3;1
198707;12.9;1
198708;12.3;1
198709;11.1;1
198710;7.6;1
198711;1.3;1
198712;0.8;1
198801;0.4;1
198802;-3.7;1
198803;-1.3;1
198804;4.8;1
198805;9;1
198806;9.8;1
198807;12.1;1
198808;12.1;1
198809;9.1;1
198810;7.8;1
198811;-0.4;1
198812;-2.5;1
198901;-3.4;1
198902;-0.6;1
198903;1.7;1
198904;2.6;1
198905;7.9;1
198906;9.4;1
198907;13.5;1
198908;11.8;1
198909;9.9;1
198910;5.5;1
198911;1.1;1
198912;-1.3;1
199001;-3;1
199002;0.4;1
199003;1.5;1
199004;3.4;1
199005;8.5;1
199006;10.1;1
199007;12.8;1
199008;12.6;1
199009;8.6;1
199010;7.9;1
199011;0.7;1
199012;-4.9;1
199101;-2.8;1
199102;-5.4;1
199103;3.8;1
199104;2.2;1
199105;5;1
199106;10;1
199107;13.2;1
199108;13.2;1
199109;11.7;1
199110;4.5;1
199111;0.4;1
199112;-4.4;1
199201;-4.7;1
199202;-3.1;1
199203;1;1
199204;3.3;1
199205;8.5;1
199206;10.3;1
199207;12.9;1
199208;13.6;1
199209;9.6;1
199210;4.8;1
199211;2.4;1
199212;-1.4;1
199301;-1.7;1
199302;-3.4;1
199303;-0.1;1
199304;4.9;1
199305;8.5;1
199306;11;1
199307;11.6;1
199308;12.7;1
199309;8.9;1
199310;5.1;1
199311;0.5;1
199312;-1.5;1
199401;-2.1;1
199402;-1.4;1
199403;3.3;1
199404;1.9;1
199405;8.4;1
199406;10.7;1
199407;14.4;1
199408;13.4;1
199409;10;1
199410;6.4;1
199411;3.8;1
199412;-0.9;1
199501;-4.4;1
199502;-0.9;1
199503;-1.8;1
199504;3.2;1
199505;6.6;1
199506;9.3;1
199507;14.3;1
199508;12.2;1
199509;7.9;1
199510;6.8;1
199511;0.8;1
199512;-1.1;1
199601;0.4;1
199602;-3.6;1
199603;-0.4;1
199604;4.7;1
199605;7.9;1
199606;11.1;1
199607;11.7;1
199608;11.9;1
199609;6.7;1
199610;5.8;1
199611;0.6;1
199612;-1.2;1
199701;-1.7;1
199702;-1;1
199703;1.4;1
199704;2.4;1
199705;8.2;1
199706;10.7;1
199707;11.6;1
199708;13.3;1
199709;10;1
199710;5.3;1
199711;1.6;1
199712;-0.9;1
199801;-2.8;1
199802;-1.8;1
199803;0.6;1
199804;3.1;1
199805;8.3;1
199806;11.1;1
199807;13.2;1
199808;13;1
199809;9.3;1
199810;5.1;1
199811;-2.2;1
199812;-3.2;1
199901;-2.3;1
199902;-6.2;1
199903;0.7;1
199904;3.6;1
199905;9.8;1
199906;10;1
199907;13.3;1
199908;13.2;1
199909;11;1
199910;6.1;1
199911;-0.8;1
199912;-3.3;1
200001;-5.7;1
200002;-1.5;1
200003;0.7;1
200004;4.5;1
200005;9;1
200006;11.8;1
200007;11.1;1
200008;12.6;1
200009;9.3;1
200010;5.8;1
200011;1.7;1
200012;0.3;1
200101;-1.3;1
200102;-1.1;1
200103;3.5;1
200104;2.6;1
200105;9.6;1
200106;9.6;1
200107;13.1;1
200108;13.3;1
200109;7.3;1
200110;7.7;1
200111;-0.4;1
200112;-5.2;1
200201;-4.3;1
200202;0.4;1
