# DONNEES MENSUELLES HOMOGENEISEES de TN : Moyenne mensuelle de la température minimale sous abri (en °C et 1/10) 
# NUM_POSTE= 74281001
# NOM_USUEL= THONON-INRA
# LATITUDE (°) = 46.367
# LONGITUDE(°)= 6.455
# ALTITUDE (m) = 376
# NUM_SERIE= MTN174281001
# Amplitude minimale détectable de la série = 0.19
# Période homogénéisée : 195101 202012
# Date(s) de rupture(s) d'homogénéité : 198412 200212
#     Periode homogénéisée  195101 202012  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195101;0.4;1
195102;1.5;1
195103;1;1
195104;4.7;1
195105;8.4;1
195106;12.3;1
195107;14.4;1
195108;14.7;1
195109;13;1
195110;8.1;1
195111;4.4;1
195112;0.7;1
195201;-1.8;1
195202;-1.9;1
195203;3.4;1
195204;6.7;1
195205;9.5;1
195206;13.9;1
195207;16.6;1
195208;14.7;1
195209;9.8;1
195210;7.2;1
195211;2.2;1
195212;0.7;1
195301;-3.1;1
195302;-1.8;1
195303;1.8;1
195304;6;1
195305;9.5;1
195306;12.1;1
195307;14.7;1
195308;13.6;1
195309;11.5;1
195310;8.1;1
195311;1.9;1
195312;1.3;1
195401;-3.4;1
195402;-2.8;1
195403;1.8;1
195404;3.1;1
195405;7.7;1
195406;13.1;1
195407;13.1;1
195408;13.5;1
195409;12.6;1
195410;8;1
195411;4.2;1
195412;1.8;1
195501;0.7;1
195502;-0.2;1
195503;0.2;1
195504;4.4;1
195505;8.4;1
195506;12.6;1
195507;14.7;1
195508;14.1;1
195509;12.1;1
195510;6.5;1
195511;2.4;1
195512;2.6;1
195601;1.2;1
195602;-9.4;1
195603;1.1;1
195604;3.4;1
195605;9;1
195606;10.6;1
195607;14;1
195608;13.3;1
195609;12.9;1
195610;6.5;1
195611;2.2;1
195612;0.4;1
195701;-2.4;1
195702;2.5;1
195703;4.1;1
195704;4.9;1
195705;6.6;1
195706;12.8;1
195707;14.5;1
195708;14;1
195709;11.6;1
195710;6.8;1
195711;4.4;1
195712;0;1
195801;-0.7;1
195802;1.2;1
195803;-0.6;1
195804;2.8;1
195805;10.6;1
195806;11.8;1
195807;14.8;1
195808;15.1;1
195809;14.2;1
195810;7.9;1
195811;3.2;1
195812;2.3;1
195901;-0.9;1
195902;-0.4;1
195903;4.2;1
195904;5.6;1
195905;9.5;1
195906;13.4;1
195907;16.3;1
195908;14.4;1
195909;13.4;1
195910;7.9;1
195911;2.5;1
195912;2.1;1
196001;-0.8;1
196002;0.6;1
196003;3.7;1
196004;5.1;1
196005;9.9;1
196006;13.7;1
196007;12.9;1
196008;14;1
196009;10.8;1
196010;7.4;1
196011;4.7;1
196012;0.6;1
196101;0.2;1
196102;2.2;1
196103;2.9;1
196104;7.8;1
196105;8.5;1
196106;13.3;1
196107;13.7;1
196108;14;1
196109;14.6;1
196110;9;1
196111;3.2;1
196112;1;1
196201;1.2;1
196202;-0.2;1
196203;-0.3;1
196204;4.5;1
196205;7.5;1
196206;11.1;1
196207;13.8;1
196208;15.7;1
196209;11.8;1
196210;8.1;1
196211;1.8;1
196212;-2.3;1
196301;-5.3;1
196302;-4;1
196303;1.2;1
196304;5.6;1
196305;8.7;1
196306;12.6;1
196307;15.4;1
196308;13.5;1
196309;12.2;1
196310;7.7;1
196311;5.7;1
196312;-1.9;1
196401;-2.4;1
196402;1;1
196403;1.8;1
196404;6.1;1
196405;10.2;1
196406;13.5;1
196407;15.8;1
196408;14.6;1
196409;12.3;1
196410;7.2;1
196411;4.7;1
196412;0.1;1
196501;-0.5;1
196502;-3.4;1
196503;1.5;1
