# DONNEES MENSUELLES HOMOGENEISEES de TN : Moyenne mensuelle de la température minimale sous abri (en °C et 1/10) 
# NUM_POSTE= 76302002
# NOM_USUEL= GODERVILLE
# LATITUDE (°) = 49.642
# LONGITUDE(°)= 0.368
# ALTITUDE (m) = 118
# NUM_SERIE= MTN176302002
# Amplitude minimale détectable de la série = 0.18
# Période homogénéisée : 196001 202212
# Date(s) de rupture(s) d'homogénéité : 197112 199112 199712
#     Periode homogénéisée  196001 202212  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
196001;1.5;1
196002;1.3;1
196003;3.3;1
196004;5.5;1
196005;8.1;1
196006;10.7;1
196007;12.1;1
196008;11.5;1
196009;9.8;1
196010;8.3;1
196011;6.3;1
196012;2;1
196101;1.4;1
196102;4.2;1
196103;3.5;1
196104;7.2;1
196105;6.5;1
196106;9.7;1
196107;11.3;1
196108;10.9;1
196109;12.3;1
196110;7.9;1
196111;3.9;1
196112;0.8;1
196201;2.9;1
196202;1.1;1
196203;-0.5;1
196204;4.7;1
196205;7.2;1
196206;9.1;1
196207;11.7;1
196208;11.7;1
196209;9.2;1
196210;7;1
196211;3.6;1
196212;-1;1
196301;-5.2;1
196302;-3.9;1
196303;3.1;1
196304;4.6;1
196305;6.5;1
196306;10.5;1
196307;11.6;1
196308;11.6;1
196309;11;1
196310;7.4;1
196311;6.4;1
196312;-1.7;1
196401;-0.8;1
196402;2.6;1
196403;2;1
196404;5.4;1
196405;9;1
196406;10.3;1
196407;11.5;1
196408;12.3;1
196409;10.6;1
196410;5.6;1
196411;4.6;1
196412;1.1;1
196501;1.5;1
196502;-0.8;1
196503;1.4;1
196504;4.5;1
196505;8;1
196506;9.2;1
196507;10.8;1
196508;11.2;1
196509;8.8;1
196510;6.4;1
196511;2.7;1
196512;3.4;1
196601;-0.2;1
196602;5.6;1
196603;3.3;1
196604;6.7;1
196605;7.8;1
196606;11.6;1
196607;11.5;1
196608;10.7;1
196609;10.4;1
196610;8.6;1
196611;3.1;1
196612;4;1
196701;2;1
196702;2.2;1
196703;4.6;1
196704;4.1;1
196705;7.2;1
196706;9.3;1
196707;11.9;1
196708;11.9;1
196709;11.3;1
196710;8.6;1
196711;3.2;1
196712;1.3;1
196801;1.1;1
196802;-0.2;1
196803;3.1;1
196804;3.8;1
196805;4.8;1
196806;10.3;1
196807;10.8;1
196808;12.1;1
196809;9.5;1
196810;8.6;1
196811;2.2;1
196812;0.1;1
196901;3.2;1
196902;-0.5;1
196903;2.2;1
196904;3.4;1
196905;7.3;1
196906;9.8;1
196907;12.4;1
196908;12.7;1
196909;11.3;1
196910;8.4;1
196911;4.3;1
196912;0;1
197001;1.2;1
197002;0.9;1
197003;2;1
197004;3.7;1
197005;8.5;1
197006;11.4;1
197007;10.7;1
197008;11.6;1
197009;9.8;1
197010;6.9;1
197011;5.5;1
197012;0.9;1
197101;0.4;1
197102;1.3;1
197103;0.2;1
197104;3.8;1
197105;8;1
197106;9.5;1
197107;12.3;1
197108;12.6;1
197109;9.4;1
197110;6.3;1
197111;3.4;1
197112;2.1;1
197201;0.5;1
197202;1.7;1
197203;3;1
197204;5.3;1
197205;7.2;1
197206;7.9;1
197207;11.3;1
197208;10.8;1
197209;8.2;1
197210;6.3;1
