# DONNEES MENSUELLES HOMOGENEISEES de TN : Moyenne mensuelle de la température minimale sous abri (en °C et 1/10) 
# NUM_POSTE= 81124001
# NOM_USUEL= LACAUNE
# LATITUDE (°) = 43.708
# LONGITUDE(°)= 2.704
# ALTITUDE (m) = 811
# NUM_SERIE= MTN181124001
# Amplitude minimale détectable de la série = 0.21
# Période homogénéisée : 195101 201812
# Date(s) de rupture(s) d'homogénéité : 197012 199012 199212
#     Periode homogénéisée  195101 201812  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195101;0.5;1
195102;-0.5;1
195103;1.1;1
195104;3.7;1
195105;5.9;1
195106;10.7;1
195107;11;1
195108;11.9;1
195109;10.7;1
195110;5.4;1
195111;3.7;1
195112;1.5;1
195201;-3.2;1
195202;-3.1;1
195203;3.1;1
195204;4.8;1
195205;7.6;1
195206;11.5;1
195207;13.2;1
195208;13.2;1
195209;7.3;1
195210;6.8;1
195211;1;1
195212;-0.2;1
195301;-5.5;1
195302;-5.8;1
195303;-2.9;1
195304;3.2;1
195305;7.7;1
195306;9.4;1
195307;11.5;1
195308;11.5;1
195309;9.6;1
195310;6.8;1
195311;2.3;1
195312;3.9;1
195401;-3.8;1
195402;-2.3;1
195403;1.6;1
195404;2.5;1
195405;6.5;1
195406;9.3;1
195407;9.1;1
195408;10.6;1
195409;9.8;1
195410;6.3;1
195411;3.7;1
195412;0.8;1
195501;3.2;1
195502;-1.1;1
195503;-1;1
195504;2.1;1
195505;5.5;1
195506;10.1;1
195507;12.2;1
195508;10.2;1
195509;8.9;1
195510;3.8;1
195511;0.9;1
195512;1.7;1
195601;-0.3;1
195602;-12.7;1
195603;0.4;1
195604;2.4;1
195605;7.1;1
195606;7.9;1
195607;10.3;1
195608;10;1
195609;9.5;1
195610;5;1
195611;0.3;1
195612;1;1
195701;-2.8;1
195702;1.4;1
195703;2.7;1
195704;2.6;1
195705;4.6;1
195706;9.2;1
195707;11.1;1
195708;13.9;1
195709;8.6;1
195710;4.6;1
195711;0.8;1
195712;-1.9;1
195801;-1.2;1
195802;-0.1;1
195803;0.1;1
195804;1.4;1
195805;7.6;1
195806;9.3;1
195807;10.9;1
195808;11.6;1
195809;12.3;1
195810;5;1
195811;1.9;1
195812;0.8;1
195901;-2.2;1
195902;0.3;1
195903;3.5;1
195904;3.5;1
195905;6.6;1
195906;9.7;1
195907;11.4;1
195908;9.6;1
195909;11.9;1
195910;6.5;1
195911;1.1;1
195912;0.8;1
196001;-2.8;1
196002;-0.8;1
196003;2.1;1
196004;1.6;1
196005;6.3;1
196006;10.5;1
196007;10.3;1
196008;11.4;1
196009;7.5;1
196010;3.9;1
196011;1.6;1
196012;-1.3;1
196101;1.1;1
196102;4.4;1
196103;0.4;1
196104;6.3;1
196105;5.9;1
196106;11.8;1
196107;11.1;1
196108;10.3;1
196109;10.8;1
196110;6;1
196111;1.9;1
196112;-0.2;1
196201;0.6;1
196202;-1.6;1
196203;-1.6;1
196204;2.6;1
196205;4.1;1
196206;7.6;1
196207;9;1
196208;11.3;1
196209;7.5;1
196210;6.8;1
196211;-0.4;1
196212;-2.8;1
196301;-4.8;1
196302;-6;1
196303;0.6;1
196304;3.2;1
196305;5.4;1
196306;9.3;1
196307;12.3;1
196308;10.4;1
196309;9.8;1
196310;4.9;1
196311;3.8;1
196312;-1;1
196401;-0.9;1
196402;-0.2;1
196403;0.5;1
196404;3.6;1
196405;8.3;1
196406;8.8;1
196407;11.6;1
196408;11;1
196409;9.2;1
196410;4.1;1
196411;1.2;1
196412;-1.7;1
196501;-2.3;1
196502;-4.6;1
196503;1.1;1
196504;3.1;1
196505;5.8;1
196506;9.4;1
196507;10.2;1
196508;9.8;1
196509;8.5;1
196510;9.3;1
196511;2.1;1
196512;1.1;1
196601;-0.8;1
196602;2.6;1
196603;-0.2;1
196604;4.7;1
196605;6.2;1
196606;10;1
196607;9.8;1
196608;11;1
196609;9.7;1
196610;8;1
196611;-0.8;1
196612;0.5;1
196701;-2.3;1
196702;-0.4;1
196703;2;1
196704;2.1;1
196705;5.9;1
196706;8.4;1
196707;13.1;1
196708;11;1
196709;9.1;1
196710;8.1;1
196711;3.8;1
196712;-4.9;1
196801;-2;1
196802;-0.4;1
196803;0.7;1
196804;3.9;1
196805;5.2;1
196806;9;1
196807;11.3;1
196808;11.2;1
196809;8.3;1
196810;5.9;1
196811;2;1
196812;-0.2;1
196901;-0.2;1
196902;-3.5;1
196903;1.7;1
196904;3.4;1
196905;7;1
196906;8.9;1
196907;11.5;1
196908;12.3;1
196909;9.3;1
196910;8;1
196911;2.3;1
196912;-3.5;1
197001;0.8;1
197002;0.5;1
197003;-1.3;1
