# DONNEES MENSUELLES HOMOGENEISEES de TN : Moyenne mensuelle de la température minimale sous abri (en °C et 1/10) 
# NUM_POSTE= 83069001
# NOM_USUEL= HYERES
# LATITUDE (°) = 43.094
# LONGITUDE(°)= 6.146
# ALTITUDE (m) = 2
# NUM_SERIE= MTN183069001
# Amplitude minimale détectable de la série = 0.18
# Période homogénéisée : 195901 201912
# Date(s) de rupture(s) d'homogénéité : 196212 197912 198904 200903
#     Periode homogénéisée  195901 201912  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195901;4.5;1
195902;3.2;1
195903;7.8;1
195904;8.1;1
195905;10.9;1
195906;14.6;1
195907;16.9;1
195908;16;1
195909;15.7;1
195910;11.6;1
195911;6.1;1
195912;6.6;1
196001;4.7;1
196002;5.7;1
196003;8.3;1
196004;7.5;1
196005;10.6;1
196006;14.8;1
196007;16.1;1
196008;15.8;1
196009;13.4;1
196010;11.1;1
196011;7.4;1
196012;4;1
196101;4;1
196102;4.8;1
196103;5.2;1
196104;9.9;1
196105;11.4;1
196106;14.7;1
196107;16.7;1
196108;15.2;1
196109;15;1
196110;12.6;1
196111;7.9;1
196112;5.7;1
196201;5.8;1
196202;3;1
196203;5.1;1
196204;8;1
196205;10.3;1
196206;14.2;1
196207;15.9;1
196208;15.8;1
196209;14.6;1
196210;12;1
196211;6.4;1
196212;2.4;1
196301;1.5;1
196302;2.2;1
196303;5.6;1
196304;8.3;1
196305;11;1
196306;13.8;1
196307;18.2;1
196308;16.7;1
196309;15.2;1
196310;10.9;1
196311;9.7;1
196312;4.2;1
196401;3;1
196402;5;1
196403;7.1;1
196404;8.3;1
196405;11.8;1
196406;15.6;1
196407;16.5;1
196408;16.7;1
196409;15.3;1
196410;10.5;1
196411;7.4;1
196412;4;1
196501;3.6;1
196502;1;1
196503;5.2;1
196504;7.7;1
196505;10.2;1
196506;13.2;1
196507;15.9;1
196508;15.7;1
196509;13.1;1
196510;13.3;1
196511;7.7;1
196512;6;1
196601;4.2;1
196602;7.2;1
196603;5.2;1
196604;9.5;1
196605;11.7;1
196606;15.6;1
196607;15.5;1
196608;15.4;1
196609;14.3;1
196610;13.5;1
196611;5.7;1
196612;4.6;1
196701;3.2;1
196702;6;1
196703;6.8;1
196704;7.6;1
196705;11.1;1
196706;12.8;1
196707;17;1
196708;17.1;1
196709;13.6;1
196710;11.8;1
196711;8.7;1
196712;2.8;1
196801;3.6;1
196802;5.4;1
196803;5.6;1
196804;7.5;1
196805;10.9;1
196806;13.6;1
196807;16.2;1
196808;15.4;1
196809;13.7;1
196810;12;1
196811;7.9;1
196812;5.4;1
196901;4;1
196902;2.7;1
196903;7;1
196904;9.7;1
196905;11.1;1
196906;12.8;1
196907;16.1;1
196908;17;1
196909;14.5;1
196910;12.1;1
196911;7.1;1
196912;2.3;1
197001;5.3;1
197002;6.4;1
197003;4.4;1
197004;7.3;1
197005;10.3;1
197006;15.2;1
197007;15.8;1
197008;16.5;1
197009;14.6;1
197010;11.3;1
197011;7.8;1
197012;3;1
197101;2.5;1
197102;3.4;1
197103;2.5;1
197104;9.1;1
197105;11;1
197106;13.1;1
197107;15.7;1
197108;18.1;1
197109;14.7;1
197110;10.6;1
197111;5.7;1
197112;4.7;1
197201;5.1;1
197202;7.2;1
197203;6.5;1
197204;8;1
197205;8.8;1
197206;13.6;1
197207;15.7;1
197208;14.9;1
197209;12.8;1
197210;10.4;1
197211;9.1;1
197212;5.2;1
197301;3.9;1
197302;3.2;1
197303;3.6;1
197304;5.9;1
197305;10.9;1
197306;14.3;1
197307;16.7;1
197308;17.7;1
197309;14.6;1
197310;10.1;1
197311;7.5;1
197312;4.6;1
197401;5.7;1
197402;6.2;1
197403;6.9;1
197404;7.5;1
197405;10;1
197406;13.8;1
197407;16.3;1
197408;15.9;1
197409;13.5;1
197410;6.9;1
197411;7;1
197412;4.7;1
197501;6.4;1
197502;4.4;1
197503;4.7;1
197504;6.4;1
197505;9.5;1
197506;13.3;1
197507;15.9;1
197508;17.2;1
197509;15.2;1
197510;9.2;1
197511;7.1;1
197512;4.4;1
197601;3.4;1
197602;5.7;1
197603;4.3;1
197604;7.1;1
197605;10.5;1
197606;14.8;1
197607;16.7;1
197608;15.1;1
197609;13.2;1
197610;10.6;1
197611;5.5;1
197612;5.6;1
197701;5.7;1
197702;6.4;1
197703;6.9;1
197704;8;1
197705;10.9;1
197706;13.7;1
197707;16;1
197708;15.2;1
197709;13.2;1
197710;13.4;1
197711;7.7;1
197712;4.9;1
197801;4;1
197802;4.9;1
197803;7;1
197804;7.6;1
197805;10.5;1
197806;13.6;1
197807;15;1
197808;15.9;1
197809;13.9;1
197810;9.1;1
197811;5.3;1
197812;6;1
197901;4.3;1
197902;6.1;1
197903;6.5;1
197904;7.4;1
197905;9.3;1
197906;14.3;1
197907;16.3;1
197908;16.6;1
197909;13.6;1
197910;12.4;1
197911;6.1;1
197912;5.3;1
198001;4.6;1
198002;5.9;1
198003;5.6;1
198004;6.3;1
198005;10;1
198006;14.4;1
198007;14.7;1
198008;17.1;1
198009;15;1
198010;9.8;1
198011;6.3;1
198012;2.6;1
198101;2.6;1
