# DONNEES MENSUELLES HOMOGENEISEES de TN : Moyenne mensuelle de la température minimale sous abri (en °C et 1/10) 
# NUM_POSTE= 84003002
# NOM_USUEL= APT-VITON
# LATITUDE (°) = 43.881
# LONGITUDE(°)= 5.414
# ALTITUDE (m) = 242
# NUM_SERIE= MTN184003002
# Amplitude minimale détectable de la série = 0.21
# Période homogénéisée : 195601 201912
# Date(s) de rupture(s) d'homogénéité : 197212 198812
#     Periode homogénéisée  195601 201912  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195601;1;1
195602;-10.4;1
195603;1.8;1
195604;3.2;1
195605;7.8;1
195606;8.4;1
195607;11.6;1
195608;12.6;1
195609;11.9;1
195610;5.4;1
195611;-0.6;1
195612;-1.8;1
195701;-3.6;1
195702;1.8;1
195703;3;1
195704;4.7;1
195705;6.6;1
195706;11;1
195707;12.1;1
195708;11.4;1
195709;8.1;1
195710;5.2;1
195711;2.2;1
195712;-0.6;1
195801;-2;1
195802;0.2;1
195803;-0.9;1
195804;2.8;1
195805;9.5;1
195806;9.9;1
195807;12.7;1
195808;13.7;1
195809;12;1
195810;6.7;1
195811;2.2;1
195812;0.3;1
195901;-1.5;1
195902;-1;1
195903;4.5;1
195904;4.4;1
195905;7.8;1
195906;11.2;1
195907;14;1
195908;12.3;1
195909;12.6;1
195910;7;1
195911;1.3;1
195912;1.3;1
196001;-2.6;1
196002;0.6;1
196003;3.5;1
196004;3.3;1
196005;8.1;1
196006;12.2;1
196007;12.6;1
196008;12.1;1
196009;9.4;1
196010;7;1
196011;3;1
196012;-1.3;1
196101;-1.8;1
196102;1.5;1
196103;0.4;1
196104;6.5;1
196105;7.6;1
196106;11.3;1
196107;12.4;1
196108;11.7;1
196109;12.6;1
196110;7.9;1
196111;2.5;1
196112;-0.2;1
196201;0.9;1
196202;-2;1
196203;-0.6;1
196204;4.6;1
196205;6.5;1
196206;9.9;1
196207;11.9;1
196208;12.4;1
196209;10;1
196210;7.5;1
196211;0.8;1
196212;-4.1;1
196301;-5.2;1
196302;-4.7;1
196303;1.2;1
196304;4.2;1
196305;6.6;1
196306;11.2;1
196307;13.2;1
196308;10.8;1
196309;10.3;1
196310;5.6;1
196311;5.6;1
196312;-1.7;1
196401;-3.3;1
196402;-0.6;1
196403;2;1
196404;4.6;1
196405;9.4;1
196406;11.8;1
196407;13.5;1
196408;12.6;1
196409;11.3;1
196410;4.7;1
196411;1.8;1
196412;-0.6;1
196501;-1.2;1
196502;-5;1
196503;1.6;1
196504;4.3;1
196505;7.4;1
196506;10.8;1
196507;11.6;1
196508;11.9;1
196509;9.3;1
196510;9.4;1
196511;2.8;1
196512;0;1
196601;-1.5;1
196602;3.3;1
196603;0.5;1
196604;5.5;1
196605;8.2;1
196606;11.5;1
196607;11.8;1
196608;11.4;1
196609;10.9;1
196610;9.7;1
196611;-0.1;1
196612;-1.3;1
196701;-1.9;1
196702;-0.5;1
196703;3.4;1
196704;3.9;1
196705;8.1;1
196706;9.3;1
196707;13.4;1
196708;12.9;1
196709;10.4;1
196710;8.4;1
196711;3.8;1
196712;-3.6;1
196801;-3;1
196802;1.8;1
196803;1.3;1
196804;4.5;1
196805;6.8;1
196806;9.4;1
196807;11.5;1
196808;10.6;1
196809;9.3;1
196810;7.5;1
196811;2.9;1
196812;0.4;1
196901;-1.4;1
196902;-3;1
196903;2;1
196904;3.7;1
196905;7.3;1
196906;8.1;1
196907;12.2;1
196908;11.9;1
196909;10.5;1
196910;7.4;1
196911;1.6;1
196912;-4.8;1
197001;1.5;1
197002;-1;1
197003;-0.2;1
197004;2.7;1
197005;6;1
197006;12.7;1
197007;12;1
197008;12.6;1
197009;10.9;1
197010;6.3;1
197011;3.2;1
197012;-2.4;1
197101;-1.5;1
197102;-1.6;1
197103;-2.3;1
197104;6.6;1
197105;8.6;1
197106;9.6;1
197107;12.5;1
197108;14;1
197109;9.6;1
197110;6.3;1
197111;-0.1;1
197112;-0.6;1
197201;0.6;1
197202;2.4;1
197203;3;1
197204;3.6;1
197205;5.7;1
197206;8.9;1
197207;10.6;1
197208;10;1
197209;7.4;1
197210;6.4;1
197211;3.7;1
197212;1;1
197301;-1.3;1
197302;-2.8;1
197303;-1.6;1
197304;0.6;1
197305;8.4;1
197306;11.4;1
197307;12.2;1
197308;14.1;1
197309;10.6;1
197310;5.1;1
197311;1.7;1
197312;-1.5;1
197401;1.5;1
197402;1.3;1
197403;4;1
197404;3.8;1
197405;6.6;1
197406;9.6;1
197407;11.8;1
197408;13;1
197409;9.8;1
197410;1.3;1
197411;2.4;1
197412;0.4;1
197501;0.5;1
197502;0.2;1
197503;0;1
197504;3;1
197505;6.5;1
197506;10;1
197507;12.1;1
197508;14.1;1
197509;12.2;1
197510;4;1
197511;2.2;1
197512;-0.8;1
197601;-2.9;1
197602;1.3;1
197603;-0.3;1
197604;3.2;1
197605;7.1;1
197606;11.4;1
197607;12.8;1
197608;11.8;1
197609;9.7;1
197610;7.6;1
197611;0.4;1
197612;0.7;1
197701;0.3;1
197702;1.6;1
197703;2.8;1
197704;3.2;1
197705;7.2;1
197706;10.5;1
197707;11.9;1
197708;11.8;1
197709;8.3;1
197710;9.6;1
197711;2.1;1
197712;0.8;1
197801;-1.3;1
197802;0;1
197803;1.8;1
197804;3.3;1
197805;6.9;1
197806;9.8;1
197807;11.3;1
197808;11.3;1
197809;8.6;1
197810;4.1;1
197811;0.8;1
197812;0.9;1
197901;-1.6;1
197902;0.4;1
197903;1.8;1
197904;2.4;1
197905;7.1;1
197906;11.1;1
197907;12.1;1
197908;12.7;1
197909;9.9;1
197910;9.3;1
197911;0.2;1
197912;0.3;1
198001;-0.9;1
198002;1.4;1
198003;0.6;1
198004;2.8;1
198005;6.1;1
198006;9.3;1
198007;10.8;1
198008;13.2;1
198009;11.2;1
198010;5.5;1
198011;1.9;1
198012;-4;1
198101;-3.1;1
198102;-3.3;1
198103;3.2;1
198104;5.5;1
198105;7.5;1
