# DONNEES MENSUELLES HOMOGENEISEES de TN : Moyenne mensuelle de la température minimale sous abri (en °C et 1/10) 
# NUM_POSTE= 85152001
# NOM_USUEL= LA MOTHE ACHARD
# LATITUDE (°) = 46.621
# LONGITUDE(°)= -1.633
# ALTITUDE (m) = 58
# NUM_SERIE= MTN185152001
# Amplitude minimale détectable de la série = 0.13
# Période homogénéisée : 195601 202112
# Date(s) de rupture(s) d'homogénéité : 196812 198706 198912 200903
#     Periode homogénéisée  195601 202112  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195601;3.5;1
195602;-6;1
195603;3.8;1
195604;3.6;1
195605;8.4;1
195606;9.8;1
195607;13.2;1
195608;11.5;1
195609;13.2;1
195610;8.2;1
195611;3.5;1
195612;5.3;1
195701;1.3;1
195702;6;1
195703;7.8;1
195704;5.6;1
195705;7.4;1
195706;11.7;1
195707;13.9;1
195708;12.9;1
195709;11.2;1
195710;8.7;1
195711;3.9;1
195712;2.5;1
195801;3.4;1
195802;4.8;1
195803;3.5;1
195804;5;1
195805;9.3;1
195806;11.2;1
195807;13.2;1
195808;13.6;1
195809;13.5;1
195810;9.3;1
195811;4.5;1
195812;4;1
195901;2;1
195902;1.9;1
195903;5.8;1
195904;6.9;1
195905;9.7;1
195906;11.6;1
195907;13.5;1
195908;13.5;1
195909;12.4;1
195910;9.6;1
195911;6.3;1
195912;5.9;1
196001;2.4;1
196002;2.5;1
196003;6.3;1
196004;5.8;1
196005;9.5;1
196006;12.7;1
196007;12.9;1
196008;13.2;1
196009;10.7;1
196010;9.2;1
196011;7.9;1
196012;2.3;1
196101;3.2;1
196102;6;1
196103;3.2;1
196104;8.6;1
196105;8.8;1
196106;11.4;1
196107;13.3;1
196108;11.7;1
196109;14.5;1
196110;10.7;1
196111;5.8;1
196112;4.4;1
196201;4;1
196202;2.2;1
196203;1.4;1
196204;6;1
196205;8;1
196206;10.1;1
196207;13;1
196208;13.3;1
196209;10.9;1
196210;9;1
196211;4.1;1
196212;0.7;1
196301;-3.6;1
196302;-1.6;1
196303;5.6;1
196304;6.3;1
196305;8;1
196306;11.8;1
196307;12.6;1
196308;12.9;1
196309;12.2;1
196310;9.1;1
196311;8.2;1
196312;-0.5;1
196401;-0.8;1
196402;3.2;1
196403;4.1;1
196404;6;1
196405;10.1;1
196406;11.6;1
196407;13.4;1
196408;13;1
196409;13.5;1
196410;7.3;1
196411;4.4;1
196412;1.9;1
196501;2.7;1
196502;-0.6;1
196503;4.2;1
196504;5.8;1
196505;9.1;1
196506;11.2;1
196507;11.3;1
196508;12.5;1
196509;10.3;1
196510;10;1
196511;6.5;1
196512;6;1
196601;4.1;1
196602;7.8;1
196603;3.2;1
196604;8.2;1
196605;8.7;1
196606;12.6;1
196607;12;1
196608;12.5;1
196609;11.7;1
196610;10.2;1
196611;3.2;1
196612;5.2;1
196701;3.1;1
196702;3.6;1
196703;4.4;1
196704;4.7;1
196705;8.1;1
196706;10.9;1
196707;13.1;1
196708;12.8;1
196709;11;1
196710;10.6;1
196711;5.9;1
196712;2.6;1
196801;3.7;1
196802;2.9;1
196803;4;1
196804;5;1
196805;6.8;1
196806;11.7;1
196807;12.6;1
196808;13.8;1
196809;12.2;1
196810;11.1;1
196811;6.2;1
196812;3.7;1
196901;4.3;1
196902;0.8;1
196903;4.5;1
196904;6.5;1
196905;9.4;1
196906;10.9;1
196907;13.7;1
196908;13.4;1
196909;12.7;1
196910;9.9;1
196911;5.9;1
196912;2.2;1
197001;3.3;1
197002;3.9;1
197003;2.4;1
197004;4.8;1
197005;7.7;1
197006;13.1;1
197007;12.3;1
197008;14.3;1
197009;12.8;1
197010;7.3;1
197011;8;1
197012;0.6;1
197101;2.5;1
197102;1.6;1
197103;1;1
197104;7.3;1
197105;9.8;1
197106;11;1
197107;15.1;1
197108;13.9;1
197109;11.9;1
197110;8.2;1
197111;3.1;1
197112;3.1;1
197201;2.3;1
197202;4.2;1
197203;5.2;1
197204;6.4;1
197205;8.4;1
197206;9.6;1
197207;13.1;1
197208;11.8;1
197209;8.7;1
197210;8;1
197211;5.6;1
197212;4.5;1
197301;2;1
197302;2.3;1
197303;1.7;1
197304;3.6;1
197305;10.2;1
197306;11.5;1
197307;13.7;1
197308;15.1;1
197309;12.8;1
197310;7.7;1
197311;4.6;1
197312;3.3;1
197401;6.2;1
197402;4.3;1
197403;4.9;1
197404;5.1;1
197405;8.5;1
197406;11.2;1
197407;12.3;1
197408;13;1
197409;12.1;1
197410;6.2;1
197411;7.5;1
197412;7;1
197501;6;1
197502;3.9;1
197503;3.5;1
197504;5.5;1
197505;8.6;1
197506;11.8;1
197507;13.6;1
197508;15.2;1
197509;12.2;1
197510;7.7;1
197511;5.5;1
197512;0.5;1
197601;3.3;1
197602;3.8;1
197603;3;1
197604;4.6;1
197605;9;1
197606;13;1
197607;14.8;1
197608;14.4;1
197609;11.5;1
197610;10.6;1
197611;5.9;1
197612;2.6;1
197701;2.2;1
197702;6.4;1
197703;5.3;1
197704;4.9;1
197705;9.1;1
197706;10.9;1
197707;13.4;1
197708;12;1
197709;9;1
197710;9.9;1
197711;5.4;1
197712;4.4;1
197801;2;1
197802;3.5;1
197803;5.1;1
197804;4.9;1
197805;8.6;1
197806;10.9;1
197807;12.5;1
197808;11.8;1
197809;10.8;1
197810;8.3;1
197811;4.8;1
197812;4.5;1
197901;0.2;1
197902;3.8;1
197903;4.9;1
197904;5.8;1
197905;7.8;1
197906;11.4;1
197907;13.1;1
