# DONNEES MENSUELLES HOMOGENEISEES de TN : Moyenne mensuelle de la température minimale sous abri (en °C et 1/10) 
# NUM_POSTE= 86039001
# NOM_USUEL= BRUX_SAPC
# LATITUDE (°) = 46.276
# LONGITUDE(°)= 0.19
# ALTITUDE (m) = 148
# NUM_SERIE= MTN186039001
# Amplitude minimale détectable de la série = 0.15
# Période homogénéisée : 195201 202112
# Date(s) de rupture(s) d'homogénéité : 196512 197912
#     Periode homogénéisée  195201 202112  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195201;0.3;1
195202;0.1;1
195203;5.4;1
195204;6.4;1
195205;9.2;1
195206;11.1;1
195207;14.2;1
195208;13.5;1
195209;8.8;1
195210;8;1
195211;3.3;1
195212;2.4;1
195301;-2.5;1
195302;-1.5;1
195303;0.8;1
195304;5.4;1
195305;9.4;1
195306;11.1;1
195307;13.6;1
195308;12.2;1
195309;9.7;1
195310;7.5;1
195311;2.4;1
195312;3.1;1
195401;0.4;1
195402;-0.5;1
195403;4;1
195404;3.1;1
195405;7.4;1
195406;11.2;1
195407;11.9;1
195408;12.9;1
195409;11.1;1
195410;7.4;1
195411;3.8;1
195412;4.3;1
195501;2.3;1
195502;0.8;1
195503;0.1;1
195504;4.3;1
195505;6.3;1
195506;11.5;1
195507;13.9;1
195508;12.8;1
195509;9.8;1
195510;5.3;1
195511;1.9;1
195512;5.3;1
195601;1.5;1
195602;-7.9;1
195603;2.1;1
195604;2.4;1
195605;7.8;1
195606;9.6;1
195607;12.6;1
195608;11.6;1
195609;11.9;1
195610;5.4;1
195611;1;1
195612;3.2;1
195701;-1.5;1
195702;4.5;1
195703;5.9;1
195704;4.1;1
195705;6.4;1
195706;11.6;1
195707;13.3;1
195708;11.9;1
195709;10;1
195710;6.4;1
195711;3.6;1
195712;1;1
195801;1.9;1
195802;4.5;1
195803;2.1;1
195804;4.6;1
195805;8.4;1
195806;10.9;1
195807;13.6;1
195808;13.8;1
195809;13.3;1
195810;8.4;1
195811;3.6;1
195812;2.7;1
195901;0.7;1
195902;1;1
195903;4.7;1
195904;5.7;1
195905;9.7;1
195906;11.5;1
195907;13.8;1
195908;13.5;1
195909;11.1;1
195910;7.3;1
195911;4.7;1
195912;4;1
196001;0.5;1
196002;1.6;1
196003;4.5;1
196004;4.7;1
196005;9.5;1
196006;12.3;1
196007;12.6;1
196008;12.4;1
196009;10.3;1
196010;7.9;1
196011;6.3;1
196012;1.2;1
196101;1.2;1
196102;4.6;1
196103;1.5;1
196104;7.2;1
196105;7.1;1
196106;11.7;1
196107;12.6;1
196108;11;1
196109;14.1;1
196110;8.6;1
196111;4.1;1
196112;2.5;1
196201;2.7;1
196202;0.6;1
196203;0.6;1
196204;5.1;1
196205;7.4;1
196206;10;1
196207;12.2;1
196208;12.3;1
196209;10;1
196210;8.1;1
196211;3.1;1
196212;-1.8;1
196301;-4.5;1
196302;-3.3;1
196303;3.7;1
196304;5.4;1
196305;7;1
196306;11.5;1
196307;11.9;1
196308;11.5;1
196309;11;1
196310;7.8;1
196311;6.7;1
196312;-1.6;1
196401;-2;1
196402;2.7;1
196403;3.1;1
196404;4.7;1
196405;9.1;1
196406;10.8;1
196407;12.9;1
196408;12.7;1
196409;12;1
196410;5.3;1
196411;3.5;1
196412;0.7;1
196501;1.5;1
196502;-1.6;1
196503;3.9;1
196504;5;1
196505;8.1;1
196506;10.3;1
196507;11.2;1
