# DONNEES MENSUELLES HOMOGENEISEES de TN : Moyenne mensuelle de la température minimale sous abri (en °C et 1/10) 
# NUM_POSTE= 87113001
# NOM_USUEL= LE PALAIS SUR VIENNE
# LATITUDE (°) = 45.878
# LONGITUDE(°)= 1.343
# ALTITUDE (m) = 286
# NUM_SERIE= MTN187113001
# Amplitude minimale détectable de la série = 0.2
# Période homogénéisée : 195101 201812
# Date(s) de rupture(s) d'homogénéité : 195312 196112 197612
#     Periode homogénéisée  195101 201812  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195101;1.4;1
195102;-0.1;1
195103;1.4;1
195104;3.3;1
195105;6.7;1
195106;10.8;1
195107;11.3;1
195108;11.2;1
195109;9.7;1
195110;4.1;1
195111;4;1
195112;-1.7;1
195201;-1.8;1
195202;-2.8;1
195203;3.5;1
195204;3.8;1
195205;6.8;1
195206;9.6;1
195207;11.6;1
195208;11.9;1
195209;7.8;1
195210;5.8;1
195211;2.4;1
195212;1.6;1
195301;-4.6;1
195302;-3.1;1
195303;-0.4;1
195304;4.2;1
195305;8;1
195306;9.3;1
195307;11.9;1
195308;9.3;1
195309;8.3;1
195310;5.8;1
195311;0;1
195312;1.6;1
195401;-3;1
195402;-2.1;1
195403;1.1;1
195404;2.7;1
195405;6;1
195406;9;1
195407;9.7;1
195408;11;1
195409;10.1;1
195410;5.1;1
195411;2.1;1
195412;1.9;1
195501;1.1;1
195502;0.2;1
195503;-1.1;1
195504;2;1
195505;5.6;1
195506;10.3;1
195507;12.9;1
195508;10;1
195509;7.7;1
195510;2.3;1
195511;0.3;1
195512;2.7;1
195601;1.2;1
195602;-12.7;1
195603;0.7;1
195604;1;1
195605;6.5;1
195606;8.6;1
195607;11.7;1
195608;10.7;1
195609;10;1
195610;3.5;1
195611;-0.2;1
195612;1.5;1
195701;-3.5;1
195702;2.4;1
195703;2.3;1
195704;2.3;1
195705;4.9;1
195706;9.8;1
195707;12.2;1
195708;10.6;1
195709;7;1
195710;2.6;1
195711;1.2;1
195712;-1.8;1
195801;0;1
195802;1.3;1
195803;1.2;1
195804;3.2;1
195805;8;1
195806;9.8;1
195807;12.1;1
195808;12.9;1
195809;10.5;1
195810;4.4;1
195811;2.8;1
195812;0.8;1
195901;-1.1;1
195902;-2.3;1
195903;3;1
195904;4.6;1
195905;7.1;1
195906;10.4;1
195907;11.3;1
195908;10.8;1
195909;9.8;1
195910;4.4;1
195911;2.7;1
195912;3.1;1
196001;-1.6;1
196002;-0.5;1
196003;3.2;1
196004;2.3;1
196005;6.9;1
196006;10.1;1
196007;10.4;1
196008;10.8;1
196009;9.1;1
196010;6.1;1
196011;4.8;1
196012;-0.3;1
196101;0.7;1
196102;3.1;1
196103;-0.4;1
196104;6.2;1
196105;6.7;1
196106;10.9;1
196107;11;1
196108;10.4;1
196109;11.6;1
196110;7;1
196111;2.9;1
196112;0.8;1
196201;1.7;1
196202;-1.4;1
196203;-1.7;1
196204;2.2;1
196205;6.4;1
196206;6.8;1
196207;11.1;1
196208;8.8;1
196209;6.3;1
196210;3.8;1
196211;0.7;1
196212;-3.4;1
196301;-5.3;1
196302;-6.2;1
196303;1;1
196304;4;1
196305;5.3;1
