# DONNEES MENSUELLES HOMOGENEISEES de TN : Moyenne mensuelle de la température minimale sous abri (en °C et 1/10) 
# NUM_POSTE= 89387002
# NOM_USUEL= SENS
# LATITUDE (°) = 48.168
# LONGITUDE(°)= 3.289
# ALTITUDE (m) = 70
# NUM_SERIE= MTN189387002
# Amplitude minimale détectable de la série = 0.16
# Période homogénéisée : 195601 202212
# Date(s) de rupture(s) d'homogénéité : 195912 196312 196712 198512 199311 200203
#     Periode homogénéisée  195601 202212  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195601;0.8;1
195602;-11.5;1
195603;1.4;1
195604;2.6;1
195605;7.9;1
195606;9.4;1
195607;12;1
195608;9.8;1
195609;11.4;1
195610;5.6;1
195611;0.8;1
195612;2.9;1
195701;-1.7;1
195702;3.4;1
195703;4;1
195704;3.1;1
195705;4.7;1
195706;11.3;1
195707;14;1
195708;11.6;1
195709;10.2;1
195710;6.1;1
195711;3.7;1
195712;-0.3;1
195801;0;1
195802;3;1
195803;-0.3;1
195804;3.5;1
195805;8.9;1
195806;8.9;1
195807;11.1;1
195808;12.9;1
195809;11.2;1
195810;7.9;1
195811;3.5;1
195812;2;1
195901;0.3;1
195902;-1.1;1
195903;2.3;1
195904;5.2;1
195905;8.1;1
195906;11;1
195907;13.7;1
195908;12.9;1
195909;8.2;1
195910;4.2;1
195911;2.6;1
195912;3.2;1
196001;-0.2;1
196002;0.6;1
196003;4;1
196004;4.1;1
196005;7.9;1
196006;11;1
196007;11.6;1
196008;12;1
196009;8.2;1
196010;7.4;1
196011;5.8;1
196012;0.7;1
196101;0.8;1
196102;3.4;1
196103;0.9;1
196104;7;1
196105;7;1
196106;10.5;1
196107;11;1
196108;10.9;1
196109;12.5;1
196110;8.6;1
196111;2.2;1
196112;0.5;1
196201;2.3;1
196202;-0.7;1
196203;-0.6;1
196204;4.8;1
196205;6.7;1
196206;8.6;1
196207;10.7;1
196208;11.2;1
196209;7.5;1
196210;5.5;1
196211;1.5;1
196212;-3.3;1
196301;-5.2;1
196302;-6.3;1
196303;2.6;1
196304;5.3;1
196305;6.9;1
196306;11.5;1
196307;11.8;1
196308;12.3;1
196309;10.8;1
196310;6.7;1
196311;5.7;1
196312;-2.2;1
196401;-2.8;1
196402;2.6;1
196403;1.9;1
196404;4.8;1
196405;8.2;1
196406;10.2;1
196407;11.7;1
196408;11.8;1
196409;10.6;1
196410;5;1
196411;3.9;1
196412;-1;1
196501;1.3;1
196502;-2.3;1
196503;2.7;1
196504;4.1;1
196505;7.6;1
196506;10.9;1
196507;11.2;1
196508;10.9;1
196509;8.8;1
196510;5.4;1
196511;3.1;1
196512;3.5;1
196601;-2.8;1
196602;5.4;1
196603;0.9;1
196604;6.5;1
196605;8.1;1
196606;12;1
196607;11.7;1
196608;11.4;1
196609;9.9;1
196610;9.4;1
196611;2.1;1
196612;3;1
196701;-0.1;1
196702;2.2;1
196703;3.4;1
196704;2.8;1
196705;7;1
196706;9.8;1
196707;13.2;1
196708;12;1
196709;10.8;1
196710;9.4;1
196711;3.1;1
196712;0.5;1
196801;0.4;1
196802;0.4;1
196803;2.2;1
196804;4.1;1
196805;6.8;1
196806;10.1;1
196807;11.3;1
196808;11.9;1
196809;9.6;1
196810;9.5;1
196811;1.9;1
196812;-1;1
196901;2.2;1
196902;-1.3;1
196903;2.3;1
196904;4.3;1
196905;7.9;1
196906;9.6;1
196907;12.8;1
196908;11.8;1
196909;10.2;1
196910;5.8;1
196911;3.5;1
196912;-1.8;1
197001;1.2;1
197002;1.2;1
197003;1.1;1
197004;3.5;1
197005;7.4;1
197006;12.9;1
197007;11.5;1
197008;12.4;1
197009;10.2;1
197010;6.9;1
197011;4.6;1
197012;-0.9;1
197101;-0.8;1
197102;0.4;1
197103;-0.9;1
197104;4.4;1
197105;8.9;1
197106;10.6;1
197107;12.4;1
197108;12.4;1
197109;7.6;1
197110;4.5;1
197111;1.5;1
197112;1.5;1
197201;-0.1;1
197202;2.4;1
197203;2;1
197204;4.8;1
197205;7.4;1
197206;8.7;1
197207;11.8;1
197208;10.9;1
197209;6.4;1
197210;3.9;1
197211;2.9;1
197212;0.9;1
197301;-0.7;1
197302;0.1;1
197303;-0.7;1
197304;2.1;1
197305;8.2;1
197306;11.1;1
197307;12.7;1
197308;13.7;1
197309;10.1;1
197310;5.5;1
197311;1.9;1
197312;0.6;1
197401;4;1
197402;2;1
197403;3.7;1
197404;4.2;1
197405;6.9;1
197406;10;1
197407;10.6;1
197408;12.3;1
197409;9.8;1
197410;4.5;1
197411;5.1;1
197412;4.5;1
197501;3.8;1
197502;-0.2;1
197503;1.7;1
197504;4;1
197505;6.6;1
197506;9.9;1
197507;12.1;1
197508;13.8;1
197509;10.6;1
197510;5.1;1
197511;3.1;1
197512;-0.6;1
197601;0.9;1
197602;0.7;1
197603;0;1
197604;2.8;1
197605;7.1;1
197606;11.1;1
197607;14.4;1
197608;10.9;1
197609;9.1;1
197610;8.5;1
197611;3.7;1
197612;-0.3;1
197701;1.5;1
197702;3.7;1
197703;3.7;1
197704;3.3;1
197705;7.6;1
197706;10.6;1
197707;12.5;1
197708;10.7;1
197709;7.7;1
197710;7.8;1
197711;4.1;1
197712;2.1;1
197801;0.5;1
197802;0.7;1
197803;3.2;1
197804;3.1;1
197805;7.9;1
197806;10.2;1
197807;11.6;1
197808;10;1
197809;8;1
197810;4.7;1
197811;0.9;1
197812;2.7;1
197901;-4.3;1
197902;0.5;1
197903;3.2;1
197904;4.2;1
197905;7;1
197906;11.3;1
197907;11.5;1
197908;11.6;1
197909;9.2;1
197910;8.4;1
197911;2.8;1
197912;3.4;1
198001;-1.1;1
198002;3.1;1
198003;2.3;1
198004;3.4;1
198005;6.2;1
198006;10.3;1
198007;11.3;1
198008;12.8;1
198009;10.2;1
198010;6.1;1
198011;1.8;1
198012;0.1;1
198101;0.6;1
198102;-1;1
198103;6.3;1
