# DONNEES MENSUELLES HOMOGENEISEES de TN : Moyenne mensuelle de la température minimale sous abri (en °C et 1/10) 
# NUM_POSTE= 3204001
# NOM_USUEL= PARAY-SOUS-BRIAILLES
# LATITUDE (°) = 46.284
# LONGITUDE(°)= 3.338
# ALTITUDE (m) = 250
# NUM_SERIE= MTN203204001
# Amplitude minimale détectable de la série = 0.18
# Période homogénéisée : 195101 202212
# Date(s) de rupture(s) d'homogénéité : 196609 197312 199512 199712 200212
#     Periode homogénéisée  195101 202212  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195101;1;1
195102;0.6;1
195103;1.5;1
195104;3.8;1
195105;6.4;1
195106;10.6;1
195107;10.5;1
195108;11.1;1
195109;9.4;1
195110;5.1;1
195111;4;1
195112;-1.2;1
195201;-1.6;1
195202;-1.6;1
195203;4;1
195204;4.5;1
195205;6.2;1
195206;10.7;1
195207;13;1
195208;12;1
195209;7.4;1
195210;6.1;1
195211;2;1
195212;0.1;1
195301;-3.6;1
195302;-2.6;1
195303;-1.5;1
195304;4.2;1
195305;7.6;1
195306;10.2;1
195307;12.1;1
195308;10.1;1
195309;8.1;1
195310;5.7;1
195311;0.8;1
195312;2.8;1
195401;-2;1
195402;-3.1;1
195403;1.7;1
195404;2.2;1
195405;5.7;1
195406;9.6;1
195407;9.6;1
195408;10.8;1
195409;9.5;1
195410;5.5;1
195411;2.6;1
195412;1.9;1
195501;1.5;1
195502;-0.2;1
195503;-1.5;1
195504;0.7;1
195505;5.6;1
195506;10.4;1
195507;12.1;1
195508;11;1
195509;8.3;1
195510;2.7;1
195511;-0.3;1
195512;2.1;1
195601;0.7;1
195602;-12.4;1
195603;-0.3;1
195604;1.7;1
195605;6.9;1
195606;8.7;1
195607;11;1
195608;9.1;1
195609;10.3;1
195610;4.4;1
195611;0.5;1
195612;1.7;1
195701;-2.8;1
195702;2.7;1
195703;2.3;1
195704;2;1
195705;3.7;1
195706;10.5;1
195707;12;1
195708;10.5;1
195709;7.8;1
195710;2.6;1
195711;2.6;1
195712;-2.2;1
195801;-0.4;1
195802;1.6;1
195803;-0.2;1
195804;2.9;1
195805;8.1;1
195806;9.7;1
195807;11.8;1
195808;12.7;1
195809;10.7;1
195810;5.1;1
195811;2.7;1
195812;0.9;1
195901;-0.7;1
195902;-2.3;1
195903;3.5;1
195904;4.7;1
195905;6.7;1
195906;10.7;1
195907;12.4;1
195908;10.1;1
195909;9.6;1
195910;5;1
195911;2.2;1
195912;1.9;1
196001;-1.9;1
196002;0.1;1
196003;2.7;1
196004;2.8;1
196005;6.8;1
196006;10.8;1
196007;10.8;1
196008;11.5;1
196009;8.6;1
196010;5.9;1
196011;3.9;1
196012;-0.4;1
196101;0.2;1
196102;2.3;1
196103;-1.1;1
196104;6.4;1
196105;5.9;1
196106;11.2;1
196107;10.4;1
196108;10.3;1
196109;11.1;1
196110;6.7;1
196111;2.4;1
196112;-0.2;1
196201;1.7;1
196202;-2;1
196203;-0.9;1
196204;3.4;1
196205;6.1;1
196206;7.3;1
196207;10.1;1
196208;10.6;1
196209;7.3;1
196210;3.6;1
196211;0.7;1
196212;-3.7;1
196301;-9.1;1
196302;-7.6;1
196303;1.4;1
196304;4.3;1
196305;5.3;1
196306;10.5;1
196307;11.4;1
196308;10.5;1
196309;8.8;1
196310;4.5;1
196311;3.9;1
196312;-5.2;1
196401;-3.6;1
196402;1.2;1
196403;1.7;1
196404;4.3;1
196405;7.8;1
196406;10.2;1
196407;11.1;1
196408;10.3;1
196409;9.9;1
196410;3.8;1
196411;3.7;1
196412;-2.2;1
196501;-0.1;1
196502;-3.5;1
196503;1.3;1
196504;4.3;1
196505;6.8;1
196506;11.5;1
196507;12.4;1
196508;11.1;1
196509;8.8;1
196510;6.1;1
196511;3;1
196512;1.9;1
196601;-2.1;1
196602;3.2;1
196603;-0.9;1
196604;5.3;1
196605;7.2;1
196606;10.1;1
196607;10;1
196608;10.4;1
196609;7.9;1
196610;8.4;1
196611;1.1;1
196612;1.8;1
196701;-1.8;1
196702;-0.1;1
196703;2.8;1
196704;1.4;1
196705;5.9;1
196706;8;1
196707;11.8;1
196708;11.3;1
196709;9;1
196710;8;1
196711;2.7;1
196712;-1.7;1
196801;-0.6;1
196802;-0.4;1
196803;0.6;1
196804;3.6;1
196805;6;1
196806;9.3;1
196807;10.3;1
196808;10.6;1
196809;8.8;1
196810;7.3;1
196811;2.3;1
