# DONNEES MENSUELLES HOMOGENEISEES de TN : Moyenne mensuelle de la température minimale sous abri (en °C et 1/10) 
# NUM_POSTE= 13001009
# NOM_USUEL= AIX EN PROVENCE
# LATITUDE (°) = 43.53
# LONGITUDE(°)= 5.425
# ALTITUDE (m) = 173
# NUM_SERIE= MTN213001009
# Amplitude minimale détectable de la série = 0.21
# Période homogénéisée : 195901 201912
# Date(s) de rupture(s) d'homogénéité : 196012 197412 200107
#     Periode homogénéisée  195901 201912  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195901;0;1
195902;2;1
195903;6.7;1
195904;6.3;1
195905;11.6;1
195906;13.4;1
195907;16.3;1
195908;14.8;1
195909;15;1
195910;9.7;1
195911;4.3;1
195912;3.4;1
196001;0.1;1
196002;2.5;1
196003;6.2;1
196004;4.6;1
196005;10.7;1
196006;14.8;1
196007;15.7;1
196008;14.5;1
196009;10.6;1
196010;8.6;1
196011;4.6;1
196012;0.6;1
196101;0.3;1
196102;3.1;1
196103;2.5;1
196104;8.9;1
196105;10.1;1
196106;13.9;1
196107;15.2;1
196108;13.9;1
196109;14.7;1
196110;10.4;1
196111;5.4;1
196112;3;1
196201;3.4;1
196202;0.4;1
196203;2.1;1
196204;6.5;1
196205;8.7;1
196206;13;1
196207;14.7;1
196208;14.4;1
196209;13.3;1
196210;10.6;1
196211;3.7;1
196212;-1.4;1
196301;-0.9;1
196302;-1.3;1
196303;3.9;1
196304;7;1
196305;9.4;1
196306;14;1
196307;17.3;1
196308;15.3;1
196309;13.8;1
196310;8.2;1
196311;8.2;1
196312;1.7;1
196401;-0.2;1
196402;3.2;1
196403;4.9;1
196404;7.2;1
196405;11.4;1
196406;15.3;1
196407;16.8;1
196408;15.7;1
196409;14;1
196410;7.7;1
196411;5.2;1
196412;2.2;1
196501;1.2;1
196502;-2.7;1
196503;4.1;1
196504;5.8;1
196505;8.8;1
196506;13.1;1
196507;14.9;1
196508;14;1
196509;11.5;1
196510;12.5;1
196511;4.9;1
196512;2;1
196601;0.8;1
196602;5.8;1
196603;2.4;1
196604;7.7;1
196605;10.5;1
196606;14.4;1
196607;14.7;1
196608;14.3;1
196609;13.3;1
196610;12.3;1
196611;2.5;1
196612;1.4;1
196701;0.4;1
196702;2.8;1
196703;5.3;1
196704;6.4;1
196705;10.3;1
196706;11.9;1
196707;16.8;1
196708;15.9;1
196709;12.3;1
196710;10.4;1
196711;6.1;1
196712;-2.5;1
196801;-0.9;1
196802;3.2;1
196803;3.8;1
196804;6.4;1
196805;10.1;1
196806;12.9;1
196807;15.2;1
196808;13.5;1
196809;12.2;1
196810;9.7;1
196811;5.1;1
196812;2.7;1
196901;0.8;1
196902;-0.9;1
196903;4.9;1
196904;7.9;1
196905;10.1;1
196906;12.2;1
196907;15.4;1
196908;15.1;1
196909;13.4;1
196910;9.4;1
196911;3.7;1
196912;-3;1
197001;2.6;1
197002;1.1;1
197003;2.1;1
197004;4.3;1
197005;8.4;1
197006;15.6;1
197007;15;1
197008;15.3;1
197009;12.4;1
197010;8.5;1
197011;5.4;1
197012;0.2;1
197101;0;1
197102;0;1
197103;-0.2;1
197104;8.9;1
197105;11.2;1
197106;13;1
197107;15.5;1
197108;17.4;1
197109;12.9;1
197110;8.4;1
197111;2.3;1
197112;1.6;1
197201;2.5;1
197202;4.8;1
197203;4.8;1
197204;6.1;1
197205;8.4;1
197206;12.9;1
197207;14.9;1
197208;13;1
197209;11.1;1
197210;9.2;1
197211;5.7;1
197212;2.8;1
197301;0.5;1
197302;-1.2;1
197303;0.5;1
197304;3.2;1
197305;10.6;1
197306;14.3;1
197307;15.5;1
197308;16.7;1
197309;12.7;1
197310;6.7;1
197311;4.5;1
197312;0.9;1
197401;3.8;1
197402;3.9;1
197403;6.1;1
197404;6.2;1
197405;10;1
197406;13.4;1
197407;15.5;1
197408;15.7;1
197409;12.6;1
197410;3.1;1
197411;4.3;1
197412;1.6;1
197501;2.4;1
197502;1.8;1
197503;2.7;1
197504;4.8;1
197505;9;1
197506;12.5;1
197507;15;1
197508;16.8;1
197509;14.7;1
197510;5.7;1
197511;4.6;1
197512;1.6;1
197601;-0.5;1
197602;3.5;1
197603;2.3;1
197604;6;1
197605;9.5;1
197606;14;1
197607;15.7;1
197608;14.5;1
197609;11.9;1
197610;9.1;1
197611;2.4;1
197612;3;1
197701;2.8;1
197702;3.3;1
197703;5.4;1
197704;5.7;1
197705;10;1
197706;12.9;1
197707;14.7;1
197708;14.2;1
197709;10.8;1
197710;11.7;1
197711;4.2;1
197712;2.7;1
197801;1.3;1
197802;2.6;1
197803;4.4;1
197804;5.6;1
197805;9.8;1
197806;12.5;1
197807;14.2;1
197808;14.4;1
197809;11.7;1
197810;6.2;1
197811;2.3;1
197812;2.6;1
197901;1.1;1
197902;2.9;1
197903;4.5;1
197904;4.9;1
197905;9.8;1
197906;14.2;1
197907;15.8;1
197908;15.1;1
197909;12.2;1
197910;11.4;1
197911;2.4;1
197912;0.9;1
198001;1.9;1
198002;3.9;1
198003;3.6;1
198004;5.2;1
198005;8.9;1
198006;12.7;1
198007;13.9;1
198008;16.3;1
198009;14;1
198010;7.9;1
198011;4.4;1
198012;-1.4;1
198101;-0.7;1
198102;-0.9;1
198103;5.8;1
198104;7.9;1
198105;10;1
198106;13.5;1
198107;14.7;1
198108;15.5;1
198109;14.5;1
198110;8.9;1
198111;4;1
198112;2.8;1
198201;4.1;1
198202;2.8;1
198203;2.3;1
198204;5.7;1
198205;9.3;1
198206;16.3;1
198207;18.9;1
198208;16;1
198209;15;1
198210;9.1;1
198211;6.8;1
198212;1.6;1
198301;1.1;1
198302;-0.2;1
198303;3.6;1
198304;7.3;1
198305;10.5;1
198306;14.1;1
198307;19.2;1
198308;16.7;1
198309;13.6;1
198310;8.2;1
198311;6.9;1
198312;1.7;1
198401;1;1
198402;0.5;1
198403;2.7;1
198404;4.5;1
198405;8.5;1
198406;12.8;1
198407;15.9;1
198408;14.9;1
198409;11.4;1
198410;8.4;1
198411;8.1;1
198412;1.1;1
198501;-3.1;1
198502;3;1
198503;3.2;1
198504;7;1
198505;9.9;1
198506;13.3;1
198507;17;1
198508;14.4;1
198509;13.4;1
198510;10.9;1
198511;2.2;1
198512;2.6;1
198601;0.6;1
198602;-0.2;1
198603;3.5;1
198604;6.6;1
198605;12.3;1
198606;13.3;1
198607;16.5;1
198608;16.2;1
198609;14.3;1
198610;10.9;1
198611;5.5;1
198612;1.6;1
198701;-2;1
198702;2.5;1
198703;2.9;1
198704;7.7;1
198705;8.1;1
198706;13.4;1
198707;17.1;1
198708;16.6;1
198709;15.3;1
198710;13;1
198711;4.8;1
198712;3.9;1
198801;4.8;1
198802;0.7;1
198803;3.5;1
198804;7.9;1
198805;11.6;1
198806;13.7;1
198807;15.8;1
198808;15.5;1
198809;11.4;1
198810;11.9;1
198811;3.8;1
198812;-0.2;1
198901;-0.3;1
198902;1.1;1
198903;4.8;1
198904;6.6;1
198905;10.7;1
198906;13.5;1
198907;17.4;1
198908;15.9;1
198909;13.1;1
198910;8.1;1
198911;5.3;1
198912;4.2;1
199001;-0.6;1
199002;5.2;1
199003;4.5;1
199004;5.9;1
199005;10.9;1
199006;13.8;1
199007;16.4;1
199008;15.9;1
199009;12.4;1
199010;12.4;1
199011;3.9;1
199012;-0.6;1
199101;0.5;1
199102;0;1
199103;7;1
199104;4.5;1
199105;7.8;1
199106;13.3;1
199107;16.8;1
199108;16.9;1
199109;15.5;1
199110;8.8;1
199111;4.4;1
199112;0.5;1
199201;0.4;1
199202;1.8;1
199203;4.6;1
199204;6.5;1
199205;11.7;1
199206;13;1
199207;16;1
199208;17.5;1
