# DONNEES MENSUELLES HOMOGENEISEES de TN : Moyenne mensuelle de la température minimale sous abri (en °C et 1/10) 
# NUM_POSTE= 13047001
# NOM_USUEL= ISTRES
# LATITUDE (°) = 43.523
# LONGITUDE(°)= 4.928
# ALTITUDE (m) = 23
# NUM_SERIE= MTN213047001
# Amplitude minimale détectable de la série = 0.17
# Période homogénéisée : 195601 201912
# Date(s) de rupture(s) d'homogénéité : 197010 199812 200711
#     Periode homogénéisée  195601 201912  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195601;3.7;1
195602;-4.8;1
195603;5.5;1
195604;6.9;1
195605;11.8;1
195606;13.4;1
195607;16.6;1
195608;16.4;1
195609;15.4;1
195610;8.6;1
195611;4.1;1
195612;3.6;1
195701;1.1;1
195702;5.3;1
195703;6.6;1
195704;7.8;1
195705;10.1;1
195706;14.4;1
195707;16.9;1
195708;16.1;1
195709;13.8;1
195710;9.9;1
195711;6;1
195712;3.6;1
195801;2.4;1
195802;3.9;1
195803;3.7;1
195804;6.5;1
195805;11.7;1
195806;14.2;1
195807;16.4;1
195808;17.4;1
195809;16.3;1
195810;10.6;1
195811;5.9;1
195812;4.5;1
195901;1.7;1
195902;3.8;1
195903;8.1;1
195904;8.1;1
195905;11.6;1
195906;15;1
195907;18.3;1
195908;17;1
195909;15.3;1
195910;10.9;1
195911;5.4;1
195912;4.6;1
196001;2;1
196002;4.2;1
196003;6.9;1
196004;7.9;1
196005;12.1;1
196006;16.5;1
196007;17.1;1
196008;15.9;1
196009;12.7;1
196010;10.7;1
196011;6.7;1
196012;2.1;1
196101;1.9;1
196102;5.1;1
196103;4.9;1
196104;10.3;1
196105;11.5;1
196106;15.4;1
196107;17.3;1
196108;16.2;1
196109;16.6;1
196110;11.4;1
196111;6.4;1
196112;4;1
196201;4.9;1
196202;2.7;1
196203;3.4;1
196204;7.9;1
196205;10.1;1
196206;14.5;1
196207;17.3;1
196208;17.7;1
196209;14.9;1
196210;11.2;1
196211;4.5;1
196212;-0.3;1
196301;-0.8;1
196302;-0.4;1
196303;4.9;1
196304;8.3;1
196305;10.7;1
196306;15.1;1
196307;18.2;1
196308;15.9;1
196309;14.8;1
196310;9.9;1
196311;9.1;1
196312;2.2;1
196401;1.2;1
196402;5.3;1
196403;5.5;1
196404;8.5;1
196405;12.6;1
196406;16.3;1
196407;18;1
196408;16.8;1
196409;15.5;1
196410;8.5;1
196411;5.7;1
196412;3.1;1
196501;2.6;1
196502;-0.1;1
196503;4.7;1
196504;7.6;1
196505;11.3;1
196506;14.5;1
196507;16.3;1
196508;15.9;1
196509;12.8;1
196510;12.4;1
196511;6.3;1
196512;4;1
196601;1.9;1
196602;6.2;1
196603;4.1;1
196604;9;1
196605;11.5;1
196606;15.6;1
196607;15.6;1
196608;15.6;1
196609;14.7;1
196610;13.2;1
196611;3.7;1
196612;3.5;1
196701;2.3;1
196702;4.2;1
196703;6.9;1
196704;7.4;1
196705;11.3;1
196706;14.1;1
196707;18.1;1
196708;17.4;1
196709;14.4;1
196710;12.3;1
196711;7.8;1
196712;0.7;1
196801;1.1;1
196802;5.1;1
196803;4.9;1
196804;8.2;1
196805;11.4;1
196806;14;1
196807;17;1
196808;15.8;1
196809;13.8;1
196810;12;1
196811;6.7;1
196812;3.4;1
196901;3.2;1
196902;0.9;1
196903;6;1
196904;7.9;1
196905;11.1;1
196906;13.1;1
196907;16.8;1
196908;16.8;1
196909;14.3;1
196910;11.2;1
196911;5.5;1
196912;-0.9;1
197001;3.5;1
197002;2.5;1
197003;3;1
197004;5.6;1
197005;10.6;1
197006;16;1
197007;16.8;1
197008;16.7;1
197009;15;1
197010;10.3;1
197011;6.9;1
197012;1.4;1
197101;1.4;1
197102;3;1
197103;2;1
197104;9.5;1
197105;12.2;1
197106;14.2;1
197107;17.4;1
197108;18.8;1
197109;14.7;1
197110;10.9;1
197111;4.1;1
197112;4.2;1
197201;4;1
197202;6.1;1
197203;6.1;1
197204;8.1;1
197205;10.3;1
197206;13.8;1
197207;17.2;1
197208;15.4;1
197209;12.5;1
197210;10;1
197211;7.1;1
197212;4.2;1
197301;2.2;1
197302;2.5;1
197303;3.3;1
197304;5.8;1
197305;11.8;1
197306;15.6;1
197307;17.7;1
197308;18.1;1
197309;15;1
197310;9.1;1
197311;6.5;1
197312;2.4;1
197401;5;1
197402;4.7;1
197403;6.5;1
197404;7.2;1
197405;11.1;1
197406;14.3;1
197407;17.2;1
197408;16.8;1
197409;13.5;1
197410;5.9;1
197411;6.1;1
197412;4.7;1
197501;3.7;1
197502;3.3;1
197503;4;1
197504;5.9;1
197505;10.6;1
197506;14;1
197507;16.9;1
197508;18.3;1
197509;15;1
197510;8.4;1
197511;6.3;1
197512;2.9;1
197601;2.7;1
197602;4;1
197603;4;1
197604;7.1;1
197605;11;1
197606;15.3;1
197607;18.2;1
197608;16.3;1
197609;13.2;1
197610;10;1
197611;4.7;1
197612;4.2;1
197701;3.6;1
197702;4.6;1
197703;6.2;1
197704;6.8;1
197705;10.5;1
197706;13.8;1
197707;16.6;1
197708;15.8;1
197709;12.3;1
197710;12.3;1
197711;5.5;1
197712;3.8;1
197801;1.9;1
197802;2.9;1
197803;5.9;1
197804;6.3;1
197805;10;1
197806;12.8;1
197807;15.9;1
197808;15.9;1
197809;13.9;1
197810;9.2;1
197811;4.5;1
197812;4.2;1
197901;1.7;1
197902;3.8;1
197903;6.1;1
197904;6.6;1
197905;10.9;1
197906;16.1;1
197907;18.2;1
197908;17.1;1
197909;14;1
197910;12.9;1
197911;5;1
197912;3.2;1
198001;2.5;1
198002;5.6;1
198003;5;1
198004;7.2;1
198005;10.4;1
198006;14;1
198007;15.4;1
198008;18.3;1
198009;15.5;1
198010;10.2;1
198011;5.2;1
198012;0;1
198101;1;1
198102;0.5;1
198103;6.7;1
198104;8.1;1
198105;10.6;1
198106;15.4;1
198107;16.7;1
198108;17.7;1
198109;16;1
198110;9.8;1
198111;5.3;1
198112;4.3;1
198201;5.1;1
198202;4.4;1
198203;3.8;1
198204;7.6;1
198205;10.8;1
198206;17;1
198207;19.7;1
