# DONNEES MENSUELLES HOMOGENEISEES de TN : Moyenne mensuelle de la température minimale sous abri (en °C et 1/10) 
# NUM_POSTE= 14578001
# NOM_USUEL= ST GATIEN DES B
# LATITUDE (°) = 49.365
# LONGITUDE(°)= 0.167
# ALTITUDE (m) = 139
# NUM_SERIE= MTN214578001
# Amplitude minimale détectable de la série = 0.14
# Période homogénéisée : 195101 202212
# Date(s) de rupture(s) d'homogénéité : 196107 197207 197712 199012 199212 200012
#     Periode homogénéisée  195101 202212  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195101;2.5;1
195102;1.2;1
195103;1.5;1
195104;3.3;1
195105;6.6;1
195106;9.8;1
195107;11.4;1
195108;11.6;1
195109;11.1;1
195110;6.2;1
195111;6.1;1
195112;3.1;1
195201;0.7;1
195202;0.2;1
195203;3.9;1
195204;5.6;1
195205;8.8;1
195206;9.8;1
195207;12.1;1
195208;12.6;1
195209;7.6;1
195210;6.7;1
195211;1.9;1
195212;0.4;1
195301;-1.3;1
195302;0;1
195303;1.2;1
195304;4.5;1
195305;8.5;1
195306;9.9;1
195307;11.6;1
195308;12.1;1
195309;9.7;1
195310;7.8;1
195311;4;1
195312;5.6;1
195401;-1.2;1
195402;-0.8;1
195403;3.6;1
195404;2.1;1
195405;6.9;1
195406;9.4;1
195407;10.6;1
195408;11.2;1
195409;10;1
195410;9.2;1
195411;4.6;1
195412;4.4;1
195501;0.6;1
195502;0.1;1
195503;-1.4;1
195504;4;1
195505;6.3;1
195506;10.5;1
195507;12.3;1
195508;12.5;1
195509;10.3;1
195510;6.3;1
195511;3.9;1
195512;4;1
195601;1.9;1
195602;-6.7;1
195603;2.4;1
195604;2.5;1
195605;7.2;1
195606;9.1;1
195607;11.6;1
195608;10;1
195609;11.6;1
195610;7.3;1
195611;2.8;1
195612;4.1;1
195701;1.3;1
195702;3.9;1
195703;6.1;1
195704;4.8;1
195705;5.9;1
195706;10.8;1
195707;13.1;1
195708;12;1
195709;10;1
195710;8.1;1
195711;3.6;1
195712;1.1;1
195801;2.2;1
195802;3;1
195803;0.3;1
195804;2.9;1
195805;8.1;1
195806;9.7;1
195807;11.7;1
195808;12.8;1
195809;11.6;1
195810;8;1
195811;3.7;1
195812;2.8;1
195901;0.5;1
195902;0.5;1
195903;4.1;1
195904;5.7;1
195905;8;1
195906;10.2;1
195907;12.7;1
195908;12.6;1
195909;10.3;1
195910;8.6;1
195911;4.4;1
195912;3.6;1
196001;0.7;1
196002;1.2;1
196003;3.4;1
196004;4.9;1
196005;8.5;1
196006;10.9;1
196007;11.5;1
196008;11.5;1
196009;9.8;1
196010;8;1
196011;5.6;1
196012;1.5;1
196101;1.4;1
196102;4.3;1
196103;3.9;1
196104;7.4;1
196105;6.8;1
196106;10.2;1
196107;11.7;1
196108;12.3;1
196109;13;1
196110;7.7;1
196111;3.7;1
196112;1;1
196201;2.4;1
196202;1;1
196203;-0.6;1
196204;4.7;1
196205;6.6;1
196206;8.5;1
196207;11.5;1
196208;10.9;1
196209;9.2;1
196210;7;1
196211;3.3;1
196212;-0.9;1
196301;-5.9;1
196302;-3.9;1
196303;3.2;1
196304;4.8;1
196305;6.4;1
196306;10.6;1
196307;11.4;1
196308;11.2;1
196309;10.1;1
196310;7.7;1
196311;6;1
196312;-2;1
196401;-1.3;1
196402;2.5;1
196403;1.8;1
196404;5.1;1
196405;9.1;1
196406;10.3;1
196407;12;1
196408;12.2;1
196409;10.7;1
196410;5.5;1
196411;4;1
196412;1;1
196501;1.5;1
196502;-1.5;1
196503;2.8;1
196504;5;1
196505;8.4;1
196506;9.4;1
196507;11;1
196508;11.3;1
196509;8.7;1
196510;6.9;1
196511;2.7;1
196512;3.5;1
196601;0;1
196602;5.6;1
196603;3.3;1
196604;6.2;1
196605;7.3;1
196606;11.3;1
196607;11.3;1
196608;10.6;1
196609;10.2;1
196610;8.1;1
196611;2.7;1
196612;4.4;1
196701;2.3;1
196702;2.6;1
196703;3.8;1
196704;3.6;1
196705;7.2;1
196706;9.2;1
196707;12.1;1
196708;11.5;1
196709;10.5;1
196710;8.5;1
196711;2.8;1
196712;1.8;1
196801;1.5;1
