# DONNEES MENSUELLES HOMOGENEISEES de TN : Moyenne mensuelle de la température minimale sous abri (en °C et 1/10) 
# NUM_POSTE= 27306001
# NOM_USUEL= GUICHAINVILLE
# LATITUDE (°) = 48.977
# LONGITUDE(°)= 1.182
# ALTITUDE (m) = 147
# NUM_SERIE= MTN227306001
# Amplitude minimale détectable de la série = 0.2
# Période homogénéisée : 195301 202212
# Date(s) de rupture(s) d'homogénéité : 196212 198812 199812 200612 202009
#     Periode homogénéisée  195301 202212  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195301;-1.1;1
195302;-0.7;1
195303;0.3;1
195304;4.9;1
195305;8.3;1
195306;11.6;1
195307;12.5;1
195308;11.2;1
195309;10.4;1
195310;8.4;1
195311;3.6;1
195312;4.5;1
195401;-2.3;1
195402;-1;1
195403;3.5;1
195404;2.3;1
195405;7.7;1
195406;10.2;1
195407;10.8;1
195408;12.6;1
195409;10.8;1
195410;9.6;1
195411;2.9;1
195412;4.1;1
195501;0.8;1
195502;0.1;1
195503;-0.8;1
195504;3.4;1
195505;5.3;1
195506;10;1
195507;12.4;1
195508;13.9;1
195509;7.6;1
195510;4.9;1
195511;2.8;1
195512;4;1
195601;0.9;1
195602;-7.2;1
195603;2.4;1
195604;2.1;1
195605;7.1;1
195606;9.8;1
195607;12.2;1
195608;10.6;1
195609;11.5;1
195610;6.6;1
195611;1.2;1
195612;4.3;1
195701;-0.1;1
195702;3.3;1
195703;5.3;1
195704;3.3;1
195705;5.6;1
195706;10.9;1
195707;13.7;1
195708;12;1
195709;9.5;1
195710;6.8;1
195711;3.2;1
195712;0.9;1
195801;1.6;1
195802;3.2;1
195803;0.7;1
195804;3.6;1
195805;8.3;1
195806;9.3;1
195807;11.4;1
195808;12.9;1
195809;10.7;1
195810;7.5;1
195811;2.4;1
195812;1.5;1
195901;-1.8;1
195902;-1.7;1
195903;3.3;1
195904;5.9;1
195905;8.9;1
195906;9.6;1
195907;12.4;1
195908;13.1;1
195909;10.3;1
195910;6.6;1
195911;5.2;1
195912;4.2;1
196001;0.9;1
196002;1;1
196003;4.1;1
196004;5.3;1
196005;7.9;1
196006;10.6;1
196007;11.7;1
196008;11.9;1
196009;8.8;1
196010;8.1;1
196011;6.9;1
196012;2.2;1
196101;1.1;1
196102;4.7;1
196103;2.3;1
196104;7.6;1
196105;6.1;1
196106;9.6;1
196107;11.5;1
196108;12;1
196109;12.7;1
196110;8.6;1
196111;4;1
196112;1.4;1
196201;3.7;1
196202;1.7;1
196203;-0.2;1
196204;5.4;1
196205;7;1
196206;8.8;1
196207;11;1
196208;10.3;1
196209;8.6;1
196210;6.1;1
196211;2.7;1
196212;-1.9;1
196301;-6;1
196302;-5.5;1
196303;2.8;1
196304;4.9;1
196305;6.5;1
196306;11.2;1
196307;12;1
196308;11.5;1
196309;11.2;1
196310;7.5;1
196311;6.8;1
196312;-1.8;1
196401;-1.6;1
196402;3;1
196403;1.9;1
196404;5;1
196405;8.4;1
196406;10.3;1
196407;10.3;1
196408;12.2;1
196409;10.5;1
196410;5.4;1
196411;4.5;1
196412;0;1
196501;0.5;1
196502;-1;1
196503;2.2;1
196504;4;1
196505;7.5;1
196506;9.8;1
196507;11.3;1
196508;11.5;1
196509;8.4;1
196510;5.4;1
196511;2.4;1
