# DONNEES MENSUELLES HOMOGENEISEES de TN : Moyenne mensuelle de la température minimale sous abri (en °C et 1/10) 
# NUM_POSTE= 28195001
# NOM_USUEL= HOUX
# LATITUDE (°) = 48.566
# LONGITUDE(°)= 1.621
# ALTITUDE (m) = 107
# NUM_SERIE= MTN228195001
# Amplitude minimale détectable de la série = 0.19
# Période homogénéisée : 195301 202212
# Date(s) de rupture(s) d'homogénéité : 196806 200212 200512
#     Periode homogénéisée  195301 202212  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195301;-2.3;1
195302;-1.3;1
195303;-1.1;1
195304;3.4;1
195305;6.9;1
195306;9.8;1
195307;11.9;1
195308;10.9;1
195309;8.5;1
195310;6.5;1
195311;2.2;1
195312;2.6;1
195401;-2.2;1
195402;-1.8;1
195403;2.7;1
195404;1.3;1
195405;6.2;1
195406;9.4;1
195407;9.7;1
195408;11.2;1
195409;10.1;1
195410;7.7;1
195411;3;1
195412;3.4;1
195501;0.1;1
195502;0.3;1
195503;-1.1;1
195504;1.9;1
195505;5.1;1
195506;9.8;1
195507;12.5;1
195508;10.6;1
195509;7.3;1
195510;3.8;1
195511;1.9;1
195512;3.7;1
195601;0.1;1
195602;-8.7;1
195603;0.5;1
195604;1.7;1
195605;6.1;1
195606;8.7;1
195607;11.4;1
195608;8.9;1
195609;11.4;1
195610;5.8;1
195611;1.1;1
195612;3.2;1
195701;-1.6;1
195702;3.3;1
195703;3.7;1
195704;2.6;1
195705;4.5;1
195706;10;1
195707;13.1;1
195708;11.1;1
195709;9.7;1
195710;5.5;1
195711;3.3;1
195712;-0.4;1
195801;0.8;1
195802;2.7;1
195803;-0.1;1
195804;2.9;1
195805;7.5;1
195806;9.5;1
195807;11.7;1
195808;12.6;1
195809;11.4;1
195810;7.4;1
195811;2.8;1
195812;1.1;1
195901;-1.1;1
195902;-2;1
195903;2.3;1
195904;4.6;1
195905;7.5;1
195906;9;1
195907;11.7;1
195908;11.6;1
195909;7.9;1
195910;4.6;1
195911;3.7;1
195912;2.7;1
196001;-0.3;1
196002;-0.3;1
196003;3.2;1
196004;4.1;1
196005;7.6;1
196006;10.5;1
196007;10.8;1
196008;11.2;1
196009;8.3;1
196010;7.1;1
196011;4.7;1
196012;0.2;1
196101;0.3;1
196102;3.1;1
196103;0.6;1
196104;6.2;1
196105;5.6;1
196106;9.1;1
196107;10.2;1
196108;10.1;1
196109;11;1
196110;7;1
196111;2.7;1
196112;0.7;1
196201;1.8;1
196202;-0.2;1
196203;-0.9;1
196204;4.6;1
196205;6.2;1
196206;7.3;1
196207;9.9;1
196208;9.9;1
196209;7.9;1
196210;5.1;1
196211;2.3;1
196212;-3.8;1
196301;-6.3;1
196302;-7.1;1
196303;1.9;1
196304;4.6;1
196305;5.8;1
196306;10.5;1
196307;10.9;1
196308;10.6;1
196309;10.3;1
196310;5.7;1
196311;5.1;1
196312;-2.5;1
196401;-2.4;1
196402;2;1
196403;1.4;1
196404;3.7;1
196405;7.3;1
196406;9.2;1
196407;10.6;1
196408;11.2;1
196409;9.8;1
196410;4.2;1
196411;2.9;1
196412;-1.6;1
196501;-0.3;1
196502;-2.6;1
196503;1.6;1
196504;3.5;1
196505;6.6;1
196506;10;1
196507;10.4;1
196508;10.3;1
196509;7.9;1
196510;4;1
196511;2.1;1
196512;2.2;1
196601;-2.4;1
196602;4.9;1
196603;0.6;1
196604;5.3;1
196605;6.4;1
196606;11;1
196607;11.2;1
196608;10.5;1
196609;9.3;1
196610;8.1;1
196611;1.6;1
196612;2.9;1
196701;0;1
196702;2.4;1
196703;2.2;1
196704;2.7;1
196705;6.2;1
196706;8;1
196707;11.4;1
196708;10.8;1
196709;10;1
196710;8;1
196711;2.2;1
196712;0.2;1
196801;0.4;1
196802;0;1
196803;1.8;1
196804;3.3;1
196805;6.6;1
196806;10.4;1
196807;10.9;1
196808;12.3;1
196809;10;1
196810;8.7;1
196811;1.9;1
196812;-1;1
196901;2;1
196902;-1.6;1
196903;2.5;1
196904;3.4;1
196905;6.7;1
196906;9;1
196907;12.6;1
196908;11.6;1
196909;10.2;1
196910;4.9;1
196911;2.8;1
196912;-1.7;1
197001;1.3;1
197002;1.3;1
197003;0.7;1
197004;3;1
197005;7.3;1
197006;12.2;1
197007;10.8;1
197008;12.2;1
197009;9.9;1
197010;6.3;1
197011;4.2;1
197012;-1.8;1
197101;-0.2;1
197102;0.3;1
197103;-1;1
197104;3.8;1
197105;8.6;1
197106;9.8;1
197107;11.9;1
197108;12;1
197109;6.9;1
197110;3.1;1
197111;0.8;1
197112;1.7;1
197201;-0.1;1
197202;1.9;1
197203;2.1;1
197204;5.3;1
197205;7.2;1
197206;7.7;1
197207;11.6;1
197208;10.5;1
197209;6.7;1
197210;3.7;1
197211;3.1;1
197212;0.4;1
197301;0;1
197302;0.1;1
197303;-1.7;1
197304;2.3;1
197305;7.3;1
197306;10.2;1
197307;12.2;1
197308;12.9;1
197309;9.8;1
197310;4.7;1
197311;1;1
197312;0.8;1
197401;3.2;1
197402;1.5;1
197403;2.8;1
197404;3;1
197405;6;1
197406;9.4;1
197407;10.2;1
197408;11.1;1
197409;8.9;1
197410;3.9;1
197411;3.9;1
197412;3.9;1
197501;3.6;1
197502;0.1;1
197503;1.3;1
197504;3.8;1
197505;6.3;1
197506;8.5;1
197507;11.2;1
197508;12.8;1
197509;9.8;1
197510;4.7;1
197511;2.8;1
197512;-1.7;1
197601;1;1
197602;0.2;1
197603;-0.3;1
197604;1.7;1
197605;5.9;1
197606;10.7;1
197607;13.5;1
197608;10.1;1
197609;8.1;1
197610;7.7;1
197611;2.6;1
197612;-0.9;1
197701;0.5;1
197702;3.1;1
197703;2.6;1
197704;2.2;1
197705;6.6;1
197706;9.7;1
197707;11.7;1
197708;9.3;1
197709;6.3;1
197710;7.4;1
197711;3;1
197712;1.7;1
197801;-0.6;1
197802;0;1
197803;2.7;1
197804;2.7;1
197805;7.5;1
197806;9.4;1
197807;10.7;1
197808;9.3;1
197809;7.6;1
197810;4.7;1
197811;0.4;1
197812;1.7;1
197901;-5.7;1
197902;0;1
197903;2.6;1
197904;3.9;1
197905;6.5;1
197906;10.5;1
197907;10.1;1
197908;11;1
197909;8.3;1
197910;7.6;1
197911;2.4;1
197912;3.2;1
198001;-1.9;1
198002;2.4;1
198003;2;1
198004;2.9;1
198005;5.4;1
198006;9.3;1
198007;11.3;1
198008;11.7;1
198009;9.6;1
198010;5.4;1
198011;1.4;1
198012;0;1
198101;0.3;1
198102;-1.9;1
198103;5.5;1
198104;4.6;1
198105;7.7;1
198106;9.3;1
198107;11.3;1
198108;10.6;1
198109;9.3;1
198110;6.6;1
198111;3.4;1
198112;0.7;1
198201;0.4;1
198202;1.2;1
198203;1.1;1
198204;1.8;1
198205;6.7;1
198206;11.7;1
198207;12.2;1
198208;10.7;1
198209;9.8;1
198210;6.9;1
198211;4.6;1
198212;1.8;1
198301;2.4;1
198302;-1.3;1
198303;2.4;1
198304;3.1;1
198305;6.1;1
198306;10.5;1
198307;14.3;1
198308;12.2;1
198309;9.5;1
