# DONNEES MENSUELLES HOMOGENEISEES de TN : Moyenne mensuelle de la température minimale sous abri (en °C et 1/10) 
# NUM_POSTE= 28198001
# NOM_USUEL= CHATEAUDUN
# LATITUDE (°) = 48.061
# LONGITUDE(°)= 1.376
# ALTITUDE (m) = 126
# NUM_SERIE= MTN228198001
# Amplitude minimale détectable de la série = 0.17
# Période homogénéisée : 195301 202212
# Date(s) de rupture(s) d'homogénéité : 197612 197912 200902 202012
#     Periode homogénéisée  195301 202212  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195301;-3.1;1
195302;-1.8;1
195303;-0.6;1
195304;3.7;1
195305;7.3;1
195306;9.6;1
195307;12;1
195308;11.4;1
195309;9.2;1
195310;6.7;1
195311;1.2;1
195312;2.5;1
195401;-2.4;1
195402;-2.3;1
195403;1.8;1
195404;2.1;1
195405;5.9;1
195406;9.2;1
195407;9.3;1
195408;10.9;1
195409;9.4;1
195410;6.5;1
195411;2.1;1
195412;3.1;1
195501;-0.9;1
195502;-0.3;1
195503;-2.2;1
195504;2.2;1
195505;4.7;1
195506;9.8;1
195507;13;1
195508;12;1
195509;8.4;1
195510;3.6;1
195511;1.2;1
195512;3.1;1
195601;-0.4;1
195602;-8.9;1
195603;0.1;1
195604;1.8;1
195605;6.6;1
195606;8.3;1
195607;11.2;1
195608;9.3;1
195609;10.7;1
195610;4.7;1
195611;0.6;1
195612;2.3;1
195701;-2.2;1
195702;2.2;1
195703;3.2;1
195704;3.2;1
195705;4.2;1
195706;10.1;1
195707;12.7;1
195708;10.9;1
195709;8.9;1
195710;5.6;1
195711;2.7;1
195712;-0.5;1
195801;0.1;1
195802;2.2;1
195803;-0.7;1
195804;2.7;1
195805;7.2;1
195806;9.2;1
195807;10.7;1
195808;11.8;1
195809;10.8;1
195810;6.5;1
195811;2.7;1
195812;1;1
195901;-1;1
195902;-2;1
195903;2.1;1
195904;4.6;1
195905;7.6;1
195906;9.3;1
195907;12.3;1
195908;12;1
195909;9.3;1
195910;5.2;1
195911;2.7;1
195912;2.3;1
196001;-0.9;1
196002;-0.4;1
196003;2.9;1
196004;4.1;1
196005;7.7;1
