# DONNEES MENSUELLES HOMOGENEISEES de TN : Moyenne mensuelle de la température minimale sous abri (en °C et 1/10) 
# NUM_POSTE= 34154001
# NOM_USUEL= MONTPELLIER-AEROPORT
# LATITUDE (°) = 43.576
# LONGITUDE(°)= 3.965
# ALTITUDE (m) = 1
# NUM_SERIE= MTN234154001
# Amplitude minimale détectable de la série = 0.19
# Période homogénéisée : 195101 201912
# Date(s) de rupture(s) d'homogénéité : 195212 196212 197412 198912
#     Periode homogénéisée  195101 201912  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195101;3.2;1
195102;3.8;1
195103;5.3;1
195104;8;1
195105;10.7;1
195106;14.8;1
195107;16.9;1
195108;17.4;1
195109;14.5;1
195110;9.9;1
195111;8.9;1
195112;3.9;1
195201;0.8;1
195202;0.4;1
195203;7.4;1
195204;8.7;1
195205;11.9;1
195206;16.7;1
195207;18.6;1
195208;17.5;1
195209;12.6;1
195210;10.3;1
195211;5.1;1
195212;2.7;1
195301;-1.6;1
195302;-0.3;1
195303;4;1
195304;8.4;1
195305;12.9;1
195306;15.2;1
195307;17.5;1
195308;17.8;1
195309;15.4;1
195310;11.7;1
195311;5.6;1
195312;8.7;1
195401;1.1;1
195402;1;1
195403;6.9;1
195404;7.8;1
195405;11.3;1
195406;15.5;1
195407;16.1;1
195408;16.1;1
195409;14.7;1
195410;9.9;1
195411;8;1
195412;4.6;1
195501;6;1
195502;4.1;1
195503;3.2;1
195504;7.4;1
195505;11.7;1
195506;15.4;1
195507;18;1
195508;17.2;1
195509;14.6;1
195510;9.2;1
195511;6.1;1
195512;5.8;1
195601;3.6;1
195602;-5;1
195603;6.4;1
195604;7.8;1
195605;12.3;1
195606;13.8;1
195607;17;1
195608;16.6;1
195609;15.4;1
195610;9.5;1
195611;3.8;1
195612;2.8;1
195701;0.6;1
195702;6;1
195703;7.2;1
195704;8.4;1
195705;10.6;1
195706;15;1
195707;17.3;1
195708;16.5;1
195709;13.4;1
195710;9.3;1
195711;5.4;1
195712;3.1;1
195801;2.7;1
195802;5;1
195803;4.9;1
195804;7.6;1
195805;12.5;1
195806;14.6;1
195807;16.9;1
195808;18;1
195809;16.1;1
195810;10.4;1
195811;6.2;1
195812;4.6;1
195901;2.3;1
195902;2.9;1
195903;8.7;1
195904;8.5;1
195905;12.1;1
195906;15.5;1
195907;18.4;1
195908;17.2;1
195909;16.1;1
195910;11.7;1
195911;5.2;1
195912;5.5;1
196001;2.1;1
196002;4.4;1
196003;7.9;1
196004;8.4;1
196005;12.2;1
196006;15.9;1
196007;17.3;1
196008;16.9;1
196009;13.1;1
196010;11.2;1
196011;7;1
196012;2.8;1
196101;1.7;1
196102;6;1
196103;4.8;1
196104;10.5;1
196105;12.3;1
196106;16.1;1
196107;17.1;1
196108;16.2;1
196109;16.8;1
196110;11.8;1
196111;6.4;1
196112;3.9;1
196201;5;1
196202;2.7;1
196203;3.7;1
196204;8.3;1
196205;10.8;1
196206;14;1
196207;16.5;1
196208;17.5;1
196209;14.5;1
196210;11.7;1
196211;4.7;1
196212;0.9;1
196301;-0.3;1
196302;-0.8;1
196303;5.9;1
196304;8.7;1
196305;10.7;1
196306;15.5;1
196307;18.1;1
196308;16.1;1
196309;14.6;1
196310;9.5;1
196311;9.5;1
196312;2.4;1
196401;1.5;1
196402;4.3;1
196403;5.9;1
196404;9.3;1
196405;12.9;1
196406;16.6;1
196407;17.9;1
196408;17.4;1
196409;15.8;1
196410;8.9;1
196411;5.7;1
196412;2.8;1
196501;2.6;1
196502;-0.3;1
196503;5.7;1
196504;9.1;1
196505;11.4;1
196506;15.5;1
196507;17;1
196508;16.4;1
196509;13.7;1
196510;12.9;1
196511;7.3;1
196512;5.2;1
196601;2.8;1
196602;7.6;1
196603;4.8;1
196604;9.5;1
196605;12.5;1
196606;15.7;1
196607;16.6;1
196608;15.9;1
196609;15.1;1
196610;13.3;1
196611;4.5;1
196612;4.8;1
196701;2.1;1
196702;4;1
196703;7.7;1
196704;7.9;1
196705;11.4;1
196706;13.8;1
196707;18.7;1
196708;17.7;1
196709;15.3;1
196710;13.4;1
196711;8.2;1
196712;0.2;1
196801;1.2;1
196802;4.9;1
196803;5.4;1
196804;8.6;1
196805;11.6;1
196806;14.8;1
196807;16.6;1
196808;16.5;1
196809;14;1
196810;12.1;1
196811;6.9;1
196812;3.4;1
196901;2.8;1
196902;1.2;1
196903;7.3;1
196904;8.7;1
196905;12.2;1
196906;13.9;1
196907;17.3;1
196908;17.6;1
196909;14.3;1
196910;11.3;1
196911;5.9;1
196912;-0.3;1
197001;4.3;1
197002;5.4;1
197003;3.7;1
197004;7.3;1
197005;11.8;1
197006;16.4;1
197007;17.5;1
197008;17.5;1
197009;15;1
197010;10.1;1
197011;7.2;1
197012;1.2;1
197101;1.9;1
197102;2.8;1
197103;2.4;1
197104;10.1;1
197105;12.8;1
197106;14.8;1
197107;17.2;1
197108;18.6;1
197109;14.2;1
197110;11.2;1
197111;4.1;1
197112;4.7;1
197201;4.4;1
197202;6.5;1
197203;6.7;1
197204;8.8;1
197205;10.8;1
197206;13.9;1
197207;16.7;1
197208;15.6;1
197209;11.6;1
197210;10.1;1
197211;7.3;1
197212;4.2;1
197301;1.9;1
197302;2;1
197303;2.4;1
197304;6.3;1
197305;12.5;1
197306;15.8;1
197307;17.7;1
197308;18.1;1
197309;14.8;1
197310;8.1;1
197311;6.4;1
197312;2.8;1
197401;4.8;1
197402;5.1;1
197403;6.8;1
197404;7.3;1
197405;11.3;1
197406;14.7;1
197407;16.9;1
197408;17;1
197409;13.7;1
197410;6.3;1
197411;6.2;1
197412;5.5;1
197501;3.9;1
197502;3.9;1
197503;4.7;1
197504;6.8;1
197505;10.9;1
197506;14.6;1
197507;17.1;1
197508;18;1
197509;15.1;1
197510;8.1;1
197511;6.2;1
197512;2.4;1
197601;1.6;1
197602;4.7;1
197603;4.2;1
197604;7.7;1
197605;11.4;1
197606;15.2;1
197607;18.6;1
197608;16.3;1
197609;13.4;1
197610;10.9;1
197611;4.5;1
197612;4.2;1
197701;3.9;1
197702;5.6;1
197703;6.6;1
197704;8.2;1
197705;11.7;1
197706;14.3;1
197707;16.8;1
197708;15.9;1
197709;12.4;1
197710;13;1
197711;6.3;1
197712;4.6;1
197801;2.8;1
197802;4.1;1
197803;6.7;1
197804;7.3;1
197805;11.1;1
197806;13.8;1
197807;16.4;1
197808;16.3;1
197809;14.4;1
197810;8.9;1
197811;5.2;1
197812;5;1
197901;2;1
197902;4.7;1
197903;7.2;1
197904;7.7;1
197905;11.5;1
197906;16.2;1
197907;18.1;1
197908;17;1
197909;13.8;1
197910;13.3;1
197911;5.2;1
197912;3.2;1
198001;2.9;1
198002;6.1;1
198003;5.3;1
198004;7.2;1
198005;11.1;1
198006;14.5;1
198007;15.9;1
198008;18.2;1
198009;15.1;1
198010;9.6;1
198011;6.2;1
198012;0.1;1
198101;1.5;1
198102;0.5;1
198103;7.8;1
198104;8.8;1
198105;11.1;1
198106;15.1;1
198107;16.7;1
198108;16.7;1
198109;15.4;1
198110;10.8;1
198111;5.1;1
198112;4.1;1
198201;5.3;1
198202;4.7;1
198203;4.6;1
198204;7.3;1
198205;10.8;1
198206;17;1
198207;19.7;1
198208;17.4;1
198209;16.6;1
198210;10.9;1
198211;8.3;1
198212;3.7;1
198301;2.8;1
198302;1.2;1
198303;5.8;1
198304;8.9;1
198305;11.6;1
198306;15.4;1
198307;19.8;1
198308;18.3;1
198309;14.9;1
198310;10.6;1
198311;8;1
198312;2.9;1
198401;3.1;1
198402;1.9;1
198403;4.1;1
198404;6.3;1
198405;10.2;1
198406;14.7;1
198407;17.9;1
198408;17.1;1
198409;13.7;1
198410;10.9;1
198411;9.5;1
198412;2.8;1
198501;-1.8;1
198502;4.2;1
198503;4.1;1
198504;8.9;1
198505;10.5;1
198506;14.5;1
198507;18.7;1
198508;16.5;1
198509;14.9;1
198510;12.1;1
198511;3.6;1
198512;3.6;1
198601;3.3;1
198602;0.9;1
198603;5.6;1
198604;7.3;1
198605;13.2;1
198606;15.4;1
198607;18.3;1
198608;17.7;1
198609;15.9;1
198610;12.9;1
198611;7.4;1
198612;4.5;1
198701;-1.4;1
198702;3.7;1
198703;4.5;1
198704;9;1
198705;10.7;1
198706;14.8;1
198707;18.6;1
198708;18.2;1
198709;17.6;1
198710;13.8;1
198711;6.2;1
198712;4.3;1
198801;6.4;1
198802;3.4;1
198803;5.8;1
198804;9.7;1
198805;12.9;1
198806;15.4;1
198807;18;1
198808;17.9;1
198809;13.9;1
198810;13;1
198811;6.3;1
198812;2.9;1
198901;2.4;1
198902;3.4;1
198903;7.3;1
198904;8.3;1
198905;12.7;1
198906;15.5;1
198907;19.7;1
198908;19.3;1
198909;15;1
198910;11.2;1
198911;7.7;1
198912;6.1;1
199001;1.5;1
199002;8.1;1
199003;6.5;1
199004;7.7;1
199005;13.5;1
199006;15.7;1
199007;18.9;1
199008;18.8;1
199009;14.8;1
199010;13.4;1
199011;6.7;1
199012;1;1
199101;2.4;1
199102;1.6;1
199103;8.8;1
199104;7.2;1
199105;10.9;1
199106;15.3;1
199107;18.9;1
199108;19.6;1
199109;17.2;1
199110;10.2;1
199111;6.8;1
199112;3.1;1
199201;1;1
199202;3.5;1
199203;7;1
199204;9;1
199205;13.6;1
199206;14.7;1
199207;18.3;1
199208;19.5;1
199209;14.4;1
199210;10.4;1
199211;8.2;1
199212;6;1
199301;2.8;1
199302;2.1;1
199303;4.9;1
