# DONNEES MENSUELLES HOMOGENEISEES de TN : Moyenne mensuelle de la température minimale sous abri (en °C et 1/10) 
# NUM_POSTE= 37179001
# NOM_USUEL= TOURS
# LATITUDE (°) = 47.445
# LONGITUDE(°)= 0.727
# ALTITUDE (m) = 108
# NUM_SERIE= MTN237179001
# Amplitude minimale détectable de la série = 0.16
# Période homogénéisée : 195301 202212
# Date(s) de rupture(s) d'homogénéité : 195910 197812 198112
#     Periode homogénéisée  195301 202212  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195301;-2.2;1
195302;-0.6;1
195303;2.3;1
195304;5.5;1
195305;9.6;1
195306;10.7;1
195307;13.2;1
195308;13.1;1
195309;10.7;1
195310;8.5;1
195311;2.4;1
195312;5.3;1
195401;-0.4;1
195402;-0.6;1
195403;3.9;1
195404;3.5;1
195405;7.8;1
195406;10.9;1
195407;11.1;1
195408;12.5;1
195409;11.4;1
195410;8.7;1
195411;4.2;1
195412;4.9;1
195501;2;1
195502;1.5;1
195503;0;1
195504;4.7;1
195505;7.2;1
195506;11.8;1
195507;14.1;1
195508;13.3;1
195509;10;1
195510;5.5;1
195511;2.9;1
195512;4.8;1
195601;1.7;1
195602;-7.6;1
195603;2.6;1
195604;3.3;1
195605;8.4;1
195606;9.3;1
195607;12.7;1
195608;11.1;1
195609;11.9;1
195610;6.8;1
195611;1.9;1
195612;4;1
195701;-0.4;1
195702;4.5;1
195703;6.1;1
195704;4.8;1
195705;6.4;1
195706;11.9;1
195707;14;1
195708;12.4;1
195709;10.5;1
195710;7.7;1
195711;3.7;1
195712;1.4;1
195801;1.9;1
195802;4;1
195803;1.3;1
195804;4.1;1
195805;8.9;1
195806;10.9;1
195807;12.8;1
195808;14.1;1
195809;12.5;1
195810;8.1;1
195811;4.1;1
195812;3.1;1
195901;0.7;1
195902;0.8;1
195903;4.5;1
195904;6.1;1
195905;9.3;1
195906;11;1
195907;13.7;1
195908;13.6;1
195909;11.7;1
195910;7.6;1
195911;4.4;1
195912;4.1;1
196001;0.3;1
196002;1.7;1
196003;5;1
196004;5.6;1
196005;9.2;1
196006;12.4;1
196007;12;1
196008;12.4;1
196009;10;1
196010;7.7;1
196011;5.9;1
196012;1.4;1
196101;1.5;1
196102;4.1;1
196103;3.6;1
196104;7.7;1
196105;7.6;1
196106;11.3;1
196107;12;1
196108;11.8;1
196109;13.8;1
196110;8.7;1
196111;4.1;1
196112;2.2;1
196201;2.7;1
196202;0.9;1
196203;0.7;1
196204;5.2;1
196205;7.2;1
196206;9.5;1
196207;11.6;1
196208;12.2;1
196209;10;1
196210;7.3;1
196211;3.2;1
196212;-1.6;1
196301;-4.8;1
196302;-4.7;1
196303;3.8;1
196304;5.7;1
196305;7.6;1
196306;11.7;1
196307;12.3;1
196308;12.5;1
196309;11.5;1
196310;8;1
196311;6.3;1
196312;-1.5;1
196401;-1.6;1
196402;2.8;1
196403;2.9;1
196404;5.4;1
196405;9.6;1
196406;11;1
196407;12.7;1
196408;12.7;1
196409;12.3;1
196410;5.9;1
196411;4.8;1
196412;0.6;1
196501;1.6;1
196502;-0.8;1
196503;4;1
196504;4.7;1
196505;8.4;1
196506;10.8;1
196507;11.2;1
196508;11.7;1
196509;9.3;1
196510;7.6;1
196511;3.4;1
196512;3.4;1
196601;0.3;1
196602;5.9;1
196603;2.2;1
196604;7.2;1
196605;8.1;1
196606;12;1
196607;11.9;1
196608;12.1;1
196609;11.6;1
196610;9.6;1
196611;2;1
196612;4.2;1
196701;1.8;1
196702;3.4;1
196703;4.2;1
196704;4.4;1
196705;7.7;1
196706;10;1
196707;13.1;1
196708;12.4;1
196709;10.6;1
196710;9.5;1
196711;3.7;1
196712;0.8;1
196801;1.7;1
196802;1.6;1
196803;3.5;1
196804;5;1
196805;7.1;1
196806;11;1
196807;12;1
196808;12.8;1
196809;10.6;1
196810;9.6;1
196811;3.3;1
196812;0.7;1
196901;3.2;1
196902;-0.2;1
196903;4.1;1
196904;5.6;1
196905;8.4;1
196906;9.6;1
196907;13;1
196908;12.7;1
196909;11.5;1
196910;7.4;1
196911;4.1;1
196912;-0.3;1
197001;1.7;1
197002;2.6;1
197003;2.2;1
197004;4;1
197005;7.9;1
197006;12.8;1
197007;11.7;1
197008;13.6;1
197009;11.5;1
197010;6.7;1
197011;5.4;1
197012;-0.2;1
197101;1.1;1
197102;1.2;1
197103;0.5;1
197104;5.8;1
197105;9.3;1
197106;10.4;1
197107;13.5;1
197108;12.6;1
197109;10.1;1
197110;6;1
197111;1.8;1
197112;2.2;1
197201;1.5;1
197202;3.4;1
197203;4.3;1
197204;5.8;1
197205;7.4;1
197206;8.5;1
197207;12.1;1
197208;11.5;1
197209;7.9;1
197210;5.7;1
197211;3.9;1
197212;2.1;1
197301;0.8;1
197302;0.7;1
197303;1.4;1
197304;2.9;1
197305;8.6;1
197306;11.2;1
197307;12.9;1
197308;14;1
197309;11.5;1
197310;6.1;1
197311;2.5;1
197312;1.6;1
197401;4.5;1
197402;3;1
197403;4.2;1
197404;4.7;1
197405;6.9;1
197406;10.1;1
197407;10.8;1
197408;12.1;1
197409;10.1;1
197410;4.4;1
197411;5.1;1
197412;4.9;1
197501;4.1;1
197502;2.2;1
197503;2.5;1
197504;5.5;1
197505;7.4;1
197506;10.4;1
197507;12.9;1
197508;14.3;1
197509;11.2;1
197510;6.1;1
197511;4;1
197512;0.4;1
197601;2.1;1
197602;2.2;1
197603;2.2;1
197604;4;1
197605;7.9;1
197606;12.8;1
197607;14.6;1
197608;13.8;1
197609;10.1;1
197610;9;1
197611;3.6;1
197612;1.1;1
197701;1.9;1
197702;5;1
197703;4.8;1
197704;4;1
197705;7.8;1
197706;10.7;1
197707;13.2;1
197708;11.5;1
197709;8.9;1
197710;9.2;1
197711;4.3;1
197712;3.3;1
197801;1.5;1
197802;2.3;1
197803;4.6;1
197804;4.2;1
197805;8.6;1
197806;10.2;1
197807;12.3;1
197808;10.9;1
197809;9.6;1
197810;6.7;1
197811;1.8;1
197812;4.1;1
197901;-2.6;1
197902;2;1
197903;3.8;1
197904;4.8;1
197905;7.5;1
197906;11.3;1
197907;12.1;1
197908;11.7;1
197909;10;1
197910;8.7;1
197911;3.3;1
197912;3.4;1
198001;-0.7;1
198002;3.6;1
198003;3.1;1
198004;4.3;1
198005;6.6;1
198006;10.5;1
198007;11.5;1
198008;13.5;1
198009;11.1;1
198010;6.4;1
198011;2.2;1
198012;0.5;1
198101;1.7;1
198102;0.5;1
198103;7.4;1
198104;6.6;1
198105;9.2;1
198106;10.8;1
198107;12.9;1
198108;13.6;1
198109;11.7;1
198110;8.2;1
198111;4.6;1
198112;2.5;1
198201;4.2;1
198202;3.6;1
198203;3.1;1
198204;3.9;1
198205;8.4;1
198206;13.1;1
198207;14;1
198208;12.5;1
198209;12.4;1
198210;8.3;1
198211;5.8;1
198212;3.3;1
198301;3.2;1
198302;0.4;1
198303;3.9;1
198304;5.2;1
198305;7.6;1
198306;12.8;1
198307;16.6;1
198308;14.3;1
198309;11.3;1
198310;7.1;1
198311;3.9;1
198312;1.4;1
198401;2.4;1
198402;1.3;1
198403;1.4;1
198404;3.8;1
198405;6.5;1
198406;11;1
198407;12.3;1
198408;12.8;1
198409;10.4;1
198410;8.5;1
198411;6.8;1
198412;2.2;1
198501;-3.6;1
198502;0;1
198503;1.6;1
198504;6;1
198505;8.6;1
198506;10.8;1
198507;13.9;1
198508;11.7;1
198509;10.8;1
198510;6.3;1
198511;0.8;1
198512;2.5;1
198601;2.2;1
198602;-4.8;1
198603;2;1
198604;3.4;1
198605;8.6;1
198606;12.4;1
198607;12.3;1
198608;11.6;1
198609;8.7;1
198610;9.4;1
198611;4.9;1
198612;2.8;1
198701;-4.3;1
198702;1.3;1
198703;1.8;1
198704;6.8;1
198705;6.6;1
198706;11.5;1
198707;13.7;1
198708;12.8;1
198709;13.5;1
198710;9.3;1
198711;3.9;1
198712;2.8;1
198801;4.8;1
198802;2.1;1
198803;4.4;1
198804;5.9;1
198805;10.6;1
198806;11.8;1
198807;12.3;1
198808;12.7;1
198809;11.2;1
198810;9.1;1
198811;2.2;1
198812;4.3;1
198901;1.3;1
198902;2.5;1
198903;5.5;1
198904;4.4;1
198905;10.4;1
198906;11.1;1
198907;14.5;1
198908;12.9;1
198909;11;1
198910;9.1;1
198911;3.5;1
198912;2.9;1
199001;3.3;1
199002;6.2;1
199003;3.7;1
199004;5.1;1
199005;10.6;1
199006;10.9;1
199007;13.7;1
199008;14.5;1
199009;9.4;1
199010;9.6;1
199011;4.9;1
199012;1;1
199101;2.2;1
199102;-2.6;1
199103;5.9;1
199104;4.5;1
199105;7.1;1
199106;10.3;1
199107;13.6;1
199108;14.1;1
199109;13.1;1
199110;6.9;1
199111;3.7;1
199112;1;1
199201;0.3;1
199202;1.3;1
199203;4.2;1
199204;4.6;1
199205;9.3;1
199206;11.9;1
199207;14;1
199208;15.1;1
199209;9.9;1
199210;6.1;1
199211;6.7;1
199212;2.7;1
199301;4.5;1
199302;0;1
199303;2.7;1
199304;6.6;1
199305;9.5;1
199306;12.6;1
199307;12.4;1
199308;11.8;1
199309;10.3;1
199310;7.2;1
199311;0.8;1
199312;4.1;1
199401;3.6;1
199402;3.1;1
199403;5.7;1
199404;4.9;1
199405;9.2;1
199406;11.8;1
199407;15.6;1
199408;14.9;1
199409;11.3;1
199410;8.6;1
199411;8.4;1
199412;5.1;1
199501;2;1
199502;5.8;1
199503;2.8;1
199504;5.9;1
199505;8.3;1
199506;10.6;1
199507;15.8;1
