# DONNEES MENSUELLES HOMOGENEISEES de TN : Moyenne mensuelle de la température minimale sous abri (en °C et 1/10) 
# NUM_POSTE= 40304001
# NOM_USUEL= SOORTS-HOSSEGOR
# LATITUDE (°) = 43.67
# LONGITUDE(°)= -1.426
# ALTITUDE (m) = 10
# NUM_SERIE= MTN240304001
# Amplitude minimale détectable de la série = 0.16
# Période homogénéisée : 195901 202212
# Date(s) de rupture(s) d'homogénéité : 197812 199512 199912 201311 201909
#     Periode homogénéisée  195901 202212  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195901;3.3;1
195902;1.1;1
195903;6.9;1
195904;8.3;1
195905;11.4;1
195906;14.4;1
195907;16.9;1
195908;15.3;1
195909;15.4;1
195910;10.9;1
195911;7.1;1
195912;7.2;1
196001;3.5;1
196002;3.9;1
196003;7.3;1
196004;7.9;1
196005;11.9;1
196006;15.4;1
196007;14.7;1
196008;15.3;1
196009;13.2;1
196010;10.4;1
196011;8.1;1
196012;3.4;1
196101;3.4;1
196102;6.5;1
196103;4.1;1
196104;9.9;1
196105;10.5;1
196106;14.1;1
196107;15.7;1
196108;14.7;1
196109;16.1;1
196110;11.3;1
196111;6.1;1
196112;5.2;1
196201;5.1;1
196202;2.6;1
196203;3.5;1
196204;7.5;1
196205;10.6;1
196206;12.1;1
196207;14.5;1
196208;15.3;1
196209;13.7;1
196210;10.9;1
196211;3.9;1
196212;1.7;1
196301;-0.2;1
196302;0.8;1
196303;6.2;1
196304;7.7;1
196305;10.2;1
196306;13.6;1
196307;16.2;1
196308;15;1
196309;13.8;1
196310;10.5;1
196311;8.9;1
196312;0.8;1
196401;0;1
196402;4.7;1
196403;5.4;1
196404;8.1;1
196405;11.4;1
196406;13.7;1
196407;16.1;1
196408;15.8;1
196409;15.8;1
196410;8.8;1
196411;5.9;1
196412;1.9;1
196501;3.6;1
196502;0.4;1
196503;5.6;1
196504;8.9;1
196505;10.8;1
196506;13.4;1
196507;14.5;1
196508;15.1;1
196509;12.4;1
196510;11.5;1
196511;7.7;1
196512;7.2;1
196601;4.6;1
196602;8.1;1
196603;3.8;1
196604;8.9;1
196605;10.9;1
196606;13.8;1
196607;14.9;1
196608;15;1
196609;14.7;1
196610;11.5;1
196611;5.3;1
196612;7.1;1
196701;2.6;1
196702;3.6;1
196703;6.5;1
196704;6.4;1
196705;10.4;1
196706;12.4;1
196707;16.3;1
196708;14.6;1
196709;13.7;1
196710;12.5;1
196711;7.8;1
196712;3.1;1
196801;4.7;1
196802;4.9;1
196803;4.4;1
196804;8;1
196805;9.3;1
196806;12.3;1
196807;14.6;1
196808;16.1;1
196809;13.6;1
196810;11.9;1
196811;7.3;1
196812;5.4;1
196901;4.6;1
196902;1.3;1
196903;5.4;1
196904;8.8;1
196905;10.9;1
196906;12.6;1
196907;16.7;1
196908;16.5;1
196909;13.3;1
196910;10.3;1
196911;6;1
196912;3.3;1
197001;5.4;1
197002;6;1
197003;3.6;1
197004;7;1
197005;10.8;1
197006;15.6;1
197007;15.5;1
197008;16.7;1
197009;14.2;1
197010;7.9;1
197011;8.6;1
197012;2.4;1
197101;3.7;1
197102;2.5;1
197103;1.7;1
197104;9.1;1
197105;11.9;1
197106;12.4;1
197107;17.8;1
197108;16.6;1
197109;13.5;1
197110;10.8;1
197111;4;1
197112;3.7;1
