# DONNEES MENSUELLES HOMOGENEISEES de TN : Moyenne mensuelle de la température minimale sous abri (en °C et 1/10) 
# NUM_POSTE= 41097001
# NOM_USUEL= ROMORANTIN
# LATITUDE (°) = 47.32
# LONGITUDE(°)= 1.688
# ALTITUDE (m) = 83
# NUM_SERIE= MTN241097001
# Amplitude minimale détectable de la série = 0.18
# Période homogénéisée : 195301 202212
# Date(s) de rupture(s) d'homogénéité : 197103 198812 199012 200108 201412
#     Periode homogénéisée  195301 202212  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195301;-2.4;1
195302;-1.5;1
195303;-1.3;1
195304;2.9;1
195305;6.8;1
195306;9.1;1
195307;10.9;1
195308;9.2;1
195309;7.6;1
195310;5.6;1
195311;0.2;1
195312;2.9;1
195401;-2.6;1
195402;-2.1;1
195403;1.5;1
195404;1.6;1
195405;5.4;1
195406;8.6;1
195407;9.1;1
195408;10.5;1
195409;9.5;1
195410;5.9;1
195411;1.9;1
195412;3.2;1
195501;0.6;1
195502;-0.3;1
195503;-2;1
195504;1.8;1
195505;4.5;1
195506;9.9;1
195507;12;1
195508;9.1;1
195509;7;1
195510;2.8;1
195511;0.1;1
195512;3.5;1
195601;-0.3;1
195602;-10.1;1
195603;0.1;1
195604;0.5;1
195605;5.6;1
195606;7.6;1
195607;10.6;1
195608;8.8;1
195609;9.6;1
195610;4.1;1
195611;-0.5;1
195612;1.6;1
195701;-2.8;1
195702;2.6;1
195703;2.9;1
195704;1.4;1
195705;3.4;1
195706;9.5;1
195707;12.4;1
195708;10;1
195709;8;1
195710;4.8;1
195711;2.1;1
195712;-0.9;1
195801;0;1
195802;2.4;1
195803;-0.3;1
195804;2.3;1
195805;7.1;1
195806;9.1;1
195807;10.9;1
195808;12.1;1
195809;10.5;1
195810;5.7;1
195811;2.8;1
195812;1.3;1
195901;-0.9;1
195902;-2.5;1
195903;1.6;1
195904;3.4;1
195905;7;1
195906;9;1
195907;10.7;1
195908;10.8;1
195909;7.6;1
195910;4.4;1
195911;3.3;1
195912;3;1
196001;-1.2;1
196002;-0.1;1
196003;2.4;1
196004;2.9;1
196005;6.1;1
196006;9.8;1
196007;10.1;1
196008;10.2;1
196009;7.3;1
196010;6.4;1
196011;4.6;1
