# DONNEES MENSUELLES HOMOGENEISEES de TN : Moyenne mensuelle de la température minimale sous abri (en °C et 1/10) 
# NUM_POSTE= 44020001
# NOM_USUEL= NANTES-BOUGUENAIS
# LATITUDE (°) = 47.15
# LONGITUDE(°)= -1.609
# ALTITUDE (m) = 26
# NUM_SERIE= MTN244020001
# Amplitude minimale détectable de la série = 0.13
# Période homogénéisée : 195501 201612
# Date(s) de rupture(s) d'homogénéité : 195812 198012 199112
#     Periode homogénéisée  195501 201612  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195501;3.1;1
195502;2;1
195503;0.8;1
195504;6;1
195505;7.6;1
195506;12.3;1
195507;15.3;1
195508;14.3;1
195509;10.9;1
195510;6.6;1
195511;3.9;1
195512;5.7;1
195601;2.7;1
195602;-5.6;1
195603;3.6;1
195604;4;1
195605;8.9;1
195606;10.4;1
195607;13.6;1
195608;11.3;1
195609;13.1;1
195610;8.2;1
195611;3.3;1
195612;5.1;1
195701;1.5;1
195702;5.4;1
195703;7.6;1
195704;6.1;1
195705;8.1;1
195706;12.5;1
195707;14.1;1
195708;13.1;1
195709;11.5;1
195710;8.9;1
195711;4.3;1
195712;1.9;1
195801;2.9;1
195802;4.3;1
195803;3.6;1
195804;5;1
195805;9.5;1
195806;11.5;1
195807;13.7;1
195808;14.1;1
195809;13.5;1
195810;9.3;1
195811;4.6;1
195812;3.7;1
195901;1.5;1
195902;1.8;1
195903;5.6;1
195904;6.8;1
195905;9.9;1
195906;11.7;1
195907;13.7;1
195908;14;1
195909;12.7;1
195910;9;1
195911;5.6;1
195912;5.1;1
196001;2.3;1
196002;2.1;1
196003;6;1
196004;6.1;1
196005;9.7;1
196006;12.9;1
196007;12.5;1
196008;12.5;1
196009;10.5;1
196010;8.4;1
196011;7;1
196012;2.1;1
196101;2.7;1
196102;5.7;1
196103;4.2;1
196104;7.8;1
196105;8.8;1
196106;11.2;1
196107;13.6;1
196108;11.7;1
196109;14.2;1
196110;9.4;1
196111;5.4;1
196112;3.3;1
196201;3.3;1
196202;1.7;1
196203;1.7;1
196204;5.9;1
196205;8.1;1
196206;10.8;1
196207;13.3;1
196208;13.1;1
196209;10.8;1
196210;8.3;1
196211;4.2;1
196212;-0.2;1
196301;-3.7;1
196302;-2.4;1
196303;5;1
196304;6.2;1
196305;8.1;1
196306;12;1
196307;13.2;1
196308;12.5;1
196309;11.9;1
196310;8.8;1
196311;7.5;1
196312;-0.3;1
196401;-0.8;1
196402;3;1
196403;4.1;1
196404;6.1;1
196405;10.2;1
196406;12;1
196407;13.5;1
196408;13;1
196409;12.5;1
196410;7.2;1
196411;4.3;1
196412;1.8;1
196501;2.6;1
196502;-0.6;1
196503;4.5;1
196504;5.7;1
196505;9.1;1
196506;11.1;1
196507;11.5;1
196508;12.2;1
196509;9.6;1
196510;9.1;1
196511;5.2;1
196512;4.9;1
196601;2.4;1
196602;6.8;1
196603;3.5;1
196604;8;1
196605;8.8;1
196606;12.5;1
196607;12.2;1
196608;12.6;1
196609;12.9;1
196610;9.9;1
196611;3.1;1
196612;5.1;1
196701;3.1;1
196702;3.5;1
196703;4.3;1
196704;5.4;1
196705;8;1
196706;11.2;1
196707;13.9;1
196708;13.1;1
196709;11;1
196710;9.9;1
196711;4.9;1
196712;1.8;1
196801;2.8;1
196802;1.8;1
196803;3.8;1
196804;5.4;1
196805;7.6;1
196806;12;1
196807;13.2;1
196808;13.9;1
196809;11.4;1
196810;10.6;1
196811;5.4;1
196812;2.5;1
196901;4.1;1
196902;0.6;1
196903;4.6;1
196904;6.4;1
196905;9.1;1
196906;11.3;1
196907;13.9;1
196908;13.5;1
196909;12.6;1
196910;9.5;1
196911;5.3;1
196912;1.6;1
197001;3;1
197002;3.5;1
197003;2.4;1
197004;4.5;1
197005;8.3;1
197006;13.3;1
197007;12.6;1
197008;14.1;1
197009;12.6;1
197010;7.6;1
197011;7.1;1
197012;0.4;1
197101;2.3;1
197102;1.6;1
197103;1.2;1
197104;7;1
197105;9.6;1
197106;10.9;1
197107;15.3;1
197108;13.4;1
197109;12;1
197110;8.1;1
197111;2.8;1
197112;3.1;1
197201;2.1;1
197202;3.7;1
197203;4.8;1
197204;6.4;1
197205;7.9;1
197206;9.4;1
197207;13.4;1
197208;12.2;1
197209;9.4;1
197210;7.6;1
197211;5.2;1
197212;3.9;1
197301;1.5;1
197302;1.5;1
197303;1.6;1
197304;4;1
197305;9.6;1
197306;11.9;1
197307;13.9;1
197308;15.2;1
197309;12.6;1
197310;7.6;1
197311;3.8;1
197312;2.5;1
197401;5;1
197402;3.5;1
197403;4.3;1
197404;5.3;1
197405;8.1;1
197406;11.1;1
197407;12.4;1
197408;12.9;1
197409;10.8;1
197410;5.1;1
197411;6.5;1
197412;6.2;1
197501;5;1
