# DONNEES MENSUELLES HOMOGENEISEES de TN : Moyenne mensuelle de la température minimale sous abri (en °C et 1/10) 
# NUM_POSTE= 46127001
# NOM_USUEL= GOURDON
# LATITUDE (°) = 44.745
# LONGITUDE(°)= 1.397
# ALTITUDE (m) = 260
# NUM_SERIE= MTN246127001
# Amplitude minimale détectable de la série = 0.17
# Période homogénéisée : 195901 202212
# Date(s) de rupture(s) d'homogénéité : 197201 197512 199512
#     Periode homogénéisée  195901 202212  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195901;1;1
195902;0.6;1
195903;6;1
195904;6.9;1
195905;9.3;1
195906;11.9;1
195907;14.5;1
195908;12.1;1
195909;12.6;1
195910;7.5;1
195911;4.1;1
195912;4.5;1
196001;0.1;1
196002;2.3;1
196003;5.6;1
196004;5;1
196005;9.1;1
196006;12.4;1
196007;12.3;1
196008;12.8;1
196009;10.2;1
196010;7.3;1
196011;6.1;1
196012;0.7;1
196101;1.1;1
196102;4.7;1
196103;3;1
196104;8.2;1
196105;8;1
196106;12.3;1
196107;13.2;1
196108;12.2;1
196109;14.4;1
196110;8.9;1
196111;4.3;1
196112;2.9;1
196201;2.7;1
196202;0.5;1
196203;0.9;1
196204;5;1
196205;7.8;1
196206;10.2;1
196207;12.7;1
196208;12.8;1
196209;10.8;1
196210;8;1
196211;1.8;1
196212;-1.3;1
196301;-2.3;1
196302;-2.8;1
196303;4.2;1
196304;5.4;1
196305;6.8;1
196306;11.5;1
196307;13.7;1
196308;12;1
196309;11;1
196310;6.6;1
196311;6.5;1
196312;-0.4;1
196401;-1.3;1
196402;2.2;1
196403;3.2;1
196404;5.9;1
196405;10.3;1
196406;11.7;1
196407;13.5;1
196408;12.9;1
196409;12.9;1
196410;5.6;1
196411;3.8;1
196412;0;1
196501;1.1;1
196502;-1.7;1
196503;4.1;1
196504;5.5;1
196505;8.4;1
196506;11.3;1
196507;12.6;1
196508;11.8;1
196509;9.7;1
196510;10.9;1
196511;4.7;1
196512;3.9;1
196601;2;1
196602;6.3;1
196603;1;1
196604;7.2;1
196605;8.8;1
196606;12.1;1
196607;12.2;1
196608;11.9;1
196609;11.2;1
196610;9.5;1
196611;1.8;1
196612;3.3;1
196701;-0.3;1
196702;2.6;1
196703;3.8;1
196704;4.3;1
196705;7.9;1
196706;10.1;1
196707;14.6;1
196708;12.5;1
196709;10.6;1
196710;10;1
196711;5.2;1
196712;-1.7;1
196801;0;1
196802;2.3;1
196803;2.8;1
196804;6.2;1
196805;7;1
196806;10.3;1
196807;13.1;1
196808;12.2;1
196809;10.7;1
196810;9.4;1
196811;4.8;1
196812;2;1
196901;2;1
196902;-0.7;1
196903;4.2;1
196904;6.3;1
196905;9.1;1
196906;9.6;1
196907;13.3;1
196908;13;1
196909;11.1;1
196910;9.2;1
196911;4;1
196912;-1.5;1
197001;2.2;1
197002;2.6;1
197003;0.8;1
197004;4.3;1
197005;8.3;1
197006;12.8;1
197007;12.5;1
197008;13.6;1
197009;11.1;1
197010;5.7;1
197011;6;1
197012;-0.4;1
197101;1.2;1
197102;-0.4;1
197103;-0.8;1
197104;7.4;1
197105;9.4;1
197106;10.6;1
197107;14.8;1
197108;13.4;1
197109;10.5;1
197110;7.7;1
197111;1;1
197112;1.3;1
197201;1.5;1
197202;3.4;1
197203;4.6;1
197204;5.2;1
197205;6.9;1
197206;8.7;1
197207;12.1;1
197208;12.3;1
