# DONNEES MENSUELLES HOMOGENEISEES de TN : Moyenne mensuelle de la température minimale sous abri (en °C et 1/10) 
# NUM_POSTE= 57039001
# NOM_USUEL= METZ-FRESCATY
# LATITUDE (°) = 49.07
# LONGITUDE(°)= 6.125
# ALTITUDE (m) = 192
# NUM_SERIE= MTN257039001
# Amplitude minimale détectable de la série = 0.14
# Période homogénéisée : 195901 201512
# Date(s) de rupture(s) d'homogénéité : Aucune rupture d'homogénéité
#     Periode homogénéisée  195901 201512  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195901;-1;1
195902;-2.9;1
195903;3.1;1
195904;5.2;1
195905;8.8;1
195906;11.6;1
195907;14.7;1
195908;13.1;1
195909;9.6;1
195910;3.7;1
195911;1.7;1
195912;1.6;1
196001;-1.2;1
196002;0;1
196003;3.5;1
196004;4.1;1
196005;8.3;1
196006;11.8;1
196007;11.5;1
196008;12.5;1
196009;8.8;1
196010;6.9;1
196011;4.7;1
196012;-0.1;1
196101;-0.9;1
196102;2.5;1
196103;2;1
196104;8.1;1
196105;7.2;1
196106;11.4;1
196107;10.9;1
196108;12.3;1
196109;12.6;1
196110;7.4;1
196111;2;1
196112;-0.8;1
196201;1.2;1
196202;-0.8;1
196203;-1.2;1
196204;4.9;1
196205;6.3;1
196206;9.6;1
196207;11.9;1
196208;12.4;1
196209;8.7;1
196210;5.5;1
196211;0.6;1
196212;-4.2;1
196301;-6.7;1
196302;-6.9;1
196303;0.9;1
196304;5.5;1
196305;7.3;1
196306;11.7;1
196307;12.4;1
196308;12.4;1
196309;10.3;1
196310;5.3;1
196311;5.2;1
196312;-4.3;1
196401;-3.3;1
196402;1.4;1
196403;0.7;1
196404;5.4;1
196405;8.6;1
196406;10.8;1
196407;13.3;1
196408;12.5;1
196409;10.5;1
196410;4.6;1
196411;4.2;1
196412;-0.9;1
196501;1;1
196502;-2.6;1
196503;2;1
196504;4.4;1
196505;8.2;1
196506;11.6;1
196507;12;1
196508;11.3;1
196509;8.8;1
196510;4.2;1
196511;1.2;1
196512;2.2;1
196601;-4.1;1
196602;4.1;1
196603;1.2;1
196604;6.1;1
196605;9.1;1
196606;12.5;1
196607;11.4;1
196608;11.8;1
196609;10.3;1
196610;9.4;1
196611;0.3;1
196612;1.1;1
196701;-0.9;1
196702;0.8;1
196703;3.4;1
196704;3.1;1
196705;7.5;1
196706;10.3;1
196707;13.6;1
196708;12.4;1
196709;9.7;1
196710;8.4;1
196711;1.7;1
196712;-1.1;1
196801;-1.2;1
196802;-0.1;1
196803;1.6;1
196804;3.7;1
196805;6.9;1
196806;10.3;1
196807;11.9;1
196808;12.3;1
196809;10.1;1
196810;7.8;1
196811;2.1;1
196812;-2;1
196901;0.6;1
196902;-3.1;1
196903;1.5;1
196904;4.1;1
196905;7.9;1
196906;9.9;1
196907;13.8;1
196908;12.7;1
196909;9.9;1
196910;5.4;1
196911;2.8;1
196912;-3.6;1
197001;-1.2;1
197002;-0.7;1
197003;0.1;1
197004;3.5;1
197005;8.1;1
197006;13;1
197007;11.8;1
197008;12.7;1
197009;9.4;1
197010;7.1;1
197011;3.9;1
197012;-1.2;1
197101;-4.2;1
197102;0.3;1
197103;-1.5;1
197104;4.4;1
197105;9.4;1
197106;10.2;1
197107;13;1
197108;12.7;1
197109;7.6;1
197110;4.5;1
197111;1.2;1
197112;1;1
197201;-1.7;1
197202;0.8;1
197203;1.3;1
197204;4.9;1
197205;7.5;1
197206;9.6;1
197207;13.3;1
197208;12;1
197209;6.9;1
197210;3.6;1
197211;1.9;1
197212;-1.5;1
197301;-1.9;1
197302;-0.5;1
197303;0;1
197304;2.6;1
197305;8.6;1
197306;11.5;1
197307;13.3;1
197308;13.9;1
197309;10.3;1
197310;5.2;1
197311;1.5;1
197312;-0.8;1
197401;2.3;1
197402;1.7;1
197403;4.1;1
197404;4.5;1
197405;7.3;1
197406;10.1;1
197407;11.2;1
197408;13.1;1
197409;9.6;1
197410;4.3;1
197411;3.4;1
197412;4.1;1
197501;2.9;1
197502;-0.8;1
197503;1.4;1
197504;4.4;1
197505;7.4;1
