# DONNEES MENSUELLES HOMOGENEISEES de TN : Moyenne mensuelle de la température minimale sous abri (en °C et 1/10) 
# NUM_POSTE= 64024001
# NOM_USUEL= BIARRITZ-PAYS-BASQUE
# LATITUDE (°) = 43.469
# LONGITUDE(°)= -1.534
# ALTITUDE (m) = 71
# NUM_SERIE= MTN264024001
# Amplitude minimale détectable de la série = 0.13
# Période homogénéisée : 195601 201812
# Date(s) de rupture(s) d'homogénéité : 196001 197212 198612 199212
#     Periode homogénéisée  195601 201812  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195601;4.9;1
195602;-4.3;1
195603;4.8;1
195604;7.3;1
195605;10.5;1
195606;12;1
195607;14.8;1
195608;15;1
195609;14.1;1
195610;9.5;1
195611;4.5;1
195612;4.7;1
195701;1.6;1
195702;7.2;1
195703;8.6;1
195704;7.2;1
195705;9.8;1
195706;13.5;1
195707;16.4;1
195708;15.3;1
195709;13.8;1
195710;9.3;1
195711;5.9;1
195712;3.9;1
195801;4.6;1
195802;6.2;1
195803;6.1;1
195804;6.4;1
195805;11;1
195806;13.1;1
195807;14.9;1
195808;15.6;1
195809;16.1;1
195810;9.2;1
195811;5.9;1
195812;6.6;1
195901;4.3;1
195902;2.7;1
195903;7.2;1
195904;8;1
195905;10.8;1
195906;13.8;1
195907;16.4;1
195908;15.8;1
195909;15.2;1
195910;11.1;1
195911;6.8;1
195912;6.9;1
196001;3.6;1
196002;5.1;1
196003;7.6;1
196004;8.3;1
196005;11.5;1
196006;14.8;1
196007;14.7;1
196008;14.9;1
196009;13;1
196010;10.6;1
196011;8.6;1
196012;4;1
196101;4.5;1
196102;7.9;1
196103;5.2;1
196104;9.8;1
196105;11.1;1
196106;13.8;1
196107;15.5;1
196108;14.9;1
196109;15.8;1
196110;11.7;1
196111;6.3;1
196112;6.7;1
196201;5.9;1
196202;3.3;1
196203;4.3;1
196204;7.7;1
196205;10.2;1
