# DONNEES MENSUELLES HOMOGENEISEES de TN : Moyenne mensuelle de la température minimale sous abri (en °C et 1/10) 
# NUM_POSTE= 64549001
# NOM_USUEL= PAU-UZEIN
# LATITUDE (°) = 43.385
# LONGITUDE(°)= -0.416
# ALTITUDE (m) = 183
# NUM_SERIE= MTN264549001
# Amplitude minimale détectable de la série = 0.15
# Période homogénéisée : 195501 201812
# Date(s) de rupture(s) d'homogénéité : 196812 197812 198511 199112 200005
#     Periode homogénéisée  195501 201812  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195501;5.1;1
195502;2.6;1
195503;2.3;1
195504;5.4;1
195505;9.5;1
195506;13.3;1
195507;15.2;1
195508;14.5;1
195509;12.2;1
195510;7.3;1
195511;1.6;1
195512;4;1
195601;2.8;1
195602;-6.6;1
195603;2.4;1
195604;6;1
195605;8.8;1
195606;11;1
195607;13.4;1
195608;13.7;1
195609;12;1
195610;6.8;1
195611;2.5;1
195612;1.3;1
195701;-1.1;1
195702;3.6;1
195703;6.3;1
195704;5.4;1
195705;8.9;1
195706;12.3;1
195707;14.9;1
195708;13.9;1
195709;11.9;1
195710;6.9;1
195711;3.2;1
195712;1.2;1
195801;2;1
195802;3.1;1
195803;4.2;1
195804;4.8;1
195805;10.3;1
195806;12.2;1
195807;14.3;1
195808;14.6;1
195809;15.1;1
195810;7.3;1
195811;4.5;1
195812;4;1
195901;1.4;1
195902;0.3;1
195903;5;1
195904;6.6;1
195905;10;1
195906;12.4;1
195907;15.3;1
195908;14;1
195909;14;1
195910;9.4;1
195911;3.9;1
195912;5.1;1
196001;1.7;1
196002;2.6;1
196003;5.3;1
196004;5.8;1
196005;9.8;1
196006;13.1;1
196007;13.5;1
196008;13.5;1
196009;11.2;1
196010;7.7;1
196011;5.7;1
196012;2;1
196101;2.2;1
196102;3.5;1
196103;2.4;1
196104;8.4;1
196105;9.5;1
196106;13.2;1
196107;14.5;1
196108;13.5;1
196109;14.1;1
196110;9;1
196111;3.7;1
196112;3.1;1
196201;2.9;1
196202;0.8;1
196203;2.8;1
196204;6.3;1
196205;9.2;1
196206;11;1
196207;13.6;1
196208;14.2;1
196209;11.8;1
196210;9.6;1
196211;2.4;1
196212;0;1
196301;-1.6;1
196302;-0.9;1
196303;4.1;1
196304;6.6;1
196305;8.1;1
196306;12.5;1
196307;15.4;1
196308;13.6;1
196309;12.3;1
196310;8.7;1
196311;6.2;1
196312;-0.8;1
196401;-1.7;1
196402;2.9;1
196403;4.1;1
196404;6.7;1
196405;10.7;1
196406;12.9;1
196407;15;1
196408;13.6;1
196409;14;1
196410;7.1;1
196411;4.2;1
196412;0.1;1
196501;1.5;1
196502;-1.5;1
196503;4;1
196504;7.1;1
196505;9.5;1
196506;12.2;1
196507;13.1;1
196508;13.2;1
196509;10.6;1
196510;10;1
196511;5.5;1
196512;5.1;1
196601;3.1;1
196602;6.2;1
196603;2.3;1
196604;8;1
196605;9.7;1
196606;12.9;1
196607;13.3;1
196608;13.1;1
196609;12;1
196610;10;1
196611;3.2;1
196612;5.2;1
196701;0.7;1
196702;1.6;1
196703;5.3;1
196704;5.6;1
196705;8.6;1
196706;11.1;1
196707;15.1;1
196708;14.3;1
196709;11.7;1
196710;10.9;1
196711;6.2;1
196712;1.4;1
196801;2.9;1
196802;3.3;1
196803;3.1;1
196804;6.6;1
196805;8.5;1
196806;11.8;1
196807;13.4;1
196808;14.4;1
196809;11.9;1
196810;9.8;1
196811;5.6;1
196812;3;1
196901;2.1;1
196902;-0.6;1
196903;4.5;1
196904;6.7;1
196905;9.5;1
196906;10.8;1
196907;15;1
196908;14.2;1
196909;11.8;1
196910;8.4;1
196911;3.8;1
196912;1.8;1
197001;2.8;1
197002;3.5;1
197003;2.1;1
197004;5.1;1
197005;9.5;1
197006;14;1
197007;14.2;1
197008;15.1;1
197009;12.1;1
197010;6.8;1
197011;6.3;1
197012;0.1;1
