# DONNEES MENSUELLES HOMOGENEISEES de TN : Moyenne mensuelle de la température minimale sous abri (en °C et 1/10) 
# NUM_POSTE= 66136001
# NOM_USUEL= PERPIGNAN
# LATITUDE (°) = 42.737
# LONGITUDE(°)= 2.873
# ALTITUDE (m) = 42
# NUM_SERIE= MTN266136001
# Amplitude minimale détectable de la série = 0.19
# Période homogénéisée : 195101 201912
# Date(s) de rupture(s) d'homogénéité : 195612
#     Periode homogénéisée  195101 201912  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195101;4;1
195102;4;1
195103;6.1;1
195104;9;1
195105;10.6;1
195106;15.8;1
195107;18.1;1
195108;17.3;1
195109;16.2;1
195110;10.6;1
195111;8.3;1
195112;5.3;1
195201;2.3;1
195202;3;1
195203;9.2;1
195204;9.6;1
195205;13.3;1
195206;17.9;1
195207;20.3;1
195208;19.1;1
195209;14.2;1
195210;12.2;1
195211;6.9;1
195212;4.9;1
195301;0.4;1
195302;1.7;1
195303;5.3;1
195304;9;1
195305;14.4;1
195306;15;1
195307;17.9;1
195308;19.2;1
195309;16;1
195310;12.4;1
195311;7.4;1
195312;9.8;1
195401;3;1
195402;2.1;1
195403;6.9;1
195404;8.7;1
195405;11.4;1
195406;15.8;1
195407;17.4;1
195408;16.5;1
195409;15.7;1
195410;12;1
195411;8.7;1
195412;6.7;1
195501;7.1;1
195502;4.1;1
195503;4.5;1
195504;8.9;1
195505;12.2;1
195506;15.6;1
195507;19.2;1
195508;18.9;1
195509;16.4;1
195510;11;1
195511;6.1;1
195512;7.1;1
195601;4.4;1
195602;-2.8;1
195603;6.4;1
195604;8.5;1
195605;13;1
195606;14.7;1
195607;17.6;1
195608;17.2;1
195609;16.1;1
195610;11.2;1
195611;5.7;1
195612;4.5;1
195701;3.1;1
195702;5.6;1
195703;8.5;1
195704;8.6;1
195705;11.9;1
195706;15.1;1
195707;18.4;1
195708;17.9;1
195709;16;1
195710;11.8;1
195711;6.7;1
195712;4.4;1
195801;3.3;1
195802;4.9;1
195803;6.9;1
195804;8.4;1
195805;12.8;1
195806;15.4;1
195807;17.4;1
195808;18.4;1
195809;18.2;1
195810;12.1;1
195811;9.2;1
195812;6.3;1
195901;2.9;1
195902;5.7;1
195903;9;1
195904;9.9;1
195905;12.8;1
195906;16.4;1
195907;19.8;1
195908;18.2;1
195909;16.9;1
195910;12.2;1
195911;7;1
195912;5.9;1
196001;3.7;1
196002;4.3;1
196003;8.5;1
196004;10;1
196005;14.2;1
196006;17.9;1
196007;17.9;1
196008;17.6;1
196009;14.3;1
196010;11;1
196011;7.4;1
196012;3.6;1
196101;3;1
196102;8;1
196103;7.7;1
196104;10.8;1
196105;13.5;1
196106;17.1;1
196107;18.8;1
196108;17.7;1
196109;17.6;1
196110;11.8;1
196111;7.9;1
196112;5.1;1
196201;5.8;1
196202;5;1
196203;5.3;1
196204;8.6;1
196205;12.5;1
196206;15.7;1
196207;18.6;1
196208;19.2;1
196209;15.7;1
196210;13.7;1
196211;5.9;1
196212;3.2;1
196301;1;1
196302;0.8;1
196303;5.9;1
