# DONNEES MENSUELLES HOMOGENEISEES de TN : Moyenne mensuelle de la température minimale sous abri (en °C et 1/10) 
# NUM_POSTE= 68297001
# NOM_USUEL= BALE-MULHOUSE
# LATITUDE (°) = 47.614
# LONGITUDE(°)= 7.51
# ALTITUDE (m) = 263
# NUM_SERIE= MTN268297001
# Amplitude minimale détectable de la série = 0.16
# Période homogénéisée : 195101 202212
# Date(s) de rupture(s) d'homogénéité : 196212 197112 199805
#     Periode homogénéisée  195101 202212  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195101;-0.1;1
195102;0.2;1
195103;0.3;1
195104;2.6;1
195105;6.7;1
195106;10.7;1
195107;11.6;1
195108;11.9;1
195109;10.1;1
195110;3.9;1
195111;3;1
195112;-2.3;1
195201;-3.2;1
195202;-3.9;1
195203;2.1;1
195204;4.1;1
195205;7.4;1
195206;10.4;1
195207;12.9;1
195208;12.4;1
195209;7.7;1
195210;5.2;1
195211;0.5;1
195212;-1.5;1
195301;-5;1
195302;-2.8;1
195303;-0.8;1
195304;4.5;1
195305;7.3;1
195306;10.6;1
195307;13.2;1
195308;11.5;1
195309;9.6;1
195310;7.1;1
195311;0;1
195312;0.6;1
195401;-4.4;1
195402;-5.4;1
195403;1.3;1
195404;2.1;1
195405;6.9;1
195406;11.3;1
195407;11.6;1
195408;11.6;1
195409;10.4;1
195410;5.6;1
195411;2.2;1
195412;1.2;1
195501;-2.7;1
195502;-1.5;1
195503;-2;1
195504;2.2;1
195505;6.4;1
195506;10.8;1
195507;13.7;1
195508;11.4;1
195509;10;1
195510;3.5;1
195511;-0.5;1
195512;1.4;1
195601;-0.9;1
195602;-14.5;1
195603;0;1
195604;2.1;1
195605;7.8;1
195606;9.9;1
195607;12;1
195608;10.6;1
195609;10.5;1
195610;5.2;1
195611;0.1;1
195612;-0.7;1
195701;-4.6;1
195702;1.8;1
195703;3.4;1
195704;2.9;1
195705;5;1
195706;11.4;1
195707;13.3;1
195708;11.1;1
195709;9.1;1
195710;4;1
195711;1.7;1
195712;-2.3;1
195801;-2;1
195802;0.4;1
195803;-2.7;1
195804;1.5;1
195805;9.2;1
195806;10;1
195807;12.9;1
195808;13.4;1
195809;10.7;1
195810;5.9;1
195811;2.1;1
195812;-0.4;1
195901;-2.9;1
195902;-3.2;1
195903;3.7;1
195904;3.9;1
195905;7.7;1
195906;11.7;1
195907;14;1
195908;12;1
195909;7.5;1
195910;4.2;1
195911;0.9;1
195912;1.2;1
196001;-3.6;1
196002;-0.7;1
196003;2.5;1
196004;3.8;1
196005;7.8;1
196006;11.7;1
196007;11;1
196008;12.9;1
196009;8.6;1
196010;6.2;1
196011;3.9;1
196012;-1;1
196101;-1.3;1
196102;2.1;1
196103;1.5;1
196104;7.3;1
196105;7.6;1
196106;11.3;1
196107;11.5;1
196108;11.8;1
196109;12.7;1
196110;7.6;1
196111;0.9;1
196112;-1.1;1
196201;-0.4;1
196202;-3;1
196203;-2;1
196204;4.5;1
196205;6.7;1
196206;9;1
196207;11.5;1
196208;12;1
196209;9.2;1
196210;4.9;1
196211;-1.2;1
196212;-6.1;1
196301;-9.7;1
196302;-9.2;1
196303;-0.6;1
196304;5.2;1
196305;7;1
196306;11.1;1
196307;12.6;1
196308;11.8;1
196309;10.4;1
196310;4.4;1
196311;4.5;1
196312;-5.5;1
196401;-5.5;1
196402;-0.9;1
196403;0.2;1
196404;5;1
196405;8.8;1
196406;11.2;1
196407;12.6;1
196408;11.7;1
196409;9.6;1
196410;5.1;1
196411;3;1
196412;-2.7;1
196501;-1.4;1
196502;-4.5;1
196503;0.3;1
196504;3.5;1
196505;7.7;1
196506;11.6;1
196507;12.1;1
196508;11.4;1
196509;8.6;1
196510;4.5;1
196511;0.6;1
196512;0.8;1
