# DONNEES MENSUELLES HOMOGENEISEES de TN : Moyenne mensuelle de la température minimale sous abri (en °C et 1/10) 
# NUM_POSTE= 69029001
# NOM_USUEL= LYON-BRON
# LATITUDE (°) = 45.721
# LONGITUDE(°)= 4.949
# ALTITUDE (m) = 202
# NUM_SERIE= MTN269029001
# Amplitude minimale détectable de la série = 0.16
# Période homogénéisée : 195101 201512
# Date(s) de rupture(s) d'homogénéité : 195903 198112 198512 199610
#     Periode homogénéisée  195101 201512  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195101;1.2;1
195102;2.2;1
195103;2.9;1
195104;6.1;1
195105;9.5;1
195106;13.4;1
195107;15;1
195108;14.8;1
195109;13.1;1
195110;8.2;1
195111;6.1;1
195112;-0.2;1
195201;-1.8;1
195202;-1.8;1
195203;5.3;1
195204;7.1;1
195205;10.1;1
195206;14.4;1
195207;17.2;1
195208;16;1
195209;10.3;1
195210;8.1;1
195211;2.9;1
195212;0.9;1
195301;-3.2;1
195302;-0.9;1
195303;1.7;1
195304;6.7;1
195305;11;1
195306;13.2;1
195307;15.8;1
195308;15;1
195309;13.2;1
195310;9.8;1
195311;3.2;1
195312;3.9;1
195401;-1.6;1
195402;-1.7;1
195403;3.9;1
195404;5.5;1
195405;8.8;1
195406;13.6;1
195407;13.7;1
195408;14.5;1
195409;12.7;1
195410;7.8;1
195411;5;1
195412;3.2;1
195501;2.2;1
195502;1.6;1
195503;1.5;1
195504;5;1
195505;9.3;1
195506;13.7;1
195507;16.3;1
195508;14.8;1
195509;11.9;1
195510;6;1
195511;2.6;1
195512;3.4;1
195601;1.5;1
195602;-10.4;1
195603;3.2;1
195604;5.3;1
195605;10.6;1
195606;11.8;1
195607;14.9;1
195608;13.7;1
195609;13;1
195610;6.2;1
195611;1.3;1
195612;1.8;1
195701;-2.7;1
195702;4.3;1
195703;4.9;1
195704;5.6;1
195705;7.8;1
195706;13.1;1
195707;14.8;1
195708;14.4;1
195709;11.2;1
195710;5.8;1
195711;3.5;1
195712;0.3;1
195801;1;1
195802;3.3;1
195803;1.8;1
195804;4.8;1
195805;11.3;1
195806;12.8;1
195807;15.8;1
195808;16.3;1
195809;14.1;1
195810;7.5;1
195811;4.1;1
195812;2.2;1
195901;0.5;1
195902;-0.8;1
195903;5.9;1
195904;7;1
195905;9.4;1
195906;13.1;1
195907;16.6;1
195908;15.7;1
195909;13.8;1
195910;7.7;1
195911;3.4;1
195912;3.2;1
196001;-0.7;1
196002;2;1
196003;5.7;1
196004;6.3;1
196005;11;1
196006;14.6;1
196007;14;1
196008;14.7;1
196009;11.3;1
196010;8.7;1
196011;5.1;1
196012;0.8;1
196101;0.8;1
196102;3.5;1
196103;2.3;1
196104;9;1
196105;9.1;1
196106;14;1
196107;14.8;1
196108;13.7;1
196109;15.5;1
196110;9.7;1
196111;3.4;1
196112;1.8;1
196201;2.4;1
196202;-0.6;1
196203;1.4;1
196204;5.8;1
196205;8.7;1
196206;11.8;1
196207;14.3;1
196208;15.1;1
196209;12.1;1
196210;7.6;1
196211;2;1
196212;-3;1
196301;-6.7;1
196302;-4.3;1
196303;3.4;1
196304;7.6;1
196305;8.9;1
196306;13.4;1
196307;15.8;1
196308;14.2;1
196309;12.2;1
196310;7.5;1
196311;6.3;1
196312;-4.4;1
196401;-2.4;1
196402;2.3;1
196403;3.4;1
196404;7.1;1
196405;11;1
196406;14.3;1
196407;15.7;1
196408;14.4;1
196409;13.8;1
196410;6.9;1
196411;4.3;1
196412;0.1;1
196501;1.3;1
196502;-2;1
196503;3.5;1
196504;6.1;1
196505;9.4;1
196506;13.6;1
196507;14.4;1
196508;13.8;1
196509;11.1;1
196510;8.8;1
196511;4.5;1
196512;2.4;1
196601;-1.3;1
196602;5.4;1
196603;1.7;1
196604;7.8;1
196605;10.2;1
196606;13.6;1
196607;14.2;1
196608;14.2;1
196609;12.6;1
196610;11.4;1
196611;2.1;1
196612;2;1
196701;-0.2;1
196702;2;1
196703;5;1
196704;4.7;1
