# DONNEES MENSUELLES HOMOGENEISEES de TN : Moyenne mensuelle de la température minimale sous abri (en °C et 1/10) 
# NUM_POSTE= 69204002
# NOM_USUEL= ST-GENIS-LAVAL
# LATITUDE (°) = 45.695
# LONGITUDE(°)= 4.782
# ALTITUDE (m) = 290
# NUM_SERIE= MTN269204002
# Amplitude minimale détectable de la série = 0.2
# Période homogénéisée : 195101 201512
# Date(s) de rupture(s) d'homogénéité : 195512 196512 197412 200712 201312
#     Periode homogénéisée  195101 201512  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195101;1.4;1
195102;1.9;1
195103;2.2;1
195104;5.8;1
195105;8.9;1
195106;12.6;1
195107;14.2;1
195108;14.3;1
195109;12.7;1
195110;7.7;1
195111;5.5;1
195112;0.3;1
195201;-1.2;1
195202;-1.2;1
195203;4.9;1
195204;7.2;1
195205;10.1;1
195206;14.3;1
195207;16.6;1
195208;15.4;1
195209;9.7;1
195210;7.8;1
195211;2.9;1
195212;1;1
195301;-2.6;1
195302;-0.3;1
195303;2.6;1
195304;6.6;1
195305;10.7;1
195306;12.1;1
195307;14;1
195308;14.5;1
195309;12.8;1
195310;9.2;1
195311;2.9;1
195312;4.2;1
195401;-1.8;1
195402;-2.2;1
195403;3.6;1
195404;4.7;1
195405;8.1;1
195406;13;1
195407;12.8;1
195408;12.6;1
195409;11.9;1
195410;7.7;1
195411;5.5;1
195412;2.7;1
195501;1.9;1
195502;0.7;1
195503;1;1
195504;5.6;1
195505;8.3;1
195506;12.5;1
195507;15.1;1
195508;14.2;1
195509;10.9;1
195510;5.5;1
195511;2.4;1
195512;3.3;1
195601;1.6;1
195602;-9.3;1
195603;3.1;1
195604;5;1
195605;10.7;1
195606;11.1;1
195607;13.7;1
195608;12.9;1
195609;12.8;1
195610;6.7;1
195611;1.5;1
195612;2.5;1
195701;-1.8;1
195702;4.6;1
195703;5.3;1
195704;6.3;1
195705;7.4;1
195706;12.7;1
195707;14;1
195708;13.6;1
195709;11.3;1
195710;6.9;1
195711;3.4;1
195712;0.2;1
195801;0.8;1
195802;2.9;1
195803;1.6;1
195804;4.5;1
195805;10.5;1
195806;11.9;1
195807;14.5;1
195808;14.7;1
195809;13.3;1
195810;7.1;1
195811;2.9;1
195812;1.3;1
195901;0;1
195902;-0.6;1
195903;5.4;1
195904;6.2;1
195905;9.2;1
195906;12.5;1
195907;16.2;1
195908;14.6;1
195909;12.7;1
195910;7.2;1
195911;3.2;1
195912;2.4;1
196001;-0.8;1
196002;1.9;1
196003;4.3;1
196004;5.1;1
196005;10.2;1
196006;13.6;1
196007;12.5;1
196008;13.3;1
196009;10.1;1
196010;7.9;1
196011;4.7;1
196012;0;1
196101;0.2;1
196102;3.7;1
196103;2.8;1
196104;8.6;1
196105;8.2;1
196106;13.5;1
196107;14;1
196108;13.6;1
196109;15.3;1
196110;9.8;1
196111;3.8;1
196112;1.5;1
196201;1.5;1
196202;-1.4;1
196203;0.5;1
196204;5.8;1
196205;8.5;1
196206;12;1
196207;14.3;1
196208;15.5;1
196209;12.3;1
196210;7.6;1
196211;2.2;1
196212;-2.9;1
196301;-4.9;1
196302;-4.1;1
196303;2.8;1
196304;7.4;1
196305;8.8;1
196306;12.8;1
196307;15.6;1
196308;13.1;1
196309;11.9;1
196310;7;1
196311;6.6;1
196312;-3.8;1
196401;-1.7;1
196402;2.5;1
196403;2.9;1
196404;6.4;1
196405;10.6;1
196406;13.5;1
196407;15.6;1
196408;13.8;1
196409;12.4;1
196410;6.2;1
196411;3.9;1
196412;-0.6;1
196501;0.7;1
196502;-2.9;1
196503;2.3;1
196504;5.4;1
196505;8.3;1
196506;12.8;1
196507;12.7;1
196508;13.7;1
196509;10.6;1
196510;9.3;1
196511;4;1
196512;2.3;1
196601;-1;1
196602;4.9;1
196603;1.4;1
196604;7.5;1
196605;10.1;1
196606;13.7;1
196607;13.3;1
196608;13.4;1
196609;12.5;1
196610;10.9;1
196611;1.6;1
196612;1.9;1
196701;-0.2;1
196702;2;1
196703;4.7;1
196704;4.9;1
196705;8.6;1
196706;11.4;1
196707;16.1;1
196708;14.6;1
196709;11.2;1
196710;10.2;1
196711;3.7;1
196712;-1.1;1
196801;-1.3;1
196802;2.3;1
196803;2.7;1
196804;6;1
196805;8.5;1
196806;12.2;1
196807;13.8;1
196808;13.7;1
196809;11.2;1
196810;10;1
196811;3.6;1
196812;0.9;1
196901;1.3;1
196902;-1.1;1
196903;3.6;1
196904;5.7;1
196905;9.8;1
196906;11.1;1
196907;14.9;1
196908;14.6;1
196909;12.5;1
196910;9;1
196911;3.6;1
196912;-3.4;1
197001;0.8;1
197002;1.4;1
197003;0.7;1
197004;3.8;1
197005;8.6;1
197006;14.3;1
197007;14.2;1
197008;14.5;1
197009;11.9;1
197010;8.4;1
197011;4.6;1
197012;-0.6;1
197101;-2.2;1
197102;0.5;1
197103;-0.9;1
197104;7.4;1
197105;10.7;1
197106;12;1
197107;15.5;1
197108;15.1;1
197109;11;1
197110;7.3;1
197111;1.8;1
197112;0.8;1
197201;0.5;1
197202;3.4;1
197203;3.9;1
197204;5.2;1
197205;8.6;1
197206;10.9;1
197207;13.8;1
197208;13.6;1
197209;8.8;1
197210;6.5;1
197211;3.8;1
197212;0.3;1
197301;-0.5;1
197302;0.2;1
197303;1.4;1
197304;3.4;1
197305;10.3;1
197306;13.3;1
197307;14.5;1
197308;16.3;1
197309;12.3;1
197310;6.2;1
197311;2.8;1
197312;0.1;1
197401;2.8;1
197402;3;1
197403;4.6;1
197404;5.7;1
197405;8.6;1
197406;12.3;1
197407;13.9;1
197408;14.8;1
197409;10.9;1
197410;4.7;1
197411;4.7;1
197412;3.8;1
197501;2.9;1
197502;0.6;1
197503;2.4;1
197504;4.6;1
197505;8.2;1
197506;12;1
197507;14.1;1
197508;15.2;1
197509;12.9;1
197510;5.9;1
197511;3.9;1
197512;-0.6;1
197601;0.8;1
197602;2;1
197603;2.2;1
197604;5.4;1
197605;10.6;1
197606;14.9;1
197607;16.4;1
197608;13.9;1
197609;11.4;1
197610;9.3;1
197611;3.6;1
197612;0.3;1
197701;2.2;1
197702;4.3;1
197703;5.2;1
197704;5.2;1
197705;9.5;1
197706;11.7;1
197707;14.4;1
197708;12.9;1
197709;9.9;1
197710;9.8;1
197711;3.7;1
197712;1.7;1
197801;-0.2;1
197802;1;1
197803;3.5;1
197804;4.3;1
197805;8.7;1
197806;11.8;1
197807;13.7;1
197808;13.1;1
197809;11.1;1
197810;7;1
197811;1.4;1
197812;3;1
197901;-2.3;1
197902;2;1
197903;4.3;1
197904;4.8;1
197905;8.9;1
197906;13.6;1
197907;14.3;1
197908;12.8;1
197909;11.7;1
197910;10.3;1
197911;3.3;1
197912;1.9;1
198001;-0.5;1
198002;3.4;1
198003;2.8;1
198004;4.6;1
