# DONNEES MENSUELLES HOMOGENEISEES de TN : Moyenne mensuelle de la température minimale sous abri (en °C et 1/10) 
# NUM_POSTE= 72181001
# NOM_USUEL= LE MANS
# LATITUDE (°) = 47.946
# LONGITUDE(°)= 0.194
# ALTITUDE (m) = 51
# NUM_SERIE= MTN272181001
# Amplitude minimale détectable de la série = 0.12
# Période homogénéisée : 195501 201612
# Date(s) de rupture(s) d'homogénéité : 196212 196712 197001 198012 199712
#     Periode homogénéisée  195501 201612  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195501;2.4;1
195502;1.8;1
195503;0.4;1
195504;5.2;1
195505;7.6;1
195506;12.8;1
195507;15.5;1
195508;13.5;1
195509;9.5;1
195510;5.9;1
195511;3.5;1
195512;5.5;1
195601;2.2;1
195602;-6.6;1
195603;3.3;1
195604;3.6;1
195605;8.3;1
195606;10.9;1
195607;13.8;1
195608;11.2;1
195609;13.2;1
195610;7.5;1
195611;1.9;1
195612;4.9;1
195701;-0.3;1
195702;4.7;1
195703;6.2;1
195704;5.1;1
195705;7.6;1
195706;12.4;1
195707;15;1
195708;12.9;1
195709;11.6;1
195710;8.2;1
195711;4.4;1
195712;1.4;1
195801;2.6;1
195802;4.7;1
195803;2.3;1
195804;5.1;1
195805;9.3;1
195806;11.8;1
195807;13.4;1
195808;14.7;1
195809;12.8;1
195810;9;1
195811;4.3;1
195812;3.3;1
195901;0.5;1
195902;0.3;1
195903;4.3;1
195904;6.5;1
195905;10.2;1
195906;11.5;1
195907;14.1;1
195908;13.9;1
195909;11.5;1
195910;7.4;1
195911;4.9;1
195912;4.7;1
196001;0.8;1
196002;1.5;1
196003;5.6;1
196004;6.4;1
196005;9.3;1
196006;13.1;1
196007;13;1
196008;13;1
196009;10.5;1
196010;8.5;1
196011;6;1
196012;1.7;1
196101;2.2;1
196102;4.7;1
196103;2.2;1
196104;8.2;1
196105;8;1
196106;11.4;1
196107;13;1
196108;12.1;1
196109;13.4;1
196110;9;1
196111;4.5;1
196112;2.4;1
196201;2.8;1
196202;1.2;1
196203;1.1;1
196204;6.4;1
196205;8.3;1
196206;10.5;1
196207;12.7;1
196208;12.9;1
196209;9.6;1
196210;8.3;1
196211;4;1
196212;-1.8;1
196301;-4.6;1
196302;-4.6;1
196303;4.4;1
196304;5.9;1
196305;8.1;1
196306;12.8;1
196307;12.8;1
196308;12.8;1
196309;11.8;1
196310;7.6;1
196311;6.9;1
196312;-0.8;1
196401;-1.1;1
196402;2.3;1
196403;3.6;1
196404;5.5;1
196405;10.2;1
196406;11.7;1
196407;13.3;1
196408;12.9;1
196409;11.6;1
196410;6.1;1
196411;4.8;1
196412;0.3;1
196501;1.4;1
196502;-0.8;1
196503;3.9;1
196504;5;1
196505;9.4;1
196506;12;1
196507;12.2;1
196508;12.2;1
196509;9.7;1
196510;7.4;1
196511;4;1
196512;3.4;1
196601;0.6;1
196602;6.4;1
196603;2.1;1
196604;7.7;1
196605;8.8;1
196606;12.7;1
196607;13;1
196608;12.8;1
196609;11.6;1
196610;9.4;1
196611;2.7;1
196612;4.3;1
196701;2.1;1
196702;3.2;1
196703;3.6;1
196704;5.1;1
196705;8.3;1
196706;11;1
196707;13.3;1
196708;12.7;1
196709;10.6;1
196710;9.3;1
196711;3.8;1
196712;1.3;1
196801;1.9;1
196802;0.8;1
196803;3.5;1
196804;4.8;1
196805;7.9;1
196806;12.4;1
196807;13.2;1
196808;13.8;1
196809;11.3;1
196810;10.5;1
196811;3.7;1
196812;1.5;1
196901;3.5;1
196902;-0.3;1
196903;4;1
196904;5.6;1
196905;9;1
196906;11.3;1
196907;14.4;1
196908;13.4;1
196909;12.6;1
196910;7.8;1
196911;4.8;1
196912;0.9;1
197001;2.8;1
197002;2.7;1
197003;2.6;1
197004;4.7;1
197005;8.7;1
197006;14.3;1
197007;13.3;1
197008;14.5;1
197009;12.1;1
197010;7.7;1
197011;5.6;1
197012;0.4;1
197101;1.1;1
197102;0.4;1
197103;0.4;1
197104;5.5;1
197105;10.4;1
197106;11.4;1
197107;14.6;1
197108;13.5;1
197109;10;1
197110;5.8;1
197111;2;1
197112;2.6;1
197201;1.9;1
197202;3.1;1
197203;3.9;1
197204;6.5;1
197205;7.7;1
197206;9.8;1
197207;13.2;1
197208;12.3;1
197209;8.5;1
197210;6;1
197211;4.3;1
197212;2.3;1
197301;0.7;1
197302;0.9;1
197303;0.8;1
197304;3.4;1
197305;9.4;1
197306;12.2;1
197307;14.1;1
197308;14.8;1
197309;12;1
197310;6.9;1
197311;2.8;1
197312;1.9;1
197401;4.6;1
197402;3;1
197403;4.2;1
197404;5.3;1
197405;7.7;1
197406;11;1
197407;12.1;1
197408;13;1
197409;10.4;1
197410;5.2;1
197411;5.8;1
197412;5;1
197501;5;1
197502;2.2;1
197503;2.7;1
197504;5.6;1
197505;8.5;1
197506;11.3;1
197507;13.2;1
197508;14.9;1
197509;11.4;1
197510;5.6;1
197511;4.2;1
197512;0.1;1
197601;2.4;1
197602;1.9;1
197603;1.5;1
197604;3.7;1
197605;8.5;1
197606;13.5;1
197607;15.8;1
197608;13.9;1
197609;10.9;1
197610;9.2;1
197611;3.4;1
197612;1;1
197701;2;1
197702;4.8;1
197703;4.6;1
197704;4.1;1
197705;8.5;1
197706;11.2;1
197707;14.4;1
197708;12;1
197709;9;1
197710;9.7;1
197711;4.7;1
197712;3.8;1
197801;1.3;1
197802;1.8;1
197803;4.7;1
197804;4.7;1
197805;9.8;1
197806;11.3;1
197807;13.3;1
197808;11.5;1
197809;9.8;1
197810;7.1;1
197811;2.3;1
197812;4;1
197901;-2.6;1
197902;1.7;1
197903;4;1
197904;5.1;1
197905;7.7;1
197906;12.4;1
197907;12.6;1
197908;12.1;1
197909;10.4;1
197910;9.5;1
197911;3.9;1
197912;4.1;1
198001;-0.3;1
198002;3.8;1
198003;3.2;1
198004;5.8;1
198005;7.6;1
198006;11.7;1
198007;12.6;1
198008;13.6;1
198009;11.6;1
198010;7;1
198011;2.8;1
198012;1.3;1
198101;1.7;1
198102;0.1;1
198103;7.3;1
198104;7;1
198105;9.6;1
198106;11.5;1
198107;13.4;1
198108;13.1;1
198109;11.4;1
198110;8.3;1
198111;4.8;1
198112;2.2;1
198201;3.3;1
198202;2.8;1
198203;2.7;1
198204;4.2;1
198205;9.4;1
198206;14.3;1
198207;14.7;1
198208;13.1;1
198209;12.3;1
198210;8.7;1
198211;5.9;1
198212;3.5;1
198301;3.6;1
198302;0.7;1
198303;4.1;1
198304;4.9;1
198305;8.2;1
198306;13.6;1
198307;17.1;1
198308;14.6;1
198309;11.8;1
198310;7.6;1
198311;4.2;1
198312;1.6;1
198401;2.5;1
198402;1.5;1
198403;1.5;1
198404;4;1
198405;7.6;1
198406;11.7;1
198407;13.1;1
198408;13.2;1
198409;10.9;1
198410;8.9;1
198411;6.9;1
198412;2.6;1
198501;-2.7;1
198502;0.6;1
198503;1.9;1
198504;6.4;1
198505;9.6;1
198506;11.2;1
198507;14.2;1
198508;11.7;1
198509;10.8;1
198510;6.5;1
198511;1.3;1
198512;3.6;1
198601;2.4;1
198602;-4.6;1
198603;2;1
198604;3.5;1
198605;8.7;1
198606;12.9;1
198607;13.1;1
198608;12;1
198609;8.4;1
198610;9.7;1
198611;5.4;1
198612;3.1;1
198701;-3.8;1
198702;1.7;1
198703;2;1
198704;7.1;1
198705;6.9;1
198706;11.9;1
198707;14.4;1
198708;13.4;1
198709;13.4;1
198710;9.1;1
198711;4.2;1
198712;3;1
198801;4.9;1
198802;2.2;1
198803;4.7;1
198804;6.5;1
198805;10.8;1
198806;12.2;1
198807;12.5;1
198808;13.1;1
198809;11.9;1
198810;9.3;1
198811;2;1
198812;4.1;1
198901;1.3;1
198902;2.6;1
198903;5.3;1
198904;4.8;1
198905;10.9;1
198906;12.3;1
198907;15.3;1
198908;13;1
198909;11.3;1
198910;9.7;1
198911;4;1
198912;3;1
199001;4.1;1
199002;6.3;1
199003;3.5;1
199004;5.8;1
199005;10.9;1
199006;11.7;1
199007;14.6;1
199008;15.1;1
199009;9.8;1
199010;10;1
199011;5.4;1
199012;1;1
199101;2.6;1
199102;-2.3;1
199103;6.3;1
199104;4.8;1
199105;8.5;1
199106;10.8;1
199107;14.2;1
199108;14.9;1
199109;13.3;1
199110;7.7;1
199111;4.3;1
199112;1.1;1
199201;1.2;1
199202;1;1
199203;4.5;1
199204;4.9;1
199205;10.6;1
199206;13;1
199207;14.4;1
199208;15.7;1
