# DONNEES MENSUELLES HOMOGENEISEES de TN : Moyenne mensuelle de la température minimale sous abri (en °C et 1/10) 
# NUM_POSTE= 76259001
# NOM_USUEL= FECAMP
# LATITUDE (°) = 49.767
# LONGITUDE(°)= 0.369
# ALTITUDE (m) = 104
# NUM_SERIE= MTN276259001
# Amplitude minimale détectable de la série = 0.22
# Période homogénéisée : 195101 202212
# Date(s) de rupture(s) d'homogénéité : 198012 202009
#     Periode homogénéisée  195101 202212  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195101;3.7;1
195102;2.3;1
195103;2.7;1
195104;4.7;1
195105;7.8;1
195106;11;1
195107;13.1;1
195108;13.5;1
195109;12.9;1
195110;8.5;1
195111;7.3;1
195112;3.8;1
195201;2.4;1
195202;1.9;1
195203;4.5;1
195204;6.8;1
195205;10;1
195206;11.6;1
195207;14;1
195208;14.4;1
195209;10.3;1
195210;8.1;1
195211;3.4;1
195212;1.9;1
195301;0;1
195302;1.7;1
195303;3;1
195304;5.6;1
195305;9.4;1
195306;10.9;1
195307;13.1;1
195308;14.1;1
195309;12;1
195310;9.9;1
195311;5.4;1
195312;6.4;1
195401;0.5;1
195402;0.2;1
195403;4.2;1
195404;4.8;1
195405;8.1;1
195406;10.4;1
195407;12.1;1
195408;13.1;1
195409;11.8;1
195410;10.8;1
195411;6.4;1
195412;5.7;1
195501;1.2;1
195502;1.5;1
195503;0.7;1
195504;5.1;1
195505;7.5;1
195506;11.2;1
195507;13.4;1
195508;15.1;1
195509;12.3;1
195510;8.7;1
195511;5.8;1
195512;4.7;1
195601;3.2;1
195602;-4.6;1
195603;3.2;1
195604;4.3;1
195605;8.3;1
195606;10.2;1
195607;12.9;1
195608;12.2;1
195609;12.8;1
195610;8.9;1
195611;4.5;1
195612;4.9;1
195701;2.6;1
195702;4.7;1
195703;6.5;1
195704;6.4;1
195705;7.9;1
195706;11.7;1
195707;14;1
195708;13.4;1
195709;12.1;1
195710;9.9;1
195711;5.2;1
195712;2.6;1
195801;3.4;1
195802;3.8;1
195803;1.4;1
195804;4.2;1
195805;8.4;1
195806;10.7;1
195807;12.8;1
195808;13.9;1
195809;13.6;1
195810;9.4;1
195811;5.3;1
195812;4.3;1
195901;1.9;1
195902;1.3;1
195903;5.2;1
195904;7.1;1
195905;9.3;1
195906;12;1
195907;14.6;1
195908;15.1;1
195909;13.3;1
195910;10.2;1
195911;5.2;1
195912;4.7;1
196001;2.5;1
196002;2.5;1
196003;4;1
196004;6.3;1
196005;9.9;1
196006;12.2;1
196007;13.1;1
196008;13.4;1
196009;11.5;1
196010;9;1
