# DONNEES MENSUELLES HOMOGENEISEES de TN : Moyenne mensuelle de la température minimale sous abri (en °C et 1/10) 
# NUM_POSTE= 79176001
# NOM_USUEL= MENIGOUTE_SAPC
# LATITUDE (°) = 46.494
# LONGITUDE(°)= -0.064
# ALTITUDE (m) = 138
# NUM_SERIE= MTN279176001
# Amplitude minimale détectable de la série = 0.15
# Période homogénéisée : 195501 201912
# Date(s) de rupture(s) d'homogénéité : 195812 197108 199412 200704
#     Periode homogénéisée  195501 201912  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195501;2.1;1
195502;0.8;1
195503;0.6;1
195504;4.9;1
195505;7.1;1
195506;12.4;1
195507;14.5;1
195508;13;1
195509;9.3;1
195510;5.4;1
195511;3.1;1
195512;5.1;1
195601;1.9;1
195602;-7.3;1
195603;3;1
195604;2.9;1
195605;8.1;1
195606;9.8;1
195607;12.3;1
195608;11.7;1
195609;12.5;1
195610;6.2;1
195611;2.1;1
195612;3.7;1
195701;-0.2;1
195702;4.2;1
195703;5.9;1
195704;4.6;1
195705;6.5;1
195706;12.3;1
195707;13.5;1
195708;14.2;1
195709;11.8;1
195710;6.1;1
195711;3.4;1
195712;1.4;1
195801;1.7;1
195802;4.1;1
195803;2.1;1
195804;4.7;1
195805;8.6;1
195806;10.9;1
195807;12.9;1
195808;13.9;1
195809;11.6;1
195810;8.3;1
195811;3.7;1
195812;3;1
195901;0.5;1
195902;0.9;1
195903;5;1
195904;5.7;1
195905;9.6;1
195906;12.1;1
195907;13.7;1
195908;14;1
195909;11.1;1
195910;7.4;1
195911;4.6;1
195912;4;1
196001;0.4;1
196002;1.7;1
196003;5.2;1
196004;5.5;1
196005;9.7;1
196006;12.8;1
196007;12.5;1
196008;12.3;1
196009;10.4;1
196010;8.6;1
196011;6.1;1
196012;1.3;1
196101;1.3;1
196102;4.6;1
196103;2.1;1
196104;7.4;1
196105;7.6;1
196106;11.9;1
196107;13.1;1
196108;11.5;1
196109;13.9;1
196110;8.7;1
196111;4;1
196112;2.9;1
196201;2.4;1
196202;1.2;1
196203;0.7;1
196204;5;1
196205;7.6;1
196206;10.2;1
196207;12.8;1
196208;12.8;1
196209;10.2;1
196210;8.3;1
196211;3.5;1
196212;-1.2;1
196301;-4.7;1
196302;-3.6;1
196303;3.8;1
196304;5.6;1
196305;7;1
196306;12;1
196307;12.3;1
196308;12.1;1
196309;11.2;1
196310;7.9;1
196311;6.8;1
196312;-1.1;1
196401;-1.7;1
196402;2.7;1
196403;3.1;1
196404;5;1
196405;9.5;1
196406;11.4;1
196407;12.9;1
196408;13.5;1
196409;12.5;1
196410;5.6;1
196411;3.7;1
196412;0.8;1
196501;1.9;1
196502;-1.4;1
196503;4.2;1
196504;4.9;1
196505;8.3;1
196506;11;1
196507;11.7;1
196508;13.1;1
196509;9.8;1
196510;8.7;1
196511;4.2;1
196512;4;1
196601;0.6;1
196602;6.4;1
196603;1.8;1
196604;7.1;1
196605;8.2;1
196606;12.4;1
196607;12;1
196608;12.2;1
196609;11.6;1
196610;9.6;1
196611;1.5;1
196612;3.1;1
196701;1.6;1
196702;2.5;1
196703;3.4;1
196704;4;1
196705;7.3;1
196706;10.9;1
196707;13.4;1
196708;12.9;1
196709;10.4;1
196710;9.4;1
196711;4.2;1
196712;1;1
196801;1.7;1
196802;1.3;1
196803;3.5;1
196804;5.2;1
196805;7.3;1
196806;11.4;1
196807;12.8;1
196808;13.5;1
196809;10.8;1
196810;10.2;1
196811;3.9;1
196812;1.3;1
196901;3;1
196902;-0.7;1
196903;3.7;1
196904;5.8;1
196905;7.9;1
196906;10.7;1
196907;13.9;1
196908;13.4;1
196909;11.9;1
196910;8.6;1
196911;4.3;1
196912;0.4;1
197001;2.1;1
197002;3.4;1
197003;1.9;1
197004;4.5;1
197005;7.6;1
197006;13;1
197007;12.9;1
197008;14.6;1
197009;11.7;1
197010;7.1;1
197011;6.1;1
197012;-0.5;1
197101;1.4;1
197102;0.9;1
197103;0.2;1
197104;6.7;1
197105;9.9;1
197106;11.4;1
197107;14.8;1
197108;13.8;1
197109;10;1
197110;5.3;1
197111;1.1;1
197112;1.7;1
197201;1.3;1
197202;3.1;1
197203;3.5;1
197204;5.1;1
197205;7.8;1
197206;8.9;1
197207;13;1
197208;12.1;1
197209;8.1;1
197210;5.9;1
197211;3.9;1
197212;1.6;1
197301;0.7;1
197302;0.4;1
197303;0.1;1
197304;3.1;1
197305;9.4;1
197306;12.3;1
197307;14.1;1
197308;15.8;1
197309;12.1;1
197310;6.4;1
197311;3.2;1
197312;1;1
197401;4.7;1
197402;2.5;1
197403;3.8;1
197404;4.5;1
197405;7.7;1
197406;11.5;1
197407;12.7;1
197408;13;1
197409;10.9;1
197410;4.4;1
197411;5.2;1
197412;5.1;1
197501;3.7;1
197502;1.5;1
197503;2.2;1
197504;4.8;1
197505;7.6;1
197506;11.2;1
197507;13.4;1
197508;14.9;1
197509;11.4;1
197510;6.2;1
197511;3.3;1
197512;-0.6;1
197601;1.5;1
197602;2;1
197603;1.7;1
197604;4.2;1
197605;8.4;1
197606;13.6;1
197607;15.4;1
197608;14.4;1
197609;10.8;1
197610;8.9;1
197611;3.7;1
197612;1.5;1
197701;1.9;1
197702;5.4;1
197703;4.6;1
197704;4.5;1
197705;8.9;1
197706;11.4;1
197707;13.4;1
197708;12.2;1
197709;9;1
197710;9.1;1
197711;3.9;1
197712;2.8;1
197801;0.8;1
197802;2.4;1
197803;4.3;1
197804;4.4;1
197805;8.5;1
197806;10.8;1
197807;12.2;1
197808;11.2;1
197809;10.1;1
197810;7.6;1
197811;2;1
197812;4.5;1
197901;-0.9;1
197902;3.1;1
197903;4.2;1
197904;5.1;1
197905;8.3;1
197906;12.4;1
197907;13.7;1
197908;12.6;1
197909;10.9;1
197910;9.8;1
197911;4.1;1
197912;3.9;1
198001;0.3;1
198002;3.6;1
198003;3.2;1
198004;4.7;1
198005;7.6;1
198006;11.4;1
198007;12;1
198008;13.3;1
198009;11.2;1
198010;7.3;1
198011;2.7;1
198012;0.7;1
198101;1.7;1
198102;-0.4;1
198103;6.4;1
198104;5.8;1
198105;8.7;1
198106;10.6;1
198107;12.9;1
198108;13.7;1
198109;11.2;1
198110;8.3;1
198111;3.7;1
198112;2.6;1
198201;3.9;1
198202;2.4;1
198203;2.4;1
198204;3.7;1
198205;8.4;1
198206;13.2;1
198207;14.9;1
198208;12.6;1
198209;12.3;1
198210;8;1
198211;5.6;1
198212;3.8;1
198301;3.2;1
198302;0.6;1
198303;3.8;1
198304;4.7;1
198305;7.5;1
198306;13.1;1
198307;16.8;1
198308;14.8;1
198309;11.6;1
198310;7.5;1
198311;4.5;1
198312;1.6;1
198401;2.6;1
198402;1.2;1
198403;1.3;1
198404;4.4;1
198405;6.7;1
198406;11.5;1
198407;13.5;1
198408;13.4;1
198409;10.4;1
198410;9.4;1
198411;7.2;1
198412;2.5;1
198501;-2.8;1
198502;1.7;1
198503;1.9;1
198504;6.2;1
198505;8.7;1
198506;11.3;1
198507;14.4;1
198508;11.7;1
198509;11.8;1
198510;7.3;1
198511;1.5;1
198512;2.7;1
198601;2.6;1
198602;-3;1
198603;2.5;1
198604;3.3;1
198605;9;1
198606;12.4;1
198607;13.5;1
198608;12;1
198609;10.5;1
198610;10.3;1
198611;5.2;1
198612;3.2;1
198701;-3.6;1
198702;2;1
198703;2.2;1
198704;6.9;1
198705;7;1
198706;11.5;1
198707;14.8;1
198708;13.8;1
198709;13.5;1
198710;9.2;1
198711;4.7;1
198712;2.9;1
198801;4.4;1
198802;1.9;1
198803;4;1
198804;6.3;1
198805;10.4;1
198806;11.9;1
198807;12.2;1
198808;12.5;1
198809;11.4;1
198810;8.8;1
198811;2.3;1
198812;3.9;1
198901;1;1
198902;1.9;1
198903;5;1
198904;4.5;1
198905;10.8;1
198906;11.8;1
198907;15.2;1
198908;13.9;1
198909;11.4;1
198910;9;1
198911;3.3;1
198912;2.9;1
199001;2.5;1
199002;5.8;1
199003;3.4;1
199004;5;1
199005;10.4;1
199006;11.4;1
199007;14.4;1
199008;14.5;1
199009;10.6;1
199010;9.9;1
199011;5;1
199012;0.2;1
199101;1.8;1
199102;-2.1;1
199103;5.4;1
199104;3.8;1
199105;7.9;1
199106;10.8;1
199107;13.9;1
199108;15.3;1
199109;13.6;1
199110;7.8;1
199111;4.3;1
199112;0.9;1
199201;-0.4;1
199202;0.8;1
199203;4;1
199204;4.6;1
199205;9.7;1
199206;12.4;1
199207;14.1;1
199208;15.1;1
199209;9.9;1
199210;6.3;1
199211;7;1
199212;3.1;1
199301;4.2;1
199302;-0.8;1
199303;2.4;1
199304;6;1
199305;9.3;1
199306;13;1
199307;12.8;1
199308;12.9;1
199309;10.3;1
199310;7.3;1
199311;1.1;1
199312;4.5;1
199401;3.5;1
199402;3.5;1
199403;5.1;1
199404;4.9;1
199405;8.9;1
199406;11.9;1
199407;15.8;1
199408;15.3;1
199409;11.4;1
199410;9.7;1
199411;8;1
199412;5.5;1
199501;2.3;1
199502;5.7;1
199503;3.1;1
199504;6.2;1
199505;9;1
199506;11.8;1
199507;16;1
199508;15.2;1
199509;10.5;1
199510;10.5;1
199511;3.7;1
199512;2.5;1
199601;3.8;1
199602;0.9;1
199603;2.7;1
199604;5.2;1
199605;7.9;1
199606;12.4;1
199607;13.6;1
199608;12.9;1
199609;8.9;1
199610;7.9;1
199611;4.6;1
199612;0.8;1
199701;-0.9;1
199702;3.5;1
199703;4.8;1
199704;4.1;1
199705;9.6;1
199706;11.9;1
199707;14.2;1
199708;17.1;1
199709;11.1;1
199710;8.6;1
199711;6;1
199712;3.7;1
199801;2.5;1
199802;0.4;1
199803;4.4;1
199804;6.1;1
199805;10.3;1
199806;11.7;1
199807;13.9;1
199808;13.4;1
199809;12.8;1
199810;9;1
199811;1.9;1
199812;2.5;1
199901;3.4;1
199902;2.5;1
199903;4.5;1
199904;6.9;1
199905;11;1
199906;12.3;1
199907;15.2;1
199908;14.3;1
199909;13.3;1
199910;9.2;1
199911;3;1
199912;3.1;1
200001;1.3;1
200002;3.6;1
200003;2.5;1
200004;5.7;1
200005;10.7;1
200006;13.3;1
200007;13.2;1
200008;14.2;1
200009;12;1
200010;8.5;1
200011;6.1;1
200012;5.2;1
200101;3.5;1
200102;2.4;1
200103;6.5;1
200104;5.3;1
200105;10.1;1
200106;11.9;1
200107;14.3;1
200108;15.1;1
200109;9.1;1
200110;11.1;1
200111;2.7;1
200112;0;1
200201;3.3;1
200202;4.9;1
200203;4.5;1
200204;5.6;1
200205;8.9;1
200206;13.1;1
200207;13.1;1
200208;13.9;1
200209;10.2;1
200210;9.3;1
200211;6.1;1
200212;5.6;1
200301;0.5;1
200302;-0.1;1
200303;4.3;1
200304;6.5;1
200305;9.2;1
200306;15.8;1
200307;14.8;1
200308;17.5;1
200309;10.7;1
200310;7;1
200311;5.9;1
200312;3;1
200401;3.1;1
200402;1.3;1
200403;2.1;1
200404;5.2;1
200405;8.5;1
200406;13;1
200407;13.6;1
200408;15.2;1
200409;11.9;1
200410;9.4;1
200411;4.7;1
200412;1.1;1
200501;2.6;1
200502;0.4;1
200503;3.3;1
200504;5.8;1
200505;9.1;1
200506;13.7;1
200507;14.9;1
200508;13.5;1
200509;11.9;1
200510;11.8;1
200511;3.3;1
200512;0.4;1
200601;1.6;1
200602;0.6;1
200603;3.7;1
200604;5.9;1
200605;9.5;1
200606;13.3;1
200607;17.5;1
200608;12.9;1
200609;14.3;1
200610;11.9;1
200611;6.1;1
200612;1.8;1
200701;5.2;1
200702;5.2;1
200703;3.1;1
200704;8.3;1
200705;11;1
200706;13;1
200707;13.2;1
