# DONNEES MENSUELLES HOMOGENEISEES de TN : Moyenne mensuelle de la température minimale sous abri (en °C et 1/10) 
# NUM_POSTE= 84087001
# NOM_USUEL= ORANGE
# LATITUDE (°) = 44.145
# LONGITUDE(°)= 4.861
# ALTITUDE (m) = 57
# NUM_SERIE= MTN284087001
# Amplitude minimale détectable de la série = 0.14
# Période homogénéisée : 195901 201912
# Date(s) de rupture(s) d'homogénéité : 197512 198812 200905
#     Periode homogénéisée  195901 201912  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195901;-0.1;1
195902;0.6;1
195903;6.8;1
195904;6.8;1
195905;11.2;1
195906;14.7;1
195907;17.7;1
195908;16.3;1
195909;14;1
195910;9.1;1
195911;3.5;1
195912;3.2;1
196001;1;1
196002;2.7;1
196003;5.9;1
196004;7.4;1
196005;11.3;1
196006;15.8;1
196007;15.6;1
196008;14.5;1
196009;11.4;1
196010;9.1;1
196011;5.2;1
196012;0.9;1
196101;0.3;1
196102;3.4;1
196103;4.1;1
196104;9.1;1
196105;10.6;1
196106;15;1
196107;15.9;1
196108;14.9;1
196109;14.7;1
196110;9.5;1
196111;4;1
196112;2.8;1
196201;3.6;1
196202;1.9;1
196203;2.4;1
196204;7.3;1
196205;9;1
196206;13.6;1
196207;16.1;1
196208;16.7;1
196209;13.5;1
196210;9.6;1
196211;3.6;1
196212;-2.4;1
196301;-2;1
196302;-1.6;1
196303;3.7;1
196304;8;1
196305;10.5;1
196306;14.1;1
196307;17.1;1
196308;14.4;1
196309;13.4;1
196310;8.1;1
196311;6.8;1
196312;-1.2;1
196401;-0.8;1
196402;4.9;1
196403;4.3;1
196404;7.6;1
196405;11.9;1
196406;15.4;1
196407;17.1;1
196408;15.7;1
196409;14.1;1
196410;7.4;1
196411;4.7;1
196412;1.5;1
196501;2.3;1
196502;0.5;1
196503;4.1;1
196504;7.1;1
196505;10.5;1
196506;14.2;1
196507;15.3;1
196508;15.3;1
196509;11;1
196510;9.8;1
196511;4.4;1
196512;2.3;1
196601;0;1
196602;4.9;1
196603;3.8;1
196604;8;1
196605;11.3;1
196606;14.3;1
196607;14.9;1
196608;14.4;1
196609;13.7;1
196610;11.1;1
196611;2.9;1
196612;3.1;1
196701;1.3;1
196702;3;1
196703;6.5;1
196704;7.1;1
