# DONNEES MENSUELLES HOMOGENEISEES de TN : Moyenne mensuelle de la température minimale sous abri (en °C et 1/10) 
# NUM_POSTE= 85216001
# NOM_USUEL= SAINTE GEMME LA PLAINE_SAPC
# LATITUDE (°) = 46.44
# LONGITUDE(°)= -1.121
# ALTITUDE (m) = 3
# NUM_SERIE= MTN285216001
# Amplitude minimale détectable de la série = 0.17
# Période homogénéisée : 195901 202112
# Date(s) de rupture(s) d'homogénéité : 196512 198512 198912
#     Periode homogénéisée  195901 202112  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195901;1.2;1
195902;1.4;1
195903;5;1
195904;6.2;1
195905;10.4;1
195906;11.8;1
195907;13.1;1
195908;13.2;1
195909;12.8;1
195910;8.6;1
195911;5.2;1
195912;4.4;1
196001;1.9;1
196002;2.1;1
196003;6.2;1
196004;5.9;1
196005;10;1
196006;12.7;1
196007;12;1
196008;11.9;1
196009;9.4;1
196010;7.9;1
196011;6.7;1
196012;2.2;1
196101;2.5;1
196102;4.9;1
196103;3.7;1
196104;7.2;1
196105;9;1
196106;11.4;1
196107;13.4;1
196108;11.5;1
196109;13.4;1
196110;9.3;1
196111;4.9;1
196112;3.9;1
196201;3;1
196202;1.9;1
196203;0.7;1
196204;5.7;1
196205;7.7;1
196206;10.6;1
196207;12.4;1
196208;12.3;1
196209;10.2;1
196210;8.1;1
196211;3.1;1
196212;-0.9;1
196301;-3.6;1
196302;-2.5;1
196303;4.9;1
196304;6.2;1
196305;7.2;1
196306;11.1;1
196307;12.3;1
196308;12.4;1
196309;12;1
196310;9.3;1
196311;8.9;1
196312;-0.9;1
196401;-2.1;1
196402;2.9;1
196403;3.7;1
196404;5.9;1
196405;9.4;1
196406;11.5;1
196407;12.5;1
196408;12.9;1
196409;12.7;1
196410;5.8;1
196411;3.6;1
196412;1.2;1
196501;2.5;1
196502;-0.2;1
196503;4.9;1
196504;4.7;1
196505;8.5;1
196506;10.8;1
196507;10.6;1
196508;12.7;1
196509;8.8;1
196510;8.7;1
196511;3.9;1
196512;4.8;1
196601;3.2;1
196602;6.1;1
196603;2.6;1
196604;7.2;1
196605;8.8;1
196606;12;1
196607;12.3;1
196608;11.9;1
196609;12.4;1
196610;9.3;1
196611;1.9;1
196612;4.4;1
196701;1.8;1
196702;2.9;1
196703;3.4;1
196704;5.3;1
196705;8.3;1
196706;11.8;1
196707;13.1;1
196708;12.2;1
196709;9.2;1
196710;9.3;1
196711;5.2;1
196712;1;1
196801;2.1;1
196802;2.5;1
196803;3.3;1
196804;4.9;1
196805;6.7;1
196806;11.1;1
196807;12.7;1
196808;11.9;1
196809;10.5;1
196810;9.3;1
196811;5.3;1
196812;3.4;1
196901;3.6;1
196902;0.5;1
196903;4.6;1
196904;6.5;1
196905;8.2;1
196906;10.7;1
196907;13.7;1
196908;12;1
196909;12.1;1
196910;8.7;1
196911;4.7;1
196912;2.6;1
197001;3.8;1
197002;4.3;1
197003;2.8;1
197004;4.9;1
197005;7.7;1
197006;12.8;1
197007;11.4;1
197008;13.6;1
197009;11.5;1
197010;7.1;1
197011;5.2;1
197012;0.7;1
197101;2.5;1
197102;1.7;1
197103;1.2;1
197104;7.3;1
197105;9.9;1
197106;10.6;1
197107;15.7;1
197108;13.7;1
197109;11.4;1
197110;7.2;1
197111;2.5;1
197112;2.5;1
197201;2.1;1
197202;4;1
197203;4.6;1
197204;5.8;1
197205;6.7;1
197206;8.3;1
197207;12.9;1
197208;11.8;1
197209;9.1;1
197210;7.7;1
197211;5.4;1
197212;2.6;1
197301;2.5;1
197302;1.5;1
197303;1;1
197304;3.8;1
197305;10.5;1
197306;11.5;1
197307;13.6;1
197308;15.4;1
197309;12.4;1
197310;6.5;1
197311;3.4;1
197312;1.9;1
197401;4.8;1
197402;3.3;1
197403;4.3;1
197404;5.5;1
197405;8.1;1
197406;11;1
197407;11.7;1
197408;11.7;1
197409;10.7;1
197410;4.8;1
197411;5.8;1
197412;5.3;1
197501;4.3;1
197502;2.4;1
197503;3.1;1
197504;6;1
197505;8.2;1
197506;11.9;1
197507;13;1
197508;14.2;1
197509;12.3;1
197510;7.2;1
197511;4.8;1
197512;0.3;1
197601;2.7;1
197602;2.8;1
197603;2.7;1
197604;5.4;1
197605;8.2;1
197606;12.7;1
197607;14.7;1
197608;14.7;1
197609;11.1;1
197610;9.1;1
197611;3.9;1
197612;2.3;1
197701;2.3;1
197702;5.9;1
197703;4.8;1
197704;4.3;1
197705;9.5;1
197706;11.8;1
197707;15.2;1
197708;11.3;1
197709;9.3;1
197710;9.8;1
197711;4.5;1
197712;3.5;1
197801;2.2;1
197802;3.2;1
197803;4.4;1
197804;4.3;1
197805;8.5;1
197806;10.9;1
197807;12.2;1
197808;12;1
197809;9.4;1
197810;6.8;1
197811;3.1;1
197812;5.1;1
197901;0;1
197902;3.9;1
197903;4.5;1
197904;4.7;1
197905;7.1;1
197906;11.4;1
197907;12.9;1
197908;11.6;1
197909;10.3;1
197910;9.8;1
197911;4.2;1
197912;4;1
198001;0.9;1
198002;3.7;1
198003;3.6;1
198004;4.4;1
198005;7.6;1
198006;11.5;1
198007;11.7;1
198008;13;1
198009;11;1
198010;7.5;1
198011;3.8;1
198012;0.7;1
198101;2.4;1
198102;0.1;1
198103;6.4;1
198104;5.9;1
198105;9.5;1
198106;11.6;1
198107;12.8;1
198108;13.7;1
198109;11.8;1
198110;9.3;1
198111;5.1;1
198112;3.7;1
198201;4.9;1
198202;2.8;1
198203;3;1
198204;4.4;1
198205;7.9;1
198206;13.1;1
198207;16.4;1
198208;11.6;1
198209;12.3;1
198210;8.4;1
198211;6.2;1
198212;4;1
198301;3.4;1
198302;2.1;1
198303;5.7;1
198304;5.6;1
198305;8.3;1
