# DONNEES MENSUELLES HOMOGENEISEES de TN : Moyenne mensuelle de la température minimale sous abri (en °C et 1/10) 
# NUM_POSTE= 91103001
# NOM_USUEL= BRETIGNY_SAPC
# LATITUDE (°) = 48.601
# LONGITUDE(°)= 2.326
# ALTITUDE (m) = 78
# NUM_SERIE= MTN291103001
# Amplitude minimale détectable de la série = 0.14
# Période homogénéisée : 195301 202212
# Date(s) de rupture(s) d'homogénéité : 197612 198612 201712
#     Periode homogénéisée  195301 202212  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195301;-1.3;1
195302;0.4;1
195303;1.6;1
195304;5.9;1
195305;10.1;1
195306;12.5;1
195307;14.3;1
195308;13.5;1
195309;11.1;1
195310;8.4;1
195311;3.1;1
195312;3.8;1
195401;-1.7;1
195402;-0.8;1
195403;3.8;1
195404;4.2;1
195405;8.1;1
195406;12;1
195407;11.4;1
195408;12.9;1
195409;11.4;1
195410;8.5;1
195411;4.1;1
195412;4;1
195501;1.1;1
195502;1.4;1
195503;0.1;1
195504;5;1
195505;7.5;1
195506;12.4;1
195507;15.6;1
195508;13.8;1
195509;10;1
195510;5.4;1
195511;3.5;1
195512;4.3;1
195601;1.4;1
195602;-7.4;1
195603;2.8;1
195604;4.3;1
195605;9.2;1
195606;10.9;1
195607;14.2;1
195608;11.5;1
195609;13;1
195610;6.9;1
195611;2.4;1
195612;3.9;1
195701;-0.6;1
195702;4.3;1
195703;5.4;1
195704;5.6;1
195705;7.3;1
195706;12.6;1
195707;15.2;1
195708;13;1
195709;11.3;1
195710;7.4;1
195711;4.6;1
195712;0.7;1
195801;1.3;1
195802;3.5;1
195803;1;1
195804;4.6;1
195805;10.1;1
195806;11.9;1
195807;14.2;1
195808;14.6;1
195809;13;1
195810;8.4;1
195811;3.6;1
195812;2.4;1
195901;-0.1;1
195902;-0.7;1
195903;3.9;1
195904;6.4;1
195905;10.3;1
195906;12.4;1
195907;15.2;1
195908;14.9;1
195909;11.5;1
195910;6.9;1
195911;4;1
195912;3.4;1
196001;0.9;1
196002;1.1;1
196003;4.6;1
196004;6.4;1
196005;9.8;1
