# DONNEES MENSUELLES HOMOGENEISEES de TN : Moyenne mensuelle de la température minimale sous abri (en °C et 1/10) 
# NUM_POSTE= 3060001
# NOM_USUEL= VICHY-CHARMEIL
# LATITUDE (°) = 46.167
# LONGITUDE(°)= 3.399
# ALTITUDE (m) = 249
# NUM_SERIE= MTN303060001
# Amplitude minimale détectable de la série = 0.17
# Période homogénéisée : 195101 202212
# Date(s) de rupture(s) d'homogénéité : 195606 198507 198812 199112 199412
#     Periode homogénéisée  195101 202212  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195101;1;1
195102;0.6;1
195103;1;1
195104;3.7;1
195105;6.3;1
195106;10.5;1
195107;10.8;1
195108;11.6;1
195109;9.7;1
195110;5.1;1
195111;3.9;1
195112;-1.5;1
195201;-2.5;1
195202;-2.9;1
195203;3.7;1
195204;4.6;1
195205;6;1
195206;10.7;1
195207;12.5;1
195208;11.9;1
195209;7.8;1
195210;6.1;1
195211;1.9;1
195212;-0.5;1
195301;-4.4;1
195302;-2.8;1
195303;-1.1;1
195304;4.1;1
195305;7.5;1
195306;10.2;1
195307;12.4;1
195308;10.7;1
195309;8.4;1
195310;5.8;1
195311;0.7;1
195312;2.8;1
195401;-2.3;1
195402;-3.4;1
195403;1.7;1
195404;2;1
195405;5.8;1
195406;9.7;1
195407;10.4;1
195408;10.9;1
195409;9.8;1
195410;5.8;1
195411;2.7;1
195412;1.3;1
195501;1.2;1
195502;-0.4;1
195503;-1.7;1
195504;1;1
195505;5.9;1
195506;10.3;1
195507;12.7;1
195508;10.8;1
195509;8.6;1
195510;2.9;1
195511;-0.6;1
195512;1.5;1
195601;0.5;1
195602;-14;1
195603;-0.6;1
195604;1.4;1
195605;6.5;1
195606;8.3;1
195607;11.6;1
195608;10.4;1
195609;10.6;1
195610;4.3;1
195611;0.4;1
195612;1.2;1
195701;-3.2;1
195702;2.8;1
195703;2.8;1
195704;1.8;1
195705;3.6;1
195706;10.7;1
195707;12.7;1
195708;11;1
195709;8.4;1
195710;2.9;1
195711;2.5;1
195712;-2.8;1
195801;-0.6;1
195802;1.4;1
195803;-0.2;1
195804;2.5;1
195805;7.9;1
195806;9.8;1
195807;12.4;1
195808;13.2;1
195809;11.1;1
195810;5.2;1
195811;2.7;1
195812;0.5;1
195901;-1;1
195902;-2.6;1
195903;3.3;1
195904;4.6;1
195905;6.7;1
195906;10.9;1
195907;13;1
195908;10.9;1
195909;10.1;1
195910;5.5;1
195911;2.4;1
195912;1.5;1
196001;-2;1
196002;0.1;1
196003;2.7;1
196004;2.7;1
196005;6.8;1
196006;11;1
196007;11.1;1
196008;12;1
196009;8.7;1
196010;6.1;1
196011;4;1
196012;-0.8;1
196101;-0.3;1
196102;2;1
196103;-0.9;1
196104;6.6;1
196105;5.7;1
196106;11.3;1
196107;11;1
196108;10.8;1
196109;12.2;1
196110;7;1
196111;2.6;1
196112;-0.6;1
196201;1.2;1
196202;-2.3;1
196203;-1.2;1
196204;3.2;1
196205;6.1;1
196206;7.3;1
196207;10.5;1
196208;11.2;1
196209;7.8;1
196210;4.7;1
196211;0.6;1
196212;-4.7;1
196301;-8.9;1
196302;-8.1;1
196303;1.7;1
196304;4.1;1
196305;5.6;1
196306;10.9;1
196307;12.3;1
196308;11.4;1
196309;9.4;1
196310;4.6;1
196311;4.3;1
196312;-5;1
196401;-4.1;1
196402;0.9;1
196403;2.1;1
196404;4.2;1
196405;8;1
196406;10.7;1
196407;11.4;1
196408;10.9;1
196409;10.3;1
196410;4.1;1
196411;3.3;1
196412;-2.7;1
196501;-0.3;1
196502;-3.8;1
196503;1;1
196504;3.5;1
196505;6.6;1
196506;11.3;1
196507;12.1;1
196508;10.8;1
196509;8.5;1
196510;6.3;1
196511;3.2;1
196512;1.8;1
196601;-2;1
196602;3.4;1
196603;-0.9;1
196604;5.6;1
196605;7.7;1
196606;10.6;1
196607;10.9;1
196608;11.3;1
196609;9.3;1
196610;8.2;1
196611;0.9;1
196612;1.7;1
196701;-1.3;1
196702;-0.3;1
196703;2.7;1
196704;1.3;1
196705;5.8;1
196706;8.3;1
196707;12.6;1
196708;11.5;1
196709;9.5;1
196710;8.8;1
196711;2.5;1
196712;-2.5;1
196801;-1.4;1
196802;-0.3;1
196803;0.4;1
196804;3.4;1
196805;6.3;1
196806;9.4;1
196807;10.9;1
196808;11.1;1
196809;8.8;1
196810;8;1
196811;2.6;1
196812;-1.1;1
