# DONNEES MENSUELLES HOMOGENEISEES de TN : Moyenne mensuelle de la température minimale sous abri (en °C et 1/10) 
# NUM_POSTE= 17323001
# NOM_USUEL= CHASSIRON
# LATITUDE (°) = 46.047
# LONGITUDE(°)= -1.412
# ALTITUDE (m) = 11
# NUM_SERIE= MTN317323001
# Amplitude minimale détectable de la série = 0.19
# Période homogénéisée : 195101 202112
# Date(s) de rupture(s) d'homogénéité : 197312 198312 200612
#     Periode homogénéisée  195101 202112  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195101;5.8;1
195102;5.2;1
195103;6.2;1
195104;8.8;1
195105;9.6;1
195106;14.5;1
195107;16.5;1
195108;16.2;1
195109;16;1
195110;10.8;1
195111;9.9;1
195112;6.1;1
195201;4.4;1
195202;4.1;1
195203;8.2;1
195204;9.4;1
195205;13;1
195206;15.6;1
195207;16.2;1
195208;17.2;1
195209;13.3;1
195210;12.4;1
195211;7.2;1
195212;5.3;1
195301;1;1
195302;2.7;1
195303;6.3;1
195304;9;1
195305;12.9;1
195306;13.7;1
195307;16.4;1
195308;17.4;1
195309;15.3;1
195310;11.9;1
195311;6.9;1
195312;8.6;1
195401;3.7;1
195402;2.5;1
195403;7.4;1
195404;7.7;1
195405;10.7;1
195406;13.6;1
195407;14;1
195408;15.7;1
195409;15.8;1
195410;13.3;1
195411;9.5;1
195412;8.1;1
195501;5.2;1
195502;5.3;1
195503;3.8;1
195504;8.8;1
195505;11.3;1
195506;14.4;1
195507;17.4;1
195508;18;1
195509;15.7;1
195510;11;1
195511;7;1
195512;8.1;1
195601;5.4;1
195602;-2.6;1
195603;6;1
195604;7.8;1
195605;11.9;1
195606;12.9;1
195607;16.2;1
195608;15.4;1
195609;15.8;1
195610;11.9;1
195611;6.3;1
195612;7.2;1
195701;3.6;1
195702;7.6;1
195703;9.4;1
195704;8.7;1
195705;10.7;1
195706;15.2;1
195707;17;1
195708;16.9;1
195709;14.8;1
195710;13;1
195711;7.1;1
195712;4.5;1
195801;5.6;1
195802;6.5;1
195803;6.2;1
195804;7.6;1
195805;11.8;1
195806;14.2;1
195807;16;1
195808;16.4;1
195809;16.6;1
195810;12.4;1
195811;7.3;1
195812;5.6;1
195901;5;1
195902;4.7;1
195903;8.2;1
195904;9.5;1
195905;12.2;1
195906;14.7;1
195907;16.6;1
195908;17.1;1
195909;16.1;1
195910;12.5;1
195911;7.4;1
195912;7.1;1
196001;3.9;1
196002;4.8;1
196003;8;1
196004;8.8;1
196005;12.5;1
196006;15.8;1
196007;15.8;1
196008;16.7;1
196009;14.7;1
196010;11.6;1
196011;9.8;1
196012;4.6;1
196101;5.2;1
196102;7.4;1
196103;7.4;1
196104;10.9;1
196105;11.7;1
196106;14.6;1
196107;15.8;1
196108;16.2;1
196109;17.4;1
196110;12.8;1
196111;7.6;1
196112;6;1
196201;5.7;1
196202;4.8;1
196203;3.9;1
196204;8;1
196205;10.3;1
196206;13.1;1
196207;15.4;1
196208;17.4;1
196209;15.3;1
196210;11.9;1
196211;6.7;1
196212;2.7;1
196301;-1.2;1
196302;-0.2;1
196303;6.7;1
196304;8.7;1
196305;10.9;1
196306;14.3;1
196307;16.2;1
196308;15.8;1
196309;15.2;1
196310;12.3;1
196311;10.1;1
196312;2.4;1
196401;1.6;1
196402;5.6;1
196403;6.4;1
196404;9.2;1
196405;13;1
196406;14.8;1
196407;16.7;1
196408;16.5;1
196409;16.7;1
196410;10.9;1
196411;7.5;1
196412;4.5;1
196501;5.1;1
196502;2.5;1
196503;6.5;1
196504;9.2;1
196505;11.9;1
196506;13.9;1
196507;15.6;1
196508;16.2;1
196509;13.4;1
196510;12.9;1
196511;8.5;1
196512;7.9;1
196601;5.3;1
196602;9.4;1
196603;7.5;1
196604;10.9;1
196605;11.9;1
196606;14.4;1
196607;15.4;1
196608;16;1
196609;15.9;1
196610;12.8;1
196611;6.6;1
196612;8;1
196701;4.6;1
196702;5.5;1
196703;7.5;1
196704;7.8;1
196705;10.9;1
196706;13.9;1
196707;16.6;1
196708;16.3;1
196709;14.6;1
196710;13.6;1
196711;8.6;1
196712;4.5;1
196801;5.5;1
196802;5.2;1
196803;6.6;1
196804;8.2;1
196805;10.7;1
196806;14.3;1
196807;16.2;1
196808;16.8;1
196809;15.1;1
196810;13.8;1
196811;8.4;1
196812;5.7;1
196901;6.3;1
196902;3.6;1
196903;7.1;1
196904;9.1;1
196905;11.9;1
196906;14;1
196907;16.9;1
196908;17.1;1
196909;15.5;1
196910;13.6;1
196911;8.9;1
196912;4.1;1
197001;5.5;1
197002;6.7;1
197003;5.9;1
197004;8.2;1
197005;12;1
197006;16.3;1
197007;15.9;1
197008;16.6;1
197009;16.3;1
197010;12;1
197011;10.3;1
197012;4;1
197101;4.9;1
197102;4.8;1
197103;4.2;1
197104;9.5;1
197105;12.2;1
197106;14.1;1
197107;17.8;1
197108;17.6;1
197109;15.4;1
197110;12.3;1
197111;7.1;1
197112;5.1;1
197201;5;1
197202;6.3;1
197203;8;1
197204;9.2;1
197205;11.1;1
197206;13.2;1
197207;16;1
197208;15.3;1
197209;12.9;1
197210;11.2;1
197211;8.4;1
197212;6.2;1
197301;4;1
197302;4.3;1
197303;5.3;1
197304;7.6;1
197305;12.4;1
197306;14.7;1
197307;16.5;1
197308;18.7;1
197309;16.5;1
197310;11.2;1
197311;7.9;1
197312;4.9;1
197401;7.4;1
197402;6.3;1
197403;7.1;1
197404;8.7;1
197405;11.1;1
197406;14.3;1
197407;15.7;1
197408;16.6;1
197409;14.5;1
197410;9.7;1
197411;9.3;1
197412;8.8;1
197501;7.2;1
197502;6.1;1
197503;6.5;1
197504;8.1;1
197505;10.9;1
197506;14.3;1
197507;16.7;1
197508;18.2;1
197509;15.1;1
197510;11.1;1
197511;8.2;1
197512;2.8;1
197601;5.1;1
197602;5.4;1
197603;6.1;1
197604;8.2;1
197605;12.1;1
197606;16.2;1
197607;18.5;1
197608;17.6;1
197609;14.7;1
197610;12.7;1
197611;8;1
197612;4.6;1
197701;4.6;1
197702;7.9;1
197703;7.8;1
197704;8;1
197705;11.3;1
197706;13.7;1
197707;16.5;1
197708;15.8;1
197709;14.3;1
197710;13.1;1
197711;8.8;1
197712;6.4;1
197801;4.9;1
197802;5.8;1
197803;7.7;1
197804;7.9;1
197805;11.6;1
197806;13.9;1
197807;15.6;1
197808;16.1;1
197809;15;1
197810;11.9;1
197811;7.4;1
197812;6.6;1
197901;3.1;1
197902;5.8;1
197903;7.3;1
197904;8.5;1
197905;10.6;1
197906;14.4;1
197907;16;1
197908;16;1
197909;15.3;1
197910;12.7;1
197911;8.3;1
197912;7.2;1
198001;3.8;1
198002;7.2;1
198003;6.7;1
198004;8.5;1
198005;11;1
198006;14;1
198007;15.5;1
198008;17.6;1
198009;16;1
198010;11.5;1
198011;6.4;1
198012;4.4;1
198101;5.7;1
198102;3.6;1
198103;8.8;1
198104;9;1
198105;11.2;1
198106;13.8;1
198107;15.4;1
198108;17;1
198109;15.8;1
198110;13.1;1
198111;8.5;1
198112;6.5;1
198201;7.6;1
198202;6.2;1
198203;7.2;1
198204;8.6;1
198205;12.4;1
198206;16.1;1
198207;18.3;1
198208;17.6;1
198209;16.5;1
198210;12.4;1
198211;10.3;1
198212;6.6;1
198301;6.6;1
198302;4.2;1
198303;7.2;1
198304;8.7;1
198305;11.2;1
198306;15.4;1
198307;18.7;1
198308;17.7;1
198309;16;1
198310;12.5;1
198311;8.3;1
198312;5.3;1
198401;6.4;1
198402;4.5;1
198403;5.6;1
198404;8.5;1
198405;9.6;1
198406;14.2;1
198407;16.6;1
198408;17.1;1
198409;15;1
198410;12.4;1
198411;10.3;1
198412;6.3;1
198501;0.7;1
198502;5.2;1
198503;5.8;1
198504;9.4;1
198505;11.1;1
198506;14.3;1
198507;17.1;1
198508;16.2;1
198509;16.1;1
198510;12.5;1
198511;6;1
198512;5.9;1
198601;6.4;1
198602;0.9;1
198603;6.5;1
198604;6.9;1
198605;11.6;1
198606;14.4;1
198607;16.2;1
198608;15.6;1
198609;14.6;1
198610;14.1;1
198611;9.2;1
198612;7.4;1
198701;-0.6;1
198702;4.2;1
198703;6;1
198704;10.2;1
198705;10.8;1
198706;14.1;1
198707;17.4;1
198708;17.1;1
198709;17.7;1
198710;12.8;1
198711;8.5;1
198712;6;1
198801;7.9;1
198802;6.1;1
198803;8;1
198804;10.1;1
198805;13.2;1
198806;14.9;1
198807;15.9;1
198808;16.6;1
198809;15.7;1
198810;13;1
198811;7.3;1
198812;7.2;1
198901;4.6;1
198902;6.2;1
198903;9.1;1
198904;8.3;1
198905;14.1;1
198906;15.3;1
198907;17.6;1
198908;17.1;1
198909;15.2;1
198910;13.2;1
198911;8.8;1
198912;7;1
199001;6.7;1
199002;9.4;1
199003;8.3;1
199004;9.1;1
199005;14.2;1
199006;14.6;1
199007;17.1;1
199008;17.8;1
199009;15;1
199010;13.2;1
199011;8.9;1
199012;4.2;1
199101;4.8;1
199102;2.3;1
199103;8.5;1
199104;8.1;1
199105;10.7;1
199106;13.7;1
199107;16.4;1
199108;17.5;1
199109;16.9;1
199110;10.3;1
199111;8.3;1
199112;4.4;1
199201;3.3;1
199202;4.9;1
199203;7.6;1
199204;8.9;1
199205;13.2;1
199206;15.6;1
199207;17.5;1
199208;18.5;1
199209;15.7;1
199210;11.1;1
199211;10.8;1
199212;6.4;1
199301;7.6;1
199302;4.7;1
199303;6.3;1
199304;9.5;1
199305;12.5;1
199306;15.8;1
199307;16.2;1
199308;16.6;1
199309;14.5;1
199310;10.6;1
199311;6;1
199312;8.3;1
199401;6.9;1
199402;7.2;1
199403;9.3;1
199404;8.4;1
199405;12.5;1
199406;14.7;1
199407;18;1
199408;18.6;1
199409;15.1;1
199410;13.6;1
199411;11.3;1
199412;9.3;1
199501;6.1;1
199502;8.6;1
199503;7.4;1
199504;9.6;1
199505;12.5;1
199506;14.7;1
199507;18.3;1
199508;18.4;1
199509;14.7;1
199510;14.6;1
199511;8.6;1
199512;5.7;1
199601;7.3;1
