# DONNEES MENSUELLES HOMOGENEISEES de TN : Moyenne mensuelle de la température minimale sous abri (en °C et 1/10) 
# NUM_POSTE= 58160001
# NOM_USUEL= NEVERS-MARZY
# LATITUDE (°) = 46.998
# LONGITUDE(°)= 3.113
# ALTITUDE (m) = 175
# NUM_SERIE= MTN358160001
# Amplitude minimale détectable de la série = 0.19
# Période homogénéisée : 195101 202212
# Date(s) de rupture(s) d'homogénéité : 196012 196912 198712
#     Periode homogénéisée  195101 202212  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195101;1.1;1
195102;1.2;1
195103;0.8;1
195104;3;1
195105;6.5;1
195106;10.6;1
195107;10.7;1
195108;11.2;1
195109;9.6;1
195110;4.4;1
195111;4.1;1
195112;-0.5;1
195201;-1.7;1
195202;-2.9;1
195203;3.6;1
195204;4.4;1
195205;7.1;1
195206;9.6;1
195207;12;1
195208;12.1;1
195209;7.5;1
195210;5.9;1
195211;1.2;1
195212;0;1
195301;-4.1;1
195302;-3.4;1
195303;-1.8;1
195304;3.3;1
195305;7.1;1
195306;9.6;1
195307;12.2;1
195308;9.6;1
195309;8.3;1
195310;6.3;1
195311;0.1;1
195312;3.7;1
195401;-3.1;1
195402;-3.6;1
195403;1.6;1
195404;1.5;1
195405;5.8;1
195406;9.3;1
195407;10;1
195408;11;1
195409;10.4;1
195410;6.3;1
195411;2.9;1
195412;2.2;1
195501;1.3;1
195502;-0.3;1
195503;-1.8;1
195504;1.7;1
195505;5.4;1
195506;10.2;1
195507;12.1;1
195508;10.7;1
195509;7.9;1
195510;2.8;1
195511;0.3;1
195512;3.1;1
195601;-0.1;1
195602;-12.4;1
195603;0.5;1
195604;1.3;1
195605;6.8;1
195606;8.6;1
195607;11.6;1
195608;9.9;1
195609;10.7;1
195610;4.8;1
195611;-0.3;1
195612;1.6;1
195701;-2.5;1
195702;3.4;1
195703;3.3;1
195704;1.9;1
195705;3.8;1
195706;10.3;1
195707;12.6;1
195708;10.9;1
195709;8.3;1
195710;3.4;1
195711;2.2;1
195712;-1.7;1
195801;-0.3;1
195802;1.6;1
195803;-0.5;1
195804;2;1
195805;8.1;1
195806;9.9;1
195807;11.8;1
195808;13.4;1
195809;10.6;1
195810;5.2;1
195811;2.6;1
195812;0.8;1
195901;-1.2;1
195902;-2.8;1
195903;2.6;1
195904;4.5;1
195905;6.8;1
195906;10.3;1
195907;12.2;1
195908;11.5;1
195909;8.5;1
195910;5.1;1
195911;2.6;1
195912;2.2;1
196001;-2;1
196002;0.5;1
196003;3.2;1
196004;2.8;1
196005;6.8;1
196006;10.4;1
196007;10.2;1
196008;11.6;1
196009;7.6;1
196010;6.7;1
196011;4.6;1
196012;-0.4;1
196101;0.3;1
196102;2.5;1
196103;-0.7;1
196104;6.1;1
196105;5.8;1
196106;10.5;1
196107;10.4;1
196108;10.1;1
