# DONNEES MENSUELLES HOMOGENEISEES de TN : Moyenne mensuelle de la température minimale sous abri (en °C et 1/10) 
# NUM_POSTE= 67124001
# NOM_USUEL= STRASBOURG-ENTZHEIM
# LATITUDE (°) = 48.55
# LONGITUDE(°)= 7.64
# ALTITUDE (m) = 150
# NUM_SERIE= MTN367124001
# Amplitude minimale détectable de la série = 0.15
# Période homogénéisée : 195101 202212
# Date(s) de rupture(s) d'homogénéité : 196002
#     Periode homogénéisée  195101 202212  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195101;0.7;1
195102;0.8;1
195103;0.5;1
195104;2.9;1
195105;7.1;1
195106;11.7;1
195107;12.2;1
195108;12.7;1
195109;10.5;1
195110;3.5;1
195111;4;1
195112;-1.7;1
195201;-1;1
195202;-2;1
195203;1.9;1
195204;6.2;1
195205;8.4;1
195206;11.4;1
195207;14.4;1
195208;13.1;1
195209;8.4;1
195210;5.3;1
195211;1.4;1
195212;-1;1
195301;-2.9;1
195302;-2;1
195303;-0.1;1
195304;5;1
195305;9.1;1
195306;11.8;1
195307;13.8;1
195308;11.7;1
195309;9.7;1
195310;6.3;1
195311;1.3;1
195312;0.8;1
195401;-4.5;1
195402;-4.5;1
195403;1.5;1
195404;3;1
195405;6.9;1
195406;11.8;1
195407;11.8;1
195408;11.7;1
195409;11.2;1
195410;6;1
195411;2.1;1
195412;1.9;1
195501;-2.6;1
195502;-2.1;1
195503;-1.1;1
195504;2.9;1
195505;7;1
195506;11.4;1
195507;14.1;1
195508;11.8;1
195509;9.3;1
195510;3.4;1
195511;-0.4;1
195512;0.4;1
195601;-1;1
195602;-14.4;1
195603;0.3;1
195604;3.1;1
195605;8.5;1
195606;10.8;1
195607;13.2;1
195608;11.2;1
195609;10.9;1
195610;6;1
195611;0.7;1
195612;0.5;1
195701;-3.6;1
195702;3;1
195703;4.2;1
195704;4.6;1
195705;6.1;1
195706;12;1
195707;14.4;1
195708;12.1;1
195709;9.8;1
195710;5.2;1
195711;3.1;1
195712;-1.6;1
195801;-1.6;1
195802;1.4;1
195803;-1.9;1
195804;2.4;1
195805;10.2;1
195806;11;1
195807;13.4;1
195808;13.9;1
195809;11.2;1
195810;5.9;1
195811;3.3;1
195812;0.9;1
195901;-2;1
195902;-2.9;1
195903;3.6;1
195904;5;1
195905;8.9;1
195906;12.4;1
195907;15.4;1
195908;13.4;1
195909;9.4;1
195910;3.7;1
195911;1.1;1
195912;1.2;1
196001;-2.1;1
196002;-0.4;1
196003;3.5;1
196004;4.8;1
196005;8.7;1
196006;12.4;1
196007;11.8;1
196008;13.7;1
196009;9;1
196010;7;1
196011;4.8;1
196012;-0.2;1
196101;-1;1
196102;2.7;1
