# DONNEES MENSUELLES HOMOGENEISEES de TN : Moyenne mensuelle de la température minimale sous abri (en °C et 1/10) 
# NUM_POSTE= 80001001
# NOM_USUEL= ABBEVILLE
# LATITUDE (°) = 50.136
# LONGITUDE(°)= 1.834
# ALTITUDE (m) = 69
# NUM_SERIE= MTN380001001
# Amplitude minimale détectable de la série = 0.13
# Période homogénéisée : 195101 202212
# Date(s) de rupture(s) d'homogénéité : Aucune rupture d'homogénéité
#     Periode homogénéisée  195101 202212  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195101;3;1
195102;1.5;1
195103;1.7;1
195104;3.1;1
195105;7.4;1
195106;9.7;1
195107;11.6;1
195108;12.3;1
195109;11.8;1
195110;5.4;1
195111;6.5;1
195112;2.3;1
195201;1.1;1
195202;0.3;1
195203;3.9;1
195204;5.9;1
195205;8.8;1
195206;10.3;1
195207;12.5;1
195208;13.1;1
195209;8.2;1
195210;6.3;1
195211;1.6;1
195212;0.8;1
195301;-0.8;1
195302;0.5;1
195303;1.4;1
195304;5.1;1
195305;8.4;1
195306;10.5;1
195307;12.5;1
195308;12.2;1
195309;10.2;1
195310;8.1;1
195311;4.7;1
195312;4;1
195401;-1.6;1
195402;-1.1;1
195403;4.2;1
195404;2.2;1
195405;7.5;1
195406;10.1;1
195407;11.2;1
195408;11.9;1
195409;10.7;1
195410;9.8;1
195411;4.2;1
195412;4.2;1
195501;0.1;1
195502;-0.2;1
195503;-0.7;1
195504;3.9;1
195505;6.5;1
195506;10.4;1
195507;12.7;1
195508;12.6;1
195509;10.1;1
195510;6.5;1
195511;3.5;1
195512;3.2;1
195601;1.6;1
195602;-7.6;1
195603;2.4;1
195604;2.4;1
195605;7.2;1
195606;9.4;1
195607;12.5;1
195608;10.9;1
195609;11.6;1
195610;7.3;1
195611;2.1;1
195612;4.8;1
195701;1.6;1
195702;4.3;1
195703;5.8;1
195704;4.2;1
195705;6.2;1
195706;11.2;1
195707;13.8;1
195708;12.3;1
195709;10.6;1
195710;7.7;1
195711;4;1
195712;1.2;1
195801;1.8;1
195802;2.7;1
195803;0.3;1
195804;3;1
195805;8.3;1
195806;10.2;1
195807;12;1
195808;13.4;1
195809;12.3;1
195810;8.7;1
195811;3.4;1
195812;3;1
195901;0.1;1
195902;-1.1;1
195903;3.9;1
195904;6.1;1
195905;8.3;1
195906;10.5;1
195907;12.5;1
195908;13.1;1
195909;9.8;1
195910;7.5;1
195911;3.5;1
195912;3.8;1
196001;1.2;1
196002;1.2;1
196003;3.4;1
196004;4.6;1
196005;8.3;1
196006;10.9;1
196007;12;1
196008;12;1
196009;10.1;1
196010;8.2;1
196011;6.2;1
196012;1.6;1
196101;1.4;1
196102;4.5;1
196103;3.4;1
196104;7.9;1
196105;6.8;1
196106;10.4;1
196107;11.7;1
196108;12.5;1
196109;12.6;1
196110;8.2;1
196111;3.4;1
196112;0.4;1
196201;3;1
196202;1.3;1
196203;-0.1;1
196204;4.9;1
196205;7;1
196206;8.6;1
196207;11.9;1
196208;12.1;1
196209;9.8;1
196210;7.4;1
196211;3.2;1
196212;-1.5;1
196301;-5.6;1
196302;-4.2;1
196303;3.1;1
196304;5.3;1
196305;6.9;1
196306;11;1
196307;11.9;1
196308;12;1
196309;10.7;1
196310;7.9;1
196311;6.6;1
196312;-2.4;1
196401;-0.6;1
196402;2.6;1
196403;1.8;1
196404;5.5;1
