# DONNEES MENSUELLES HOMOGENEISEES de TN : Moyenne mensuelle de la température minimale sous abri (en °C et 1/10) 
# NUM_POSTE= 94068001
# NOM_USUEL= ST-MAUR
# LATITUDE (°) = 48.809
# LONGITUDE(°)= 2.492
# ALTITUDE (m) = 48
# NUM_SERIE= MTN394068001
# Amplitude minimale détectable de la série = 0.12
# Période homogénéisée : 195301 202212
# Date(s) de rupture(s) d'homogénéité : 196312 197610 198312 198712
#     Periode homogénéisée  195301 202212  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195301;-0.8;1
195302;1.1;1
195303;2.8;1
195304;6.3;1
195305;10.8;1
195306;12.3;1
195307;14.7;1
195308;13.9;1
195309;11.2;1
195310;8.9;1
195311;3.7;1
195312;4.2;1
195401;-1.2;1
195402;-0.3;1
195403;5.2;1
195404;4.6;1
195405;9.1;1
195406;12.4;1
195407;12.6;1
195408;13.4;1
195409;11.6;1
195410;9.1;1
195411;4.6;1
195412;4.5;1
195501;1.6;1
195502;1.9;1
195503;0.8;1
195504;6.1;1
195505;8.1;1
195506;12.8;1
195507;15.2;1
195508;14.4;1
195509;11;1
195510;6.2;1
195511;3.7;1
195512;4.5;1
195601;1.5;1
195602;-7.6;1
195603;3.3;1
195604;4.5;1
195605;9.7;1
195606;11;1
195607;14.3;1
195608;12;1
195609;13.3;1
195610;7.8;1
195611;2.7;1
195612;4.7;1
195701;0.7;1
195702;4.9;1
195703;6.6;1
195704;5.8;1
195705;7.6;1
195706;13.1;1
195707;15.7;1
195708;13.2;1
195709;11.4;1
195710;7.9;1
195711;4.8;1
195712;1.5;1
195801;1.7;1
195802;3.9;1
195803;1.4;1
195804;4.5;1
195805;10.5;1
195806;11.8;1
195807;14.5;1
195808;14.9;1
195809;13.4;1
195810;8.7;1
195811;4.2;1
195812;3.4;1
195901;0.7;1
195902;0.4;1
195903;5.4;1
195904;7.1;1
195905;10.5;1
195906;13.1;1
195907;15.9;1
195908;14.9;1
195909;11.9;1
195910;7.7;1
195911;4.5;1
195912;4.5;1
196001;1.3;1
196002;2.1;1
196003;5.3;1
196004;6.7;1
196005;10.4;1
196006;13.2;1
196007;13.5;1
196008;13.8;1
196009;10.8;1
196010;8.8;1
196011;6.4;1
196012;2;1
196101;1.9;1
