# DONNEES MENSUELLES HOMOGENEISEES de TN : Moyenne mensuelle de la température minimale sous abri (en °C et 1/10) 
# NUM_POSTE= 95088001
# NOM_USUEL= LE BOURGET
# LATITUDE (°) = 48.967
# LONGITUDE(°)= 2.428
# ALTITUDE (m) = 49
# NUM_SERIE= MTN395088001
# Amplitude minimale détectable de la série = 0.12
# Période homogénéisée : 195301 202212
# Date(s) de rupture(s) d'homogénéité : 195812 198412 199301 199508 200312
#     Periode homogénéisée  195301 202212  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195301;-1.1;1
195302;0.9;1
195303;1.7;1
195304;6.2;1
195305;10.2;1
195306;12;1
195307;14.6;1
195308;13.8;1
195309;11.2;1
195310;8.4;1
195311;3.8;1
195312;3.7;1
195401;-1.8;1
195402;-0.9;1
195403;4.8;1
195404;3.8;1
195405;8.4;1
195406;12;1
195407;12.4;1
195408;13.1;1
195409;11.7;1
195410;9.2;1
195411;4.4;1
195412;4.5;1
195501;1.1;1
195502;1.1;1
195503;0.2;1
195504;5.1;1
195505;7.8;1
195506;12.1;1
195507;14.8;1
195508;13.6;1
195509;10.1;1
195510;6.2;1
195511;3.6;1
195512;4.5;1
195601;1.8;1
195602;-7.9;1
195603;2.8;1
195604;3.9;1
195605;8.9;1
195606;10.8;1
195607;14.1;1
195608;11.6;1
195609;13.1;1
195610;7.6;1
195611;2.6;1
195612;4.6;1
195701;0.3;1
195702;5.1;1
195703;6.1;1
195704;5;1
195705;7.1;1
195706;12.6;1
195707;15.7;1
195708;13.1;1
195709;11.6;1
195710;8.1;1
195711;4.8;1
195712;1.1;1
195801;1.5;1
195802;3.8;1
195803;1.2;1
195804;4.4;1
195805;10.3;1
195806;11.7;1
195807;14.3;1
195808;15.1;1
195809;13.2;1
195810;9;1
195811;4;1
195812;3.3;1
195901;0;1
195902;-0.6;1
195903;4.6;1
195904;6.8;1
195905;10;1
195906;12.4;1
195907;15.4;1
195908;14.9;1
195909;11.2;1
195910;7.2;1
195911;4.5;1
195912;4.3;1
196001;1.6;1
196002;1.9;1
196003;4.7;1
196004;6.2;1
196005;10.3;1
196006;13;1
196007;13.7;1
196008;13.8;1
196009;10.7;1
196010;8.8;1
196011;6.6;1
196012;1.7;1
196101;1.8;1
196102;4.7;1
196103;3.8;1
196104;9.1;1
196105;8.2;1
196106;11.9;1
196107;13;1
196108;13.8;1
196109;14.3;1
196110;9.2;1
196111;3.8;1
196112;1.7;1
196201;3.5;1
196202;1.4;1
196203;0.5;1
196204;6.3;1
196205;8.4;1
196206;10.5;1
196207;13;1
196208;13.2;1
196209;10.6;1
196210;7.6;1
196211;3.6;1
196212;-1.8;1
196301;-4.8;1
196302;-4.6;1
196303;3.2;1
196304;6.3;1
196305;8.3;1
196306;12.8;1
196307;13.5;1
196308;12.9;1
196309;12;1
196310;7.6;1
196311;6.7;1
196312;-1.5;1
196401;-1.2;1
196402;3.7;1
196403;2.7;1
196404;6.1;1
196405;10.3;1
196406;11.9;1
196407;13.5;1
196408;13.8;1
196409;11.7;1
196410;5.8;1
196411;5.1;1
196412;0.8;1
196501;1.7;1
196502;-0.5;1
196503;3.5;1
196504;5.8;1
196505;9.4;1
196506;12.1;1
196507;13.2;1
196508;12.7;1
196509;10.3;1
196510;6.4;1
196511;3.2;1
196512;4;1
196601;-1.3;1
196602;6;1
196603;3.3;1
196604;7.7;1
196605;8.6;1
196606;13.2;1
196607;13.4;1
196608;12.6;1
196609;11.8;1
196610;10.1;1
196611;2.8;1
196612;3.8;1
196701;1.5;1
196702;3.6;1
196703;4.5;1
196704;4.6;1
196705;8.5;1
196706;10.8;1
196707;14.3;1
196708;13.5;1
196709;11.9;1
196710;10;1
196711;3.3;1
196712;1.1;1
196801;1.3;1
196802;1.4;1
196803;3.8;1
196804;5.1;1
196805;8.3;1
196806;12.1;1
196807;13.5;1
196808;14.5;1
196809;12.2;1
196810;10.6;1
196811;3.2;1
196812;-0.1;1
196901;3.1;1
196902;-0.4;1
