# DONNEES MENSUELLES HOMOGENEISEES de TN : Moyenne mensuelle de la température minimale sous abri (en °C et 1/10) 
# NUM_POSTE= 21154001
# NOM_USUEL= CHATILLON/SEINE
# LATITUDE (°) = 47.849
# LONGITUDE(°)= 4.581
# ALTITUDE (m) = 262
# NUM_SERIE= MTN421154001
# Amplitude minimale détectable de la série = 0.16
# Période homogénéisée : 195101 202212
# Date(s) de rupture(s) d'homogénéité : 196708 197312 198710
#     Periode homogénéisée  195101 202212  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195101;0.9;1
195102;0.4;1
195103;-0.1;1
195104;1.8;1
195105;5.8;1
195106;9.2;1
195107;9.7;1
195108;10.5;1
195109;9.5;1
195110;3.5;1
195111;4.5;1
195112;-0.8;1
195201;-1.9;1
195202;-3.8;1
195203;2.7;1
195204;3.3;1
195205;5.7;1
195206;8.3;1
195207;10.6;1
195208;11.3;1
195209;7.2;1
195210;4.8;1
195211;1;1
195212;-1;1
195301;-3.7;1
195302;-3;1
195303;-2.3;1
195304;3;1
195305;6.3;1
195306;9.7;1
195307;11.7;1
195308;9.5;1
195309;8.7;1
195310;5.9;1
195311;-0.2;1
195312;2.6;1
195401;-4.5;1
195402;-4;1
195403;1.2;1
195404;1;1
195405;4.5;1
195406;9;1
195407;9.1;1
195408;10.6;1
195409;9.8;1
195410;5.9;1
195411;2.5;1
195412;1.8;1
195501;-0.2;1
195502;-0.9;1
195503;-2.2;1
195504;1;1
195505;4.7;1
195506;9.1;1
195507;11.8;1
195508;9.4;1
195509;7.6;1
195510;1.9;1
195511;0.3;1
195512;2.1;1
195601;-0.8;1
195602;-15.1;1
195603;0.2;1
195604;0.9;1
195605;5.7;1
195606;7.6;1
195607;11.2;1
195608;9.1;1
195609;11;1
195610;4.4;1
195611;-0.4;1
195612;1.5;1
195701;-3.5;1
195702;2.5;1
195703;2.8;1
195704;1.6;1
195705;3.1;1
195706;10.3;1
195707;12.5;1
195708;10.2;1
195709;8.5;1
195710;4.1;1
195711;2.5;1
195712;-1.4;1
195801;-1.1;1
195802;1.4;1
195803;-2.3;1
195804;0.9;1
195805;7.5;1
195806;8.6;1
195807;11.2;1
195808;12.3;1
195809;10.6;1
195810;5.1;1
195811;1.8;1
195812;0.4;1
195901;-1.4;1
195902;-4;1
195903;2.1;1
195904;3.6;1
195905;5.8;1
195906;9.4;1
195907;11.7;1
195908;11;1
195909;7.9;1
195910;3.9;1
195911;1.3;1
195912;1.5;1
196001;-2.4;1
196002;-0.5;1
196003;2.6;1
196004;2.6;1
196005;6.3;1
196006;9.1;1
196007;9.8;1
196008;11.5;1
196009;7.6;1
196010;6.3;1
196011;4.6;1
196012;-1.1;1
196101;-0.8;1
196102;2;1
196103;-0.3;1
196104;6.1;1
196105;5.2;1
196106;8.6;1
196107;9.1;1
196108;10.1;1
196109;11.8;1
196110;6.8;1
196111;1.4;1
196112;-0.9;1
196201;1.1;1
196202;-2.1;1
196203;-2.7;1
196204;2.9;1
196205;4.8;1
196206;6.7;1
196207;9.6;1
196208;10.4;1
196209;7.5;1
196210;4.3;1
196211;0.2;1
196212;-5;1
196301;-7.1;1
196302;-7.4;1
196303;0.9;1
196304;3.9;1
196305;5.6;1
196306;10.4;1
196307;10.9;1
196308;11.4;1
196309;9.3;1
196310;4.5;1
196311;5.5;1
196312;-4.7;1
196401;-4.1;1
196402;1.5;1
196403;0.8;1
196404;4;1
196405;7;1
196406;9.1;1
196407;10.5;1
196408;11.1;1
196409;9.6;1
196410;4.2;1
196411;3;1
196412;-2.2;1
196501;0.5;1
196502;-4.5;1
196503;0.9;1
196504;2.7;1
196505;6.4;1
196506;10;1
196507;11.1;1
196508;10.9;1
196509;8.3;1
196510;4.5;1
196511;2;1
196512;2.3;1
196601;-3.7;1
196602;4.1;1
196603;-0.8;1
196604;5;1
196605;6.8;1
196606;10.1;1
196607;10.1;1
196608;9.8;1
196609;8.7;1
196610;8.5;1
196611;0;1
196612;1.1;1
196701;-2.1;1
196702;0.1;1
196703;1.4;1
196704;0.8;1
196705;5.8;1
196706;7.5;1
196707;11;1
196708;10.4;1
196709;9.7;1
196710;8.2;1
196711;2.3;1
196712;-2.4;1
196801;-1.9;1
196802;-0.5;1
196803;0.1;1
196804;2.4;1
196805;5.6;1
196806;8.8;1
196807;10;1
196808;11;1
196809;9.4;1
196810;8.4;1
196811;2.3;1
196812;-1.3;1
196901;0.7;1
196902;-3.5;1
196903;0.9;1
196904;3.2;1
196905;6.3;1
196906;7.9;1
196907;12;1
196908;10.8;1
196909;9.6;1
196910;4.3;1
196911;2.3;1
196912;-4.3;1
197001;-0.2;1
197002;-0.5;1
197003;-0.5;1
197004;1.7;1
197005;5.7;1
197006;11.5;1
197007;10.3;1
197008;11.4;1
197009;8.8;1
197010;5.9;1
197011;3.9;1
197012;-2.5;1
197101;-1.9;1
197102;-0.9;1
197103;-3;1
197104;2.9;1
197105;7;1
197106;8.7;1
197107;10.6;1
197108;11.8;1
197109;6.2;1
197110;2.9;1
197111;0.6;1
197112;-0.2;1
197201;-1.4;1
197202;1;1
197203;0.2;1
197204;3.5;1
197205;5.7;1
197206;7;1
197207;10.6;1
197208;10.1;1
197209;4.7;1
197210;2;1
197211;1.6;1
197212;-1.3;1
197301;-2.7;1
197302;-2;1
197303;-2.1;1
197304;0.8;1
197305;6.6;1
197306;9.2;1
197307;11.3;1
197308;13.1;1
197309;8.7;1
197310;3.9;1
197311;0.9;1
197312;-1.6;1
197401;2.3;1
197402;0.3;1
197403;2.8;1
197404;1.4;1
197405;5;1
197406;8.1;1
197407;9.3;1
197408;11.6;1
197409;9.3;1
197410;3.9;1
197411;3.3;1
197412;3.3;1
197501;2.4;1
197502;-2;1
197503;0.9;1
197504;2.3;1
197505;5.3;1
197506;8.3;1
197507;11;1
197508;12.5;1
197509;9.8;1
197510;3.7;1
197511;1.8;1
197512;-2.5;1
197601;-0.5;1
197602;-0.4;1
197603;-2.1;1
197604;1.2;1
197605;5.8;1
197606;9.1;1
197607;13.4;1
197608;8.8;1
197609;8.5;1
197610;7.2;1
197611;2.3;1
197612;-1.8;1
197701;0.6;1
197702;2.6;1
197703;2.5;1
197704;1.4;1
197705;5.9;1
197706;9.5;1
197707;11.1;1
197708;9.7;1
197709;5.8;1
197710;8.2;1
197711;2.9;1
197712;0.7;1
197801;-0.7;1
197802;-0.2;1
197803;1.7;1
197804;0.9;1
197805;6.4;1
197806;8.3;1
197807;10.6;1
197808;8.9;1
197809;7;1
197810;4.3;1
197811;-1;1
197812;1.3;1
197901;-5.2;1
197902;0;1
197903;2.5;1
197904;2.5;1
197905;6;1
197906;10;1
197907;9.4;1
197908;10.3;1
197909;7.8;1
197910;7.4;1
197911;1.3;1
197912;1.8;1
198001;-2.1;1
198002;1.7;1
198003;1.1;1
198004;1.8;1
198005;3.9;1
198006;9.5;1
198007;10.5;1
198008;11.7;1
198009;9.2;1
198010;4.5;1
198011;0.1;1
198012;-2.2;1
198101;-1.7;1
198102;-3.4;1
198103;5.3;1
198104;4;1
198105;7.3;1
198106;9.2;1
198107;11.6;1
198108;10.2;1
198109;9.7;1
198110;7;1
198111;1.9;1
198112;-0.1;1
198201;0.6;1
198202;-0.8;1
198203;0.1;1
198204;0.6;1
198205;6.2;1
198206;11.6;1
198207;12.6;1
198208;11.5;1
198209;10.6;1
198210;6.9;1
198211;4;1
198212;1.3;1
198301;1.4;1
198302;-2.7;1
198303;1.2;1
198304;3.8;1
198305;5.8;1
198306;9.7;1
198307;13.6;1
198308;11.6;1
198309;9.7;1
198310;5.3;1
198311;0.6;1
198312;-0.7;1
198401;0.5;1
198402;-1.7;1
198403;-1.9;1
198404;0.7;1
198405;4.6;1
198406;8.1;1
198407;10.3;1
198408;11.4;1
198409;10;1
198410;7.3;1
198411;5.2;1
198412;-0.4;1
198501;-7.5;1
198502;-3.1;1
198503;0;1
198504;3.4;1
198505;6.7;1
198506;8.6;1
198507;11.7;1
198508;10.7;1
198509;8.1;1
198510;3.6;1
198511;-0.8;1
198512;1.4;1
198601;-0.1;1
198602;-9.8;1
198603;-0.5;1
198604;2.2;1
198605;7.8;1
198606;9.8;1
198607;10.6;1
198608;10.6;1
198609;6.8;1
198610;7.1;1
198611;3.4;1
198612;0;1
198701;-6.6;1
198702;-1.4;1
198703;-0.9;1
198704;3.2;1
198705;4;1
198706;10.1;1
198707;12.1;1
198708;11.2;1
198709;11.7;1
198710;8.3;1
198711;2.9;1
198712;0.5;1
198801;3.2;1
198802;-0.1;1
198803;2.7;1
198804;3.5;1
198805;8.7;1
198806;10;1
198807;11;1
198808;11.4;1
198809;9.9;1
198810;7.9;1
198811;0.8;1
198812;2.8;1
198901;-0.3;1
198902;-0.4;1
198903;3.4;1
198904;3.5;1
198905;7;1
198906;8.4;1
198907;12.3;1
198908;11.4;1
198909;8.8;1
198910;6.8;1
198911;0.4;1
198912;-0.3;1
199001;-0.3;1
199002;3.4;1
199003;1.9;1
199004;2.8;1
199005;6.7;1
199006;10.1;1
199007;10.6;1
199008;11.6;1
199009;6.9;1
199010;8.2;1
199011;3;1
199012;-0.9;1
199101;-0.5;1
199102;-4.7;1
199103;4.2;1
199104;1;1
199105;3.3;1
199106;9.1;1
199107;12.2;1
199108;11.7;1
199109;10.1;1
199110;5.2;1
199111;2.7;1
199112;-1.7;1
199201;-3.1;1
199202;-1.2;1
199203;2.1;1
199204;2.9;1
199205;7.4;1
199206;10.5;1
199207;13;1
199208;13.7;1
199209;8.8;1
199210;4.7;1
199211;3.7;1
199212;0.8;1
199301;1.8;1
199302;-2.1;1
199303;-0.5;1
199304;5.1;1
199305;8.4;1
199306;11.2;1
199307;11.4;1
199308;10.2;1
199309;8.8;1
199310;5.9;1
199311;-1.2;1
199312;2.9;1
199401;1.4;1
199402;0.6;1
199403;4.8;1
199404;2.8;1
199405;7.8;1
199406;10.6;1
199407;14.5;1
199408;12.8;1
199409;9.9;1
199410;6.2;1
199411;6.5;1
199412;2.9;1
199501;0.1;1
199502;3.4;1
199503;0;1
199504;3.9;1
199505;6.3;1
199506;9.4;1
199507;13.3;1
199508;12.3;1
199509;8.9;1
199510;8.6;1
199511;2.7;1
199512;-0.3;1
199601;0.4;1
199602;-1.1;1
199603;-0.7;1
199604;2.2;1
199605;6.8;1
199606;9.6;1
199607;10.3;1
199608;11.1;1
199609;5.3;1
199610;6.3;1
199611;2.7;1
199612;-1.3;1
199701;-3.4;1
199702;1.3;1
199703;2;1
199704;0.2;1
199705;7.1;1
199706;10.6;1
199707;11.6;1
199708;14.3;1
199709;7.9;1
199710;4.4;1
199711;3.5;1
199712;2.1;1
199801;0.9;1
199802;-2.4;1
199803;2.2;1
199804;4.6;1
199805;7.2;1
199806;10.3;1
199807;11.7;1
