# DONNEES MENSUELLES HOMOGENEISEES de TN : Moyenne mensuelle de la température minimale sous abri (en °C et 1/10) 
# NUM_POSTE= 76552001
# NOM_USUEL= CAP-DE-LA-HEVE
# LATITUDE (°) = 49.509
# LONGITUDE(°)= 0.071
# ALTITUDE (m) = 100
# NUM_SERIE= MTN476552001
# Amplitude minimale détectable de la série = 0.19
# Période homogénéisée : 195101 202212
# Date(s) de rupture(s) d'homogénéité : 196707
#     Periode homogénéisée  195101 202212  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195101;3.9;1
195102;3.1;1
195103;3.5;1
195104;5.5;1
195105;8.1;1
195106;11.5;1
195107;13.8;1
195108;14.1;1
195109;13.4;1
195110;8.7;1
195111;8;1
195112;4.7;1
195201;2.8;1
195202;2.3;1
195203;5.2;1
195204;7.3;1
195205;10.6;1
195206;12;1
195207;14.6;1
195208;14.8;1
195209;10.8;1
195210;8.9;1
195211;4.5;1
195212;2.1;1
195301;0.4;1
195302;2;1
195303;3.6;1
195304;6.7;1
195305;10.1;1
195306;11.8;1
195307;13.8;1
195308;14.7;1
195309;12.6;1
195310;10.1;1
195311;6.4;1
195312;7.1;1
195401;0.6;1
195402;0.4;1
195403;4.9;1
195404;4.3;1
195405;8.9;1
195406;11;1
195407;12.5;1
195408;13.4;1
195409;12.7;1
195410;11.9;1
195411;7.4;1
195412;6.2;1
195501;1.7;1
195502;1.5;1
195503;0.6;1
195504;5.4;1
195505;7.9;1
195506;11.9;1
195507;13.6;1
195508;15;1
195509;13.2;1
195510;9.2;1
195511;6.1;1
195512;5.3;1
195601;3.4;1
195602;-5;1
195603;3.6;1
195604;4.6;1
195605;8.9;1
195606;10.6;1
195607;13.4;1
195608;12.8;1
195609;13.5;1
195610;9.4;1
195611;4.8;1
195612;5.5;1
195701;3;1
195702;5;1
195703;7.5;1
195704;6.5;1
195705;7.7;1
195706;12.3;1
195707;14.6;1
195708;13.9;1
195709;12.2;1
195710;10.4;1
195711;5.8;1
195712;2.9;1
195801;3.5;1
195802;4;1
195803;2.1;1
195804;4.5;1
195805;9.6;1
195806;11.5;1
195807;13.5;1
195808;14.7;1
195809;14.1;1
195810;10.6;1
195811;6.2;1
195812;5.1;1
195901;2.3;1
195902;1.8;1
195903;6;1
195904;7.5;1
195905;9.7;1
195906;12.4;1
195907;14.9;1
195908;15.5;1
195909;13.1;1
195910;11.3;1
195911;6.4;1
195912;5.2;1
196001;2.5;1
196002;2.9;1
196003;4.9;1
196004;6.8;1
196005;10.3;1
196006;13;1
196007;13.7;1
196008;13.9;1
196009;12.1;1
196010;10.2;1
196011;7.4;1
196012;3.6;1
196101;3;1
196102;5.6;1
196103;6.2;1
196104;9;1
196105;9.1;1
196106;12;1
196107;13.7;1
196108;14.5;1
196109;15.2;1
196110;10.4;1
196111;6.1;1
196112;2.8;1
196201;4.2;1
196202;3.1;1
196203;1.6;1
196204;5.9;1
196205;7.9;1
196206;11;1
196207;13.5;1
196208;13.7;1
196209;12.2;1
196210;10.1;1
196211;5.8;1
196212;1.1;1
196301;-3.9;1
196302;-2.1;1
196303;4.1;1
196304;6.1;1
196305;8.2;1
196306;12.3;1
196307;13.6;1
196308;13.4;1
196309;12.5;1
196310;10.2;1
196311;8.1;1
196312;0.1;1
196401;0.4;1
196402;3.7;1
196403;3.5;1
196404;6.8;1
196405;10.5;1
196406;12.4;1
196407;14.3;1
196408;14.8;1
196409;13.6;1
196410;8.2;1
196411;6.6;1
196412;3.2;1
196501;3.2;1
196502;1.1;1
196503;4.4;1
196504;6.5;1
196505;9.6;1
196506;11.4;1
196507;12.9;1
196508;14;1
196509;11.5;1
196510;9.8;1
196511;4.7;1
196512;5.3;1
196601;0.9;1
196602;6.3;1
