# DONNEES MENSUELLES HOMOGENEISEES de TX : Moyenne mensuelle de la température maximale sous abri (en °C et 1/10) 
# NUM_POSTE= 4019001
# NOM_USUEL= BARCELONNETTE
# LATITUDE (°) = 44.391
# LONGITUDE(°)= 6.67
# ALTITUDE (m) = 1155
# NUM_SERIE= MTX004019001
# Amplitude minimale détectable de la série = 0.2
# Période homogénéisée : 195901 202012
# Date(s) de rupture(s) d'homogénéité : 196506 197112 198412 199212 200212
#     Periode homogénéisée  195901 202012  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195901;5.4;1
195902;11.2;1
195903;11.7;1
195904;13.3;1
195905;17.8;1
195906;21.8;1
195907;25.3;1
195908;23.2;1
195909;20.5;1
195910;15.3;1
195911;9.5;1
195912;5.3;1
196001;5.6;1
196002;8.4;1
196003;10;1
196004;14.5;1
196005;20;1
196006;21.8;1
196007;21.4;1
196008;21.9;1
196009;17.8;1
196010;12.1;1
196011;9.3;1
196012;4.7;1
196101;5.8;1
196102;10.8;1
196103;15.3;1
196104;14.9;1
196105;17.4;1
196106;21.6;1
196107;22.8;1
196108;24.7;1
196109;24.2;1
196110;16.1;1
196111;9.6;1
196112;7.6;1
196201;6.4;1
196202;7.3;1
196203;6.8;1
196204;12.5;1
196205;17.4;1
196206;20.7;1
196207;24.7;1
196208;26.5;1
196209;21.1;1
196210;17.4;1
196211;7.8;1
196212;4.6;1
196301;2.9;1
196302;4.8;1
196303;8.7;1
196304;14.1;1
196305;18.7;1
196306;20;1
196307;23.6;1
196308;21.5;1
196309;19;1
196310;16.5;1
196311;9.9;1
196312;5.3;1
196401;7.2;1
196402;9;1
196403;9.2;1
196404;14.2;1
196405;20.9;1
196406;22;1
196407;25.3;1
196408;23.8;1
196409;21;1
196410;13.1;1
196411;12.4;1
196412;5.2;1
196501;5.6;1
196502;5.5;1
196503;9.2;1
196504;12.8;1
196505;18.1;1
196506;21.4;1
196507;22.7;1
196508;23;1
196509;17.4;1
196510;16.5;1
196511;8;1
196512;4.9;1
196601;4.4;1
196602;9.6;1
196603;10.2;1
196604;14.5;1
196605;18.2;1
196606;22.1;1
196607;22.2;1
196608;22.1;1
196609;23.1;1
196610;15.6;1
196611;6.1;1
196612;5.2;1
196701;5.5;1
196702;8;1
196703;11.7;1
196704;13.5;1
196705;17.6;1
196706;20.4;1
196707;26.2;1
196708;24.3;1
196709;20.5;1
196710;18.9;1
196711;11.5;1
196712;5.6;1
196801;5;1
196802;6.7;1
196803;11.5;1
196804;15.3;1
196805;15.8;1
196806;20.1;1
196807;23.8;1
196808;20.5;1
196809;18.7;1
196810;18.1;1
196811;9.8;1
196812;5.3;1
196901;5.5;1
196902;3.3;1
196903;8.8;1
196904;12.6;1
196905;18.5;1
196906;19;1
196907;23.7;1
196908;21.9;1
196909;20.8;1
196910;18.9;1
196911;9;1
196912;3.1;1
197001;6.1;1
197002;5.1;1
197003;6.3;1
197004;11.5;1
197005;16.7;1
197006;21.6;1
197007;24;1
197008;24;1
197009;23.2;1
197010;16;1
197011;11.3;1
197012;5.4;1
197101;5.4;1
197102;7.7;1
197103;5.8;1
197104;14.5;1
197105;16.1;1
197106;19.6;1
197107;26.7;1
197108;27.3;1
197109;21.3;1
197110;18.1;1
197111;8.4;1
197112;8.8;1
197201;5.5;1
197202;6.9;1
197203;10.4;1
197204;13.3;1
197205;16.3;1
197206;19.8;1
197207;23.5;1
197208;22.5;1
197209;17;1
197210;14.1;1
197211;10.9;1
197212;7.3;1
197301;6.1;1
197302;5.1;1
197303;9.8;1
197304;10.9;1
197305;18.5;1
197306;22;1
197307;23.2;1
197308;25.3;1
197309;21;1
197310;17.1;1
197311;9.9;1
197312;4.8;1
197401;7.4;1
197402;5.5;1
197403;10;1
197404;13.3;1
197405;17.2;1
197406;21.1;1
197407;25.7;1
197408;26.5;1
197409;19.6;1
197410;9;1
197411;8.1;1
197412;8.4;1
197501;6.9;1
197502;9.3;1
197503;7.7;1
197504;13.4;1
197505;16.8;1
197506;19.7;1
197507;25.8;1
197508;24.1;1
197509;21.2;1
197510;15.4;1
197511;7.1;1
197512;6.2;1
197601;6;1
197602;6.5;1
197603;10.9;1
197604;12.1;1
197605;19.6;1
197606;23.8;1
197607;23.7;1
197608;22.3;1
197609;17.2;1
197610;13.9;1
197611;7.6;1
197612;3.6;1
197701;4.1;1
197702;7.3;1
197703;12;1
197704;13.8;1
197705;15.6;1
197706;19.1;1
197707;22.3;1
197708;20.3;1
197709;19.2;1
197710;15.3;1
197711;9.8;1
197712;6.2;1
197801;4.7;1
197802;5.8;1
197803;9.5;1
197804;10.3;1
197805;14.9;1
197806;20;1
197807;23;1
197808;23.3;1
197809;23.1;1
197810;17.7;1
197811;11.7;1
197812;6.3;1
197901;1.9;1
197902;6.6;1
197903;8.5;1
197904;10.9;1
197905;17.8;1
197906;21;1
197907;24.1;1
197908;22.6;1
197909;20.2;1
197910;14.7;1
197911;8.9;1
197912;6;1
198001;3.6;1
198002;9.2;1
198003;9.5;1
198004;12.3;1
198005;15.3;1
198006;19;1
198007;21.7;1
198008;24.8;1
198009;21.8;1
198010;14.8;1
198011;8.4;1
198012;5.2;1
198101;4.8;1
198102;6.8;1
198103;11.6;1
198104;14.4;1
198105;15.2;1
198106;21.6;1
198107;21.8;1
198108;24.6;1
198109;19.8;1
198110;14.4;1
198111;11;1
198112;2.3;1
198201;6.8;1
198202;7.5;1
198203;7.9;1
198204;14.7;1
198205;19;1
198206;22;1
198207;26.9;1
198208;23.9;1
198209;21.4;1
198210;13.9;1
198211;9.6;1
198212;5.4;1
198301;9.1;1
198302;3.7;1
