# DONNEES MENSUELLES HOMOGENEISEES de TX : Moyenne mensuelle de la température maximale sous abri (en °C et 1/10) 
# NUM_POSTE= 12154003
# NOM_USUEL= MONTLAUR
# LATITUDE (°) = 43.892
# LONGITUDE(°)= 2.836
# ALTITUDE (m) = 374
# NUM_SERIE= MTX012154003
# Amplitude minimale détectable de la série = 0.2
# Période homogénéisée : 195501 201612
# Date(s) de rupture(s) d'homogénéité : 197409 201012
#     Periode homogénéisée  195501 201612  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195501;8.5;1
195502;8.1;1
195503;11.2;1
195504;19.1;1
195505;19.6;1
195506;22.6;1
195507;26.6;1
195508;27.1;1
195509;21.1;1
195510;16.3;1
195511;10.7;1
195512;9.7;1
195601;7.7;1
195602;0.2;1
195603;11;1
195604;13.9;1
195605;20.3;1
195606;19.6;1
195607;23.6;1
195608;22.3;1
195609;22.9;1
195610;15.4;1
195611;8.5;1
195612;7.3;1
195701;6.3;1
195702;10.9;1
195703;15;1
195704;14.3;1
195705;16.4;1
195706;21.8;1
195707;24.3;1
195708;25.1;1
195709;21.8;1
195710;18.1;1
195711;9.3;1
195712;6.1;1
195801;6.4;1
195802;11.3;1
195803;10;1
195804;12.4;1
195805;21.5;1
195806;21.8;1
195807;24.1;1
195808;25.3;1
195809;25.4;1
195810;17;1
195811;10.2;1
195812;8.9;1
195901;7.9;1
195902;12.2;1
195903;12.4;1
195904;13.8;1
195905;18.6;1
195906;23.3;1
195907;28.4;1
195908;25.4;1
195909;22.1;1
195910;15.8;1
195911;10.4;1
195912;8.5;1
196001;6.8;1
196002;10.7;1
196003;11.1;1
196004;14;1
196005;21.8;1
196006;24.6;1
196007;23.4;1
196008;23;1
196009;20.7;1
196010;15.6;1
196011;11.6;1
196012;3.6;1
196101;6;1
196102;12.5;1
196103;16.1;1
196104;17.2;1
196105;18.9;1
196106;23.7;1
196107;25;1
196108;25.3;1
196109;26.1;1
196110;18;1
196111;10.6;1
196112;9.9;1
196201;8.8;1
196202;7.3;1
196203;8.6;1
196204;14.3;1
196205;18;1
196206;24;1
196207;26.3;1
196208;28.7;1
196209;24.6;1
196210;18.5;1
196211;8.8;1
196212;5.7;1
196301;5.2;1
196302;4.4;1
196303;10.8;1
196304;13.6;1
196305;18.1;1
196306;22.3;1
196307;27.1;1
196308;22.3;1
196309;20;1
196310;18.3;1
196311;14.2;1
196312;7.3;1
196401;6.8;1
196402;9.5;1
196403;9.6;1
196404;14.3;1
196405;21.7;1
196406;24.2;1
196407;29;1
196408;25.6;1
196409;23.5;1
196410;14.9;1
196411;10.2;1
196412;6.5;1
196501;6.1;1
196502;5.8;1
196503;11.6;1
196504;12.7;1
196505;19.6;1
196506;24.3;1
196507;24.3;1
196508;24.9;1
196509;19.5;1
196510;18.5;1
196511;10.7;1
196512;8.8;1
196601;7.5;1
196602;12.3;1
196603;11.4;1
196604;16.2;1
196605;19.1;1
196606;23.6;1
196607;23.1;1
196608;24.3;1
196609;25;1
196610;17.2;1
196611;8.3;1
196612;7.9;1
196701;6.8;1
196702;9.6;1
196703;12;1
196704;15.5;1
196705;18.3;1
196706;22.6;1
196707;29;1
196708;27;1
196709;22;1
196710;20.1;1
196711;13.1;1
196712;3.2;1
196801;6.7;1
196802;9.7;1
196803;11.8;1
196804;16.2;1
196805;17.6;1
196806;22.9;1
196807;25.5;1
196808;23.5;1
196809;21.1;1
196810;21.3;1
196811;11.1;1
196812;7.4;1
196901;8.2;1
196902;6.7;1
196903;11;1
196904;13.3;1
196905;18.8;1
196906;20.7;1
196907;26.9;1
196908;24.4;1
196909;21.1;1
196910;19;1
196911;11.4;1
196912;4;1
197001;8.8;1
197002;7;1
197003;8.3;1
197004;12.2;1
197005;18.6;1
197006;24;1
197007;26.2;1
197008;25.9;1
197009;25.6;1
197010;17.3;1
197011;13.5;1
197012;5.7;1
197101;6.5;1
197102;7;1
197103;7.5;1
197104;17.2;1
197105;16.9;1
197106;21.4;1
197107;27.1;1
197108;26.1;1
197109;22.8;1
197110;19.7;1
197111;8.4;1
197112;10.3;1
197201;7.4;1
197202;10.4;1
197203;12.5;1
197204;12.6;1
197205;16.9;1
197206;19.9;1
197207;26;1
197208;23.1;1
197209;19.9;1
197210;17.1;1
197211;13.2;1
197212;10.3;1
197301;6.8;1
197302;6.8;1
197303;11.9;1
197304;13.2;1
197305;19.3;1
197306;23;1
197307;25.9;1
197308;28.1;1
197309;24.4;1
197310;17.2;1
197311;11.5;1
197312;6.6;1
197401;9.3;1
197402;7.9;1
197403;10.3;1
197404;14.1;1
197405;17.6;1
197406;22.4;1
197407;25.4;1
197408;25.7;1
197409;19;1
197410;11.3;1
197411;11.8;1
197412;9.6;1
197501;10.1;1
197502;11.5;1
197503;9.1;1
197504;14.8;1
197505;18;1
197506;22.5;1
197507;27.6;1
197508;26.8;1
197509;22;1
197510;16.7;1
197511;10.3;1
197512;6.3;1
197601;7;1
197602;9.8;1
197603;12.8;1
197604;13.7;1
197605;19.9;1
197606;27.8;1
197607;26.2;1
197608;26.2;1
197609;19.8;1
197610;14.7;1
197611;9.2;1
197612;8.7;1
197701;7.3;1
197702;10.9;1
197703;13.4;1
197704;14;1
197705;16.3;1
197706;20.5;1
197707;23.8;1
197708;22.4;1
197709;22.2;1
197710;18.2;1
197711;11.1;1
197712;9.6;1
197801;5.7;1
197802;8.1;1
197803;11.5;1
197804;12.1;1
197805;16.4;1
197806;21.2;1
197807;24.4;1
197808;26.3;1
197809;23.3;1
197810;16.9;1
197811;11.9;1
197812;8.7;1
197901;5.7;1
197902;8.7;1
197903;11.6;1
197904;12;1
197905;18.4;1
197906;23.4;1
197907;27.4;1
197908;24.4;1
197909;23.3;1
197910;17.1;1
197911;9.5;1
197912;7.9;1
198001;5.1;1
198002;10.6;1
198003;10.6;1
198004;13.1;1
198005;16.9;1
198006;20;1
198007;23.8;1
198008;26.2;1
198009;23.5;1
198010;15.8;1
198011;10;1
198012;4.7;1
198101;6.5;1
198102;7.6;1
198103;14.2;1
198104;16.9;1
198105;16.6;1
