# DONNEES MENSUELLES HOMOGENEISEES de TX : Moyenne mensuelle de la température maximale sous abri (en °C et 1/10) 
# NUM_POSTE= 15050001
# NOM_USUEL= LE CLAUX
# LATITUDE (°) = 45.173
# LONGITUDE(°)= 2.711
# ALTITUDE (m) = 1033
# NUM_SERIE= MTX015050001
# Amplitude minimale détectable de la série = 0.21
# Période homogénéisée : 196101 201812
# Date(s) de rupture(s) d'homogénéité : 196812
#     Periode homogénéisée  196101 201812  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
196101;2.4;1
196102;9.4;1
196103;12.4;1
196104;13.8;1
196105;13.8;1
196106;18.4;1
196107;18.9;1
196108;20;1
196109;21.4;1
196110;13.4;1
196111;7.1;1
196112;8.2;1
196201;5.4;1
196202;3.8;1
196203;3.9;1
196204;9.4;1
196205;12.7;1
196206;18.9;1
196207;20.3;1
196208;23.2;1
196209;19.4;1
196210;15.7;1
196211;5.6;1
196212;4.1;1
196301;1.8;1
196302;1;1
196303;5.9;1
196304;10.3;1
196305;13.2;1
196306;17.1;1
196307;21.5;1
196308;17.1;1
196309;16.2;1
196310;16.6;1
196311;9.7;1
196312;5.1;1
196401;7.6;1
196402;6.4;1
196403;5.8;1
196404;10.5;1
196405;16.8;1
196406;19.5;1
196407;23.7;1
196408;20;1
196409;19.2;1
196410;10.8;1
196411;10;1
196412;4.2;1
196501;3.1;1
196502;0.9;1
196503;7.3;1
196504;8;1
196505;14;1
196506;19;1
196507;18.4;1
196508;19.1;1
196509;14.2;1
196510;16;1
196511;6.4;1
196512;5.2;1
196601;4.5;1
196602;8.8;1
196603;6.3;1
196604;11.5;1
196605;15;1
196606;18.3;1
196607;17;1
196608;17.6;1
196609;20.5;1
196610;12.4;1
196611;4.2;1
196612;4.5;1
196701;4;1
196702;6.7;1
196703;8.5;1
196704;10.5;1
196705;13.2;1
196706;16.7;1
196707;22.6;1
196708;20.5;1
196709;15.9;1
196710;15.4;1
196711;9.9;1
196712;2.5;1
196801;3.8;1
196802;5;1
196803;6.6;1
196804;12.3;1
196805;12.5;1
196806;17.3;1
196807;19.5;1
196808;17.2;1
196809;14.9;1
196810;17.3;1
196811;8.7;1
196812;3.9;1
196901;5.3;1
196902;1.6;1
196903;6.2;1
196904;9.9;1
196905;15.6;1
196906;15.2;1
196907;21.5;1
196908;19.2;1
196909;17.3;1
196910;17.1;1
196911;6.4;1
196912;1.3;1
197001;5.8;1
197002;2.5;1
197003;2.7;1
197004;7.1;1
197005;14.4;1
197006;19.6;1
197007;19.9;1
197008;20.4;1
197009;21.1;1
197010;13.2;1
197011;10.4;1
197012;2.9;1
197101;4.1;1
197102;3.9;1
197103;1.9;1
197104;12.8;1
197105;14.5;1
197106;15.4;1
197107;22.3;1
197108;21;1
197109;17.9;1
197110;16.6;1
197111;4.5;1
197112;7.2;1
197201;3;1
197202;5.1;1
197203;8.2;1
197204;7.7;1
197205;11.9;1
197206;16.2;1
197207;19.9;1
197208;18.3;1
197209;14.7;1
197210;14.4;1
197211;9.3;1
197212;7.6;1
197301;5;1
197302;1.7;1
