# DONNEES MENSUELLES HOMOGENEISEES de TX : Moyenne mensuelle de la température maximale sous abri (en °C et 1/10) 
# NUM_POSTE= 17300009
# NOM_USUEL= LA ROCHELLE-ILE DE RE
# LATITUDE (°) = 46.178
# LONGITUDE(°)= -1.193
# ALTITUDE (m) = 20
# NUM_SERIE= MTX017300009
# Amplitude minimale détectable de la série = 0.17
# Période homogénéisée : 195101 202112
# Date(s) de rupture(s) d'homogénéité : 197612 198812 199912 200912
#     Periode homogénéisée  195101 202112  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195101;9.3;1
195102;9.4;1
195103;10.3;1
195104;14.3;1
195105;15.6;1
195106;20.5;1
195107;24.6;1
195108;21.1;1
195109;21.4;1
195110;16.2;1
195111;13.3;1
195112;10.9;1
195201;8.3;1
195202;8.6;1
195203;13.1;1
195204;15.9;1
195205;20.6;1
195206;23.7;1
195207;24.1;1
195208;24;1
195209;18;1
195210;16.2;1
195211;10.9;1
195212;8.6;1
195301;5.2;1
195302;8;1
195303;14.9;1
195304;15.2;1
195305;20.8;1
195306;19.8;1
195307;21.5;1
195308;24.7;1
195309;21.8;1
195310;17;1
195311;11.2;1
195312;12.9;1
195401;7.4;1
195402;6.7;1
195403;12.3;1
195404;14.6;1
195405;17.3;1
195406;19.2;1
195407;19.5;1
195408;20.7;1
195409;19.9;1
195410;18.5;1
195411;13.6;1
195412;11;1
195501;9.3;1
195502;9.2;1
195503;9.7;1
195504;16.4;1
195505;17.9;1
195506;22.2;1
195507;26.2;1
195508;28.3;1
195509;23.3;1
195510;16.5;1
195511;11.7;1
195512;11.7;1
195601;9;1
195602;1.9;1
195603;13;1
195604;13.7;1
195605;18.4;1
195606;18.3;1
195607;22.2;1
195608;20.3;1
195609;21;1
195610;16.5;1
195611;10.2;1
195612;9.9;1
195701;7.2;1
195702;11.3;1
195703;15.4;1
195704;15.2;1
195705;16.6;1
195706;22.1;1
195707;22.2;1
195708;22.2;1
195709;19.5;1
195710;18.2;1
195711;10.5;1
195712;7.7;1
195801;8.8;1
195802;10.4;1
195803;10.1;1
195804;12.9;1
195805;17.7;1
195806;19.6;1
195807;21.1;1
195808;21.5;1
195809;22.7;1
195810;16.5;1
195811;10.8;1
195812;9.5;1
195901;9.4;1
195902;11.7;1
195903;13.9;1
195904;15;1
195905;19;1
195906;21.9;1
195907;24.5;1
195908;24.7;1
195909;24.6;1
195910;18.6;1
195911;12;1
195912;10.6;1
196001;8.8;1
196002;9.9;1
196003;13.6;1
196004;15.1;1
196005;20.5;1
196006;23.4;1
196007;20.5;1
196008;21.6;1
196009;19.9;1
196010;16;1
196011;13.3;1
196012;8;1
196101;8.7;1
196102;12.1;1
196103;14.8;1
196104;16;1
196105;18.6;1
196106;21.7;1
196107;22.3;1
196108;21.9;1
196109;23.1;1
196110;17.7;1
196111;11.2;1
196112;9.7;1
196201;9.3;1
196202;9.2;1
196203;8.8;1
196204;14.1;1
196205;15.8;1
196206;21.7;1
196207;22.1;1
196208;22.9;1
196209;21.2;1
196210;18.1;1
196211;10.8;1
196212;6.9;1
196301;3.4;1
196302;6.1;1
196303;11.7;1
196304;13.6;1
196305;16.5;1
196306;19.5;1
196307;23.3;1
196308;19.7;1
196309;19.7;1
196310;17.6;1
196311;14.5;1
196312;5.8;1
196401;5.9;1
196402;9.7;1
196403;10.5;1
196404;13.7;1
196405;19;1
196406;21.6;1
196407;24.4;1
196408;24;1
196409;23.2;1
196410;15.4;1
196411;11.4;1
196412;8.5;1
196501;8.3;1
196502;7.1;1
196503;12;1
196504;12.8;1
196505;16.6;1
196506;19.4;1
196507;21;1
196508;21.1;1
196509;18;1
196510;19.1;1
196511;12.1;1
196512;11.3;1
196601;8.2;1
196602;12.9;1
196603;12;1
196604;15.3;1
196605;17.5;1
196606;20.6;1
196607;21;1
196608;22.1;1
196609;23;1
196610;16.9;1
196611;10.5;1
196612;10.8;1
196701;8.3;1
196702;10.1;1
196703;12.4;1
196704;14.5;1
196705;16.7;1
196706;21;1
196707;24;1
196708;22.5;1
196709;19.6;1
196710;18.4;1
196711;12.1;1
196712;7.3;1
196801;9;1
196802;9.6;1
196803;11.8;1
196804;14.9;1
196805;16.4;1
196806;20.8;1
196807;23.5;1
196808;22.3;1
196809;19.9;1
196810;19;1
196811;12.4;1
196812;8.7;1
196901;9.9;1
196902;7.7;1
196903;11.6;1
196904;13.9;1
196905;17.7;1
196906;19.6;1
196907;25;1
196908;22.7;1
196909;20.4;1
196910;20;1
196911;12.5;1
196912;7;1
197001;9;1
197002;9.3;1
197003;9.5;1
197004;11.6;1
197005;18.1;1
197006;23.1;1
197007;22.4;1
197008;23.1;1
197009;22.7;1
197010;16.8;1
197011;14.6;1
197012;6.4;1
197101;9.1;1
197102;8.9;1
197103;9.2;1
197104;16.4;1
197105;17.9;1
197106;18.7;1
197107;26.3;1
197108;22.8;1
