# DONNEES MENSUELLES HOMOGENEISEES de TX : Moyenne mensuelle de la température maximale sous abri (en °C et 1/10) 
# NUM_POSTE= 22266001
# NOM_USUEL= ROSTRENEN
# LATITUDE (°) = 48.227
# LONGITUDE(°)= -3.295
# ALTITUDE (m) = 236
# NUM_SERIE= MTX022266001
# Amplitude minimale détectable de la série = 0.16
# Période homogénéisée : 195501 201612
# Date(s) de rupture(s) d'homogénéité : 199012
#     Periode homogénéisée  195501 201612  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195501;7.5;1
195502;6.6;1
195503;7.2;1
195504;14.5;1
195505;14.8;1
195506;18.8;1
195507;22.5;1
195508;25.4;1
195509;19.1;1
195510;13.9;1
195511;10.3;1
195512;10.1;1
195601;8.1;1
195602;1.6;1
195603;11.3;1
195604;11.9;1
195605;17.1;1
195606;16.1;1
195607;19.4;1
195608;17.2;1
195609;17.6;1
195610;13.8;1
195611;8.9;1
195612;8.8;1
195701;7.8;1
195702;9.5;1
195703;13.9;1
195704;12.6;1
195705;14.3;1
195706;20.4;1
195707;20.3;1
195708;19.6;1
195709;17;1
195710;15.3;1
195711;9.1;1
195712;7.5;1
195801;7.1;1
195802;10.2;1
195803;8.2;1
195804;11.3;1
195805;15.9;1
195806;17.1;1
195807;19.4;1
195808;18.9;1
195809;19.4;1
195810;14;1
195811;9.6;1
195812;8.2;1
195901;7.4;1
195902;9.8;1
195903;11.8;1
195904;13.3;1
195905;16.5;1
195906;19.2;1
195907;23.3;1
195908;22;1
195909;22.2;1
195910;16.2;1
195911;10.4;1
195912;9.1;1
196001;7.4;1
196002;7.9;1
196003;11.4;1
196004;13.2;1
196005;18.1;1
196006;20;1
196007;17.9;1
196008;18.7;1
196009;16.8;1
196010;13.6;1
196011;11;1
196012;7;1
196101;7.5;1
196102;10.7;1
196103;13.6;1
196104;14.6;1
196105;16;1
196106;19.4;1
196107;20.3;1
196108;20.4;1
196109;20.5;1
196110;14.7;1
196111;8.8;1
196112;7;1
196201;8.2;1
196202;6.9;1
196203;7.2;1
196204;11.9;1
196205;14;1
196206;18.8;1
196207;19.4;1
196208;19.4;1
196209;18.1;1
196210;15;1
196211;9.2;1
196212;6.4;1
196301;1.2;1
196302;3.7;1
196303;10.6;1
196304;12.5;1
196305;14.8;1
196306;18;1
196307;20.1;1
196308;17.5;1
196309;16.7;1
196310;14.6;1
196311;11.7;1
196312;5.4;1
196401;5.4;1
196402;8;1
196403;8.2;1
196404;11.9;1
196405;16.7;1
196406;17.9;1
196407;21.4;1
196408;21.2;1
196409;20.1;1
196410;13;1
196411;10.1;1
196412;7.5;1
196501;7;1
196502;4.8;1
196503;10.8;1
196504;12.7;1
196505;15.4;1
196506;17.4;1
196507;18.1;1
196508;18.8;1
196509;15.5;1
196510;16;1
196511;8.7;1
196512;9.5;1
196601;6.6;1
196602;10.3;1
196603;10.7;1
196604;13.3;1
196605;15.5;1
196606;18.5;1
196607;19;1
196608;19.8;1
196609;19.6;1
196610;13.8;1
196611;8.2;1
196612;9.1;1
196701;7.3;1
196702;8.3;1
196703;10.5;1
196704;11.7;1
196705;13.9;1
196706;18.4;1
196707;21.2;1
196708;20;1
196709;16.7;1
196710;14.3;1
196711;9.2;1
196712;7.1;1
196801;8.1;1
196802;6.7;1
196803;10;1
196804;12.9;1
196805;14.5;1
196806;18.1;1
196807;20;1
196808;19.4;1
196809;17.5;1
196810;16.1;1
196811;10;1
196812;6.7;1
196901;9;1
196902;5.8;1
196903;9.4;1
196904;12.5;1
196905;15.4;1
196906;18.4;1
196907;22.5;1
196908;21.3;1
196909;18.1;1
196910;17.9;1
196911;9.7;1
196912;6.8;1
197001;8.1;1
197002;7.6;1
197003;8;1
197004;10.8;1
197005;17.5;1
197006;20.6;1
197007;19.5;1
197008;20.3;1
197009;19.2;1
197010;14.5;1
197011;12;1
197012;6;1
197101;8.2;1
197102;8.6;1
197103;8;1
197104;13.2;1
197105;16.7;1
197106;16.6;1
197107;23.5;1
197108;20.1;1
197109;20.8;1
197110;17.2;1
197111;10.2;1
197112;7.9;1
197201;6.8;1
197202;8.3;1
197203;11.9;1
197204;11.4;1
197205;12.9;1
197206;14.9;1
197207;20.2;1
197208;19.7;1
197209;16.6;1
197210;14.1;1
197211;10.3;1
197212;8.8;1
197301;6.5;1
197302;7.5;1
197303;11;1
197304;11.4;1
197305;16;1
197306;19.9;1
197307;20;1
197308;23;1
197309;19.9;1
197310;13.8;1
197311;10.9;1
197312;7.9;1
197401;9.1;1
197402;8.7;1
197403;10.3;1
197404;12.9;1
197405;15;1
197406;19.2;1
197407;19.7;1
197408;19.7;1
197409;15.5;1
197410;10.6;1
197411;10.4;1
197412;9.7;1
197501;9.6;1
197502;10.2;1
197503;8.5;1
197504;11.6;1
197505;13.9;1
197506;19.9;1
197507;22.1;1
197508;23.3;1
197509;17.6;1
197510;13.7;1
197511;10.2;1
197512;6.1;1
197601;7.1;1
197602;8.3;1
197603;10.7;1
197604;12.8;1
197605;17.3;1
197606;25.2;1
197607;24;1
197608;24.7;1
197609;17.7;1
197610;13.5;1
197611;9.8;1
197612;6.1;1
197701;6.5;1
197702;9.2;1
197703;11.4;1
197704;11.2;1
197705;14.4;1
197706;15.5;1
197707;20.4;1
197708;20;1
197709;17.7;1
197710;15.6;1
197711;9.6;1
197712;9.2;1
197801;6.5;1
197802;8;1
197803;10.3;1
197804;10.3;1
197805;16.3;1
197806;17.4;1
197807;19;1
197808;20;1
197809;19.8;1
197810;16.1;1
197811;11.4;1
197812;8.5;1
197901;4.1;1
197902;7.3;1
197903;8.7;1
197904;11.6;1
197905;14.6;1
197906;18;1
197907;22.1;1
197908;18.8;1
197909;18.6;1
197910;15.5;1
197911;10.8;1
197912;9.2;1
198001;5.6;1
198002;9.6;1
198003;8.5;1
198004;12.6;1
198005;15.4;1
198006;17;1
198007;18.6;1
198008;20.4;1
198009;18.1;1
198010;13.5;1
198011;8.3;1
198012;8.1;1
198101;8.5;1
198102;7;1
198103;11.3;1
198104;12.2;1
198105;14.1;1
198106;17.6;1
198107;20.1;1
198108;22.5;1
198109;18.9;1
198110;12.9;1
198111;11;1
198112;7.5;1
198201;8.4;1
198202;9.1;1
198203;10.4;1
198204;13.2;1
198205;16.6;1
198206;19.8;1
198207;21.6;1
198208;19.6;1
198209;20.3;1
198210;13.5;1
198211;11.2;1
198212;7.9;1
198301;9.1;1
198302;5.2;1
198303;10.3;1
198304;10.8;1
198305;13.7;1
198306;19.5;1
198307;25.6;1
198308;21.9;1
198309;18.7;1
198310;14.7;1
198311;10.9;1
198312;8.8;1
198401;8.1;1
198402;7.2;1
198403;8.9;1
198404;15.7;1
198405;12.9;1
198406;19.8;1
198407;22.8;1
198408;22.3;1
198409;17.8;1
198410;14.7;1
198411;11.4;1
198412;8.4;1
198501;4.3;1
198502;7.4;1
198503;8.7;1
198504;13;1
198505;15.3;1
198506;17.6;1
198507;21.9;1
198508;18.5;1
198509;20.9;1
198510;15.2;1
198511;8.5;1
198512;9;1
198601;7.9;1
198602;0.6;1
198603;9.2;1
198604;9.3;1
198605;14.7;1
198606;19.7;1
198607;19.8;1
198608;17.8;1
198609;16.9;1
198610;16.2;1
198611;11.1;1
198612;9.7;1
198701;2;1
198702;7.5;1
198703;9.2;1
