# DONNEES MENSUELLES HOMOGENEISEES de TX : Moyenne mensuelle de la température maximale sous abri (en °C et 1/10) 
# NUM_POSTE= 24037005
# NOM_USUEL= BERGERAC
# LATITUDE (°) = 44.823
# LONGITUDE(°)= 0.524
# ALTITUDE (m) = 49
# NUM_SERIE= MTX024037005
# Amplitude minimale détectable de la série = 0.16
# Période homogénéisée : 195801 201712
# Date(s) de rupture(s) d'homogénéité : 196612 198512 199712
#     Periode homogénéisée  195801 201712  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195801;7.1;1
195802;11.2;1
195803;12;1
195804;14.2;1
195805;22.3;1
195806;24.2;1
195807;26.3;1
195808;26;1
195809;26.5;1
195810;19.4;1
195811;11;1
195812;10.4;1
195901;9;1
195902;13.5;1
195903;16;1
195904;17.4;1
195905;21.7;1
195906;26.3;1
195907;30;1
195908;28;1
195909;25.6;1
195910;19.3;1
195911;11.6;1
195912;10.1;1
196001;8.8;1
196002;11.9;1
196003;15.8;1
196004;17.6;1
196005;24.6;1
196006;26.6;1
196007;23.4;1
196008;24.1;1
196009;21.4;1
196010;16.2;1
196011;13.4;1
196012;6.3;1
196101;7.9;1
196102;14.5;1
196103;17.5;1
196104;19.1;1
196105;20.2;1
196106;25;1
196107;26.3;1
196108;26.3;1
196109;27.5;1
196110;19.1;1
196111;11.7;1
196112;10.8;1
196201;9.5;1
196202;10.1;1
196203;11.2;1
196204;16.4;1
196205;18.6;1
196206;25;1
196207;26.4;1
196208;27.6;1
196209;24.9;1
196210;20.2;1
196211;10;1
196212;6.9;1
196301;6.1;1
196302;7.3;1
196303;13.9;1
196304;16.7;1
196305;19.7;1
196306;22.4;1
196307;26.5;1
196308;22.5;1
196309;21;1
196310;18.6;1
196311;15;1
196312;7.9;1
196401;6.4;1
196402;11.3;1
196403;12.7;1
196404;16;1
196405;22.2;1
196406;23.9;1
196407;28.6;1
196408;27.1;1
196409;25.6;1
196410;16.4;1
196411;11.6;1
196412;9.7;1
196501;9;1
196502;8.7;1
196503;14.5;1
196504;15.2;1
196505;20.2;1
196506;24.6;1
196507;24.9;1
196508;25.7;1
196509;19.4;1
196510;20.8;1
196511;13;1
196512;11.4;1
196601;9.6;1
196602;14.3;1
196603;13.7;1
196604;18;1
196605;21;1
196606;24.2;1
196607;24.4;1
196608;24.7;1
196609;25.4;1
196610;18.9;1
196611;10.5;1
196612;9.6;1
196701;7.6;1
196702;11.3;1
196703;14.7;1
196704;16.9;1
196705;19.8;1
196706;23.9;1
196707;29.4;1
196708;26.7;1
196709;22.9;1
196710;21.2;1
196711;13.7;1
196712;5.6;1
196801;9;1
196802;11.5;1
196803;13.8;1
196804;17.8;1
196805;19.2;1
196806;24.2;1
196807;26.6;1
196808;24.2;1
196809;22.2;1
196810;21.1;1
196811;13.6;1
196812;8.9;1
196901;9.9;1
196902;8.4;1
196903;13.3;1
196904;16.1;1
196905;20.4;1
196906;21.8;1
196907;27.8;1
196908;26.2;1
196909;22.1;1
196910;21.2;1
196911;12.2;1
196912;6.1;1
197001;9.8;1
197002;10.1;1
197003;10.5;1
197004;14.2;1
197005;20.7;1
197006;25.2;1
197007;26.6;1
197008;26.1;1
197009;26;1
197010;17.7;1
197011;15.4;1
197012;7.3;1
197101;9.6;1
197102;10.3;1
197103;10.2;1
197104;18.8;1
197105;20.4;1
197106;21.3;1
197107;28.3;1
197108;25.8;1
197109;24.1;1
197110;20.5;1
197111;10.5;1
197112;9.7;1
197201;8.7;1
197202;11.4;1
197203;15.4;1
197204;15.5;1
197205;17.9;1
197206;21.3;1
197207;26.9;1
197208;23.9;1
197209;20.7;1
197210;18;1
197211;13.2;1
197212;10.5;1
197301;6.5;1
197302;8.6;1
197303;13.9;1
197304;15.4;1
197305;21.8;1
197306;24.2;1
197307;25.1;1
197308;28.7;1
197309;24.9;1
197310;17.7;1
197311;13.8;1
197312;8.9;1
197401;11.2;1
197402;10.8;1
197403;13.7;1
197404;16.2;1
197405;19.5;1
197406;25.3;1
197407;27.2;1
197408;26.8;1
197409;20.7;1
197410;12.9;1
197411;12.9;1
197412;10.9;1
197501;11.6;1
197502;13.8;1
197503;11;1
197504;16.4;1
197505;19.2;1
197506;24;1
197507;27.6;1
197508;27.2;1
197509;22.7;1
197510;17.9;1
197511;11.5;1
197512;6.6;1
197601;8.8;1
197602;12.3;1
197603;14.8;1
197604;16.8;1
197605;21.3;1
197606;29.2;1
197607;28.3;1
197608;27.6;1
197609;21.7;1
197610;17.6;1
197611;10.7;1
197612;9.4;1
197701;9.1;1
197702;12.9;1
197703;15.8;1
197704;15.9;1
197705;18.2;1
197706;21.7;1
197707;24.3;1
197708;23.8;1
197709;23.8;1
197710;20.1;1
197711;12.1;1
197712;11.1;1
197801;8.2;1
197802;10.9;1
197803;13.7;1
197804;14.2;1
197805;18.9;1
197806;22.4;1
197807;25.6;1
197808;25.7;1
197809;24;1
197810;19.5;1
197811;12.4;1
197812;11;1
197901;8.6;1
197902;10.6;1
197903;12.9;1
197904;14.2;1
197905;19.3;1
197906;23.4;1
197907;26.7;1
197908;23.8;1
197909;24.1;1
197910;19.6;1
197911;11.7;1
197912;10.9;1
198001;7.8;1
198002;12.6;1
198003;11.9;1
198004;15.7;1
198005;19;1
198006;21.2;1
198007;24.4;1
198008;26.7;1
