# DONNEES MENSUELLES HOMOGENEISEES de TX : Moyenne mensuelle de la température maximale sous abri (en °C et 1/10) 
# NUM_POSTE= 26116002
# NOM_USUEL= DONZERE
# LATITUDE (°) = 44.429
# LONGITUDE(°)= 4.725
# ALTITUDE (m) = 66
# NUM_SERIE= MTX026116002
# Amplitude minimale détectable de la série = 0.19
# Période homogénéisée : 195901 201912
# Date(s) de rupture(s) d'homogénéité : 197412 198412 198912 200512
#     Periode homogénéisée  195901 201912  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195901;8.1;1
195902;11.1;1
195903;15.2;1
195904;17.1;1
195905;22;1
195906;27;1
195907;32;1
195908;28.3;1
195909;24;1
195910;18.1;1
195911;11.8;1
195912;10;1
196001;7.6;1
196002;11.5;1
196003;14.4;1
196004;17.4;1
196005;25.2;1
196006;27.9;1
196007;27.4;1
196008;26;1
196009;21.6;1
196010;16.7;1
196011;12.4;1
196012;6.2;1
196101;7.1;1
196102;14.4;1
196103;17.2;1
196104;19.8;1
196105;20.6;1
196106;27.3;1
196107;28.8;1
196108;28.8;1
196109;27.8;1
196110;18.6;1
196111;11.5;1
196112;9.3;1
196201;9.9;1
196202;8.7;1
196203;12;1
196204;17.2;1
196205;21.2;1
196206;26;1
196207;30;1
196208;30.4;1
196209;23.6;1
196210;18;1
196211;10.5;1
196212;4.9;1
196301;3.8;1
196302;5.3;1
196303;13.3;1
196304;18.5;1
196305;22.9;1
196306;25.5;1
196307;30;1
196308;26.6;1
196309;23;1
196310;19.3;1
196311;15.4;1
196312;6;1
196401;6.7;1
196402;10.4;1
196403;12.3;1
196404;19;1
196405;24.5;1
196406;27.3;1
196407;31.8;1
196408;27.4;1
196409;24.4;1
196410;16.2;1
196411;12.2;1
196412;7.3;1
196501;8.9;1
196502;7.7;1
196503;13.8;1
196504;17.9;1
196505;23.5;1
196506;27.4;1
196507;27.9;1
196508;28.6;1
196509;21.8;1
196510;19.8;1
196511;13;1
196512;9.9;1
196601;7.6;1
196602;12.8;1
196603;13.5;1
196604;18.7;1
196605;23.6;1
196606;27.1;1
196607;27.3;1
196608;27.2;1
196609;27.2;1
196610;19.7;1
196611;10;1
196612;9.4;1
196701;7.8;1
196702;11.1;1
196703;14.7;1
196704;18.1;1
196705;21.8;1
196706;25.2;1
196707;31.6;1
196708;29.4;1
196709;24.2;1
196710;21.9;1
196711;13.7;1
196712;6;1
196801;8;1
196802;10.4;1
196803;15.4;1
196804;19;1
196805;20.4;1
196806;25.2;1
196807;28.7;1
196808;25.8;1
196809;22.9;1
196810;20.4;1
196811;12.1;1
196812;6.9;1
196901;9.6;1
196902;8.2;1
196903;12.6;1
196904;17.7;1
196905;22.9;1
196906;23.4;1
196907;29.1;1
196908;27.8;1
196909;24.3;1
196910;20.4;1
196911;13.4;1
196912;4.7;1
197001;9.9;1
197002;9.8;1
197003;10.7;1
197004;16.6;1
197005;21.4;1
197006;27;1
197007;29.3;1
197008;28.6;1
197009;25.8;1
197010;18.1;1
197011;14.5;1
197012;6.5;1
197101;6.9;1
197102;9.7;1
197103;9.7;1
197104;18.7;1
197105;21.6;1
197106;24.3;1
197107;29.9;1
197108;29.9;1
197109;24.5;1
197110;20.4;1
197111;10.4;1
197112;9.5;1
197201;8.7;1
197202;11.5;1
197203;15.7;1
197204;16.7;1
197205;21.1;1
197206;23.5;1
197207;28.5;1
197208;26.2;1
197209;21.6;1
197210;17.8;1
197211;12.8;1
197212;8.8;1
197301;7;1
197302;8.4;1
197303;13.2;1
197304;15.1;1
197305;22.8;1
197306;25.9;1
197307;28.5;1
197308;30.5;1
197309;26.7;1
197310;17.6;1
197311;13.3;1
197312;8.6;1
197401;11.3;1
197402;10.2;1
197403;14.2;1
197404;17;1
197405;21.7;1
197406;25.1;1
197407;28.9;1
197408;29.4;1
197409;22.5;1
197410;13.8;1
197411;12.4;1
197412;11.5;1
197501;10.1;1
197502;11.5;1
197503;11.8;1
197504;17.9;1
197505;21.1;1
197506;24.5;1
197507;30;1
197508;29.4;1
197509;23.7;1
197510;17.3;1
197511;11.6;1
197512;6.4;1
197601;9.5;1
197602;10.9;1
197603;14.1;1
197604;16.6;1
197605;23.8;1
197606;30;1
197607;30.1;1
197608;28.1;1
197609;21.7;1
197610;17.2;1
197611;11.1;1
197612;8;1
197701;7.9;1
197702;12.4;1
197703;15.4;1
197704;17;1
197705;19.9;1
197706;24;1
197707;27.3;1
197708;25.4;1
197709;23.1;1
197710;20.1;1
197711;12.7;1
197712;9.1;1
197801;7.5;1
197802;8.9;1
197803;14.5;1
197804;15.4;1
197805;20;1
197806;25.3;1
197807;28.3;1
197808;27.8;1
197809;24.6;1
197810;19.6;1
197811;13.2;1
197812;10.1;1
197901;6.6;1
197902;10.4;1
197903;15.2;1
197904;15.7;1
197905;22;1
197906;26.9;1
197907;29.2;1
197908;27.4;1
197909;25;1
197910;19.1;1
197911;12.4;1
197912;10.3;1
198001;7.3;1
198002;12.4;1
198003;12.8;1
198004;15.7;1
198005;19.5;1
198006;24.8;1
198007;26.8;1
198008;29.1;1
198009;26;1
198010;17.6;1
198011;10.7;1
198012;6.5;1
198101;7.5;1
198102;8.7;1
198103;15.6;1
198104;19.4;1
198105;21.1;1
198106;26.1;1
198107;27.6;1
198108;30.2;1
198109;25.5;1
198110;18.9;1
198111;12.4;1
198112;8.6;1
198201;10.8;1
198202;10.8;1
198203;13.3;1
198204;18.2;1
198205;24.1;1
198206;28.2;1
198207;31.8;1
198208;28.1;1
198209;26.4;1
198210;18.2;1
198211;14;1
198212;9.1;1
198301;10.9;1
198302;6.9;1
198303;14.3;1
198304;16.9;1
198305;20.4;1
198306;27;1
198307;33.5;1
198308;28.9;1
198309;25.5;1
198310;19.3;1
198311;12.7;1
198312;9.4;1
198401;8.3;1
198402;8.4;1
198403;11.9;1
198404;18;1
198405;18.4;1
198406;25.7;1
198407;29.8;1
198408;27.8;1
198409;22.7;1
198410;18.5;1
198411;15.1;1
198412;9;1
198501;2.5;1
198502;10.6;1
198503;11.5;1
198504;18.2;1
198505;21;1
198506;24.8;1
198507;30.6;1
198508;28.4;1
198509;27.4;1
198510;20.1;1
198511;9.5;1
198512;10.5;1
198601;9.7;1
198602;7.4;1
198603;15.1;1
198604;14.6;1
198605;25.1;1
198606;27.5;1
198607;30.7;1
198608;30.1;1
198609;25.5;1
198610;21.3;1
198611;14.9;1
198612;10.3;1
198701;4.5;1
198702;9.1;1
198703;10.6;1
198704;18.7;1
198705;20.7;1
198706;23.6;1
198707;28;1
198708;29.9;1
198709;27.3;1
198710;20.1;1
198711;11.4;1
198712;9.6;1
198801;10.4;1
198802;10.3;1
198803;14.4;1
198804;18;1
198805;22.3;1
198806;25.8;1
198807;30.4;1
198808;30.4;1
198809;24.9;1
198810;20.7;1
198811;10.8;1
198812;9.5;1
198901;9.9;1
198902;12.9;1
198903;17;1
198904;15.8;1
198905;24.9;1
198906;27.7;1
198907;31.1;1
198908;30.4;1
198909;24.7;1
198910;20.1;1
198911;13.2;1
198912;11.9;1
199001;12.5;1
199002;17.4;1
199003;16.9;1
199004;16.8;1
199005;25.1;1
199006;27;1
199007;31.5;1
199008;31.4;1
199009;25.6;1
199010;20.4;1
199011;11.9;1
199012;6.2;1
199101;8.3;1
199102;9.4;1
199103;16.2;1
199104;17.7;1
199105;20.8;1
199106;26.6;1
199107;32.3;1
199108;32;1
199109;26.6;1
199110;16.7;1
199111;12.3;1
199112;7.4;1
199201;6.8;1
199202;10.7;1
199203;14.8;1
199204;18.1;1
199205;23.7;1
199206;23;1
199207;29.1;1
199208;31.5;1
199209;24.3;1
199210;15.3;1
199211;14.3;1
199212;9.8;1
199301;10.8;1
199302;8.9;1
199303;13.9;1
199304;18.3;1
199305;23.3;1
199306;27.3;1
199307;27.8;1
199308;30.5;1
199309;22.9;1
199310;17.2;1
199311;9.8;1
199312;10.3;1
199401;9.7;1
199402;11.4;1
199403;18.6;1
199404;15.5;1
199405;22.8;1
199406;27.4;1
199407;32.9;1
199408;31.6;1
199409;22.7;1
199410;19.2;1
199411;15.6;1
199412;10.4;1
199501;8.7;1
199502;13.5;1
199503;14;1
199504;17.9;1
199505;22.1;1
199506;26.5;1
199507;32.4;1
199508;29.6;1
199509;22.3;1
199510;22.1;1
199511;12.7;1
199512;8.5;1
199601;11;1
199602;8.5;1
199603;13.2;1
199604;18.4;1
199605;22.4;1
199606;27.6;1
199607;28.2;1
199608;27.2;1
199609;21.5;1
199610;18.8;1
199611;12.1;1
199612;8.8;1
199701;7.1;1
199702;13;1
199703;19;1
199704;19.5;1
199705;24;1
199706;25.4;1
199707;28.2;1
199708;31;1
199709;27.5;1
199710;19.9;1
199711;14.5;1
199712;10.1;1
199801;9.1;1
199802;13.7;1
199803;15.4;1
199804;16.6;1
199805;23.6;1
199806;27.8;1
199807;30.3;1
199808;30.4;1
199809;24.2;1
199810;18.5;1
199811;10.1;1
199812;9.1;1
199901;9.6;1
199902;9.6;1
199903;16.1;1
199904;17.9;1
199905;24.9;1
199906;26.7;1
199907;31.4;1
199908;29.7;1
199909;26.8;1
199910;19.3;1
199911;10.4;1
199912;9;1
200001;8.6;1
200002;13;1
200003;15.8;1
200004;18.4;1
200005;24.8;1
200006;28.1;1
200007;28.1;1
200008;30.9;1
200009;26.3;1
200010;18.6;1
200011;13.6;1
200012;12.2;1
200101;10.4;1
200102;12.1;1
200103;17;1
200104;17.7;1
200105;24.3;1
200106;27.8;1
200107;30.7;1
200108;31.7;1
200109;22.4;1
200110;22.9;1
200111;11;1
200112;7;1
200201;10.6;1
200202;13.3;1
200203;16.5;1
200204;19.2;1
200205;21.6;1
200206;29.1;1
200207;29.4;1
200208;29;1
200209;22.5;1
200210;19.8;1
200211;15.2;1
200212;10.9;1
200301;7.3;1
200302;9.3;1
200303;17.4;1
200304;19;1
200305;25;1
200306;33.5;1
200307;32.8;1
200308;36;1
200309;24.8;1
200310;17.5;1
200311;14.4;1
200312;10;1
200401;8.3;1
200402;9.7;1
200403;14;1
200404;17.5;1
200405;22.7;1
200406;29.1;1
200407;31.1;1
200408;30.1;1
200409;26.1;1
200410;20.7;1
200411;11.9;1
200412;8.1;1
200501;9.1;1
200502;8.2;1
200503;15.1;1
200504;18.1;1
200505;23.6;1
200506;30.1;1
200507;30.7;1
200508;28.1;1
200509;24.9;1
200510;21;1
200511;11.9;1
200512;6.4;1
200601;7.5;1
200602;9.1;1
200603;14.2;1
200604;19.9;1
200605;23.7;1
200606;29.7;1
200607;35;1
200608;27.2;1
200609;26.8;1
200610;22.2;1
200611;15.8;1
200612;9.8;1
200701;11.2;1
200702;13;1
200703;15.6;1
200704;23.3;1
200705;23.6;1
200706;27.6;1
200707;29.3;1
200708;28.4;1
200709;24.5;1
200710;18.9;1
200711;12.5;1
200712;9;1
200801;11.8;1
200802;14.2;1
200803;14.1;1
200804;17.5;1
200805;23.3;1
200806;26.5;1
200807;28.9;1
200808;28;1
200809;22.9;1
200810;18.3;1
200811;12.4;1
200812;8.1;1
200901;7;1
200902;10.2;1
200903;15;1
200904;19.8;1
200905;25.4;1
200906;28;1
200907;31.3;1
200908;32.9;1
200909;26;1
200910;19.8;1
200911;15.2;1
200912;9.3;1
201001;5.3;1
201002;9.4;1
201003;13.3;1
201004;19.9;1
201005;20.6;1
201006;27.1;1
201007;32.1;1
201008;29.9;1
201009;24.8;1
201010;18.3;1
201011;13;1
201012;6.9;1
201101;8.5;1
201102;11;1
201103;15.4;1
201104;22.8;1
201105;27;1
201106;27.6;1
201107;28.1;1
201108;30.8;1
201109;27.3;1
201110;21.2;1
201111;15.6;1
201112;11.3;1
201201;10.2;1
201202;6.2;1
201203;18.8;1
201204;17.9;1
201205;23.5;1
201206;28.6;1
201207;30.5;1
201208;32;1
201209;24.7;1
201210;20.2;1
201211;13.9;1
201212;10.1;1
201301;8.5;1
201302;7.8;1
201303;13.3;1
201304;17.5;1
201305;19.3;1
201306;26.2;1
201307;32.3;1
201308;29.3;1
201309;26;1
201310;20.8;1
201311;10.9;1
201312;11.4;1
201401;11.2;1
201402;12.4;1
201403;16.9;1
201404;20.5;1
201405;22.8;1
201406;29.7;1
201407;27.8;1
201408;27.9;1
201409;26;1
201410;22.5;1
201411;15.6;1
201412;10;1
201501;10.3;1
201502;9;1
201503;15.9;1
201504;20.3;1
201505;24.5;1
201506;29.7;1
201507;33.6;1
201508;30.9;1
201509;23.9;1
201510;17.8;1
201511;15.9;1
201512;13.1;1
201601;11;1
201602;12.6;1
201603;14.3;1
201604;18.1;1
201605;22.2;1
201606;28.1;1
201607;30.8;1
201608;30.4;1
201609;28.1;1
201610;18.1;1
201611;13.8;1
201612;10.5;1
201701;7;1
201702;14.5;1
201703;17.9;1
201704;19.4;1
201705;24.1;1
201706;30.4;1
201707;31.7;1
201708;31.6;1
201709;24.8;1
201710;22.2;1
201711;13.1;1
201712;8.7;1
201801;12.4;1
201802;7.5;1
201803;14.7;1
201804;21.4;1
201805;23;1
201806;27.7;1
201807;32.9;1
201808;31;1
201809;28.3;1
201810;19.9;1
201811;14;1
201812;10.3;1
201901;8.6;1
201902;14.5;1
201903;17.8;1
201904;18.5;1
201905;21.6;1
201906;30;1
201907;33.6;1
201908;32.2;1
201909;27.3;1
201910;21.2;1
201911;13.2;1
201912;12.9;1
202001;11.6;0
202002;15.2;0
202003;16.8;0
202004;22.2;0
202005;25.1;0
202006;27.8;0
202007;32.5;0
202008;32;0
202009;27;0
202010;18.8;0
202011;15.7;0
202012;9.9;0
202101;8.9;0
202102;13.6;0
202103;16.4;0
202104;18.2;0
202105;22.1;0
202106;29.5;0
202107;30.1;0
202108;29.1;0
202109;27.7;0
202110;20.1;0
202111;12.4;0
202112;10.2;0
202201;9.5;0
202202;14.3;0
202203;17;0
202204;20.1;0
202205;27.9;0
202206;32.5;0
202207;34.9;0
202208;33.4;0
202209;25.8;0
202210;24.3;0
202211;15.6;0
202212;10.5;0
