# DONNEES MENSUELLES HOMOGENEISEES de TX : Moyenne mensuelle de la température maximale sous abri (en °C et 1/10) 
# NUM_POSTE= 26295001
# NOM_USUEL= ST-BARTHELEMY-V_SAPC
# LATITUDE (°) = 45.174
# LONGITUDE(°)= 4.903
# ALTITUDE (m) = 203
# NUM_SERIE= MTX026295001
# Amplitude minimale détectable de la série = 0.14
# Période homogénéisée : 196101 201912
# Date(s) de rupture(s) d'homogénéité : 198012 199012 201510
#     Periode homogénéisée  196101 201912  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
196101;6.4;1
196102;13.1;1
196103;15.4;1
196104;19.5;1
196105;19.7;1
196106;25.4;1
196107;27.1;1
196108;27.4;1
196109;28.8;1
196110;18.2;1
196111;10.4;1
196112;8.2;1
196201;8.6;1
196202;6.8;1
196203;10.1;1
196204;15.7;1
196205;20.2;1
196206;24.7;1
196207;28.4;1
196208;30.2;1
196209;23.9;1
196210;17.6;1
196211;8.7;1
196212;3.2;1
196301;1.4;1
196302;4.1;1
196303;13.1;1
196304;17;1
196305;20.4;1
196306;24;1
196307;27.8;1
196308;24;1
196309;22.1;1
196310;17.9;1
196311;15.2;1
196312;4;1
196401;4.3;1
196402;10.2;1
196403;10.8;1
196404;17.4;1
196405;22.8;1
196406;25.6;1
196407;30.8;1
196408;26.4;1
196409;24.1;1
196410;15.1;1
196411;11;1
196412;6.3;1
196501;7.3;1
196502;5.4;1
196503;13.1;1
196504;15.8;1
196505;21;1
196506;25.7;1
196507;27.2;1
196508;26.5;1
196509;20.4;1
196510;19;1
196511;11.5;1
196512;9;1
196601;5.9;1
196602;12.9;1
196603;12;1
196604;18.4;1
196605;21.5;1
196606;26.8;1
196607;25.6;1
196608;25.6;1
196609;26.2;1
196610;19.8;1
196611;8.8;1
196612;7.7;1
196701;6.8;1
196702;10.4;1
196703;13.5;1
196704;16.6;1
196705;20.8;1
196706;23.9;1
196707;30.6;1
196708;27.2;1
196709;22.7;1
196710;21.2;1
196711;11.6;1
196712;4.1;1
196801;5.1;1
196802;9.6;1
196803;13.7;1
196804;18.7;1
196805;18.6;1
196806;24.7;1
196807;27.4;1
196808;24.1;1
196809;21.1;1
196810;19.8;1
196811;10.3;1
196812;5.5;1
196901;8.5;1
196902;7.2;1
196903;12.1;1
196904;16.4;1
196905;21.7;1
196906;22.3;1
196907;27.9;1
196908;26.6;1
196909;23.5;1
196910;19.1;1
196911;12.7;1
196912;1.9;1
197001;8.5;1
197002;8.5;1
197003;9;1
197004;14.6;1
197005;20.2;1
197006;26.3;1
197007;27.7;1
197008;28.1;1
197009;25.1;1
197010;16.6;1
197011;14.2;1
197012;4.5;1
197101;5.8;1
197102;8.5;1
197103;8.3;1
197104;18.9;1
197105;21.3;1
197106;23.2;1
197107;28.7;1
197108;28.2;1
197109;23.1;1
197110;19.6;1
197111;8.4;1
197112;7.2;1
197201;7.9;1
197202;10.7;1
197203;14.6;1
197204;15.2;1
197205;20.5;1
197206;23;1
197207;27.1;1
197208;26.1;1
197209;20.1;1
197210;17.6;1
197211;12.6;1
197212;6.6;1
197301;5.3;1
197302;6.7;1
197303;12.1;1
197304;13.9;1
197305;22;1
197306;24.4;1
197307;26.9;1
197308;28.7;1
197309;25.7;1
197310;16.4;1
197311;11.7;1
197312;6.4;1
197401;10.8;1
197402;9.4;1
197403;13.7;1
197404;16.5;1
197405;20.3;1
197406;24.3;1
197407;27.7;1
197408;28.7;1
197409;21.9;1
197410;12.3;1
197411;11.7;1
197412;10.2;1
197501;9.9;1
197502;10.7;1
197503;10.6;1
197504;16.5;1
197505;20;1
197506;23.2;1
197507;27.8;1
197508;27.6;1
197509;22.9;1
197510;15.9;1
197511;10.5;1
197512;5.4;1
197601;7.6;1
197602;9.7;1
197603;13;1
197604;16.4;1
197605;23.6;1
197606;30.1;1
197607;29.3;1
197608;26.4;1
197609;21.4;1
197610;16.9;1
197611;10.4;1
197612;6.3;1
197701;7.8;1
197702;11.7;1
197703;14.9;1
197704;15.4;1
197705;19.2;1
197706;23.1;1
197707;26.2;1
197708;24.2;1
197709;21.5;1
197710;19.8;1
197711;10.7;1
197712;8.6;1
197801;6.3;1
197802;8.3;1
197803;12.7;1
197804;13.8;1
197805;18.9;1
197806;24.1;1
197807;27.5;1
197808;25.9;1
197809;23.6;1
197810;17.3;1
197811;10.6;1
197812;10;1
197901;4.5;1
197902;9;1
197903;14;1
197904;15.2;1
197905;21.7;1
197906;25.1;1
197907;28.2;1
197908;25.9;1
197909;23.9;1
197910;19;1
197911;10.9;1
197912;9.6;1
198001;6;1
198002;11.7;1
198003;11.9;1
198004;15.1;1
198005;19.3;1
198006;23.4;1
198007;25.4;1
198008;27.6;1
198009;24.8;1
198010;16.8;1
198011;10.3;1
198012;4.6;1
198101;5;1
198102;6.6;1
198103;15.7;1
198104;18.5;1
198105;20.3;1
198106;24.6;1
198107;25.7;1
198108;28;1
198109;23.7;1
198110;18;1
198111;11.5;1
198112;7.7;1
198201;9.4;1
198202;10.3;1
198203;12.3;1
198204;17;1
198205;22.3;1
198206;26.4;1
198207;30.2;1
198208;26.5;1
198209;25.3;1
198210;16.6;1
198211;13.1;1
198212;7.4;1
198301;9.1;1
198302;6.2;1
198303;13;1
198304;15.8;1
198305;19;1
198306;26.1;1
198307;33.1;1
198308;28.2;1
198309;24.8;1
198310;18.1;1
198311;11;1
198312;8.3;1
198401;7.3;1
198402;7.2;1
198403;11.3;1
198404;16.7;1
198405;17.6;1
198406;23.8;1
198407;28.6;1
198408;26.3;1
198409;21.9;1
198410;17.3;1
198411;15.2;1
198412;7.1;1
198501;1.1;1
198502;9.9;1
198503;10.5;1
198504;17.8;1
198505;19.8;1
198506;23.8;1
198507;29.3;1
198508;27.7;1
198509;27.4;1
198510;19.2;1
198511;7.9;1
198512;8.3;1
198601;6.7;1
198602;3.8;1
198603;12.7;1
198604;12.4;1
198605;22.8;1
198606;25.6;1
198607;29;1
198608;28.9;1
198609;23.8;1
198610;19.8;1
198611;12.9;1
198612;7.9;1
198701;0.8;1
198702;8.5;1
198703;10.8;1
198704;18.1;1
198705;18.6;1
198706;23.3;1
198707;27.6;1
198708;28.1;1
198709;27;1
198710;18.9;1
198711;11;1
198712;9.1;1
198801;11.5;1
198802;9.2;1
198803;11.7;1
198804;17.6;1
198805;21.5;1
198806;24.3;1
198807;27.8;1
198808;28.3;1
198809;23;1
198810;18.8;1
198811;10.5;1
198812;8;1
198901;8.1;1
198902;11.9;1
198903;16.6;1
198904;14.9;1
198905;24.1;1
198906;25.9;1
198907;28.9;1
198908;28.8;1
198909;23.8;1
198910;20;1
198911;10.9;1
198912;10.4;1
199001;8.3;1
199002;14.4;1
199003;15.3;1
199004;15;1
199005;24;1
199006;24.2;1
199007;30.4;1
199008;29.5;1
199009;24;1
199010;19.6;1
199011;10.7;1
199012;4.7;1
199101;7.3;1
199102;8.1;1
199103;15;1
199104;16.1;1
199105;19.4;1
199106;24.3;1
199107;30.2;1
199108;30.5;1
199109;25.6;1
199110;16.1;1
199111;11.3;1
199112;5.6;1
199201;5.2;1
199202;9.6;1
199203;13.6;1
199204;16.7;1
199205;23.2;1
199206;22.6;1
199207;28;1
199208;30.5;1
199209;22.8;1
199210;14.2;1
199211;12.9;1
199212;8.8;1
199301;10;1
199302;7.1;1
199303;13.7;1
199304;17.7;1
199305;22.4;1
199306;26;1
199307;26.2;1
199308;28;1
199309;21.2;1
199310;15.6;1
199311;8.3;1
199312;9.6;1
199401;8.1;1
199402;10.4;1
199403;17.7;1
199404;14.1;1
199405;22.3;1
199406;25.6;1
199407;31.4;1
199408;30;1
199409;21.7;1
199410;19.1;1
199411;13.9;1
199412;9.4;1
199501;7.5;1
199502;12.8;1
199503;12.6;1
199504;17;1
199505;21.6;1
199506;24.7;1
199507;30.8;1
199508;27.9;1
199509;20.7;1
199510;21.6;1
199511;11.6;1
199512;7.3;1
199601;10.1;1
199602;7;1
199603;12.3;1
199604;17.5;1
199605;20.4;1
199606;26.5;1
199607;26.8;1
199608;26.3;1
199609;20.8;1
199610;17.8;1
199611;11.1;1
199612;7.6;1
199701;5.3;1
199702;12.3;1
199703;17.9;1
199704;18.8;1
199705;23.4;1
199706;24.6;1
199707;26.9;1
199708;30.8;1
199709;26.4;1
199710;18.8;1
199711;13.3;1
199712;8.9;1
199801;8.3;1
199802;12.1;1
199803;14;1
199804;16.1;1
199805;23.3;1
199806;25.9;1
199807;28.9;1
199808;28.9;1
199809;23.1;1
199810;17.4;1
199811;8.2;1
199812;7.6;1
199901;9.2;1
199902;7.4;1
199903;14.8;1
199904;16.8;1
199905;24;1
199906;25.3;1
199907;29.7;1
199908;28.6;1
199909;26.4;1
199910;18.4;1
199911;8.9;1
199912;8.1;1
200001;6.8;1
200002;11.6;1
200003;14.8;1
200004;17.8;1
200005;24.2;1
200006;26.4;1
200007;25.9;1
200008;29.5;1
200009;25.1;1
200010;18;1
200011;12.6;1
200012;11;1
200101;9.7;1
200102;10.9;1
200103;16.1;1
200104;15.4;1
200105;23.2;1
200106;25.5;1
200107;28.5;1
200108;29;1
200109;21;1
200110;22.5;1
200111;9.1;1
200112;5;1
200201;8.7;1
200202;12.2;1
200203;15.7;1
200204;18.7;1
200205;20.3;1
200206;27.8;1
200207;27.1;1
200208;26.9;1
200209;21.6;1
200210;19.1;1
200211;13.8;1
200212;9.5;1
200301;5.8;1
200302;8.1;1
200303;17.1;1
200304;19.3;1
200305;24.5;1
200306;32.5;1
200307;31.3;1
200308;35.4;1
200309;24.9;1
200310;16.3;1
200311;13.3;1
200312;8.5;1
200401;7;1
200402;8.8;1
200403;12.7;1
200404;16.4;1
200405;21.9;1
200406;27.4;1
200407;29;1
200408;28.6;1
200409;24.9;1
200410;20.2;1
200411;10.3;1
200412;6;1
200501;7.2;1
200502;5.9;1
200503;14.1;1
200504;16.9;1
200505;22.9;1
200506;28.9;1
200507;29;1
200508;26.1;1
200509;24.1;1
200510;20.8;1
200511;10.5;1
200512;4.8;1
200601;5.2;1
200602;6.9;1
200603;12.4;1
200604;18.3;1
200605;22.4;1
200606;28.4;1
200607;32.7;1
200608;25.4;1
200609;26.3;1
200610;21.5;1
200611;14.6;1
200612;8.4;1
200701;9.6;1
200702;11.7;1
200703;14.1;1
200704;23.2;1
200705;22.5;1
200706;26.4;1
200707;27.9;1
200708;26.5;1
200709;22.9;1
200710;17.7;1
200711;10.5;1
200712;6.4;1
200801;10.2;1
200802;13;1
200803;12.5;1
200804;16.7;1
200805;23.4;1
200806;25.4;1
200807;27.9;1
200808;26.7;1
200809;21.2;1
200810;17.7;1
200811;11.3;1
200812;6.6;1
200901;5.4;1
200902;8.8;1
200903;13.7;1
200904;19.6;1
200905;25.3;1
200906;26.9;1
200907;30.2;1
200908;31.3;1
200909;24.8;1
200910;18.5;1
200911;14.3;1
200912;8;1
201001;4.1;1
201002;7.8;1
201003;12.2;1
201004;19.2;1
201005;19.5;1
201006;25.7;1
201007;30.9;1
201008;28.2;1
201009;23.7;1
201010;17.3;1
201011;11.2;1
201012;6.3;1
201101;7.6;1
201102;10;1
201103;14.7;1
201104;22.5;1
201105;25.8;1
201106;25.6;1
201107;25.9;1
201108;29.9;1
201109;26.2;1
201110;19.5;1
201111;14.1;1
201112;9.5;1
201201;8.1;1
201202;4.6;1
201203;17.6;1
201204;16.4;1
201205;22.4;1
201206;26.7;1
201207;28.1;1
201208;30.4;1
201209;23.4;1
201210;19.3;1
201211;13;1
201212;9;1
201301;6.5;1
201302;5.9;1
201303;12.3;1
201304;16.6;1
201305;18.2;1
201306;25.3;1
201307;31.3;1
201308;28.2;1
201309;24.5;1
201310;19.7;1
201311;9.5;1
201312;10.2;1
201401;10.2;1
201402;11.6;1
201403;16.2;1
201404;19.7;1
201405;21.9;1
201406;28.5;1
201407;26.1;1
201408;26.4;1
201409;25.1;1
201410;21.7;1
201411;14.2;1
201412;8.4;1
201501;8.2;1
201502;7.6;1
201503;14.5;1
201504;19.6;1
201505;23.2;1
201506;28.2;1
201507;32.4;1
201508;30.5;1
201509;23.3;1
201510;16.1;1
201511;14.8;1
201512;13.1;1
201601;10;1
201602;11.1;1
201603;13.1;1
201604;17.1;1
201605;21.1;1
201606;26;1
201607;29.5;1
201608;29.5;1
201609;26.9;1
201610;17;1
201611;12.2;1
201612;8.3;1
201701;4.9;1
201702;13.5;1
201703;17.2;1
201704;18.5;1
201705;22.8;1
201706;29.8;1
