# DONNEES MENSUELLES HOMOGENEISEES de TX : Moyenne mensuelle de la température maximale sous abri (en °C et 1/10) 
# NUM_POSTE= 29022001
# NOM_USUEL= CAMARET
# LATITUDE (°) = 48.275
# LONGITUDE(°)= -4.607
# ALTITUDE (m) = 44
# NUM_SERIE= MTX029022001
# Amplitude minimale détectable de la série = 0.14
# Période homogénéisée : 195301 201612
# Date(s) de rupture(s) d'homogénéité : 197712 198112 200412 200812 201412
#     Periode homogénéisée  195301 201612  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195301;8;1
195302;8.3;1
195303;12.5;1
195304;12.3;1
195305;15.1;1
195306;16.1;1
195307;17.1;1
195308;19;1
195309;17.1;1
195310;14.9;1
195311;12.1;1
195312;12.6;1
195401;9.6;1
195402;8.5;1
195403;11;1
195404;12.3;1
195405;13.7;1
195406;15.4;1
195407;15.6;1
195408;16.8;1
195409;15.5;1
195410;14.8;1
195411;12.5;1
195412;11.2;1
195501;9.6;1
195502;8.5;1
195503;7.9;1
195504;12.8;1
195505;13.7;1
195506;17.5;1
195507;21;1
195508;22.6;1
195509;17.7;1
195510;13.9;1
195511;11.3;1
195512;11.9;1
195601;10;1
195602;4.6;1
195603;10.8;1
195604;11.2;1
195605;14.2;1
195606;15;1
195607;17.5;1
195608;16.2;1
195609;16.4;1
195610;14.2;1
195611;11;1
195612;10.7;1
195701;9.7;1
195702;10.4;1
195703;12.5;1
195704;12.1;1
195705;13.8;1
195706;17.6;1
195707;18;1
195708;18.4;1
195709;15.4;1
195710;14.6;1
195711;10.3;1
195712;9.7;1
195801;9.7;1
195802;10.5;1
195803;9;1
195804;10.6;1
195805;14.4;1
195806;16;1
195807;17.2;1
195808;16.9;1
195809;18;1
195810;13.7;1
195811;10.9;1
195812;10.1;1
195901;9.5;1
195902;9.9;1
195903;11.4;1
195904;11.9;1
195905;15.5;1
195906;17.1;1
195907;19.9;1
195908;19.8;1
195909;20.2;1
195910;16.2;1
195911;11.4;1
195912;10.9;1
196001;9.2;1
196002;9.2;1
196003;11.2;1
196004;12.1;1
196005;16.1;1
196006;19.1;1
196007;17;1
196008;17.3;1
196009;16.1;1
196010;13.6;1
196011;11.8;1
196012;9.2;1
196101;9.6;1
196102;10.6;1
196103;12;1
196104;13;1
196105;15.2;1
196106;17;1
196107;18.3;1
196108;18;1
196109;17.9;1
196110;14.5;1
196111;10.3;1
196112;8.6;1
196201;9.6;1
196202;8.4;1
196203;7.8;1
196204;11;1
196205;13.1;1
196206;17.2;1
196207;17.8;1
196208;17.4;1
196209;16.7;1
196210;14.7;1
196211;10.5;1
196212;8.5;1
196301;4;1
196302;5.8;1
196303;9;1
196304;10.7;1
196305;12.6;1
196306;15.7;1
196307;17.9;1
196308;16.5;1
196309;15.7;1
196310;14.1;1
196311;12.6;1
196312;7.8;1
196401;7.8;1
196402;8.6;1
196403;8.8;1
196404;10.6;1
196405;14.8;1
196406;16.6;1
196407;18.8;1
196408;18.1;1
196409;18.1;1
196410;13.1;1
196411;11;1
196412;9.5;1
196501;8.7;1
196502;6.7;1
196503;10.7;1
196504;11;1
196505;13.6;1
196506;15.6;1
196507;17.1;1
196508;17.3;1
196509;14.7;1
196510;15.5;1
196511;10.3;1
196512;10.8;1
196601;8.6;1
196602;10.9;1
196603;10.7;1
196604;12.3;1
196605;13.9;1
196606;16.9;1
196607;17.8;1
196608;18.1;1
196609;18.3;1
196610;14.1;1
196611;10.1;1
196612;10.7;1
196701;9.4;1
196702;9.5;1
196703;10.1;1
196704;11;1
196705;12.7;1
196706;16.7;1
196707;18.6;1
196708;18.2;1
196709;15.6;1
196710;13.9;1
196711;10.3;1
196712;9.5;1
196801;9.8;1
196802;8.1;1
196803;9.8;1
196804;11.6;1
196805;13.4;1
196806;16.3;1
196807;18.2;1
196808;17.9;1
196809;16.4;1
196810;15.4;1
196811;11.8;1
196812;10.1;1
196901;10.7;1
