# DONNEES MENSUELLES HOMOGENEISEES de TX : Moyenne mensuelle de la température maximale sous abri (en °C et 1/10) 
# NUM_POSTE= 29168001
# NOM_USUEL= PTE DU RAZ
# LATITUDE (°) = 48.039
# LONGITUDE(°)= -4.732
# ALTITUDE (m) = 67
# NUM_SERIE= MTX029168001
# Amplitude minimale détectable de la série = 0.16
# Période homogénéisée : 195101 201612
# Date(s) de rupture(s) d'homogénéité : 195812 196912 199612 201312
#     Periode homogénéisée  195101 201612  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195101;9.5;1
195102;8.3;1
195103;9;1
195104;11.8;1
195105;12.6;1
195106;17.6;1
195107;18.9;1
195108;17.8;1
195109;17;1
195110;14.7;1
195111;12.7;1
195112;11;1
195201;9;1
195202;8.9;1
195203;10.2;1
195204;13.2;1
195205;16.5;1
195206;18.4;1
195207;19.5;1
195208;18.9;1
195209;15.7;1
195210;13.7;1
195211;10.3;1
195212;9;1
195301;7.1;1
195302;7.7;1
195303;12.8;1
195304;12.5;1
195305;15;1
195306;16.4;1
195307;17.1;1
195308;19.8;1
195309;18.1;1
195310;15.4;1
195311;12.5;1
195312;12.2;1
195401;8.9;1
195402;8;1
195403;10.5;1
195404;12.7;1
195405;13.7;1
195406;15.5;1
195407;15.7;1
195408;16.6;1
195409;16.2;1
195410;15.5;1
195411;13;1
195412;11.1;1
195501;9;1
195502;8;1
195503;8;1
195504;13.7;1
195505;14.1;1
195506;17.5;1
195507;20.9;1
195508;22.2;1
195509;18.8;1
195510;14.7;1
195511;11.5;1
195512;11.7;1
195601;9.4;1
195602;3.7;1
195603;9.9;1
195604;11.4;1
195605;14.4;1
195606;15.1;1
195607;17.1;1
195608;16.6;1
195609;16.6;1
195610;14.5;1
195611;11.3;1
195612;10.9;1
195701;9.2;1
195702;10;1
195703;11.8;1
195704;12.5;1
195705;14.4;1
195706;17.8;1
195707;18.5;1
195708;18.5;1
195709;15.8;1
195710;15.2;1
195711;10.8;1
195712;9.6;1
195801;9;1
195802;9.7;1
195803;8.8;1
195804;11;1
195805;14.7;1
195806;16.3;1
195807;17.1;1
195808;17;1
195809;18.4;1
195810;14;1
195811;11.3;1
195812;10;1
195901;9.2;1
195902;9;1
195903;11.6;1
195904;12.5;1
195905;15.7;1
195906;17.9;1
195907;19.8;1
195908;19.7;1
195909;20.3;1
195910;16.5;1
195911;11.9;1
195912;11;1
196001;9.2;1
196002;8.8;1
196003;10.7;1
196004;12.5;1
196005;16.5;1
196006;19.2;1
196007;17.7;1
196008;17.8;1
196009;16.7;1
196010;14.4;1
196011;12.4;1
196012;9.2;1
196101;9.7;1
196102;10.5;1
196103;11.6;1
196104;13.5;1
196105;15.4;1
196106;17.1;1
196107;17.9;1
196108;18.5;1
196109;18.6;1
196110;15.3;1
196111;10.9;1
196112;9;1
196201;9.4;1
196202;8.3;1
196203;8.1;1
196204;11.7;1
196205;13.3;1
196206;17.2;1
196207;18.1;1
196208;18;1
196209;17.3;1
196210;15.6;1
196211;11;1
196212;8.7;1
196301;3.7;1
196302;5.6;1
196303;9;1
196304;10.9;1
196305;13.2;1
196306;16.1;1
196307;17.8;1
196308;17.3;1
196309;16.3;1
196310;14.7;1
196311;13.1;1
196312;7.7;1
196401;7.5;1
196402;8.6;1
196403;8.5;1
196404;11;1
196405;15.1;1
196406;16.6;1
196407;18.2;1
196408;18;1
196409;18.3;1
196410;13.5;1
196411;11.6;1
196412;9.7;1
196501;8.5;1
196502;6.3;1
196503;10;1
196504;11.3;1
196505;13.8;1
196506;15.9;1
196507;17.5;1
196508;17.8;1
196509;15.4;1
196510;15.9;1
196511;10.9;1
196512;11;1
196601;8.2;1
196602;10.7;1
196603;10.6;1
196604;12.8;1
196605;14.6;1
196606;17.3;1
196607;18;1
196608;18.3;1
196609;18.8;1
196610;14.8;1
196611;10.5;1
196612;10.8;1
196701;9.3;1
196702;9.4;1
196703;10.4;1
196704;11.6;1
196705;13.4;1
196706;16.7;1
196707;18.7;1
196708;18.7;1
196709;16;1
196710;14.8;1
196711;11.1;1
196712;9.6;1
196801;9.7;1
196802;8;1
196803;9.9;1
196804;12;1
196805;13.8;1
196806;16.7;1
196807;18.4;1
196808;18.3;1
196809;17.2;1
196810;16.4;1
196811;12.8;1
196812;10.3;1
196901;10.4;1
196902;7.6;1
196903;9.7;1
196904;12;1
196905;14.7;1
196906;17.5;1
196907;18.7;1
196908;18.6;1
196909;16.9;1
196910;17;1
196911;11.8;1
196912;9.5;1
197001;9.4;1
197002;8.9;1
197003;9;1
197004;10.7;1
197005;14.9;1
197006;19;1
197007;17.6;1
197008;18.9;1
197009;18.7;1
197010;15.4;1
197011;12.8;1
197012;8.9;1
197101;9.8;1
197102;8.8;1
197103;8.6;1
197104;12.6;1
197105;14.5;1
197106;16.6;1
197107;21.8;1
197108;19.6;1
197109;19.9;1
197110;16.8;1
197111;11.7;1
197112;9.7;1
197201;9;1
197202;9.2;1
197203;10.7;1
197204;11;1
197205;12.6;1
197206;14.2;1
197207;18.3;1
197208;18.2;1
197209;17.3;1
197210;15.2;1
197211;11.9;1
197212;10.4;1
197301;8.3;1
197302;8.7;1
197303;10.7;1
197304;11.7;1
197305;15.4;1
197306;17.9;1
197307;18.3;1
197308;20.2;1
197309;18.8;1
197310;14.6;1
197311;12.4;1
197312;10.4;1
197401;10.7;1
197402;9.6;1
197403;10.6;1
197404;12.4;1
197405;14.5;1
197406;18.2;1
197407;18.2;1
197408;18.6;1
197409;15.7;1
197410;12;1
197411;11.5;1
197412;11.2;1
197501;11.1;1
197502;10.5;1
197503;9.4;1
197504;12.1;1
197505;14.4;1
197506;18.3;1
197507;20.3;1
197508;20.6;1
197509;16.8;1
197510;14.8;1
197511;12.1;1
197512;8.9;1
197601;9.5;1
197602;9.1;1
197603;10.4;1
197604;12.7;1
197605;15.2;1
197606;20.3;1
197607;19.7;1
197608;21.5;1
197609;17;1
197610;14.5;1
197611;12;1
197612;8.6;1
197701;8.4;1
197702;9.9;1
197703;11.1;1
197704;11.4;1
197705;13.9;1
197706;15.6;1
197707;19.2;1
197708;18.6;1
197709;17.6;1
197710;15.9;1
197711;11.8;1
197712;10.6;1
197801;8.9;1
197802;8.7;1
197803;10.1;1
197804;10.8;1
197805;15.1;1
197806;16.5;1
197807;17.7;1
197808;18.2;1
197809;18;1
197810;15.4;1
197811;13.1;1
197812;10.6;1
197901;7.1;1
197902;8.3;1
197903;9.5;1
197904;11.2;1
197905;13.6;1
197906;17.1;1
197907;18.9;1
197908;18;1
197909;17.1;1
197910;15.9;1
197911;12.4;1
197912;11.1;1
198001;8.3;1
198002;10.1;1
198003;9.3;1
198004;12;1
198005;14.5;1
198006;16.2;1
198007;17;1
198008;18.9;1
198009;17.8;1
198010;14.1;1
198011;10.4;1
198012;10.3;1
198101;9.7;1
198102;8;1
198103;10.6;1
198104;12.4;1
198105;13.7;1
198106;16.5;1
198107;18.2;1
198108;19.4;1
198109;18.6;1
198110;14;1
198111;12.4;1
198112;10.6;1
198201;9.9;1
198202;9.7;1
198203;10.9;1
198204;12.7;1
198205;14.8;1
198206;17.5;1
198207;19.8;1
198208;18.5;1
198209;18.7;1
198210;14.2;1
198211;12.5;1
198212;10.4;1
198301;10.3;1
198302;7;1
198303;9.8;1
198304;10.9;1
198305;13.5;1
198306;17.5;1
198307;23.1;1
198308;20.6;1
198309;18;1
198310;15.2;1
198311;12.4;1
198312;10.7;1
198401;9.9;1
198402;8.5;1
198403;9.3;1
198404;14.5;1
198405;12.8;1
198406;16.8;1
198407;20.4;1
198408;19.9;1
198409;16.9;1
198410;14.5;1
198411;12.9;1
198412;10.8;1
198501;7.1;1
198502;8;1
198503;9.2;1
198504;12.6;1
198505;14.5;1
198506;17;1
198507;19.3;1
198508;17.5;1
198509;18.7;1
198510;16;1
198511;11.1;1
198512;11.2;1
198601;10.1;1
198602;3.6;1
198603;9.3;1
198604;9.9;1
198605;13.2;1
198606;16.9;1
198607;17.9;1
198608;16.8;1
198609;16.1;1
