# DONNEES MENSUELLES HOMOGENEISEES de TX : Moyenne mensuelle de la température maximale sous abri (en °C et 1/10) 
# NUM_POSTE= 30269006
# NOM_USUEL= ST JEAN DU GARD
# LATITUDE (°) = 44.111
# LONGITUDE(°)= 3.872
# ALTITUDE (m) = 196
# NUM_SERIE= MTX030269006
# Amplitude minimale détectable de la série = 0.19
# Période homogénéisée : 195701 201912
# Date(s) de rupture(s) d'homogénéité : 196612 200012 200904
#     Periode homogénéisée  195701 201912  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195701;10.5;1
195702;12.1;1
195703;16.6;1
195704;16.4;1
195705;18.8;1
195706;23.1;1
195707;27.8;1
195708;27.1;1
195709;24.7;1
195710;20.3;1
195711;13;1
195712;9.6;1
195801;9;1
195802;13.1;1
195803;12.3;1
195804;16;1
195805;23;1
195806;24.7;1
195807;26.9;1
195808;28;1
195809;25.5;1
195810;19.5;1
195811;13;1
195812;9.9;1
195901;9.8;1
195902;13.4;1
195903;14.6;1
195904;17;1
195905;21.8;1
195906;26;1
195907;30.8;1
195908;28.1;1
195909;23.3;1
195910;17;1
195911;13;1
195912;11;1
196001;9.8;1
196002;11.8;1
196003;13.1;1
196004;18.6;1
196005;23.9;1
196006;26.8;1
196007;26.7;1
196008;25.5;1
196009;22.9;1
196010;16.4;1
196011;13.1;1
196012;7.6;1
196101;8.6;1
196102;14.4;1
196103;18.3;1
196104;19.5;1
196105;21.8;1
196106;26.9;1
196107;28.4;1
196108;29.7;1
196109;27;1
196110;18.6;1
196111;11.9;1
196112;11.6;1
196201;11.5;1
196202;10.8;1
196203;11.2;1
196204;17.2;1
196205;21.3;1
196206;26;1
196207;29.4;1
196208;31.5;1
196209;25.1;1
196210;18.5;1
196211;10.1;1
196212;8;1
196301;5.5;1
196302;7;1
196303;13;1
196304;17.2;1
196305;22.6;1
196306;23.3;1
196307;28.4;1
196308;24.5;1
196309;21.9;1
196310;19.5;1
196311;14.3;1
196312;7.3;1
196401;8.1;1
196402;11.5;1
196403;12.4;1
196404;17.1;1
196405;23;1
196406;26;1
196407;30.5;1
196408;26.5;1
196409;23;1
196410;17;1
196411;14.1;1
196412;8;1
196501;9.2;1
196502;8.8;1
196503;13.5;1
196504;17.8;1
196505;23.2;1
196506;26;1
196507;26.8;1
196508;28.3;1
196509;20.4;1
196510;17.6;1
196511;12;1
196512;10.7;1
196601;8.6;1
196602;13;1
196603;15.2;1
196604;17.4;1
196605;22.1;1
196606;25.5;1
196607;26.8;1
196608;27;1
196609;27;1
196610;18.8;1
196611;10.8;1
196612;10.5;1
196701;9.1;1
196702;10.7;1
196703;15.2;1
196704;18.1;1
196705;20;1
196706;24.9;1
196707;30.6;1
196708;28.2;1
196709;23.1;1
196710;20.6;1
196711;14;1
196712;9.9;1
196801;10.5;1
196802;10.4;1
196803;14.9;1
196804;17.1;1
196805;20;1
196806;24.5;1
196807;27.2;1
196808;25;1
196809;22.1;1
196810;20.4;1
196811;12.4;1
196812;8.4;1
196901;10.1;1
196902;8.8;1
196903;12.1;1
196904;16.8;1
196905;20.5;1
196906;22.9;1
196907;28;1
196908;26.9;1
196909;22.6;1
196910;20;1
196911;13.1;1
196912;7.3;1
197001;10.2;1
197002;11.5;1
197003;11.7;1
197004;16.6;1
197005;20.7;1
197006;26;1
197007;28.6;1
197008;27.2;1
197009;25.2;1
197010;18.5;1
197011;14.9;1
197012;8.3;1
197101;8.7;1
197102;12.7;1
197103;11;1
197104;17.8;1
197105;20.2;1
197106;24;1
197107;29.1;1
197108;28.2;1
197109;23.9;1
197110;19.6;1
197111;11.8;1
197112;10.8;1
197201;8.7;1
197202;10.8;1
197203;14.3;1
197204;16.7;1
197205;20.2;1
197206;23.4;1
197207;28.2;1
197208;25.6;1
197209;20.5;1
197210;17.4;1
197211;13;1
197212;10.1;1
197301;9.9;1
197302;10.4;1
197303;13.9;1
197304;16;1
197305;21.3;1
197306;25.9;1
197307;27.8;1
197308;29.7;1
197309;25.7;1
197310;18.4;1
197311;13.6;1
197312;10.3;1
197401;11.5;1
197402;10.8;1
197403;12.6;1
197404;16;1
197405;21;1
197406;25.1;1
197407;28.7;1
197408;28.6;1
197409;21.4;1
197410;14.5;1
197411;12.7;1
197412;12.9;1
197501;11.4;1
197502;11.6;1
197503;11.7;1
197504;17.6;1
197505;20.3;1
197506;24.3;1
197507;29.2;1
197508;28.3;1
197509;23;1
197510;18.1;1
197511;12.6;1
197512;8.4;1
197601;11.3;1
197602;11.7;1
197603;15.4;1
197604;15.5;1
197605;23.2;1
197606;29.2;1
197607;29.2;1
197608;27.1;1
197609;20.7;1
197610;16.1;1
197611;12.4;1
197612;8.7;1
197701;9.1;1
197702;12.8;1
197703;15.4;1
197704;17.7;1
197705;18.5;1
197706;22.7;1
197707;26.2;1
197708;25.1;1
197709;23.5;1
197710;18.3;1
197711;13.3;1
197712;10.3;1
197801;8;1
197802;9.7;1
197803;14.4;1
197804;15;1
197805;19.5;1
197806;23.8;1
197807;27.4;1
197808;27.8;1
197809;26.9;1
197810;20.6;1
197811;13.5;1
197812;10.2;1
197901;6.6;1
197902;11;1
197903;14.7;1
197904;15.7;1
197905;20.7;1
197906;26.7;1
197907;30;1
197908;27.9;1
197909;25.1;1
197910;17.5;1
197911;13.9;1
197912;10.6;1
198001;7.7;1
198002;12.6;1
198003;13.4;1
198004;16;1
198005;19.4;1
198006;24.1;1
198007;27;1
198008;29.2;1
198009;25.5;1
198010;18.5;1
198011;10.7;1
198012;8.9;1
198101;10.3;1
198102;10.4;1
198103;14.8;1
198104;18.4;1
198105;19;1
198106;25.7;1
198107;26.6;1
198108;29.3;1
198109;24.2;1
198110;18;1
198111;14;1
198112;8.8;1
198201;11.2;1
198202;10;1
198203;13.3;1
198204;18.6;1
198205;22.4;1
198206;26.6;1
198207;30.7;1
198208;27.4;1
198209;24.7;1
198210;17.9;1
198211;13.1;1
198212;10.3;1
198301;12.8;1
198302;8.2;1
198303;15.3;1
198304;15.5;1
198305;19.2;1
198306;25.7;1
198307;31.7;1
198308;28;1
198309;25.2;1
198310;19.5;1
198311;13.1;1
198312;11;1
198401;9.7;1
198402;9.7;1
198403;11.9;1
198404;18.2;1
198405;17.3;1
198406;24.8;1
198407;28.8;1
198408;27.3;1
198409;23;1
198410;18.7;1
198411;14.2;1
198412;11;1
198501;6.1;1
198502;12.4;1
198503;12.2;1
198504;18.2;1
198505;19.5;1
198506;24.4;1
198507;30.1;1
198508;28.1;1
198509;28.5;1
198510;20.5;1
198511;10.5;1
198512;11.2;1
198601;10;1
198602;6.7;1
198603;14.4;1
198604;13.3;1
198605;22.7;1
198606;26.5;1
198607;29.9;1
198608;28.8;1
198609;25.5;1
198610;19.9;1
198611;14.4;1
198612;10.6;1
198701;6.7;1
198702;10.7;1
198703;11.8;1
198704;18.1;1
198705;20.6;1
198706;24.7;1
198707;28.2;1
198708;29.6;1
198709;26.7;1
198710;17.2;1
198711;13.5;1
198712;11.9;1
198801;10.8;1
198802;11.7;1
198803;15.3;1
198804;16.5;1
198805;20.8;1
198806;24.2;1
198807;28.9;1
198808;28.7;1
198809;24.8;1
198810;19.3;1
198811;12.5;1
198812;12.5;1
198901;10.7;1
198902;13.9;1
198903;17.2;1
198904;15.8;1
198905;24.1;1
198906;27.3;1
198907;31;1
198908;30.4;1
198909;25.1;1
198910;19.4;1
198911;12.4;1
198912;10.5;1
199001;12;1
199002;14;1
199003;17.4;1
199004;16.9;1
199005;23.3;1
199006;25.4;1
199007;31;1
199008;30.7;1
199009;25.4;1
199010;19.1;1
199011;12.9;1
199012;8.2;1
199101;10;1
199102;9.7;1
199103;15.4;1
199104;17.8;1
199105;20.7;1
199106;25.7;1
199107;31.2;1
199108;31.2;1
199109;25.7;1
199110;17;1
199111;12.3;1
199112;10;1
199201;9.5;1
199202;12.4;1
199203;15.9;1
199204;19.7;1
199205;23;1
199206;22.9;1
199207;28.4;1
199208;29.7;1
199209;24.3;1
199210;16.3;1
199211;15.8;1
199212;10.1;1
199301;12.2;1
199302;11.9;1
199303;14.1;1
199304;16.6;1
199305;22;1
199306;26.5;1
199307;27.9;1
199308;30.4;1
199309;22.5;1
199310;17;1
199311;11.8;1
199312;11;1
199401;11.1;1
199402;9.9;1
199403;19.1;1
199404;15.6;1
199405;21.8;1
199406;27.1;1
199407;32.9;1
199408;31.8;1
199409;22.3;1
199410;18.6;1
199411;15.1;1
199412;11.5;1
199501;9.9;1
199502;14.3;1
199503;14.3;1
199504;19.2;1
199505;21.6;1
199506;26.3;1
199507;31.8;1
199508;29.4;1
199509;22;1
199510;21.3;1
199511;13.2;1
199512;9.3;1
199601;10;1
199602;9.2;1
199603;13.6;1
199604;18.3;1
199605;21.5;1
199606;27.8;1
199607;29.5;1
199608;28.1;1
199609;22.8;1
199610;17.5;1
199611;12.6;1
199612;9;1
199701;9.2;1
199702;14.1;1
199703;20.5;1
199704;20.5;1
199705;22.8;1
199706;24.7;1
199707;28.5;1
199708;30.3;1
199709;27.5;1
199710;20.4;1
199711;12.6;1
199712;10.3;1
199801;9.8;1
199802;14.5;1
199803;16.4;1
199804;15.9;1
199805;22.7;1
199806;25.4;1
199807;29.5;1
199808;31;1
199809;21.8;1
199810;19.3;1
199811;12.6;1
199812;10.9;1
199901;11;1
199902;11.3;1
199903;15.9;1
199904;18.2;1
199905;23.6;1
199906;26.7;1
199907;30.4;1
199908;29.3;1
199909;25.3;1
199910;19.7;1
199911;10.9;1
199912;10.6;1
200001;10.7;1
200002;14.7;1
200003;17.2;1
200004;17.3;1
200005;23.8;1
200006;27.3;1
