# DONNEES MENSUELLES HOMOGENEISEES de TX : Moyenne mensuelle de la température maximale sous abri (en °C et 1/10) 
# NUM_POSTE= 35110003
# NOM_USUEL= FEINS  SA
# LATITUDE (°) = 48.327
# LONGITUDE(°)= -1.597
# ALTITUDE (m) = 87
# NUM_SERIE= MTX035110003
# Amplitude minimale détectable de la série = 0.14
# Période homogénéisée : 196001 201612
# Date(s) de rupture(s) d'homogénéité : 197204 198812 200512
#     Periode homogénéisée  196001 201612  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
196001;8;1
196002;9;1
196003;13.3;1
196004;14.6;1
196005;20.4;1
196006;19.8;1
196007;20.1;1
196008;21.2;1
196009;19.2;1
196010;15.2;1
196011;12.3;1
196012;7.3;1
196101;7.7;1
196102;11.7;1
196103;14.4;1
196104;15.7;1
196105;17.5;1
196106;20.2;1
196107;22;1
196108;22.5;1
196109;22.9;1
196110;16.5;1
196111;10.3;1
196112;8;1
196201;8.6;1
196202;8;1
196203;7.7;1
196204;12.7;1
196205;15.2;1
196206;20.8;1
196207;21.6;1
196208;21.6;1
196209;19.5;1
196210;16.8;1
196211;10;1
196212;5.7;1
196301;1.3;1
196302;4.1;1
196303;10.7;1
196304;12.9;1
196305;15.6;1
196306;19.4;1
196307;22.1;1
196308;19.3;1
196309;19.2;1
196310;15.7;1
196311;13.2;1
196312;5.1;1
196401;4.7;1
196402;8.4;1
196403;9.3;1
196404;12.6;1
196405;19.1;1
196406;19.6;1
196407;23;1
196408;22.4;1
196409;21.9;1
196410;14;1
196411;10.4;1
196412;7.7;1
196501;7.5;1
196502;6.1;1
196503;11.6;1
196504;12.8;1
196505;16.6;1
196506;19.8;1
196507;20.2;1
196508;20.4;1
196509;17.1;1
196510;16.7;1
196511;9.7;1
196512;10.1;1
196601;6.6;1
196602;11.3;1
196603;11.3;1
196604;14.5;1
196605;16.3;1
196606;21.4;1
196607;20.5;1
196608;21.3;1
196609;21.2;1
196610;15.5;1
196611;9.1;1
196612;9.9;1
196701;7.8;1
196702;9.5;1
196703;11.6;1
196704;13;1
196705;16.3;1
196706;20.1;1
196707;23.9;1
196708;22.1;1
196709;18.8;1
196710;16.2;1
196711;9.8;1
196712;7.5;1
196801;8.3;1
196802;7.9;1
196803;11.5;1
196804;14.7;1
196805;16;1
196806;20.6;1
196807;22.4;1
196808;21.2;1
196809;19.5;1
196810;16.8;1
196811;10.4;1
196812;6.4;1
196901;8.9;1
196902;6.6;1
196903;10.8;1
196904;13.8;1
196905;17.3;1
196906;19.9;1
196907;23.4;1
196908;22.7;1
196909;20.6;1
196910;19.5;1
196911;10.7;1
196912;6.6;1
197001;8.4;1
197002;8.1;1
197003;8.8;1
197004;11.4;1
197005;18.2;1
197006;21.9;1
197007;20.6;1
197008;21.7;1
197009;21;1
197010;14.8;1
197011;12.5;1
197012;5.8;1
197101;7.4;1
197102;8.6;1
197103;8.5;1
197104;15;1
197105;18.1;1
197106;18.3;1
197107;24.8;1
197108;21.2;1
197109;21.4;1
197110;17.1;1
197111;10;1
197112;7.5;1
197201;6.4;1
197202;8.6;1
197203;12.8;1
197204;12.3;1
197205;15.1;1
197206;16.5;1
197207;22.1;1
197208;20.9;1
197209;17.8;1
197210;15.7;1
197211;11;1
197212;8.7;1
197301;6.4;1
197302;7.5;1
197303;11.9;1
197304;12;1
197305;17.1;1
197306;21;1
197307;21.2;1
197308;24.3;1
197309;21.4;1
197310;14.7;1
197311;11.2;1
197312;7.8;1
197401;9.3;1
197402;9.7;1
197403;11.3;1
197404;14.4;1
197405;16.5;1
197406;20.9;1
197407;21.2;1
197408;23;1
197409;17.8;1
197410;11.4;1
197411;11.1;1
197412;10.6;1
197501;9.8;1
197502;10.7;1
197503;9.4;1
197504;12.8;1
197505;14.9;1
197506;21.3;1
197507;23.2;1
197508;25.7;1
197509;19.4;1
197510;14.6;1
197511;10.5;1
197512;6;1
197601;7.6;1
197602;8.2;1
197603;11.1;1
197604;14.3;1
197605;19;1
197606;26.2;1
197607;25.5;1
197608;26;1
197609;19.7;1
197610;15.4;1
197611;10;1
197612;6.3;1
197701;6.4;1
197702;10.2;1
197703;12.8;1
197704;12.5;1
197705;16;1
197706;17.2;1
